end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSoldSalesTypeLease,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsPolicyholderLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesPrepaidExpenses,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ForeignCurrencyTransactionGainBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestIncomeFederalHomeLoanBankAdvances,InterestIncomeOther,InterestIncomeSecuritiesTaxable,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetInvestmentInLeaseSale,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherPrepaidExpenseCurrent,OtherReceivables,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionCashFlowEffects,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockholdersEquityNoteSpinoffTransaction,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-15,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,,,,,,,,3583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17082.0,,,,61853.0,8244.0,,,
2010-06-30,2010-08-13,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,,,,,,,,9647.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5038.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20033.0,,,25080.0,,,,,,,,,9.0,,,,,,,,,,,,,-20033.0,,,,,,5038.0,,,,,,,,,,,,,108283791.0
2010-09-30,2010-11-09,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,,,,,,,,755.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5038.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7610.0,,,13978.0,,,,,,,,,1330.0,,,,,,,,,,,,,-7610.0,,,,,,5038.0,,,,,,,,,,,,,119312763.0
2010-12-31,2011-03-23,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,29083.0,,,,,,45679.0,,,30045.0,29088.0,957.0,2779.0,-804.0,,0.001,200000000.0,122315271.0,122315271.0,,122315.0,0.0,,,,,,,,,,,,,-323.0,,182673.0,,15641.0,,,,,,,,,,20538.0,,,,0.0,,0.0,,,,-13548.0,-2821.0,,,,,,-19899.0,,,,,,0.0,,,44724.0,30045.0,44724.0,44551.0,,,,45355.0,,-54340.0,,,76521.0,,,,,,,,,1643.0,,,,,,,26309.0,44551.0,,,,,-54340.0,957.0,,,-182673.0,,20538.0,,,-12192.0,,-14679.0,,,,44551.0,12192.0,,,112745976.0
2011-03-31,2011-05-13,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,,,,,,,,707.0,-2072.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,4308.0,,,-2327.0,,,,,,,-4830.0,,,,,9251.0,,-4166.0,,,,,,,,,,,,,,,,-2072.0,,-2327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4308.0,6635.0,,,,,,,,,,,122315271.0,
2011-06-30,2011-08-12,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,24735.0,,,,,,45679.0,,,36131.0,35174.0,957.0,404.0,,,0.001,200000000.0,122315271.0,122315271.0,,122315.0,0.0,,,,,,,,,,,,,,,,,31875.0,0.0,,,,,,,,,4307.0,,,-3473.0,0.0,,,,,,,,,,,,,,,,,,,,,,56610.0,36131.0,56610.0,,,,,,,-3473.0,,,7780.0,,,,,,,,,,,,,,,,34770.0,,,,,,-3473.0,957.0,,,-188473.0,,4307.0,7780.0,,,,-20479.0,,,,,,,122315271.0,122315271.0
2011-09-30,2011-11-10,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,5424.0,,,,,,67314.0,,,42872.0,41915.0,957.0,2850.0,,,0.001,200000000.0,143949891.0,143949891.0,,143949.0,0.0,,,,,,,,,,,,,,,173815.0,,,0.0,,,,,,,,,4308.0,,,14658.0,0.0,,,,,,,,,,,,,,,,,,,,,,5424.0,42872.0,5424.0,,,,,,,14658.0,,,9888.0,,,,,,,,,20238.0,,,,,,,39065.0,,,,,,14658.0,957.0,,,,,4308.0,9888.0,,,,37448.0,,,,,,,132897422.0,132897422.0
2011-12-31,2012-03-30,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,6862.0,,452.0,,,,67907.0,,,42968.0,42333.0,635.0,269.0,-2510.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,0.0,,,,,,64010.0,,,,,-64010.0,42064.0,322.0,,188266.0,2618.0,9304.0,0.0,,,,,,,,,17231.0,,,-5593.0,0.0,,0.0,,,,-22221.0,6337.0,,,2618.0,-6337.0,,-15755.0,,,,,,0.0,,,18784.0,42968.0,18784.0,28279.0,,,,-30789.0,,-5593.0,,,43062.0,,,,,,,,,20238.0,,,0.0,,42064.0,,42064.0,34616.0,,,,,-5593.0,635.0,577.0,,,,17231.0,43062.0,9840.0,-9840.0,1186.0,24184.0,,,,34616.0,9840.0,,130320366.0,130320366.0
2012-03-31,2012-05-15,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,13090.0,,,,,,67907.0,,,55138.0,54503.0,635.0,3179.0,2910.0,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,,,,,,,,,,,,,,,,214279.0,,43877.0,0.0,,,,,,,,,4135.0,,,-26013.0,,,,,,,6228.0,,,,-2618.0,34573.0,,-9260.0,,,,,,,,,56967.0,55138.0,56967.0,,,,,2910.0,,-26013.0,,,,,,,,,,,,,,,,,51324.0,,,,,,,,,635.0,,,,,4135.0,30148.0,,,,-1829.0,,,,,,,144542831.0,
2012-06-30,2012-08-10,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,6635.0,,5635.0,,,,67907.0,,,61823.0,61188.0,635.0,426.0,,,0.001,200000000.0,144542831.0,144542831.0,,144543.0,,,,,,,,,,,,,50333.0,,,239829.0,,82567.0,0.0,,,,,,,,,4135.0,,,-25549.0,,,,,,,,,,,,,,,,,,,,,,,89202.0,61823.0,89202.0,,,,,,,-25549.0,,,,,,,,,,,,,,,10429.0,,60762.0,,,,,,,,,635.0,,,,,4135.0,29684.0,,,,-27379.0,,,,,,,144542831.0,
