end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,InterestAndDebtExpense,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-07-31,2012-09-14,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,21711.0,8418685.0,,,0.0,0.0,,,,0.001,200000000.0,1898727.0,1898727.0,1899.0,,,,,,,,,,,86275.0,,-0.01,,,,,,,-26233.0,0.0,,,,2139.0,2139.0,,107986.0,0.0,21711.0,,,,-26233.0,0.0,24094.0,-24094.0,8528570.0,0.001,50000000.0,0.0,0.0,0.0,,-26233.0,-8528570.0,,0.0,24094.0,-107986.0,,,,,1898727.0,
2012-10-31,2012-12-17,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,11473.0,8418685.0,,,22500.0,22500.0,22500.0,,,0.001,200000000.0,1898727.0,1898727.0,1899.0,,,,,,,,,,30339.0,149789.0,,-0.02,,,,,,,-30776.0,0.0,0.0,-7161.0,0.0,3453.0,3453.0,0.0,161262.0,22500.0,11473.0,60000.0,,-37500.0,-30776.0,0.0,27323.0,-27323.0,8559346.0,0.001,50000000.0,0.0,0.0,0.0,60000.0,-30776.0,-8529007.0,,0.0,27323.0,-138762.0,,,,,1898727.0,
2013-01-31,2013-05-13,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,3770.0,8418685.0,,,5273.0,5273.0,5273.0,,,0.001,200000000.0,1898727.0,1898727.0,1899.0,0.0,0.0,0.0,-27156.0,-4204.0,3232483.0,0.0,3232483.0,3232483.0,43917.0,153843.0,,-0.04,,0.0,0.34,0.373,,0.033,-84074.0,0.0,0.0,13478.0,0.0,9646.0,9646.0,0.0,157613.0,5273.0,3770.0,60000.0,,-54727.0,-84074.0,0.0,74428.0,-74428.0,8572924.0,0.001,50000000.0,0.0,0.0,0.0,60000.0,-84074.0,-8529007.0,,0.0,74428.0,-152340.0,,3232483.0,-31360.0,,1898727.0,
2013-04-30,2013-06-13,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,15337.0,8418685.0,,,240.0,240.0,-5033.0,,,0.001,200000000.0,1898727.0,1898727.0,1899.0,,,,,,,,,,64438.0,157764.0,,-0.01,,,,,,,-20521.0,0.0,0.0,15488.0,,3921.0,3921.0,0.0,173101.0,240.0,15337.0,0.0,,-5033.0,-20521.0,,16600.0,-16600.0,8593000.0,0.001,50000000.0,0.0,0.0,0.0,0.0,-20521.0,-8529007.0,,0.0,16600.0,-172861.0,,,,,1898727.0,
2013-07-31,2013-09-06,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,14230.0,8418684.0,,,17557.0,21118.0,,,,0.001,200000000.0,1898727.0,1898727.0,1900.0,,,,,,,,,,90635.0,202385.0,,-0.01,,,,,,,-26197.0,0.0,,,,4621.0,4621.0,,216615.0,17557.0,14230.0,,,,-26197.0,,21576.0,-21576.0,8620000.0,0.001,50000000.0,0.0,0.0,0.0,,-26197.0,-8529007.0,,0.0,21576.0,-199058.0,,,,,1899565.0,
2013-10-31,2013-11-25,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,4999.0,8418684.0,,,21118.0,21118.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,108257.0,232799.0,,-0.01,,,,,,,-17622.0,0.0,,,,5414.0,5414.0,,237798.0,21118.0,4999.0,,,,-17622.0,,12208.0,-12208.0,,0.001,50000000.0,0.0,0.0,0.0,,-17622.0,-8529007.0,,0.0,12208.0,-216680.0,,,,,1899575.0,
2014-01-31,2014-04-24,10-K,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,4998.0,8418684.0,,,9763.0,9763.0,4490.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,0.0,0.0,,-26349.0,-4079.0,3262911.0,0.0,3262911.0,3262911.0,125492.0,238680.0,,-0.04,,0.0,0.34,0.373,,0.033,-81575.0,0.0,0.0,21065.0,,19837.0,19837.0,0.0,243678.0,9763.0,4998.0,65000.0,,-60510.0,,,61738.0,-61738.0,8654000.0,0.001,50000000.0,0.0,0.0,0.0,65000.0,-81575.0,-8654499.0,,0.0,61738.0,-233915.0,,,-30428.0,,1899368.0,
2014-04-30,2014-06-16,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,4168.0,8418684.0,,,20005.0,20005.0,10242.0,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,145338.0,269598.0,,-0.01,,,,,,,-19846.0,0.0,0.0,5088.0,,5918.0,5918.0,0.0,273766.0,20005.0,4168.0,25000.0,,-14758.0,-19846.0,,13928.0,-13928.0,,0.001,50000000.0,0.0,0.0,0.0,25000.0,-19846.0,-8529007.0,,0.0,13928.0,-253761.0,,,,,1899575.0,
2014-07-31,2014-08-29,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,6999.0,8418684.0,,,3965.0,3965.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,170793.0,276182.0,,-0.01,,,,,,,-25455.0,0.0,,,,6584.0,6584.0,,283181.0,3965.0,6999.0,,,,-25455.0,,18871.0,-18871.0,,0.001,50000000.0,0.0,0.0,0.0,,-25455.0,-8529007.0,,0.0,18871.0,-279216.0,,,,,1899575.0,
2014-10-31,2014-12-15,10-Q,"MULTI SOLUTIONS II, INC",MUSS,CIK0000723733,USD,6500.0,8418684.0,,,32695.0,32695.0,,,,0.001,200000000.0,1899575.0,1899575.0,1900.0,,,,,,,,,,184056.0,318674.0,,-0.01,,,,,,,-13263.0,0.0,,,,7492.0,7492.0,,325174.0,32695.0,6500.0,,,,-13263.0,,5771.0,-5771.0,,0.001,50000000.0,0.0,0.0,0.0,,-13263.0,-8529007.0,,0.0,5771.0,-292479.0,,,,,1899575.0,
