end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayable,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,Deposits,DueFromOfficersOrStockholders,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,EquityMethodInvestmentRealizedGainLossOnDisposal,ExplorationExpense,FairValueAssumptionsRiskFreeInterestRate,FairValueAssumptionsWeightedAverageVolatilityRate,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnInvestments,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxEffectsAllocatedDirectlyToEquity,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationPriorYearIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestIncomeOther,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermInvestments,MarketingExpense,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourAndFiveYears,OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherIncome,PaymentsForOtherDeposits,PaymentsForRent,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireOilAndGasPropertyAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfInvestmentProjects,ProfessionalFees,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedAndRetiredDuringPeriodShares,SubscriptionRevenue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-09-30,2014-11-17,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,,6942.0,,,,,,,,6867.0,6867.0,6356.0,6356.0,,,,,,0.0001,100000000.0,21000000.0,21000000.0,2100.0,,,,,,,,,,51275.0,,,,,,,,49100.0,49100.0,,,0.0,,,,,,,,,,,,,,,4904.0,,,,,,,,,,,,,,,,,,,,,900.0,56042.0,6867.0,,,,,,,,-13103.0,,,13103.0,-13103.0,,,,,,51275.0,51275.0,,,,-900.0,,,,,0.0001,10000000.0,,,511.0,,,,,,,,,,,,7299.0,,,-51275.0,,,,,-49175.0,,,,,,,,,,,21000000.0
2014-12-31,2015-03-30,10-K,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,,10869.0,,,,,81418.0,,,91010.0,91010.0,81600.0,81600.0,,,,0.0,,0.0001,100000000.0,21815000.0,21815000.0,2182.0,,,,,,,,0.0,,22778.0,,22778.0,,22778.0,,,3500.0,,63000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,77369.0,91010.0,77369.0,,,,,,,,,,,,,,,,,69959.0,,,,,,,,,,0.0001,10000000.0,,,910.0,,3500.0,,,,,,,,,,,,,-69959.0,,,,0.0001,13641.0,,,,,,,,,,,
2015-03-31,2015-05-18,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,,1800.0,,,,,84915.0,,,54524.0,54524.0,53614.0,53614.0,-27987.0,,,0.0,,0.0001,100000000.0,21850000.0,21850000.0,2185.0,,,,,,,,,,,,,,,,,,,63000.0,,,0.0,,0.5,,,,,,,-12080.0,,,,,,2373.0,,,,,,,,,-9070.0,-9069.0,,,,,,,,,,,,64800.0,54524.0,64800.0,,,,8500.0,,-36486.0,-27417.0,,,27417.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,910.0,,,,,8500.0,,,,,,,12964.0,,,-97376.0,,,,,-10276.0,,,,,,,,,,,212959470.0
2015-06-30,2015-08-18,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,,,,,,,84915.0,,,46620.0,46620.0,42710.0,42710.0,,,,0.0,,0.0001,100000000.0,21850000.0,21850000.0,2185.0,,,,,,,,3000.0,3000.0,106480.0,,,,106480.0,,,,,63000.0,63000.0,,0.0,,,,,,,,,,,,,,,3979.0,,,,,,,,,,,,,,,,,,,,,,66000.0,46620.0,66000.0,,,,,,,-9104.0,,,-10104.0,-10904.0,,,,,,106480.0,,,1800.0,,,,,,,0.0001,10000000.0,,,3910.0,,,,,,,,,,,,6125.0,,,-106480.0,1000.0,1000.0,,,-19380.0,,,,,,,,,,,218500000.0
2015-09-30,2015-11-13,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,,1352.0,,,,,84915.0,,,36079.0,36079.0,35169.0,35169.0,,,,,,0.0001,100000000.0,21850000.0,21850000.0,2185.0,,,,,,,,,,115373.0,,,,115373.0,,,,,63000.0,63000.0,,0.0,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,64352.0,36079.0,64352.0,,,,,,,-8893.0,3565.0,,-11893.0,-8893.0,,,,,,115373.0,,,,,,,,,,0.0001,10000000.0,,,910.0,,,,,,,,,,,,8125.0,,,-115373.0,3000.0,,,,-28273.0,,,,,,,,,,,218500000.0
2015-12-31,2016-03-15,10-K,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,1406.0,1406.0,,,,,75150.0,,,104937.0,39937.0,,39027.0,-42573.0,,,,,0.0001,100000000.0,219500000.0,219500000.0,21950.0,,,,,,0.05,,,,51715.0,,51715.0,,-51715.0,,,,,63000.0,63000.0,,0.0,,,0.34,,,25579.0,,,-18582.0,,,,,,14110.0,,,,,,-29592.0,655.0,,-9463.0,,,,,,-425.0,425.0,,,425.0,,,164831.0,104937.0,,,,65000.0,108500.0,-55000.0,-96073.0,-87035.0,18582.0,100425.0,-90610.0,,,,,,,152000.0,,,,,,-55000.0,,55000.0,,0.0001,10000000.0,0.0,0.0,910.0,,,8500.0,,8500.0,,,100000.0,,,,32339.0,-100000.0,,-156994.0,4000.0,,,,-59894.0,,,,,,3500.0,10000.0,,,-28937.0,218533560.0
2016-03-31,2016-05-11,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,822.0,,,,,,83070.0,,,101209.0,36209.0,,35299.0,-3728.0,,,,,0.0001,100000000.0,220300000.0,220300000.0,22030.0,,,,,,,,,,,,,,,,,,,93000.0,,,0.0,,,,,,24953.0,,,-249.0,,,,,,11465.0,,,,,,,,,-584.0,-584.0,,,,,1233.0,1233.0,,,1658.0,,,195480.0,101209.0,,,8000.0,65000.0,30000.0,,-33728.0,-42377.0,2226.0,101658.0,-41144.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,910.0,,,,,,30000.0,,,,,,2500.0,,,-199371.0,,,8000.0,,-94271.0,8000.0,,,,,,,1800000000.0,,,219508790.0
2016-06-30,2016-08-15,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,8862.0,,,,,,475695.0,,,434850.0,369850.0,,364445.0,,,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,,,,,,0.0075,,,,,,,,,,,,,95907.0,95907.0,,0.0,,,,,,14171.0,,,,,,,,,11133.0,,,,,,,,,,,,,,,1260.0,-1260.0,,,2918.0,,,207687.0,434850.0,,,,65000.0,,,,-53567.0,3326.0,102918.0,-52307.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,5405.0,,,,,,,,,,,,23677.0,,,-252937.0,,,,,227163.0,,,,,,,,,,,48582967.0
2016-09-30,2016-11-14,10-Q,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,8200.0,,,,,,475695.0,,,185512.0,120512.0,,107730.0,,,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,-142851.0,,,,,0.0075,,,,,,,,,,,,,93000.0,93000.0,0.0,0.0,0.0,,,,,114329.0,,,,,,,,,22986.0,,,,,,,,,,,,,,,-2412.0,2412.0,,,,,,101200.0,185512.0,,,,65000.0,,,,-142851.0,4024.0,,-145263.0,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,12782.0,,,,,,,,,,,,3924.0,,,-395788.0,,,,,84312.0,,,,,,,,,,,44050000.0
2016-12-31,2017-03-21,10-K,NEVADA CANYON GOLD CORP.,NGLD,CIK0001605481,USD,8200.0,,,,,,457695.0,,,131797.0,66797.0,,51789.0,12762.0,51789.0,,,,0.0001,100000000.0,44050000.0,44050000.0,4405.0,-297509.0,,,,,0.0075,,,,151960.0,,151960.0,,151960.0,,,,,98000.0,98000.0,0.0,0.0,0.0,,0.34,,,185945.0,,,,,,,,,64788.0,-297509.0,,,,,-101153.0,908.0,,6794.0,,,,14098.0,2837.0,2918.0,-2837.0,,506.0,,,,106200.0,131797.0,106200.0,,,65000.0,309494.0,,-296732.0,-297509.0,12011.0,,-297428.0,,,,,,,446942.0,,,,,,,,,,0.0001,10000000.0,,,15008.0,,375000.0,,,,35000.0,,,,,,34684.0,100506.0,,-436503.0,,,8000.0,,25597.0,8000.0,,,,,375000.0,,,,-100245.0,88802049.0
