end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedIncomeTaxesCurrent,AccruedInsuranceCurrent,AccruedInsuranceCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccruedRentCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AcquisitionCosts,AdditionalPaidInCapitalCommonStock,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsFairValueDisclosureRecurring,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecurities,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleSecuritiesAmortizedCost,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesGrossRealizedGains,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationAcquisitionRelatedCosts,BusinessCombinationBargainPurchaseGainRecognizedAmount,CapitalizedContractCostAmortization,CapitalizedContractCostGross,CapitalizedContractCostImpairmentLoss,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerAssetNet,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfGoodsSoldAmortization,CostOfRevenue,CostOfServices,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesCurrent,DeferredCostsCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredForeignIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredRevenue,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesOther,DefinedContributionPlanCostRecognized,Depreciation,DepreciationDepletionAndAmortization,Dividends,DividendsPreferredStock,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Percent,EffectiveIncomeTaxRateReconciliationTaxSettlementsDomestic,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,EntityWideRevenueMajorCustomerPercentage,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpense,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignFinancialInstitutionsActualDeposits,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnDispositionOfProperty,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GainLossRelatedToLitigationSettlement,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillImpairedAccumulatedImpairmentLoss,GoodwillImpairmentLoss,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncentiveFromLessor,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationRepatriationOfForeignEarnings,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCashForOperatingActivities,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestIncomeExpenseNonoperatingNet,InterestPaid,InterestPaidNet,InventoryFinishedGoodsNetOfReserves,InventoryNet,InventoryRawMaterialsNetOfReserves,InvestmentIncomeInterest,InvestmentIncomeNet,LeaseAndRentalExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LettersOfCreditOutstandingAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityCommitmentFeePercentage,LineOfCreditFacilityFairValueOfAmountOutstanding,LineOfCreditFacilityMaximumBorrowingCapacity,LineOfCreditFacilityRemainingBorrowingCapacity,LinesOfCreditCurrent,MarketableSecuritiesCurrent,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLoss,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssetsMiscellaneousNoncurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfEquity,PaymentsForRestructuring,PaymentsOfDebtIssuanceCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireMarketableSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockDividendsIncomeStatementImpact,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionPremium,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromLinesOfCredit,ProceedsFromLoans,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromStockOptionsExercised,ProductWarrantyAccrual,ProductWarrantyAccrualAdditionsFromBusinessAcquisition,ProductWarrantyAccrualClassifiedCurrent,ProductWarrantyAccrualPayments,ProductWarrantyAccrualPreexistingIncreaseDecrease,ProductWarrantyAccrualWarrantiesIssued,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PurchaseCommitmentRemainingMinimumAmountCommitted,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,RepaymentsOfDebt,RepaymentsOfLinesOfCredit,ReportingUnitAmountOfFairValueInExcessOfCarryingAmount,ReportingUnitPercentageOfFairValueInExcessOfCarryingAmount,ResearchAndDevelopmentExpense,RestrictedCashAndCashEquivalents,RestrictedCashAndCashEquivalentsAtCarryingValue,RestrictedCashCurrent,RestrictedStockAwardForfeitures,RestrictedStockValueSharesIssuedNetOfTaxWithholdings,RestructuringAndRelatedCostExpectedCost1,RestructuringAndRelatedCostExpectedCostRemaining1,RestructuringCharges,RestructuringReserve,RestructuringReserveCurrent,RestructuringReserveSettledWithoutCash2,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueRemainingPerformanceObligation,RevenueRemainingPerformanceObligationPercentage,Revenues,SaleOfStockPricePerShare,SalesAndExciseTaxPayableCurrent,SalesRevenueGoodsNet,SalesRevenueServicesNet,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardPlanModificationIncrementalCompensationCost,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,SignificantPurchaseCommitmentRemainingMinimumAmountCommitted,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,TaxCreditCarryforwardAmount,TradingSecuritiesRealizedGain,TreasuryStockRetiredCostMethodAmount,TreasuryStockShares,TreasuryStockValue,UnamortizedDebtIssuanceExpense,UndistributedEarningsOfForeignSubsidiaries,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DebtSecuritiesAvailableForSaleUnrealizedGainLoss,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseResearchAndDevelopment,LessorOperatingLeasePaymentsToBeReceived,LessorOperatingLeasePaymentsToBeReceivedFourYears,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,LessorOperatingLeasePaymentsToBeReceivedThreeYears,LessorOperatingLeasePaymentsToBeReceivedTwoYears
2010-06-26,2010-07-23,10-Q,"Calix, Inc.",CALX,CIK0001406666,USD,,,,,,,,,,,,,,,,,,,7181000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24721000.0,,,,,,,,,,,,,,,,,,,,,41855000.0,,1360000.0,43215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,185000.0,,,,,,,,,,,,,,,,,,7423000.0,,,,,28438000.0,,,,,,-2959000.0,243000.0,,,,,,,,,,,,,,,,,620000.0,,,,,,,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3202000.0,,,,30878000.0,-2440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3202000.0,,,,,,,,,13086000.0,,,,,,,,,,,,,,,,71653000.0,,,,,10184000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-25,2010-10-22,10-Q,"Calix, Inc.",CALX,CIK0001406666,USD,,,,,,,,,,,,,,,,,,,7494000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35141000.0,,,,,,,,,,,,,,,,,,,,,45168000.0,,1360000.0,46528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,185000.0,,,,,,,,,,,,,,,,,,7344000.0,,,,,28964000.0,,,,,,-5330000.0,21000.0,,,,,,,,,,,,,,,,,45000.0,,,,,,,120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5351000.0,,,,34373000.0,-5409000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5351000.0,,,,,,,,,14299000.0,,,,,,,,,,,,,,,,75492000.0,,,,,10408000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-24,10-K,"Calix, Inc.",CALX,CIK0001406666,USD,10268000.0,,43377000.0,-967000.0,,,,25987000.0,,,,21000.0,10000.0,31000.0,,605939000.0,,25575000.0,25575000.0,,6180000.0,,,257556000.0,177274000.0,,,,,,,,,,,,,,,,-47614000.0,381495000.0,3942000.0,0.0,,,,,66304000.0,34483000.0,,,,65000.0,,10287000.0,,0.025,100000000.0,38711586.0,38711586.0,968000.0,-18505000.0,-18505000.0,,,,,,168873000.0,,5440000.0,174313000.0,,,-8000.0,43000.0,,46000.0,,7771000.0,0.0,0.0,,,,,14062000.0,10985000.0,0.0,,,,,,,,,,,,,,,,,,700000.0,5015000.0,5015000.0,900000.0,900000.0,,-0.65,,-0.004,0.34,-0.083,0.0,-0.014,,,,0.065,0.047,,,0.0,,,,0.29,,740000.0,,,,,,,,,,,,,-77000.0,37000.0,,,,27998000.0,65576000.0,,,0.0,112730000.0,,,,,,-18472000.0,81000.0,40000.0,40000.0,,,-4367000.0,-3615000.0,-2642000.0,-8697000.0,-11430000.0,6001000.0,41000.0,-1237000.0,-629000.0,,,515000.0,1188000.0,,796000.0,,,24557000.0,,384000.0,,2100000.0,,,,,,,,,,,62253000.0,257556000.0,50317000.0,,,,,,,,32020000.0,37000.0,,,27595000.0,-2288000.0,9176000.0,-19453000.0,-19453000.0,,,130213000.0,-17483000.0,,,,,,,,,,,,,,,,,,,,,2376000.0,10000.0,10000.0,,,10000.0,48000.0,,48000.0,38000.0,951000.0,-12000.0,20000000.0,,,,,10004000.0,79190000.0,,0.0,79190000.0,5614000.0,900000.0,0.025,173000.0,5000000.0,0.0,0.0,,3245000.0,3245000.0,57311000.0,,,,0.0,,,,82516000.0,,,300000.0,3789000.0,0.0,,5682000.0,,5258000.0,-18553000.0,,11815000.0,,,20000000.0,,,,55412000.0,,,,,10004000.0,,,,,,,-411635000.0,,,,287043000.0,,,,,42121000.0,25575000.0,,,,,,1900000.0,,,,,,6.5,,735000.0,,,,,,,,,,,,,,,,,,,195303000.0,,,,,,,480895000.0,,57312000.0,,,,288000.0,,,,,,,,,,7801000.0,,,,,,,,,,29778000.0,,,,,,,,
2011-03-26,2011-04-29,10-Q,"Calix, Inc.",CALX,CIK0001406666,USD,,,,-108000.0,,,,,,,,,,,10257000.0,,,,8117000.0,,2185000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29547000.0,-36757000.0,,,,,,,,,,,,,,,,,,,,39308000.0,,1516000.0,51081000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617000.0,,,,-0.55,,,,,,,,,,,,,,,,,,,,669000.0,,,,,,,,,,,,,,,,,,9308000.0,,,,,20389000.0,,,,,,-22732000.0,24000.0,,,,,-6068000.0,-4177000.0,8068000.0,2083000.0,3772000.0,-4406000.0,-8000.0,-1159000.0,,,,,46000.0,,,,,,,43000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,154000.0,-39605000.0,2694000.0,,-22756000.0,,,43123000.0,-22734000.0,,,,,,,,,,,,,,,,,,,,,,14000.0,,,,,,-22750000.0,,-8000.0,,5000.0,,,,,,,,,60788000.0,,1722000.0,,,,,,,,,,,,,,,,,,22905000.0,,,,12766000.0,,,,,,-22756000.0,,,,,,,,,15039000.0,,,,,,,,,,,,,,,,71470000.0,,,,,12066000.0,8117000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117258000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-25,2011-07-22,10-Q,"Calix, Inc.",CALX,CIK0001406666,USD,10932000.0,,57940000.0,,,,,39629000.0,,,,,,45000.0,9709000.0,731617000.0,,,5324000.0,,8467000.0,,,367992000.0,141229000.0,,,,,,,,,,,,,,,,,,,,,,,,18660000.0,,,,,,,,,0.025,100000000.0,46703000.0,46703000.0,1167000.0,,-17637000.0,,,,,,54899000.0,,3188000.0,67796000.0,,,,,,,,10835000.0,,,,,,,23081000.0,11970000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,,,,2795000.0,,,,,,,,,,,,,,,,,,6667000.0,116175000.0,,,,30163000.0,,,,,,-17532000.0,114000.0,,,,,,,,,,,,,,,,90001000.0,45000.0,,,,,38489000.0,,26000.0,,,,,,,,,,,,,87200000.0,367992000.0,73642000.0,,,,,,,,8911000.0,,,,,,,-17646000.0,-17646000.0,,,47700000.0,-17537000.0,,,,,,,,,,,,,,,,,,,,,2381000.0,,,-12000.0,,21000.0,9000.0,,,,1588000.0,24000.0,,,,,,,,,,,,,0.025,,5000000.0,0.0,0.0,,5340000.0,,,,,,,,,,,,,,13133000.0,,,1511000.0,,1878000.0,-17646000.0,,18206000.0,,,,,,,18584000.0,,1054000.0,,,,,,,,,,-452037000.0,,,,97959000.0,,,,,14172000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46050000.0,,,,,,,,
