end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperation,BilledContractReceivables,BillingsInExcessOfCost,BillingsInExcessOfCostCurrent,BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationConsiderationTransferred1,CapitalExpendituresIncurredButNotYetPaid,CapitalizedComputerSoftwareAmortization,CapitalizedComputerSoftwareImpairments,CapitalizedComputerSoftwareNet,CapitalizedContractCostAmortization,CapitalizedContractCostNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,ComprehensiveIncomeNetOfTax,ConcentrationRiskPercentage1,ContractReceivableDueAfterNextRollingTwelveMonths,ContractReceivableDueAfterOneYear,ContractReceivableRetainage,ContractReceivableRetainageDueAfterOneYear,ContractsReceivable,ContractWithCustomerAssetCumulativeCatchUpAdjustmentToRevenueChangeInEstimateOfTransactionPrice,ContractWithCustomerAssetCumulativeCatchUpAdjustmentToRevenueChangeInMeasureOfProgress,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsAndServicesSold,CostOfServices,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentFaceAmount,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredCompensationLiabilityClassifiedNoncurrent,DeferredCompensationPlanAssets,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredRentCredit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesCurrent,DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,DefinedBenefitPlanBenefitObligation,DefinedBenefitPlanOtherPlanAssets,DefinedBenefitPlanWeightedAverageAssetAllocations,DefinedContributionPlanCostRecognized,Depreciation,DepreciationAndAmortization,DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,DisposalGroupIncludingDiscontinuedOperationGoodwill1,DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssets,DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipment,DistributedEarnings,DividendsPayableAmountPerShare,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,EmployeeStockOwnershipPlanESOPCompensationExpense,EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,FairValueAssumptionsExpectedDividendPayments,FinanceLeaseInterestExpense,FinanceLeaseLiability,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseLiabilityPaymentsDue,FinanceLeaseLiabilityPaymentsDueAfterYearFive,FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,FinanceLeaseLiabilityPaymentsDueYearFive,FinanceLeaseLiabilityPaymentsDueYearFour,FinanceLeaseLiabilityPaymentsDueYearThree,FinanceLeaseLiabilityPaymentsDueYearTwo,FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear,FinanceLeaseLiabilityUndiscountedExcessAmount,FinanceLeasePrincipalPayments,FinanceLeaseRightOfUseAsset,FinanceLeaseRightOfUseAssetAccumulatedAmortization,FinanceLeaseRightOfUseAssetAmortization,FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,FinanceLeaseWeightedAverageDiscountRatePercent,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FiniteLivedIntangibleAssetsUsefulLifeMaximum,FiniteLivedIntangibleAssetsUsefulLifeMinimum,FurnitureAndFixturesGross,FutureAmortizationExpenseRemainderOfFiscalYear,FutureAmortizationExpenseYearFive,FutureAmortizationExpenseYearFour,FutureAmortizationExpenseYearOne,FutureAmortizationExpenseYearThree,FutureAmortizationExpenseYearTwo,GainLossOnSaleOfBusiness,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillImpairmentLoss,GoodwillOtherChanges,GoodwillOtherIncreaseDecrease,GoodwillPurchaseAccountingAdjustments,GoodwillWrittenOffRelatedToSaleOfBusinessUnit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestments,IncomeTaxEffectsAllocatedDirectlyToEquityEmployeeStockOptions,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBillingInExcessOfCostOfEarnings,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInPensionAndPostretirementObligations,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestIncomeOther,InterestPaid,InterestPaidNet,InventoryNet,InvestmentIncomeInterest,Investments,LeaseholdImprovementsGross,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LettersOfCreditOutstandingAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LongTermDebtCurrent,LongTermDebtNoncurrent,LongTermLineOfCredit,LossContingencyAccrualAtCarryingValue,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,LossContingencyLossInPeriod,LossContingencyRangeOfPossibleLossPortionNotAccrued,LossContingencyReceivable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NumberOfReportableSegments,NumberOfReportableSegments,NumberOfReportableSegments,NumberOfReportingUnits,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostNetOfTax,OtherLiabilitiesNoncurrent,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForRepurchaseOfCommonStock,PaymentsForSoftware,PaymentsOfDebtIssuanceCosts,PaymentsOfDividends,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromDivestitureOfBusinesses,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,ProceedsFromIncomeTaxRefunds,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLifeInsurancePolicies,ProceedsFromLinesOfCredit,ProceedsFromLongTermLinesOfCredit,ProceedsFromPreviousAcquisition,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleAndMaturityOfOtherInvestments,ProceedsFromSaleOfOtherInvestments,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockOptionsExercised,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentUsefulLifeMaximum,PropertyPlantAndEquipmentUsefulLifeMinimum,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfLinesOfCredit,RepaymentsOfLongTermLinesOfCredit,RepaymentsOfSeniorDebt,RetainedEarningsAccumulatedDeficit,RevenueRemainingPerformanceObligation,Revenues,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SeniorLongTermNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardCompensationCost,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfAdditionalSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingPeriodIncreaseDecrease,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedInPeriodFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardPercentageOfOutstandingStockMaximum,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedWeightedAverageGrantDateFairValue,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedWeightedAverageGrantDateFairValue,ShortTermLeaseCost,StockholdersEquity,StockIssuedDuringPeriodSharesStockOptionsExercised,SubleaseIncome,TreasuryStockShares,TreasuryStockValue,UnbilledContractsReceivable,UnbilledReceivablesCurrent,UndistributedEarnings,UnearnedESOPShares,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsPeriodIncreaseDecrease,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,VariableLeaseCost,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense
2007-12-31,2008-03-17,10-K,ManTech International Corporation,MANT,CIK0000892537,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8048000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,2009-02-27,10-K,ManTech International Corporation,MANT,CIK0000892537,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375000.0,-3673000.0,,,,90299000.0,,,,,,,,,,,,,1565198000.0,,,,,,,,,,,8157000.0,,,,,,,,,,,,,,,,,,,,,,,,,17323000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6446000.0,6446000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152323000.0,,,,,,,,,,,149959000.0,,,59667000.0,,,,,,59888000.0,,,85000.0,,,,,,,,,,,-5352000.0,-3043000.0,223000.0,,62513000.0,,3978000.0,,,,,812000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-91777000.0,,-39162000.0,,127266000.0,,90292000.0,,,,,153358000.0,,,,,,,,,,,,,,,,,-29000.0,,,7000.0,,36000.0,,,-233000.0,,,2742000.0,0.0,,,36496000.0,,,5050000.0,,,,,,,5126000.0,,,,0.0,,,,,,,,,22677000.0,,,,,,,,,,,,1870879000.0,,,,6626000.0,,,,,,,,,,,,,,,,,,,,,,,,1961149.0,,35.75,,,,,,,,,,,,,,,,,,,,,,680536000.0,,,,,,,,,1516000.0,,,,,,,,,,,,
2009-06-30,2009-07-31,10-Q,ManTech International Corporation,MANT,CIK0000892537,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33441000.0,,,,,28536000.0,,,,,,,,,,,,,422242000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46953000.0,,,,,,,,,,,44627000.0,,,16095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,404000.0,,,,,47000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28532000.0,,,,,44873000.0,,,,,,,,,,,,,,,,,4000.0,,,4000.0,,0.0,,,111000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514068000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,2009-10-30,10-Q,ManTech International Corporation,MANT,CIK0000892537,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51830000.0,,,,,29230000.0,,,,,,,,,,,,,425566000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42627000.0,,,,,,,,,,,46419000.0,,,17181000.0,,,,,,,,,,,,,,,,,,,,,,,,,,214000.0,,,,,45000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29238000.0,,,,,46437000.0,,,,,,,,,,,,,,,,,-8000.0,,,-8000.0,,0.0,,,151000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-02-26,10-K,ManTech International Corporation,MANT,CIK0000892537,USD,157358000.0,,,,,-172000.0,362730000.0,,8300000.0,,,12600000.0,1200000.0,1100747000.0,496611000.0,,,7737000.0,,,,,,,,,,,,,,100000.0,100000.0,,,,86190000.0,81815000.0,,,,111732000.0,,,,,,,,,,,,,1668763000.0,57773000.0,313000.0,65754000.0,7668000.0,,,,,,,-201000.0,,,,,,,,,,,,,,0.0,,,33848000.0,,21065000.0,,,,22000000.0,4900000.0,17747000.0,,,,,,,0.0,,0.374,0.35,,,,-0.007,0.031,,55429000.0,0.0,,,,,1097000.0,3000000.0,1999308000.0,21026000.0,1121000.0,1121000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,172492000.0,488217000.0,,,,,,,,178610000.0,-102000.0,178508000.0,,1100000.0,66744000.0,66744000.0,,68900000.0,,,997000.0,,,-714000.0,,,,,,,,,,,4503000.0,6103000.0,-4640000.0,,-9296000.0,73684000.0,1141000.0,,868000.0,,,215000.0,,,,,,,,,,,,,283282000.0,1100747000.0,220524000.0,,,0.0,,,,,,,,-30418000.0,,-20014000.0,,132247000.0,,111764000.0,,,,,179079000.0,,,,,,,,,,,,,51400000.0,,,6672000.0,-32000.0,,,-32000.0,,0.0,6877000.0,,355000.0,,0.0,2218000.0,0.0,0.0,,13775000.0,,,4021000.0,22033000.0,,,,,,0.0,,,,0.0,,529125000.0,,,-44100000.0,0.0,,,12561000.0,,14498000.0,,,,399239000.0,573225000.0,,,464742000.0,,2020334000.0,,,,8289000.0,,0.0,2.92,,0.0148,0.4013,,,,,,,,6529000.0,31.81,207517.0,42.34,,1359500.0,,47.65,13.58,17643000.0,2718183.0,,41.85,,,,,,,,,,,,,,,,,,,,,,817465000.0,394949.0,,243040.0,9114000.0,,,111764000.0,1083000.0,1680000.0,8000.0,0.0,300000.0,,343000.0,,,171000.0,1400000.0,,,
2010-03-31,2010-04-30,10-Q,ManTech International Corporation,MANT,CIK0000892537,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564000.0,-80626000.0,,,,27533000.0,,,,,,,,,,,,,499566000.0,,,,,,,,,,,1099000.0,,,,,,,,,,,,,,,,,,,,,,,,,6773000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,459000.0,459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42759000.0,,,,,,,,,,,44301000.0,,,16760000.0,,1450000.0,,,,35870000.0,,,-549000.0,,,,,,,,,,,133000.0,-365000.0,179000.0,,30581000.0,,997000.0,,898000.0,,,128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,115650000.0,,-239063000.0,,42787000.0,,27541000.0,,,,,45232000.0,,,,,,,,,,,,,,,,,-22000.0,,,-8000.0,,14000.0,,,-62000.0,,0.0,725000.0,,,,236689000.0,,,1649000.0,,,,,,,,,,,,,,,,,,,,6891000.0,,,,,,,,,,,,587557000.0,,,,2684000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
