end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,DeferredCompensationLiabilityClassifiedNoncurrent,DeferredOfferingCosts,DerivativeLiabilitiesNoncurrent,DilutiveSecurities,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GainLossOnDerivativeInstrumentsNetPretax,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,MinimumNetWorthRequiredForCompliance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,PaymentsOfStockIssuanceCosts,PaymentsToAcquireRestrictedInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForServices,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityRedemptionPricePerShare,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-06-30,2021-08-24,10-Q,BLACK SPADE ACQUISITION CO,BSAQ,CIK0001851908,USD,,24569.0,,680989.0,,,7180.0,7180.0,7180.0,0.0,250000.0,,673809.0,,0.0,123434.0,0.0,,,,6811.0,,,680989.0,548139.0,678384.0,,61496.0,,-54316.0,-9242.0,,,,,0.0001,2000000.0,0.0,0.0,,,,61496.0,,-22395.0,,,,2605.0,25000.0,,,,0.0,0.0,3750000.0
2021-09-30,2021-11-16,10-Q,BLACK SPADE ACQUISITION CO,BSAQ,CIK0001851908,USD,176309.0,0.0,,171141997.0,2140332.0,169001665.0,1735948.0,1735948.0,,0.0,250000.0,5915000.0,,8156500.0,,0.0,,10138000.0,6004974.0,,,,14247809.0,171141997.0,,176309.0,5000001.0,,,,3374061.0,9404035.0,6029974.0,,,0.0001,2000000.0,0.0,0.0,404384.0,,,,25000.0,-12106234.0,0.0,,,-12105812.0,,,169000000.0,10.0,0.0,0.0,
2021-12-31,2022-02-28,10-K,BLACK SPADE ACQUISITION CO,BSAQ,CIK0001851908,USD,403521.0,0.0,,170870831.0,1863865.0,169006966.0,1569803.0,1569803.0,,0.0,250000.0,5915000.0,,13050400.0,,27250.0,,,,,,,19396171.0,170870831.0,,430771.0,,,,,,,,,,0.0001,2000000.0,0.0,0.0,294062.0,,,,,-17525762.0,,,,-17525340.0,,,169000000.0,,0.0,0.0,
