end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingExpense,AllowanceForNotesAndLoansReceivableCurrent,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,BenefitsLossesAndExpenses,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashEquivalentsAtCarryingValue,CashFlowsBetweenTransfereeAndTransferorProceedsFromNewTransfers,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentStateAndLocalTaxExpenseBenefit,CustomerDepositsCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DiscontinuedOperationTaxEffectOfAdjustmentToPriorPeriodGainLossOnDisposal,DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExaminationEstimateOfPossibleLoss,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredPensionCosts,IncreaseDecreaseInFuelInventories,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherExpenses,OtherNonoperatingIncomeExpense,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PublicUtilitiesInventory,RealEstateInvestmentPropertyAccumulatedDepreciation,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SecuritiesLoanedIncludingNotSubjectToMasterNettingArrangementAndAssetsOtherThanSecuritiesTransferred,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-05-31,2017-07-13,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,,,,1600.0,,6961.0,,,,,,12680.0,9760.0,,2716.0,2716.0,,,,,,,75000000.0,4381500.0,,0.001,,,,,,3044.0,,,,,0.0,,-2963.0,,,1522.0,,,,,,,,0.0,,,,15078.0,13556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12680.0,,,10053.0,3436.0,,,,,-1522.0,,15078.0,,,,,,,,,,1335.0,,,,,,2920.0,5709.0,,,,-8715.0,16600.0,,,,,,,517.0,4101902.0,4101902.0
2017-08-31,2017-12-06,10-K,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,,0.0,,,954.0,14969.0,,6900.0,-1472.0,,,36903.0,27272.0,-713.0,,4021.0,,,4021.0,,3440.0,0.001,75000000.0,4811500.0,4811500.0,4811.0,,,,,6030.0,6030.0,,0.0,,1472.0,0.0,4330.0,1472.0,,954.0,2098.0,,,,,,,,0.0,0.34,0.0,3885.0,22068.0,19970.0,,,,,,,,,-273.0,,0.0,713.0,,,,,,,-12908.0,-8303.0,-8303.0,,,0.0,,-12908.0,36903.0,,21453.0,21453.0,6700.0,36380.0,36380.0,-10585.0,-22355.0,-2098.0,,22068.0,,,,,,,,10585.0,,10343.0,,15780.0,,-2098.0,,9631.0,12908.0,-760.0,,,-4330.0,26000.0,,,15450.0,,,15780.0,713.0,4174597.0,4174597.0
2017-11-30,2018-01-16,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,,,,,,15444.0,,,,,,32437.0,23335.0,0.0,,10383.0,,,,,6362.0,,75000000.0,0.001,4836500.0,4837.0,,,,,6668.0,6668.0,,10150.0,,,0.0,,-6612.0,,529.0,-15116.0,,,,,,,,0.0,,,3885.0,22064.0,6948.0,,,-21536.0,,6419.0,,,,,,0.0,,,,,10150.0,,8034.0,8034.0,,2265.0,,,0.0,,,32437.0,,31603.0,,6700.0,500.0,500.0,0.0,5862.0,-21536.0,,22064.0,-15116.0,,,,,,,0.0,,8078.0,,500.0,,-15116.0,,9102.0,4874.0,,,,-19447.0,13616.0,,,833.0,,,500.0,5140.0,4835401.0,4835401.0
2018-02-28,2018-03-30,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,,360.0,,,,15444.0,,,,,,16056.0,7483.0,,,1279.0,,,,,,,75000000.0,4837.0,4836500.0,0.001,,,,,,6843.0,0.0,1700.0,,,0.0,,-5825.0,,,-8291.0,,,,,,,,0.0,,,3885.0,13069.0,5307.0,,,-13069.0,0.0,4778.0,0.0,,,,,,,,,,,,,,,,,,,,,16056.0,,23513.0,,6700.0,,,,,-13069.0,,13069.0,-13069.0,,,,,,,,,6173.0,,,,,,8573.0,31.0,,,,-27738.0,12150.0,,,-7458.0,,,,,4836500.0,4836500.0
2018-05-31,2018-08-09,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,10247.0,,,,,25404.0,,,,,,,,,,,,,,,,0.001,75000000.0,4836500.0,4836500.0,4836.0,,,,,,,,,,,,,,,,12749.0,,,,,,,,0.0,,,,12220.0,,,,-12220.0,0.0,-529.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10247.0,,,,,,,-12220.0,,12220.0,-12220.0,,,,,,,,,,,,,,12573.0,,,,,,-40487.0,,,,-10247.0,,,,,,4836500.0
2018-08-31,2018-11-29,10-K,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,12821.0,,,,,30404.0,,4600.0,,,,,,,,0.0,-4021.0,,,14960.0,-4021.0,0.001,75000000.0,4836500.0,4836500.0,4836.0,,,,,13511.0,,,,,-10635.0,,-50643.0,10635.0,,2081.0,46313.0,,,,,,,2582.0,-0.01,0.21,,,56487.0,12255.0,-56487.0,-56487.0,,-0.01,10174.0,0.0,,,-6021.0,,,9163.0,13181.0,,,1700.0,,,12877.0,,5321.0,,,,,31.0,15403.0,,15403.0,,,7132.0,,,-11153.0,-46313.0,,56487.0,,83501.0,,,,,,,,,13232.0,500.0,,-56487.0,12573.0,,,,,-6600.0,-79833.0,25766.0,,,-15403.0,,,500.0,,,4836158.0
2018-11-30,2019-01-14,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,17858.0,,,,,30404.0,,,,,,,,,,,,,,,,0.001,75000000.0,4836500.0,4836500.0,4836.0,,,,,,,,,,,,,,,,,,,,,,,6101.0,0.0,,,,8556.0,,-8556.0,-8556.0,-8556.0,,,,,,,,,,5037.0,,,,,,,,,,,,,,,,23959.0,,,3519.0,,,-3519.0,-8556.0,,8556.0,-8556.0,,,,,,,,,,3519.0,,,-8556.0,,,,,,,-59199.0,,,,-23959.0,,,,,,4836500.0
2019-02-28,2019-06-26,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,12063.0,,498.0,,,26101.0,,,,,,551.0,551.0,,,53.0,,,,,,0.001,75000000.0,4836500.0,4836500.0,4836.0,,,,,,,,,,,,,,,,,,,,,,,27463.0,0.0,,,,11213.0,,,-10713.0,-10713.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,551.0,,39526.0,,,,,,,-5318.0,,11213.0,-10713.0,,,,,,-4303.0,,,,,,,-10713.0,,,,,,,-99102.0,500.0,,,-33580.0,,,,,,4836500.0
2019-05-31,2019-07-12,10-Q,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,14325.0,,418.0,,,26101.0,,,,,,1208.0,1208.0,,,790.0,,,790.0,,,0.001,75000000.0,4836500.0,4836500.0,4836.0,,,,,,,,,,,,,,,,,,,,,,,31176.0,0.0,,,,6475.0,,,-5318.0,-5318.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,45501.0,1208.0,,,,,,,,-5318.0,,6475.0,-5318.0,,,0.0,,,,,,,,,,,,,,,,,-104420.0,1157.0,,,-38898.0,,,,,,4836500.0
2019-08-31,2019-11-29,10-K,"NANOVATION MICROTECH, INC.",NANN,CIK0001685570,USD,8650.0,,478.0,0.0,,30856.0,,,,,0.0,2326.0,2326.0,,1848.0,1848.0,1848.0,,,,,0.001,75000000.0,80616.0,80616.0,81.0,0.0,0.0,0.0,,,,,,,-17535.0,0.0,-83501.0,17535.0,0.0,,,,,,,,,46240.0,-0.41,0.21,,,35632.0,,-32858.0,-32858.0,,-0.01,,,,0.0,,0.0,,,-8527.0,-478.0,0.0,,,,,,,0.0,,,0.0,,54890.0,2326.0,,,,43658.0,,53.0,-41863.0,-32858.0,,35632.0,,,,0.0,,-53.0,-4303.0,,-4303.0,,43658.0,,0.0,-32858.0,,,,,,,-112691.0,2774.0,,,-52564.0,,,,,,80616.0
