end,filed,form,Name,Ticker,CIK,Currency,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommitmentsAndContingencies,DeferredOfferingCosts,FairValueAdjustmentOfWarrants,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersNet,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PaymentsToAcquireTrustPreferredInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,TemporaryEquityAccretionToRedemptionValue,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WarrantsAndRightsOutstanding
2021-03-31,2021-06-01,10-Q,ALTIMAR ACQUISITION CORP. III,ATAQ,CIK0001841004,USD,0.0,157778839.0,2528269.0,155250570.0,1474682.0,1474682.0,1474682.0,,0.0,250000.0,,,44766.0,0.0,0.0,39759.0,1053587.0,570.0,14937027.0,157778839.0,157825324.0,-155250000.0,-1100642.0,-344946.0,-253132.0,-91814.0,381575.0,155250000.0,0.0001,5000000.0,0.0,0.0,0.0,1053587.0,152145000.0,6105000.0,-344946.0,43101.0,-12408576.0,,-12408188.0,25000.0,12088242.0,0.0,0.0,9463518.0
2021-06-30,2021-08-12,10-Q,ALTIMAR ACQUISITION CORP. III,ATAQ,CIK0001841004,USD,0.0,157535704.0,2282774.0,155252930.0,1371642.0,,1371642.0,,,250000.0,0.0,,2687005.0,,0.0,,,2360.0,17734335.0,157535704.0,,,,-3040443.0,-2684645.0,-355798.0,,,0.0001,5000000.0,0.0,0.0,0.0,911132.0,,,,,-15449019.0,,-15448631.0,,,0.0,0.0,12150523.0
2021-09-30,2021-11-10,10-Q,ALTIMAR ACQUISITION CORP. III,ATAQ,CIK0001841004,USD,0.0,157260602.0,2005286.0,155255316.0,1210184.0,,1210184.0,,,250000.0,,,-833442.0,,0.0,,,2386.0,16945069.0,157260602.0,,,,514164.0,835828.0,-321664.0,,,0.0001,5000000.0,0.0,0.0,0.0,795102.0,,,,,-14934855.0,,-14934467.0,,,0.0,0.0,11317081.0
2021-12-31,2022-03-04,10-K,ALTIMAR ACQUISITION CORP. III,ATAQ,CIK0001841004,USD,0.0,157066186.0,1808162.0,155258024.0,1147287.0,,1147287.0,1147287.0,,250000.0,,,452317.0,,0.0,172908.0,660875.0,8024.0,15477727.0,157066186.0,157825324.0,-155250000.0,-1428037.0,-1598299.0,-653229.0,-945070.0,381575.0,155250000.0,0.0001,5000000.0,0.0,0.0,0.0,660875.0,152145000.0,6105000.0,-1598299.0,43101.0,-13661929.0,,-13661541.0,25000.0,12088242.0,0.0,0.0,9871069.0
