end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableGrossCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AccumulatedDistributionsInExcessOfNetIncome,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapitalCommonStock,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfServicesDirectLabor,DepreciationNonproduction,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDispositionOfProperty,GainLossOnSaleOfEquityInvestments,GainOrLossOnSaleOfStockInSubsidiary,GoodwillAndIntangibleAssetImpairment,GrossProfit,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInFinishedGoodsAndWorkInProcessInventories,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseRelatedParty,InterestIncomeDomesticDeposits,InterestPaidNet,InventoryFinishedGoods,InvestmentIncomeInterestAndDividend,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToNoncontrollingInterest,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,OtherCostOfServices,OtherGeneralAndAdministrativeExpense,OtherOperatingIncome,OtherPrepaidExpenseCurrent,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquireLongtermInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidTaxes,ProceedsFromMaturitiesPrepaymentsAndCallsOfLongtermInvestments,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleMaturityAndCollectionOfLongtermInvestments,ProceedsFromSaleOfLongtermInvestments,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfBankDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,Revenues,StockholdersEquity,TaxesPayableCurrent,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-04-15,10-K,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,,,,,,,,,,,,,,378671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514110.0,,
2010-06-30,2010-08-23,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,,,,,,,,,,,51412.0,,,503892.0,,,,,,,575562.0,575562.0,108228.0,4343.0,,0.4454,,,,,,,,460153.0,,-31963.0,-31963.0,-0.0247,607525.0,,,0.4701,,,,,,,,,,,,,,,,,12301.0,,,,,62.0,,,,,,,575562.0,,-26663.0,,,,,241040.0,81793.0,6939.0,,,,,,,,,,,,,,,,,,,,,,,1292166.0
2010-09-30,2010-11-15,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,,,,,,,,,,,51413.0,,,599724.0,,,,,,,-31372.0,-31372.0,34966.0,4365.0,,-0.0243,,,,,,,,230986.0,,-31372.0,-31372.0,-0.0243,,,,,,,,,,,,,,,,,,,,,-12041.0,,,,,286.0,,,,,,,-31372.0,,-33067.0,,,,,142723.0,30586.0,13450.0,,,,,,,,,,,,,,,,,,,,,,,1292166.0
2010-12-31,2011-04-15,10-K,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,57416.0,114511.0,641080.0,351807.0,5944.0,284204.0,18861.0,-319.0,90329.0,2009454.0,205651.0,1716824.0,1014052.0,209304.0,-169367.0,0.001,300000000.0,1292166.0,1292166.0,1292.0,43278.0,26039.0,186416.0,18593.0,382834.0,0.0209,7908.0,,16412.0,,-607525.0,405018.0,441176.0,,834.0,-573014.0,,-0.4428,599053.0,131.0,,0.4637,26039.0,,,29489.0,323483.0,-152846.0,10163.0,-25052.0,,441176.0,-90201.0,33240.0,-5346.0,2038.0,-135135.0,660000.0,44420.0,50426.0,3972.0,,7856.0,3969.0,1716824.0,1097211.0,-541253.0,117459.0,246519.0,27004.0,27004.0,2051649.0,-589353.0,20194.0,-16274.0,,16274.0,912661.0,237797.0,56790.0,6624.0,-342793.0,294118.0,17676.0,0.001,5000000.0,0.0,0.0,29489.0,,,817647.0,,42772.0,49355.0,127628.0,413625.0,-1481781.0,1481781.0,1462296.0,619613.0,,1292166.0
2011-03-31,2011-05-16,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,,,,,,,4512.0,,,,29798.0,,,333705.0,124401.0,,,,,,-56175.0,-56175.0,22745.0,4512.0,,-0.04,,,,,,,,,,-56175.0,,-0.04,,,,,-56175.0,,,,43833.0,22879.0,1656.0,-464.0,,,4707.0,-45342.0,-11079.0,,,,,,,,,411.0,,,130076.0,,-5675.0,,-56175.0,239027.0,-61048.0,,,,,102411.0,79561.0,4462.0,,,,,,,,,,,130076.0,,,,,,,,,177979.0,,,1292166.0
2011-06-30,2011-08-15,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,36148.0,276501.0,733370.0,339160.0,412505.0,262208.0,,-319.0,109450.0,2009454.0,31266.0,1766707.0,1117669.0,263586.0,,0.001,300000000.0,1292166.0,1292166.0,1292.0,-104958.0,-124079.0,20841.0,5457.0,,-0.096,,,,,,,,235454.0,,-124079.0,-124079.0,-0.096,,,,,,,,,,,,,,,,,,,,615182.0,,,,,13513.0,93.0,1766707.0,1308227.0,,,,,-124079.0,,-128905.0,48145.0,-19121.0,,,126802.0,179993.0,4733.0,6762.0,,,,0.001,5000000.0,0.0,0.0,33998.0,,,,,33856.0,,,,,-1662035.0,,458480.0,,1292166.0
2011-09-30,2011-11-21,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,33127.0,281511.0,796397.0,328144.0,6026.0,281300.0,,-319.0,116655.0,2009454.0,30532.0,1699557.0,1076449.0,632364.0,,0.001,300000000.0,1292166.0,1292166.0,1292.0,-151258.0,-158463.0,34433.0,4984.0,,-0.1226,,,,,,,,242769.0,,-139492.0,-158463.0,-0.1226,,,,,,-18971.0,,,,,,,,,,,,,,593785.0,,,,,15117.0,282.0,1699557.0,1392335.0,,,,,-158463.0,,-144811.0,49003.0,-7205.0,,,181290.0,136341.0,5037.0,15108.0,,,,0.001,5000000.0,0.0,0.0,30687.0,,,,,29323.0,,,,,1820498.0,,307222.0,,1292166.0
2011-12-31,2012-04-16,10-K,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,8202.0,368610.0,803112.0,332461.0,6231.0,284768.0,18266.0,-319.0,114250.0,2009454.0,122991.0,1796895.0,1264278.0,866342.0,657038.0,0.001,300000000.0,1292166.0,1292166.0,1292.0,-297733.0,-321654.0,109407.0,18266.0,,-0.2489,-8027.0,,,,,,66621.0,,,-261961.0,,-0.2489,,,,,-321654.0,-59693.0,19105.0,,130979.0,36388.0,3828.0,39812.0,,66621.0,-13384.0,-26768.0,-50566.0,,,503372.0,,,1189.0,,4409.0,1189.0,1796895.0,1475015.0,658552.0,,6513.0,,-321654.0,1355438.0,-339445.0,47940.0,-23921.0,,23921.0,509810.0,528343.0,76295.0,6895.0,-321654.0,,,0.001,5000000.0,0.0,0.0,,,,,,29245.0,,,-658552.0,-1803435.0,,1015993.0,321880.0,10323.0,1292166.0
2012-03-31,2012-05-15,10-Q,"SMARTPAY EXPRESS, INC.",BWVI,CIK0001310291,USD,8238.0,320044.0,842034.0,380612.0,6259.0,294948.0,4742.0,-319.0,115647.0,2009454.0,31417.0,1955663.0,1457321.0,990294.0,123952.0,0.001,300000000.0,1292166.0,1292166.0,1292.0,117360.0,115963.0,39380.0,4742.0,,0.09,3741.0,,,478.0,,,,,,156783.0,,0.09,,,,,115963.0,-40820.0,,,35417.0,-46701.0,1362.0,40791.0,,,8937.0,-22020.0,,,,474175.0,,,,,3066.0,317.0,1955663.0,1516423.0,-50175.0,,170386.0,115963.0,115963.0,221762.0,97153.0,70169.0,-1397.0,1397.0,,49601.0,96622.0,59313.0,6921.0,,,,0.001,5000000.0,0.0,0.0,,,-50175.0,,,24167.0,,,,-1687472.0,,318915.0,439240.0,51159.0,1292166.0
