end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,CostOfGoodsAndServicesSold,CurrentIncomeTaxExpenseBenefit,CustomerAdvancesAndDeposits,CustomerDepositsCurrent,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationDepletionAndAmortization,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestructuringReserve,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryNoncurrent,InventoryRawMaterials,LeaseAndRentalExpense,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementAmountAwardedToOtherParty,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherGeneralExpense,OtherIntangibleAssetsNet,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,PublicUtilitiesPropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageExpectedDividend,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2010-02-28,2010-06-16,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,2010-10-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,39000.0,,-39000.0,,,,,,,,,,,,,,,,,,7000.0,,,,,,,,,,,,,,,,,,,-46000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179000.0
2010-11-30,2011-01-13,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,13000.0,,,,,,,,,,,,,,,,,,,,8000.0,,,,,,,,,,,,,,,,,,,-21000.0,,,,,,,,-13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2011-02-28,2011-06-14,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,385000.0,,68000.0,,33000.0,,,27180000.0,,,,10000.0,,7000.0,7000.0,1000.0,,1000.0,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,61000.0,,,,,,,,,,,,30000.0,,,,,,,,,,,,10000.0,729000.0,,,,,-49000.0,-110000.0,,311000.0,,,,,,-80000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,50000.0,,-110000.0,,,,,,,-27900000.0,0.0,,80000.0,,,,,-719000.0,,,,,,
2011-05-31,2011-07-14,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,,,,3000.0,-4000.0,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,16000.0,,,,,,,,3000.0,,,,9000.0,,,,,,,,,,,,,,,,,,-4000.0,-23000.0,,,,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23000.0,,,,,,,,0.0,,14000.0,,,,,,,,,,1179000.0,
2011-08-31,2011-10-11,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,386000.0,,,,38000.0,,,27180000.0,,0.0,,16000.0,,7000.0,7000.0,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,11000.0,,-11000.0,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,,,,,16000.0,778000.0,,,,,,-20000.0,,354000.0,,,,,,-11000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,,,,9000.0,,,,,,,,,,,-27943000.0,,,11000.0,,,,,-762000.0,,,,,1179000.0,1179000.0
2011-11-30,2012-01-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,391000.0,,68000.0,,38000.0,,,27180000.0,,0.0,,8000.0,,2000.0,3000.0,,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,13000.0,,,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,,,,,8000.0,792000.0,,,,,,-22000.0,,363000.0,,,,,,-13000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,6000.0,,,,,,,,,,,-27965000.0,0.0,,13000.0,,,,,-784000.0,,,,,1179000.0,
2012-02-29,2012-06-11,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,391000.0,,68000.0,,32000.0,,,27180000.0,,,,10000.0,,7000.0,7000.0,,,1000.0,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,41000.0,,,,,,,,,,14000.0,,37000.0,,,,,,,,,,,,10000.0,813000.0,,,,,-43000.0,-84000.0,,390000.0,,,,,,-47000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,43000.0,-84000.0,,,,,,,-27984000.0,,,47000.0,,,,,-803000.0,,,,,1179000.0,
2012-05-31,2012-07-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,393000.0,,68000.0,,37000.0,,,27180000.0,,0.0,,4000.0,,4000.0,4000.0,-3000.0,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,17000.0,,,,,,,,3000.0,,0.0,,10000.0,,,,,,,,,,,,4000.0,830000.0,,,,,-3000.0,-23000.0,,400000.0,,,,,,-13000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,0.0,,,,-23000.0,,,,,,,-28007000.0,0.0,,13000.0,,,,,-826000.0,,,,,1179000.0,
2012-08-31,2012-10-16,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,395000.0,,68000.0,,39000.0,,,27180000.0,,0.0,,19000.0,,10000.0,10000.0,,,1000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,19000.0,869000.0,,,,,,-24000.0,,435000.0,,,,,,-14000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,9000.0,,,,,,,,,,,-28031000.0,,,14000.0,,,,,-850000.0,,,,,1179000.0,
