end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesAndOtherLiabilities,Assets,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ContractsReceivableClaimsAndUncertainAmounts,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeLiability,DerivativeGainLossOnDerivativeNet,GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,IncomeLossAttributableToParent,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedLiabilities,InterestExpense,InterestIncomeOperating,InvestmentOwnedAtCost,InvestmentOwnedPercentOfNetAssets,InvestmentsFairValueDisclosure,Liabilities,LiabilitiesAndStockholdersEquity,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NotionalAmountOfCreditRiskDerivatives,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,OtherOperatingIncome,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountDistributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnits,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PaymentForIncentiveFee,TradingSecuritiesUnrealizedHoldingGainLoss,UnrealizedGainLossOnDerivativesAndCommodityContracts
2011-12-31,2012-03-30,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,33464386.0,17552372.0,,,,,,,,,,,,,,,,,7070964.0,,,,,,,,,,,,,,,
2012-06-30,2012-08-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,32185895.0,-40726313.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2012-09-30,2012-11-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,26545389.0,23064903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2013-04-01,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,33174310.0,26759291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,2013-05-15,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,36125125.0,32780134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2013-08-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,75463063.0,76895906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,2013-11-14,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,54962768.0,61816416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2014-03-31,10-K,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,84058532.0,69831869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,2014-05-15,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,82080686.0,74581016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2014-08-13,10-Q,MAN AHL DIVERSIFIED I LP,MADL,CIK0001052354,USD,,,,,,48137207.0,39600015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
