end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DueToOfficersOrStockholdersCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherGeneralAndAdministrativeExpense,OtherSellingGeneralAndAdministrativeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,StockholdersEquity,TaxAdjustmentsSettlementsAndUnusualProvisions,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-12-31,2015-03-27,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,8686.0,1760158.0,,,0.0,,0.0,0.001,200000000.0,12481724.0,12481724.0,12482.0,12482.0,16122.0,16122.0,,,364136.0,0.0,364136.0,18425.0,0.0,0.0,,,,153.0,-17546.0,,,,,1264.0,,,16282.0,,,1618.0,4809.0,48042.0,,30422.0,16122.0,16122.0,16282.0,-16282.0,-17546.0,,15928.0,-15928.0,,,0.001,50000000.0,0.0,0.0,,,,,15775.0,-17546.0,-1820682.0,,,-48042.0,,,12481724.0
2015-03-31,2015-05-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,11312.0,1760158.0,,,,,,0.001,200000000.0,12481724.0,12481724.0,,12482.0,,,,,,,,26431.0,0.0,0.0,,,,,-12528.0,,,,,3002.0,,,9526.0,,,398.0,5207.0,59072.0,,42950.0,16122.0,16122.0,9526.0,-9526.0,,,12130.0,-12130.0,,,0.001,50000000.0,,0.0,,,,9525.0,12130.0,-12528.0,-1831712.0,,,-59072.0,,,12481724.0
2015-06-30,2015-08-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,9866.0,1760158.0,,,,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,,,,,,,40452.0,0.0,,,,,0.0,-3509.0,,,,,,,,,,,402.0,5609.0,62582.0,,46460.0,16122.0,16122.0,,,,,3107.0,-3107.0,,,0.001,50000000.0,,,,,,,3107.0,-3509.0,-1835221.0,,,-62581.0,,,12481724.0
2015-09-30,2015-11-13,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,10712.0,1760158.0,,,,,0.0,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,34047.0,0.0,0.0,,,,,-4317.0,,,,,,,,,,,407.0,6016.0,66897.0,,,,,,,,,3910.0,-3910.0,,,0.001,50000000.0,,,,,,,3910.0,-4317.0,-1839537.0,,,-66897.0,,,12481724.0
2015-12-31,2016-04-14,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,20440.0,1760158.0,0.0,0.0,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,371215.0,0.0,371215.0,40452.0,0.0,0.0,0.0,,0.2,948.0,-35394.0,,0.0,,,-13367.0,,,22027.0,,,1627.0,6422.0,83436.0,0.0,,,,22027.0,-22027.0,-35394.0,,33767.0,-33767.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,32819.0,-35394.0,-1856076.0,,0.0,-83437.0,,12481724.0,12481724.0
2016-03-31,2016-05-13,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,15033.0,1760158.0,,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,60111.0,0.0,0.0,,,,852.0,-14654.0,,0.0,,,-5005.0,,,19659.0,,,402.0,6824.0,98090.0,,,,,19659.0,-19659.0,,,14252.0,-14252.0,852.0,,0.001,50000000.0,0.0,,,,,,13400.0,-14654.0,-1870730.0,,0.0,-98090.0,0.0,12481724.0,12481724.0
2016-06-30,2016-08-15,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,11204.0,1760158.0,,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,64864.0,0.0,,,,,207.0,-1971.0,,0.0,,,,,,,,,402.0,7227.0,99417.0,,,,,,,,,1569.0,-1569.0,,,0.001,50000000.0,0.0,,,,,,1362.0,-1971.0,-1872057.0,,0.0,-99417.0,,12481724.0,12481724.0
2016-09-30,2016-11-14,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,12303.0,1760158.0,,,0.0,,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,,,,,,73257.0,0.0,,,,,88.0,-9897.0,,0.0,,,,,,,,,407.0,7633.0,109315.0,,,,,,,,,9490.0,-9490.0,,,0.001,50000000.0,0.0,,,,,,9402.0,-9897.0,-1881955.0,,0.0,-109315.0,,12481724.0,12481724.0
2016-12-31,2017-03-31,10-K,New Century Resources Corporation,NCRE,CIK0001104462,USD,15346.0,1760158.0,0.0,0.0,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,,378235.0,0.0,378235.0,79026.0,0.0,,,0.0,,1294.0,-35098.0,,0.0,,,-3476.0,,,38574.0,,,1618.0,8040.0,118534.0,0.0,,,,38574.0,-38574.0,,,33480.0,-33480.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,32186.0,-35098.0,-1891174.0,,0.0,-118535.0,0.0,12481724.0,
2017-03-31,2017-05-22,10-Q,New Century Resources Corporation,NCRE,CIK0001104462,USD,12071.0,1760158.0,0.0,,0.0,0.0,,0.001,200000000.0,12481724.0,12481724.0,12482.0,,,16122.0,0.0,,,,,87445.0,0.0,,,,,148.0,-5541.0,,0.0,,-3275.0,-2877.0,,398.0,8418.0,,,398.0,8437.0,124075.0,0.0,,,,8418.0,-8418.0,,,5143.0,-5143.0,,,0.001,50000000.0,0.0,0.0,0.0,,,,4995.0,-5541.0,-1896715.0,0.0,0.0,-124075.0,0.0,12481724.0,
