end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableRelatedParties,AdditionalPaidInCapital,AdministrativeFeesAmountPaid,AdministrativeFeesExpense,AdvertisingExpense,AmortizationOfFinancingCosts,Assets,AssetsCurrent,BankingFeesAndCommissions,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,ContractAdministrationExpense,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExchangeFees,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesAdditions,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LoansPayable,LoansPayableCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpenseDistributionAndServicingFees,OperatingExpenses,OperatingIncomeLoss,OtherGeneralAndAdministrativeExpense,PartnersCapitalAccountUnitsConverted,PreferredStockShareSubscriptions,PrincipalAmountOutstandingOnLoansSecuritized,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromOperatingActivities,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,SecuritiesSoldUnderAgreementsToRepurchaseCollateralRightToReclaimSecurities,ServiceManagementCosts,ShareholderLoansToFinanceLeveragedBuyout,SharesIssued,StockholdersEquity,SubscriptionRevenue,WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2008-07-31,2008-10-28,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28049.0,,,,,,,,,,,,,,,,,,35000000.0,2051.0,,,,
2009-07-31,2009-11-12,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13776.0,,,,,,,,,,,,,,,,,,35000000.0,-11725.0,,,,
2010-04-30,2010-06-11,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,,,,,,,,,35000000.0,,,,35000000.0,35000000.0,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,2010-11-15,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,2602.0,,27000.0,,,,19.0,41.0,41.0,,41.0,41.0,,-19.0,,0.001,,75000000.0,5000.0,5000000.0,,,,5000.0,,-47444.0,,0.0,0.0,3719.0,2100.0,41.0,15485.0,12882.0,,,,,,1600.0,1619.0,-3719.0,,,3719.0,,,,,0.0,,,,3700.0,,,,0.0,-1600.0,35000000.0,-15444.0,,10000000.0,,
2010-10-31,2010-12-17,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,0.0,,,,41.0,,,0.0,,,,,5000000.0,35000000.0,,,,,,,,0.0,0.0,2000.0,2000.0,,,,,,,,,0.0,0.0,-2000.0,,,2000.0,,,,,0.0,,,,2000.0,,,,0.0,0.0,,,,,,5000000.0
2011-01-31,2011-03-22,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,0.0,,,,41.0,,,,,,,,,,,,,,,,,0.0,0.0,2000.0,,,,,,,,,,,,-2000.0,,,,,,,,,,,,2000.0,,,,0.0,,,,,,,5000000.0
2011-04-30,2011-06-23,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,600.0,,,,,,,,,,,,-600.0,,,,,,,,,,,,600.0,,,,,,,,,,,35000000.0
2011-07-31,2011-11-15,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,6402.0,,27000.0,,,,0.0,0.0,0.0,,41.0,0.0,,-41.0,,0.001,,75000000.0,5000.0,,,,35000.0,5000.0,,-51244.0,,0.0,0.0,4400.0,3800.0,0.0,19244.0,12841.0,,,,,,41.0,0.0,-4400.0,,,-3800.0,,,,,0.0,,,,4400.0,,,,0.0,-41.0,35000000.0,-19244.0,,70000000.0,,
2011-10-31,2011-12-15,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,8402.0,,27000.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.001,,75000000.0,5000.0,,,,5000.0,,,-53244.0,,0.0,0.0,2000.0,2000.0,0.0,21244.0,12841.0,,,,,,0.0,0.0,-2000.0,,,-2000.0,,,,,0.0,,,,2000.0,,,,0.0,0.0,,-21244.0,,35000000.0,,5000000.0
2012-01-31,2012-03-20,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,9672.0,,27000.0,,,,0.0,0.0,0.0,,41.0,0.0,,,,,,,,,,,5000.0,,,-54514.0,,0.0,0.0,1270.0,,0.0,22514.0,12841.0,,,,,,,,-1270.0,,,,,,,,,,,,1270.0,,,,0.0,,,-22514.0,,,,35000000.0
2012-04-30,2012-06-14,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,12205.0,,-3000.0,278.0,,,,1154.0,1154.0,,1155.0,1154.0,,,35000000.0,0.001,,125000000.0,35000.0,35000000.0,,,35000.0,,,-55892.0,,0.0,278.0,1378.0,,1154.0,25046.0,12841.0,,,,,,,,-1378.0,,,,,,,,,,,,1100.0,,,,,,,-23892.0,,,,35000000.0
2012-07-31,2012-11-13,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,15455.0,,27000.0,,1698.0,,,584.0,584.0,,584.0,584.0,-584.0,584.0,,0.001,,125000000.0,5000.0,35500000.0,,100000.0,5000.0,5000.0,,-60296.0,,0.0,,13096.0,9636.0,584.0,28880.0,13425.0,,,,,,0.0,584.0,-13096.0,,,-9052.0,1698.0,,-100000.0,,,,,,11398.0,,71704.0,,,,35500000.0,-28296.0,,71000000.0,,70500000.0
2012-10-31,2012-12-26,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,23354.0,,27000.0,,0.0,0.0,0.0,55.0,55.0,,54.0,55.0,-529.0,-529.0,,0.001,,75000000.0,35000000.0,35000000.0,,100000.0,,5000.0,,-68724.0,,0.0,0.0,2550.0,7900.0,55.0,36779.0,13425.0,,,,13425.0,,,-529.0,-2550.0,,,-8429.0,,,-100000.0,,,,,,2550.0,,,,529.0,,,-36724.0,,35000000.0,,35500000.0
2013-01-31,2013-03-25,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,28300.0,,27000.0,,,,,,,,0.0,,,,,0.001,,75000000.0,5000.0,,,100000.0,5000.0,,,-73725.0,13425.0,0.0,,5000.0,,,41725.0,13425.0,,,,,,,,-5000.0,,-600.0,,,,-100000.0,,,,,,600.0,,,,,,,-41725.0,,,35500000.0,35000000.0
2013-04-30,2013-06-17,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,33900.0,,27000.0,,120.0,,,,,,0.0,,,,,0.001,,75000000.0,5000.0,,,100000.0,5000.0,,,-79325.0,13425.0,0.0,,1320.0,,,47325.0,13425.0,,,,,,,,-1320.0,,,,,,-100000.0,,,,,,1200.0,,,,,,,-47325.0,,,,35500000.0
2013-07-31,2013-11-13,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,34400.0,,27000.0,,938.0,1000.0,,0.0,0.0,,0.0,0.0,-584.0,-584.0,,0.001,-100000.0,125000000.0,35500000.0,,100000.0,100000.0,5000.0,5000.0,,-79825.0,13425.0,-0.0006,550.0,34588.0,18945.0,0.0,47825.0,13425.0,,,20425.0,13425.0,,,-584.0,-34588.0,,,-19529.0,,,-100000.0,,,,,,32100.0,,,,,,35500000.0,-47825.0,,,,70500000.0
2013-10-31,2013-12-19,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,20425.0,,27000.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.001,,75000000.0,5000000.0,,,100000.0,5000.0,,,-65850.0,13425.0,0.0,0.0,0.0,,0.0,33850.0,13425.0,,,,,,,,0.0,,,0.0,,,-100000.0,,,,,,0.0,,,,,,,-33850.0,,,,35500000.0
2014-04-30,2014-05-28,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,24146.0,,27000.0,,923.0,923.0,,,,,,,,,,0.001,,75000000.0,35500000.0,,,100000.0,5000.0,,,-69571.0,13425.0,0.0,,1523.0,,,37571.0,13425.0,,,,,,,,-1523.0,,,,,,-100000.0,,,,,,600.0,,,,,,,-37571.0,,,,35500000.0
2014-07-31,2014-10-16,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,38121.0,,26500.0,,346.0,775.0,,0.0,,,0.0,,,,,,,125000000.0,,,,,5500.0,,,-83546.0,,0.0001,,3721.0,3721.0,0.0,51546.0,13425.0,,,,,,,,-3721.0,,,-3721.0,,,-100000.0,13425.0,,,,,2600.0,,-83546.0,,,,,-51546.0,,,,71000000.0
2014-10-31,2014-12-01,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,44439.0,,27000.0,,,1168.0,,0.0,,,0.0,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5000.0,,,-89864.0,,0.0,,6317.0,6317.0,0.0,57864.0,13425.0,,,,,,,,-6317.0,,,-6317.0,,,-100000.0,,,,,,5149.0,,,,,,,-57864.0,,,,35500000.0
2015-01-31,2015-03-17,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46991.0,,27000.0,,,1302.0,,0.0,,,0.0,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5000.0,,,-92416.0,,0.0,,2552.0,,0.0,60416.0,13425.0,,,,,,,,-2552.0,,,,,,-100000.0,,,,,,1250.0,,,,,,,-60416.0,,,,35500000.0
2015-04-30,2015-06-12,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,0.0,,,0.0,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,-92415.0,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,,,,,,-60415.0,,,,35500000.0
2015-07-31,2015-11-12,10-K,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,2470.0,,0.0,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0002,,8869.0,8869.0,0.0,60415.0,13425.0,,,,,,,,-8869.0,,,-8869.0,,,-100000.0,,,,,,6399.0,,-92415.0,,,,,-60415.0,,,,35500000.0
2015-10-31,2015-12-16,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
2016-01-31,2016-03-17,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
2016-04-30,2016-06-21,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,0.0,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
2016-10-31,2016-12-15,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,0.0,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
2017-01-31,2017-06-20,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,0.0,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
2017-04-30,2017-06-20,10-Q,EMO CAPITAL CORP.,NUVI,CIK0001410708,USD,46990.0,,26500.0,,,,,0.0,,,,,,,,0.001,,125000000.0,35500000.0,,,100000.0,5500.0,,,,,0.0,,,,0.0,60415.0,13425.0,,,,,,,,,,,,,,-100000.0,,,,,,,,-92415.0,,,,,-60415.0,,,,35500000.0
