end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableFairValueDisclosure,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContributionOfProperty,CostsAndExpenses,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxLiabilities,EarningsPerShareBasicAndDiluted,ForeignCurrencyTransactionGainLossRealized,GeneralAndAdministrativeExpense,GoodwillForeignCurrencyTranslationGainLoss,IncomeLossFromContinuingOperations,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncontrollingInterestIncreaseFromBusinessCombination,OperatingCostsAndExpenses,OperatingExpenses,OtherComprehensiveIncomeLossTax,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,RestrictedStockExpense,ResultsOfOperationsIncomeBeforeIncomeTaxes,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TradingSecurities,UnrealizedGainLossOnForeignCurrencyDerivativesNetBeforeTax,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsReceivableNetCurrent,AdvancesOnInventoryPurchases,ConstructionInProgressGross,CostOfRevenue,Depreciation,DepreciationAndAmortization,DueFromRelatedParties,EarningsPerShareBasic,GrossProfit,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInventoriesAndOtherOperatingAssets,InterestAndOtherIncome,InterestIncomeExpenseNet,InterestPaid,LandImprovements,MinorityInterest,OtherComprehensiveIncomeLossBeforeTax,OtherOperatingIncomeExpenseNet,PrepaidExpenseCurrentAndNoncurrent,PropertyPlantAndEquipmentNet,Revenues,SecurityDeposit,TaxesPayableCurrentAndNoncurrent
2020-07-31,2020-09-18,10-Q,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,,,1850.0,4510.0,,,,0.0,0.0,0.0,0.001,15000000.0,10000000.0,10000000.0,10000.0,1625.0,1850.0,,,0.0,,1850.0,366.0,,0.0,,,225.0,,0.0,,1850.0,,1850.0,-1625.0,1625.0,,-1625.0,-21241.0,,1850.0,1850.0,,0.001,5000000.0,0.0,0.0,,1625.0,1625.0,,,-16360.0,,-1850.0,16307.0,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,2020-11-30,10-Q,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,,,2350.0,-31288.0,,,,0.0,,,0.001,500000000.0,47647702.0,47647702.0,47648.0,,2350.0,,,0.0,,2350.0,6139.0,-2350.0,,,,,,,,2350.0,,2350.0,,,,,-58019.0,,2350.0,2350.0,-2350.0,0.001,20000000.0,0.0,0.0,,1850.0,1850.0,,-2350.0,-18710.0,,-2350.0,1967794.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,2021-03-22,10-Q,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,,,6851.0,5880101809.0,0.0,,,0.0,1405890.0,,0.001,500000000.0,500000000.0,500000000.0,500000.0,,5880589950.0,,,-87.36,-31952.0,249776.0,-31952.0,-5880867064.0,,,,,,,,6851.0,0.0,6851.0,,,,,-5880866796.0,,10076.0,5880829861.0,,0.001,20000000.0,0.0,0.0,,5575.0,,5880579874.0,,-5880608660.0,,-6851.0,1844139.0,,,,67315193.0,,,,110184.0,211.0,,,-87.36,-37203.0,,,,,268.0,,,,,-5880866796.0,,,,72981.0,,
2021-04-30,2021-08-13,10-K,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,,,492357.0,5889168832.0,8485731.0,7762059.0,723672.0,,7210200.0,,0.001,500000000.0,500000000.0,500000000.0,500000.0,,,,1234930731.0,-38.62,,28146.0,,,,,,8075.0,,,249434.0,498865.0,8485731.0,498865.0,,20071.0,,-20071.0,-5880621890.0,,,5880608020.0,,0.001,20000000.0,,0.0,0.0,,,5880579874.0,,-5881664278.0,5880579874.0,7986866.0,7986866.0,,,152260753.0,,263471.0,38954.0,169325.0,,,,2829.0,,,,,,,,,,,52374.0,,,12301.0,206468.0,,18860.0,3679.0
2021-07-31,2021-09-27,10-Q,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,,,5800.0,5880316515.0,187500.0,,,,0.0,0.0,0.001,500000000.0,500000000.0,500000000.0,500000.0,203685.0,,1234933311.0,,0.0,,12285.0,-45306.0,,0.0,,,-3900.0,,0.0,,5800.0,187500.0,5800.0,,203685.0,-187500.0,-16185.0,-1164323.0,,,12285.0,,0.001,20000000.0,0.0,,,203685.0,203685.0,,,,,181700.0,6980922.0,187500.0,,500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,2021-12-15,10-Q,"Next Meats Holdings, Inc.",NXMH,CIK0001811530,USD,6701.0,794.0,4700.0,5880332215.0,260270.0,72770.0,187500.0,,65887.0,,0.001,500000000.0,500000000.0,500000000.0,500000.0,,,1234937222.0,,,-332.0,18622.0,-217216.0,-18622.0,,,,,,,6089.0,11401.0,260270.0,11401.0,,,,,-1169056.0,70422.0,,18622.0,-18954.0,0.001,20000000.0,0.0,,,15700.0,15700.0,,-18622.0,-5880653436.0,,248868.0,5680772.0,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
