end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionsPurchasePriceAllocationYearOfAcquisitionNetEffectOnIncome,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsOperatingLossCarryforwards,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalariesWagesAndOfficersCompensation,ShareBasedCompensation,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodShares,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ProfitLoss,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2008-06-30,2008-10-14,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,3118065.0,,,,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59938.0,,,,,,,,,,800000.0,,,26577.0,,,,129950.0,,,,
2009-06-30,2009-10-13,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,,,,,,,,10410120.0,10410120.0,,,,,,,,,35372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16692.0,,,,1470.0,,,,,,,,,,,,,,,,,
2010-06-30,2010-10-14,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,,,,622.0,,,200000000.0,135667493.0,135667493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59938.0,,,,,,,,,-11345599.0,,,,,,,,,,,,
2010-09-30,2010-11-03,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,,,,43.0,-579.0,,,,,,30000.0,,,,,-31.98,,,-4970000.0,,12708.0,,,8409.0,136950.0,,26075.0,-5000.0,17594.0,,,,,,-579.0,-103668651.0,,98681057.0,-98681057.0,,,98536738.0,-4987594.0,,,,,,,,1500.0,,-4000.0,,119355.0,,,,,,,,,,,,3242034.0,,,
2010-12-31,2011-02-14,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,,,,45.0,,,,,,,,,,,,-0.16,,,-1054861.0,,-12011.0,,,,,,,,12798.0,,,,,,,-1142021.0,,74362.0,-74362.0,,,13397.0,-1067659.0,,,,,,,,18000.0,,,,52600.0,,,,,,,,,,,,6959595.0,,,
2011-03-31,2011-05-23,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,,,,,,,283.0,,,,,,,,,,,,-0.06,,,,-84000.0,194.0,,,,,,,,10943.0,,,,,,,-672823.0,,577880.0,-577880.0,,,464147.0,-94943.0,,,,,,,,49960.0,,,,44600.0,,,,,,,,,,,,11404459.0,,,
2011-06-30,2017-10-16,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,,118163898.0,0.0,,,,,,,0.0001,7000000000.0,280648909.0,280648909.0,28065.0,,,,,,-1.23,,,-8188338.0,-8188338.0,,,,,,,,52276.0,52654.0,,0.0,,,,,-115496047.0,,107255055.0,-107255055.0,,,106969040.0,-8240992.0,0.0001,10000000.0,,,,,,69460.0,,,-118191963.0,216555.0,,,,,,,8826800.0,334139.0,,107254433.0,,93992492.0,,,
2011-09-30,2017-10-16,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,1169.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2573029728.0,2573029728.0,257303.0,,,,,,,,,,,,,,1169.0,,,,,,1169.0,0.0,1169.0,,,,-3439740.0,,3439740.0,-3439740.0,,,3439740.0,,0.0001,10000000.0,,,,,,,,,-121631703.0,,,,-1169.0,,,,,,,,,729158200.0,,,
2011-12-31,2017-10-16,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,2338.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2573029728.0,2573029728.0,257303.0,,,,,,,,,,,,,,,,,,,,2338.0,0.0,2338.0,,,,-1169.0,,1169.0,-1169.0,,,1169.0,,0.0001,10000000.0,,,,,,,,,-121632872.0,,,,-2338.0,,,,,,,,,2830932022.0,,,
2012-03-31,2017-10-16,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,3507.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,3507.0,0.0,3507.0,,,,-1169.0,,1169.0,-1169.0,,,1169.0,,0.0001,10000000.0,,,,,,,,,-121673156.0,,,,-3507.0,,,,,,,,,2830932022.0,,,
2012-06-30,2017-10-17,10-K,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,4675.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,-9882.0,,,,,,,,9882.0,-9882.0,4675.0,,,,4675.0,,4675.0,0.0,4675.0,,,,-3443246.0,,3443246.0,-3443246.0,,-9882.0,3443246.0,,0.0001,10000000.0,,,,,,,,,-121674324.0,,3438571.0,,-4675.0,,,,,,,3438571.0,,2518156995.0,,,
2012-09-30,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,5769.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,1094.0,,,,,,5769.0,0.0,5769.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121675418.0,,,,-5769.0,,,,,,,,,2964181540.0,,,
2012-12-31,2017-10-17,10-Q,"PETRO USA, INC.",PBAJ,CIK0000745543,USD,6863.0,121373231.0,0.0,,,,,,,0.0001,7000000000.0,2964181540.0,2964181540.0,296418.0,,,,,,,,,,,,,,,,,,,,6863.0,0.0,6863.0,,,,-1094.0,,1094.0,-1094.0,,,1094.0,,0.0001,10000000.0,,,,,,,,,-121676512.0,,,,-6863.0,,,,,,,,,2964181540.0,,,
