end,filed,form,Name,Ticker,CIK,Currency,AccruedIncomeTaxesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,Cash,CashPeriodIncreaseDecrease,DeferredCompensationArrangementWithIndividualCompensationExpense,FeesAndCommissionsTransferAgent,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,LegalFees,LitigationSettlementAmountAwardedToOtherParty,NoninterestExpenseTransferAgentAndCustodianFees,PaymentForAdministrativeFees,PaymentsForFees,ProceedsFromLegalSettlements,ProceedsFromRoyaltiesReceived,ProfessionalFees,TrusteeFees
2009-12-31,2010-03-31,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,4457.0,,,,,,,,,,,,,,
2010-03-31,2010-05-13,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,67.0,,,,,,,,,,,,,,
2010-06-30,2010-08-10,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,67.0,,,,-39336.0,,,,,,,,167500.0,,
2010-09-30,2010-11-22,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,66.0,,,,-22043.0,,,,,,,,294241.0,,
2010-12-31,2011-04-15,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,67.0,,,,,,,,,,,,,,
2011-03-31,2011-05-16,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,66.0,,,,-34635.0,,,,,,,,,,
2011-06-30,2011-08-10,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,66.0,,,,46083.0,,,,,,,,192185.0,,625.0
2011-09-30,2011-11-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,66.0,,,,42199.0,,,,,,,,384677.0,,625.0
2011-12-31,2012-03-30,10-K,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,67.0,,,,152903.0,,,,,,,,,,2500.0
2012-03-31,2012-05-15,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,,,66.0,,,,-59613.0,,,,,,,,,,625.0
2012-06-30,2012-08-14,10-Q,MILLS MUSIC TRUST,MMTRS,CIK0000066496,USD,0.0,,66.0,,,,89083.0,,,,,,,,,,625.0
