end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInvestmentExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,ProceedsFromSaleAndCollectionOfReceivables,ProfessionalFees,ProfitLoss,RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,SalesRevenueServicesNet,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensationGross,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,InterestExpenseOther,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockDiscountOnShares,StockIssuedDuringPeriodValueOther,InterestExpenseRelatedParty,AccountsPayableCurrentAndNoncurrent,InterestIncomeRelatedParty
2015-04-30,2015-06-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,467.0,16000.0,16000.0,,,,,0.0,25192.0,25192.0,9192.0,,,0.0001,150000000.0,15490000.0,15490000.0,,,1549.0,,,,,79559.0,0.0,,,10246.0,,-7606.0,,,,,,,,,,,,585.0,,,,,80026.0,25192.0,80026.0,,,,,,,-7606.0,-585.0,11521.0,-7021.0,,,0.0001,50000000.0,,,,,,,,,1275.0,,,,,-56383.0,4500.0,4500.0,,,-54834.0,,,,,,15490000.0,,,,,,,
2015-07-31,2015-10-29,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,1176.0,13000.0,13000.0,,,20000.0,8849.0,,33434.0,33434.0,6784.0,4798.0,,0.0001,150000000.0,15490000.0,15490000.0,666250.0,26650.0,1549.0,,,31339.0,31339.0,76233.0,0.0,,0.34,39949.0,,-77183.0,,,26242.0,-26242.0,1176.0,,-6500.0,-3577.0,17750.0,-3577.0,,2317.0,2394.0,,,,77409.0,33434.0,77409.0,,,86782.0,-26650.0,,-55334.0,-77183.0,-2317.0,74866.0,-74866.0,59174.0,,0.0001,50000000.0,0.0,0.0,,20000.0,149.0,43794.0,,,34917.0,,33000.0,3811.0,26650.0,-92174.0,,33000.0,,,-43975.0,,,,,,15490000.0,,,,,,,
2015-10-31,2015-12-11,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,7242.0,12500.0,12500.0,,,99750.0,,,108304.0,108304.0,95804.0,89020.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,68152.0,0.0,,,3165.0,,-13965.0,,,,,6066.0,,-500.0,,-8000.0,,,734.0,734.0,,,,75394.0,108304.0,75394.0,,,104919.0,,,-15899.0,-13965.0,-734.0,13231.0,-13231.0,,,0.0001,50000000.0,0.0,0.0,,5000.0,73350.0,,26650.0,,10066.0,,,81.0,,-68639.0,4500.0,4500.0,,,32910.0,,1833750.0,,73350.0,,17346141.0,,,,,,,
2016-01-31,2016-03-15,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,4126.0,17000.0,17000.0,,,99750.0,,,102040.0,102040.0,85040.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,68834.0,0.0,,,3143.0,,-8330.0,,,,,,,,,,,,723.0,,,,,72960.0,102040.0,72960.0,,,,,,,-8330.0,-723.0,7607.0,-7607.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,4464.0,,,,,-72469.0,,4500.0,,,29080.0,,,,,,17990000.0,,,,,,,
2016-04-30,2016-06-09,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,5874.0,15500.0,,,,99750.0,,,84582.0,84582.0,69082.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,67334.0,0.0,,,5445.0,,-22320.0,,,,,,,,,,,,691.0,,,114.0,,73322.0,84582.0,73322.0,,,,,,,-22320.0,-691.0,21629.0,-21629.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,16184.0,,,,,-90289.0,4500.0,,,,11260.0,,,,,,17990000.0,,,,,,,
2016-07-31,2016-11-14,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,5532.0,5532.0,5000.0,,,,145750.0,,,60084.0,60084.0,60084.0,53300.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,0.0,50782.0,50782.0,56084.0,0.0,,0.34,17049.0,,-57184.0,0.0,0.0,19443.0,-19443.0,4356.0,,,,-17750.0,277.0,,2855.0,2578.0,,277.0,2855.0,61893.0,60084.0,61893.0,,,123601.0,,,-70301.0,-57184.0,-2855.0,54329.0,-54329.0,149358.0,,0.0001,50000000.0,0.0,0.0,,26000.0,73350.0,,26650.0,8000.0,37280.0,,18000.0,2399.0,,-149358.0,18000.0,,,,-1809.0,,1833750.0,,73350.0,,17832736.0,,,,,,,
2016-10-31,2016-12-07,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,9917.0,,,,,145750.0,,,51791.0,51791.0,51791.0,-8293.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,52616.0,0.0,,,296.0,,-8933.0,,0.0,,,4385.0,4385.0,,,,-277.0,,692.0,969.0,,,692.0,62533.0,51791.0,62533.0,,,-3468.0,,,-4825.0,-8933.0,-692.0,8241.0,-8241.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,7945.0,,,3468.0,,-158291.0,,,,,-10742.0,,,,,,17990000.0,,,,,,,
2017-01-31,2017-03-14,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,10598.0,,,,,145750.0,,,45030.0,45030.0,45030.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,52601.0,0.0,,,383.0,,-7427.0,0.0,,,,,,,,,,,663.0,,,,663.0,63199.0,45030.0,63199.0,,,,,,,-7427.0,-663.0,6764.0,-6764.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,6381.0,,,,,-165718.0,,,,,-18169.0,,,,,,17990000.0,,,,,,,
2017-04-30,2017-06-14,10-Q,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,,3466.0,,,,,145750.0,,,18881.0,18881.0,18881.0,,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,,,,38601.0,0.0,,,371.0,,-5173.0,0.0,,,,,,,,,,,608.0,,,156.0,608.0,42223.0,18881.0,42223.0,,,,,,,-5173.0,-608.0,4565.0,-4565.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,4194.0,,,,,-170891.0,,,,,-23342.0,,,,,,17990000.0,,,,,,,
2017-07-31,2017-10-30,10-K,PANAMERA HOLDINGS CORPORATION,PHCI,CIK0001620749,USD,3568.0,,,,,,145750.0,,,13460.0,13460.0,13460.0,-46624.0,,0.0001,150000000.0,17990000.0,17990000.0,,,1799.0,,0.0,-37149.0,-37149.0,38601.0,0.0,0.34,0.21,1421.0,,-27542.0,0.0,0.0,9364.0,-9364.0,-1964.0,,,,,365.0,,,2084.0,,642.0,2449.0,42811.0,13460.0,42811.0,,,-17483.0,,,-29141.0,-27542.0,-2449.0,25093.0,-25093.0,-176900.0,,0.0001,50000000.0,0.0,0.0,,,,,,,23672.0,,,17483.0,,-176900.0,,,,,-29351.0,,,,,,17990000.0,,,,,,,
