end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,AdjustmentsToAdditionalPaidInCapitalStockSplit,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebtCurrent,CurrentFederalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DeferredCompensationEquity,DeferredCompensationLiabilityCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DepositAssets,DepositsAssetsCurrent,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationCosts,ExplorationExpense,ExplorationExpenseMining,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDeposits,IncreaseDecreaseInDepositsOutstanding,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityInterestRateDuringPeriod,LineOfCreditFacilityMaximumBorrowingCapacity,LinesOfCreditCurrent,MarketingAndAdvertisingExpense,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherAssets,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireMineralRights,PrepaidAdvertising,PrepaidExpense,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,PrepaidInsurance,PrepaidRent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SecurityDeposit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio,StockIssuedDuringPeriodSharesShareBasedCompensationGross,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockRepurchasedDuringPeriodValue,TreasuryStockValue,TreasuryStockValueAcquiredParValueMethod,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-03-31,2009-07-01,10-K,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010-06-21,10-K,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24044.0,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,,,,,,0.0,,,,,,101.0,-86.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,202.0,-6439.0,,0.0,,0.0,,5933.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,420.0,0.0,-506.0,,0.0,,,,,,,6439.0,-6439.0,,,,,,,,,,,,,,0.0,,0.0,,420.0,,4608.0,-6439.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147200000.0
2010-09-30,2010-11-15,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,,,,,,,,,,,,496.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,1185.0,,-14699.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,14699.0,-14699.0,,,,,,,,,,,,,,,,,,,,5127.0,-14699.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147200000.0,
2010-12-31,2011-02-02,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,,,,,,,,,,,,1963.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,103.0,,-6399.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,-6399.0,0.0,,,,,,,6399.0,-6399.0,,,,,,,,,,,,,,,,,,,,1632.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-06-29,10-K,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,14477.0,49524.0,,0.0,,0.0,,38233.0,38233.0,0.0,,7814.0,7627.0,0.0001,200000000.0,147200000.0,147200000.0,14720.0,,,,,13500.0,,,,,30000.0,,-129576.0,,0.0,,,1000.0,,,2212.0,,-55532.0,0.0,,0.0,0.0,2051.0,13500.0,0.0,,88.0,-419.0,-88.0,0.0,88.0,103565.0,38233.0,,,0.05,200000.0,40000.0,,0.0,77939.0,-30000.0,-40312.0,-55532.0,-88.0,,,,35500.0,35500.0,,55444.0,-55444.0,,,,,,,-30000.0,,419.0,419.0,0.0,,,0.0,,40000.0,,37939.0,,24401.0,-55532.0,0.0,,-129576.0,0.0,,,0.0,3000000.0,,,,,,,,,,,,,,,,,-65332.0,-65332.0,80.0,,,,,,,,,,
2011-06-30,2011-08-15,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,2124.0,210559.0,,,,161050.0,,92303.0,42303.0,,,13640.0,6456.0,0.0001,200000000.0,147350000.0,147350000.0,14735.0,,121491.0,,,18000.0,,,,,25964.0,,,,0.0,,0.0,,,,14125.0,-215260.0,-357325.0,0.0,,0.0,,-11723.0,4500.0,,-4036.0,1133.0,2280.0,1133.0,0.0,1221.0,211845.0,92303.0,,,,,155000.0,,50000.0,115000.0,-50000.0,-58544.0,-357325.0,-1133.0,,,,,35500.0,,356192.0,-356192.0,,,,,-1133.0,,50000.0,,2699.0,,,,,0.0,,115000.0,,115000.0,,14759.0,-215260.0,50000.0,,-344836.0,0.0,,,303115.0,,,,,,,,,,,,,,,,,,-119542.0,,,,,,,,,,147254000.0,,147254000.0
2011-09-30,2011-11-14,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,1798.0,231224.0,,,,,,325893.0,30893.0,,,30064.0,,,200000000.0,147350000.0,147200000.0,14735.0,,,,,22500.0,,,,,0.0,,,,0.0,,24200.0,,24200.0,,14580.0,,-220402.0,0.0,,,,,,,,,,3773.0,,4994.0,569792.0,325893.0,,,,,505000.0,,295000.0,,,,-220402.0,-3773.0,,,,35500.0,,,216629.0,-216629.0,,,,,-3773.0,,,,,199.0,,,,,,,,,,24724.0,-145022.0,295000.0,,-489858.0,,0.0,,95416.0,,,,,,,,,,,,,,,,,,-243899.0,,,,,,,,,,147350000.0,147350000.0,
2011-12-31,2012-02-13,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,7214.0,328524.0,,,,,,545062.0,30197.0,514865.0,,29998.0,,0.0001,200000000.0,147565000.0,147565000.0,14757.0,,,,,34900.0,,,,,0.0,,-718988.0,,0.0,,,2500.0,2500.0,,37384.0,,-388065.0,0.0,,,,,,,,,,8161.0,,13155.0,920769.0,545062.0,,,,,830000.0,,514865.0,,,,-388065.0,-8161.0,,,,35500.0,,,379904.0,-379904.0,,,,,-8161.0,,,,,199.0,,,,,,,,,,20315.0,,,,,0.0,,,256257.0,,,,,,,,,,,,,,,,,,-375707.0,,,,,,,,,,147323266.0,,
2012-03-31,2012-07-09,10-K,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,5761.0,1233927.0,661416.0,,,969171.0,0.0,659387.0,143742.0,515645.0,69323.0,69323.0,61509.0,0.0001,200000000.0,147665000.0,147665000.0,14767.0,0.0,479244.0,0.0,215278.0,65500.0,0.0,523300.0,,,50000.0,,1539117.0,,-0.01,,,120850.0,37260.0,,82455.0,,-1409541.0,0.0,0.0,0.0,5761.0,-8716.0,52000.0,-20000.0,-20000.0,28239.0,-24000.0,28379.0,0.0,28327.0,1165088.0,659387.0,,,,,1030000.0,25806.0,515645.0,990000.0,-515645.0,-412846.0,-1409541.0,-28379.0,,,0.0,35500.0,,,1381162.0,-1381162.0,,523300.0,0.0,107639.0,-28379.0,199.0,515645.0,,,24419.0,107639.0,9190.0,15030.0,0.0,,990000.0,,0.0,,98512.0,-1409541.0,,,,0.0,,,969171.0,,,,,,1185000.0,0.8,,,,,,,,,,,-290423.0,-505701.0,,,,0.0,307756.0,,,,147200000.0,,
2012-06-30,2012-08-20,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,6141.0,1471242.0,,,,,160898.0,1061283.0,349638.0,711645.0,158544.0,158544.0,89221.0,0.0001,200000000.0,148665000.0,148665000.0,14867.0,,133786.0,,,95500.0,,657086.0,,,50500.0,,1932605.0,,0.0,0.34,,,106183.0,,16269.0,,-677218.0,,,,380.0,380.0,30000.0,,-500.0,22310.0,-8536.0,22310.0,,50638.0,1517779.0,1061283.0,,,,,1330000.0,3075.0,711645.0,290000.0,,-200779.0,-677218.0,,,,,35500.0,,,371178.0,-371178.0,,657086.0,,0.0,-306040.0,107639.0,,,,140594.0,,,,,,-200000.0,,,500000.0,55409.0,,,50000.0,,,,500.0,149055.0,,1270000.0,0.85,85000.0,,1270000.0,0.85,,,,1.0,,,,,,,-456496.0,,,,,196000.0,,,10000.0,,147675989.0,,
2012-09-30,2012-11-14,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,2250.0,1479941.0,,,,,239619.0,892891.0,132006.0,,13461.0,13461.0,,0.0001,200000000.0,148665000.0,148665000.0,14867.0,257881.0,,,,125500.0,,893411.0,,,500.0,916335.0,2627680.0,,0.0,,,,68148.0,,34342.0,,-553982.0,,,,,,,,,,,17660.0,,68297.0,2035763.0,892891.0,,,,,630000.0,,760885.0,,,,-553982.0,,,,,35500.0,,,213200.0,-213200.0,,893411.0,,,-340782.0,107639.0,,,,118045.0,,,,,,,,,,64836.0,,,,,,,500.0,8698.0,,1305000.0,0.8,,,1305000.0,0.8,0.0,0.0,,,,,,,,,-1142872.0,,,,,,,,10000.0,,148665000.0,,
2012-12-31,2013-02-14,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,2381.0,1488078.0,,,,,306611.0,170506.0,120506.0,50000.0,8270.0,8270.0,,0.0001,200000000.0,148665000.0,148665000.0,14867.0,493425.0,,,,155500.0,,1248153.0,,,500.0,912386.0,3671038.0,,-0.01,,2525.0,,2525.0,,23109.0,,-1126193.0,,,,,,,,,,,17110.0,,85407.0,2348599.0,170506.0,,,,,664000.0,,50000.0,,,,-1126193.0,,,,,35500.0,,,794654.0,-794654.0,,1248153.0,710885.0,,-331539.0,107639.0,,1218.0,,111736.0,,2680.0,199.0,,,,,,,39297.0,,,,,,,500.0,8137.0,,1340000.0,0.74,,,1340000.0,0.74,0.0,0.0,,,,,,,,,-2178093.0,,,,,,,,10000.0,,148665000.0,,
2013-03-31,2013-07-10,10-K,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,22284.0,102347.0,1786478.0,63743.0,,,,302904.0,4584.0,4584.0,0.0,265.0,265.0,-69058.0,0.0001,200000000.0,148625000.0,148625000.0,14863.0,710000.0,865929.0,0.0,107639.0,185500.0,0.0,1158975.0,1158975.0,500.0,500.0,,3408749.0,664000.0,-0.01,0.68,,,176855.0,,76774.0,,-1869632.0,0.0,0.0,,,16523.0,120000.0,,49500.0,74020.0,20600.0,74020.0,0.0,102347.0,1719631.0,4584.0,1719631.0,302904.0,,,0.0,10937.0,0.0,334000.0,-49240.0,-353818.0,-1869632.0,,35500.0,35500.0,35500.0,0.0,,,1492708.0,-1492708.0,3408749.0,-1158975.0,760885.0,,-376924.0,,49240.0,,,3819.0,,3819.0,,0.0,,-366000.0,,,710000.0,212225.0,,,,,0.0,,500.0,171382.0,,1375000.0,0.76,190000.0,,1375000.0,0.76,,,,0.56,,,,,,,-1715047.0,-1715047.0,,,,196000.0,,-10000.0,,,148381822.0,,
2013-06-30,2013-08-14,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,11139.0,1678839.0,,,,,,2552.0,2552.0,,142.0,142.0,-123.0,0.0001,200000000.0,148625000.0,148625000.0,14863.0,710000.0,8206.0,,,185500.0,,1167181.0,,,500.0,,3432885.0,,0.0,0.34,,,-81.0,,2115.0,,-24136.0,,,,,-11145.0,,,,17128.0,1909.0,17128.0,,119475.0,1741735.0,2552.0,,,,,,0.0,,16121.0,,-16244.0,-24136.0,,,,35500.0,16121.0,,,7008.0,-7008.0,,1167181.0,,,-17128.0,,,,,1910.0,,1910.0,,,,,,16121.0,,4674.0,,,,,,,500.0,,,1375000.0,0.76,,,1375000.0,0.76,,,,,,,,,,,,-1739183.0,,,,,,,,,148625000.0,,
2013-09-30,2013-11-13,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,,10254.0,1678839.0,,,,,,3504.0,3504.0,,3004.0,3004.0,,0.0001,200000000.0,148625000.0,148625000.0,14863.0,710000.0,,,,185500.0,,1174066.0,,,500.0,,3453135.0,,0.0,,,,,,-752.0,,-20250.0,,,,,,,,,,,17316.0,,136791.0,1762937.0,3504.0,1762937.0,,,,,,,,,,-20250.0,,,,35500.0,20892.0,,,2934.0,-2934.0,,1174066.0,,,-17316.0,,,,,,,,,,,,,,,3482.0,,,,,,,500.0,,,1375000.0,0.76,,,1375000.0,0.76,,,,,,,,,,,,-1759433.0,,,,,,,,,148625000.0,,
2013-12-31,2014-02-14,10-Q,"POTASH AMERICA, INC.",PTAM,CIK0001431880,USD,11400.0,154107.0,1678839.0,,,,,,177.0,177.0,,,177.0,,,,,,14863.0,710000.0,,,,185500.0,,3474924.0,1181475.0,,,,3474924.0,664000.0,0.0,,,,,,-54.0,,-21289.0,,,,,,,,,,,17316.0,,55924.0,1781399.0,177.0,1781399.0,,,1000000.0,,,,,,,-21289.0,,35500.0,35500.0,,20892.0,,20892.0,3973.0,-3973.0,,-1181475.0,,,-17316.0,,,,,,,,,,,,,,,3446.0,,,,,,,,0.0,,1375000.0,0.76,,,,0.76,,,1375000.0,,,1375000.0,1375000.0,,0.76,0.76,-1781222.0,,,,,,,,,,148625000.0,,
