end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsSold,CostOfRevenue,CostsAndExpensesRelatedParty,CurrentStateAndLocalTaxExpenseBenefit,Depreciation,DepreciationAndAmortization,DiscontinuedOperationTaxEffectOfAdjustmentToPriorPeriodGainLossOnDisposal,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,InventoryNet,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOtherThanLongtermDebtNoncurrent,LoansAndLeasesReceivableGrossCarryingAmount,LoansPayableCurrent,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,LossContingencyLossInPeriod,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NoncurrentAssets,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNonrecurringIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,ProceedsFromSaleOfLoansHeldForInvestment,ProceedsFromSaleOfProductiveAssets,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfDebt,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,RevenuesNetOfInterestExpense,SalesRevenueGoodsNet,ShareBasedCompensation,SharePrice,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockDividend,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-06-30,2018-07-25,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,8000.0,,,,,25823.0,,,,51902.0,,,,27610.0,27610.0,,,,,527000.0,,75000000.0,2027000.0,2027000.0,2027.0,,2365.0,,2365.0,0.0,,,,23863.0,0.0,,,,,1015.0,2651.0,-764.0,-764.0,,,,,,,,,,,1735.0,700.0,,31863.0,51902.0,,,,,,,,,,,-764.0,,,,,,3415.0,-764.0,,3415.0,,,,,,,,,,,,,1700.0,-764.0,,22557.0,,,,,,-7811.0,5016.0,,5016.0,,,,20039.0,20039.0,26350.0,,,0.05,1663549.0,,1663549.0
2018-09-30,2018-10-24,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,6000.0,,,25823.0,,,,,21906.0,10613.0,32519.0,,10613.0,10613.0,,,,,,,75000000.0,2027000.0,2027.0,0.001,,,,1735.0,0.0,,,-17383.0,,-0.01,,,,,2376.0,1943.0,-17383.0,-17383.0,,,,,,,,,,,,1050.0,8500.0,29863.0,32519.0,,,,23863.0,,,,,,,-17383.0,,,,,,8500.0,,,,,,,,,,,,,,,,7400.0,-17383.0,,,21906.0,,,,,-25194.0,3678.0,,,,,,2656.0,,,,,,2027000.0,,
2018-12-31,2019-02-28,10-K,Exent Corp.,EXNN,CIK0001726744,USD,2198.0,2198.0,0.0,1896.0,25823.0,25823.0,25823.0,0.0,0.0,21254.0,3030.0,24284.0,,3030.0,3030.0,1530.0,3030.0,,,,0.001,75000000.0,2027000.0,2027000.0,2027.0,,4100.0,4100.0,,,1896.0,,,23863.0,-0.02,23863.0,,,,5447.0,4594.0,-29403.0,,0.0,,,2198.0,,,,,,,,2800.0,8500.0,26061.0,24284.0,26061.0,,,,,,,49989.0,-23150.0,-25309.0,-33836.0,,,21254.0,,,33997.0,-29403.0,29627.0,33997.0,,23150.0,-23150.0,0.0,,23639.0,,26350.0,23639.0,,,,17250.0,-29403.0,,23150.0,21254.0,,,,,-29627.0,8694.0,,8694.0,,0.05,2027000.0,-1777.0,-1777.0,,527000.0,26350.0,,,1806441.0,1806441.0
2019-03-31,2019-04-30,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,,,,,25823.0,,0.0,0.0,20831.0,,,,229.0,229.0,-2801.0,,,,,,75000000.0,2027000.0,2027000.0,2027.0,,,,,,652.0,,,29257.0,-0.01,,,,,1149.0,,-6649.0,,,,,-2198.0,,,,,,,,1050.0,4450.0,29257.0,20831.0,,,,,,,,5394.0,0.0,-8195.0,-6649.0,,,,,,6649.0,-6649.0,,1050.0,,,,,,5394.0,,,5394.0,,,,4450.0,-6649.0,,20602.0,,,,,,-36276.0,,,,,,,-8426.0,-8426.0,,,,,,2027000.0,2027000.0
2019-06-30,2019-07-29,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,0.0,10000.0,,25823.0,,,0.0,,5076.0,11877.0,16953.0,1250.0,1187.0,1877.0,,,,,,,75000000.0,2027.0,2027000.0,0.001,2027000.0,,,0.0,0.0,,526.0,,,0.0,29957.0,,,,1878.0,0.0,-4758.0,-4578.0,,,,,,,,,,,,700.0,,16953.0,-13004.0,29957.0,29957.0,,,,,,,,,-4758.0,,,,,,4578.0,-4578.0,,,,,,,,,,,,,,,2000.0,-4578.0,,,5076.0,,,,,-40854.0,0.0,,,,,,-13003.0,-13004.0,,,,,2027000.0,2027000.0,
2019-09-30,2019-11-06,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,0.0,,,25823.0,,,0.0,,4850.0,3253.0,8103.0,1250.0,2506.0,2506.0,,,,,,,75000000.0,2027.0,2027000.0,0.001,2027000.0,,,0.0,0.0,,,,,0.0,24207.0,,,,1100.0,0.0,-3100.0,-3101.0,,,,,,,,,,,,0.0,0.0,8103.0,-16104.0,24207.0,,30707.0,,,,,,,,-3100.0,,,,,,3100.0,-3100.0,,,,,,747.0,,,,,,,,,2000.0,-3100.0,,,4850.0,,,,,-43954.0,0.0,,,,,,-16104.0,-16104.0,,,,,2027000.0,2027000.0,
2019-12-31,2020-03-30,10-K,Exent Corp.,EXNN,CIK0001726744,USD,,0.0,,1527.0,25823.0,,,0.0,0.0,7380.0,2757.0,4623.0,,10.0,10.0,-3020.0,10.0,-3020.0,0.0,,0.001,75000000.0,2027000.0,2027000.0,2027.0,,,0.0,,,1631.0,,,,-0.01,26524.0,,0.0,,5167.0,0.0,-17367.0,,0.0,,0.0,-2198.0,,,,2747.0,,0.0,,1750.0,0.0,26524.0,7380.0,,,,,,,,2661.0,15000.0,-20681.0,-17367.0,,,4623.0,0.0,26524.0,17367.0,-17367.0,46994.0,,,,,2747.0,,,0.0,,10884.0,,,15000.0,10450.0,-17367.0,15000.0,6150.0,4623.0,,,8223.0,8223.0,-46994.0,0.0,,,0.0,,,-19144.0,-19144.0,,,,,,2027000.0,
2020-03-31,2020-05-15,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,3000.0,,,67547.0,,,0.0,0.0,,7200.0,7200.0,,0.0,,-10.0,,-10.0,,,0.001,75000000.0,2027000.0,2027000.0,2027.0,,,0.0,,,,,,,-0.01,,,-4623.0,26524.0,2657.0,0.0,-18380.0,,0.0,,0.0,3000.0,,,,4453.0,,0.0,,,,3000.0,7200.0,,,,,,,,15200.0,,-15210.0,-18380.0,,,,-4623.0,26524.0,13757.0,-13757.0,,,,,,7200.0,15200.0,,15200.0,,,,,,11100.0,-18380.0,4623.0,,,,,,,-65374.0,0.0,,,0.0,,,4200.0,4200.0,,,,,,2027000.0,
2020-06-30,2020-08-19,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,8850.0,,,70797.0,,,0.0,,,,,,0.0,,,,,,,0.001,75000000.0,2027000.0,2027000.0,2027.0,,,0.0,,,,0.0,,,-0.01,,,0.0,,1250.0,0.0,-16300.0,,0.0,,,,,,,,,,,,,8850.0,,,,,,,,,,,,-16300.0,,,,0.0,,16300.0,-16300.0,,,,,,,3250.0,,,,,,,,15050.0,-16300.0,,,,,,,,-81674.0,0.0,,,,,,-8850.0,-8850.0,,,,,,2027000.0,
2020-09-30,2020-11-20,10-Q,Exent Corp.,EXNN,CIK0001726744,USD,,3022.0,,,101803.0,,,0.0,,,7200.0,,,0.0,,,,,,,0.001,75000000.0,2027000.0,2027000.0,2027.0,,,0.0,,,,,,,-0.01,,,0.0,,2928.0,0.0,-17978.0,,0.0,,,,,,,,,,,,,3022.0,7200.0,,,,,,,,,,,-17978.0,,,,0.0,,17978.0,-17978.0,,,,,,7200.0,31006.0,,,,,,,,15050.0,-17978.0,,,,,,,,-99652.0,0.0,,,,,,4178.0,4178.0,,,,,,2027000.0,
