end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,DepositAssets,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeAssetNotionalAmount,DerivativeCollateralObligationToReturnCash,DerivativeCollateralObligationToReturnSecurities,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueAmountOffsetAgainstCollateralNet,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsPayableCurrentAndNoncurrent,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FairValueAssetsLevel1ToLevel2TransfersAmount,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2008-12-31,2009-03-10,10-K,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,,,,,,,,,47716040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-08,10-K,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,,,,1493885.0,,,,,25950973.0,-21765067.0,,,,,,,-223897.0,,,,,,,,,,,,,,,,,,,,,,,,,,111455.0,46783554.0,,-386.0,1525821.0,,-386.0,,,,193158.0,,,1441.0,,,,,,,,,223500.0,,,,,,,,,,,,,,-1381840.0,,,,,,,,,,,,,,,,,,244875072.0,,-266640139.0,,,208.0,1605340.0,,,,,,,,58928214.0,,,,888352571.0,303803286.0,621597749.0,,,,45401714.0,,1525435.0,,,,,,,,,,,,,,,,,,,,,,45255549.0,45258119.0,,2570.0,,,,
2010-06-30,2010-08-06,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,,,,614003.0,,,,,38282928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24560.0,-32361096.0,,,-4403543.0,,-437.0,,,,,,,,,,,,,,,,102434.0,,,,,,,,,,,,,,-536129.0,,,,,,,,,,,,,,,,,,,,,,,-104.0,638563.0,,,,,,,,,,,,,,,,,,-32897225.0,,-4403980.0,,,,,,,,,,,,,,,,,,,,,,-27941647.0,-27957116.0,,-15469.0,,,,
2010-09-30,2010-11-05,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,,,,591255.0,,,,,22624491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22651.0,5661972.0,,,-18697748.0,,-3711.0,,,,,,,,,,,,,,,,98050.0,,,,,,,,,,,,,,-515856.0,,,,,,,,,,,,,,,,,,,,,,,37.0,613906.0,,,,,,,,,,,,,,,,,,5146116.0,,-18701459.0,,,,,,,,,,,,,,,,,,,,,,24339541.0,24363431.0,,23890.0,,,,
2010-12-31,2011-03-14,10-K,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,98920.0,,146604062.0,2147831.0,161480810.0,,,,18369257.0,-7581716.0,,,,,1703.0,,-303847.0,,,,,,,,,,,,,,,,,,,,,,,,13224133.0,129887420.0,76913.0,-10234528.0,,-3745.0,-12288049.0,,-3745.0,1076.0,,161480810.0,-115564.0,,,233.0,,,,,,,,,303137.0,,,,,,,,,,,,,,-1921607.0,,,,,,,,,100623.0,161480810.0,,,,,,1076.0,,-154247390.0,,146665674.0,,-12156170.0,35.0,2224744.0,,,,,,,,253482416.0,1076.0,,,972285285.0,99236102.0,1133579793.0,,,,-12156135.0,,-12291794.0,,,,,,,14775049.0,6000000.0,6000000.0,161380187.0,-154246314.0,4200000.0,-6600000.0,99236102.0,,,10800000.0,253482416.0,,,,2055375.0,2057266.0,,1891.0,13394763.0,170630.0,,
2011-03-31,2011-05-06,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,,,,374936.0,,,,,8138711.0,-10230546.0,,,,,,,-60097.0,,,,,,,,,,,,,,,,,,,,,,,,,,14997.0,33073771.0,,538.0,8339520.0,,538.0,,,,61063.0,,11999960.0,4586.0,,,,,,,,,60097.0,,,,,,,,,,,,,,-329836.0,,,,,,,,,,,,,,,,,,45684002.0,,-55914548.0,,,,389933.0,,,,,,,,24885738.0,,,,210829737.0,64259034.0,158899913.0,,,,32743935.0,,8340058.0,,,,,,,,,,,,,,,,,,,,,,24723457.0,24733713.0,,10256.0,,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,140583.0,,171094396.0,439953.0,209167911.0,,,,25185111.0,,,,,,5539.0,,,,,,,,,,,,,,,,,,,,,,,-1.69,,,5084190.0,172898643.0,10397.0,-15151623.0,,,17720080.0,,2482.0,1194.0,,203167944.0,,,,,,,,,,,,,37290.0,,,,,,,,,,,,,,-413060.0,,,,,,,,,6118138.0,209167911.0,,,,,,,,,,,,,,450350.0,,,,,,,,,,,,,,,,,,-15564683.0,,17722562.0,,,,,,,31954183.0,6800000.0,6800000.0,203049773.0,-14882962.0,1000000.0,-600000.0,32858500.0,,,1600000.0,47741462.0,,,,-32863400.0,-32874185.0,,-10785.0,,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,99653.0,,130196586.0,332948.0,139649932.0,,,,23902082.0,,,,,,7008.0,,,,,,,,,,,,,,,,,,,,,,,-4.02,,,-16150368.0,131898218.0,6318.0,-22283980.0,,,-1047502.0,,1514.0,1034.0,,139649932.0,,,,,,,,,,,,,14554.0,,,,,,,,,,,,,,-324712.0,,,,,,,,,106661.0,139649932.0,,,,,,,,,,,,,,339266.0,,,,,,,,,,,,,,,,,,-22608692.0,,-1045988.0,,,,,,,9345651.0,5400000.0,5400000.0,139543271.0,-40897810.0,,-1400000.0,,,,1400000.0,40897810.0,,,,-21234558.0,-21237992.0,,-3434.0,,,,
2011-12-31,2012-03-14,10-K,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,89169.0,,130349590.0,1411300.0,149219440.0,,,,10610800.0,-7758457.0,,0.0,,,4816.0,7288402.0,-120236.0,,,,,,,,,,,,,,,0.0,,,,,,,,,-7288402.0,145897042.0,37976.0,5330422.0,,4863.0,25844353.0,,4863.0,1105.0,,149219440.0,-9751.0,,,3113.0,,,,,,,,,118594.0,,,,,,,,,,,,,,-1330682.0,,,,,,,,,93985.0,149219440.0,,,,,,,,-16254472.0,,8496015.0,,3999740.0,,1449276.0,,,,,,,,130038338.0,,,,722490102.0,113783866.0,706599320.0,,,,3999740.0,,25849216.0,,,,,9916455.0,,18774760.0,5400000.0,5400000.0,149125455.0,-16254472.0,3800000.0,-600000.0,113783866.0,16254472.0,12254732.0,4400000.0,130038338.0,,,,-20512535.0,-20518794.0,,-6259.0,647110.0,7935512.0,,
2012-03-31,2012-05-14,10-Q,INVESCO DB ENERGY FUND,DBE,CIK0001383062,USD,127219.0,,167342752.0,334537.0,198245479.0,,,,14713860.0,4103060.0,,,,,1517.0,,-11567.0,,,,,,,,,,,,,,,0.0,,,,,,2.4,,,643645.0,182887974.0,9881.0,12331111.0,,-454.0,4394902.0,,-454.0,1201.0,,198245479.0,38050.0,,,-3299.0,,,48991288.0,,,,,,11433.0,,,,,,,,,,,,,,-332985.0,,,,,,,,,128736.0,198245479.0,,,,,,,,36993162.0,,-32890102.0,,11998126.0,,344418.0,,,,,,,,40862182.0,,,,182874538.0,77855344.0,145899335.0,,,,11998126.0,,4394448.0,,,,,,,30772790.0,6600000.0,6600000.0,198116743.0,36993162.0,2600000.0,1200000.0,77855344.0,,,1400000.0,40862182.0,,,,7932047.0,7936663.0,,4616.0,7303541.0,6659896.0,,
