end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,Assets,AssetsCurrent,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentInterest,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Depletion,Deposits,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DirectOperatingCosts,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeRelatedLiabilitiesCurrent,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InterestReceivable,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOtherThanLongtermDebtNoncurrent,LoansAndLeasesReceivableLoansInProcess,LoansPayable,LoansPayableCurrent,LoansPayableFairValueDisclosure,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,OtherNonoperatingExpense,OtherNonrecurringIncomeExpense,OtherReceivablesNetCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesIssued,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSaleOfLoansHeldForInvestment,ProceedsFromSaleOfLoansReceivable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RegulatedOperatingRevenue,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SalesRevenueGoodsNet,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,TaxAdjustmentsSettlementsAndUnusualProvisions,TreasuryStockCommonValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-08-09,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,,,,,12210.0,,,,,10835.0,,,,,,,75000000.0,8000000.0,8000000.0,8000.0,0.0,,,,,,,,,,,,,1100.0,0.0,,,,14250.0,,,,,,,,,,,,,,,,,,,,1100.0,12210.0,,,,,,,,,,,8540.0,,,5710.0,8540.0,,,,,5710.0,,,,,,,,,,,,,,,1375.0,,,,,3110.0,14250.0,,14250.0,,,,11110.0,,,,,,,,8000000.0
2017-09-30,2018-01-17,10-K,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,1800.0,250.0,1800.0,,11025.0,,,,,9775.0,8675.0,9820.0,,,,,75000000.0,8000000.0,8000000.0,8200.0,0.0,,,,,,,,,,,,,1100.0,0.0,,,,32550.0,,,,,,,,,,,,,,,,,,,,1100.0,11025.0,,,,,,,,9000.0,-1500.0,1175.0,925.0,,,31625.0,925.0,,,,,31625.0,,,,-1500.0,,,,,9000.0,,,,,925.0,1250.0,,,,,-75.0,32550.0,,32550.0,8200000.0,,9925.0,9925.0,7200000.0,,,,,,,6368000.0
2017-12-31,2018-02-01,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,22770.0,125.0,,,21795.0,,,,,20670.0,10895.0,,,,,,75000000.0,10530000.0,10530000.0,10530.0,0.0,,,,,,,,,,,,,2600.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,2600.0,21795.0,,,,,,,,11000.0,0.0,-105.0,-230.0,,,230.0,-230.0,,,,,31625.0,,,,,,,,1500.0,9500.0,,,,,-230.0,1125.0,,-13800.0,,,-305.0,0.0,0.01,,,,32995.0,19195.0,,23300.0,,,,,,8343586.0
2018-03-31,2018-05-03,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,22770.0,,,,27495.0,,,,,26495.0,,,,,,,75000000.0,10530000.0,10530000.0,10530.0,0.0,,,,,,,,,,,,,2600.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,2600.0,27495.0,,,,,,,,,,,-8100.0,,,8100.0,-8100.0,,,,,8100.0,,,,,,,,,,,,,,,1000.0,,,,,-8405.0,0.0,,,,,24895.0,24895.0,,,,,,,,10530000.0
2018-06-30,2018-08-08,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,22770.0,,,,12720.0,,,,11845.0,11845.0,,,,,,,75000000.0,10530000.0,10530000.0,10530.0,0.0,0.0,,,,,,,,,,,,2600.0,0.0,,,14775.0,0.0,-14775.0,-14775.0,,,,,,,,,,,,,,,,,,2600.0,12720.0,,,,,,,,,,,-14775.0,,,14775.0,-14775.0,,,,,14775.0,,,,,,,,,,,,,,,875.0,,,,,-23180.0,0.0,,,,,10120.0,10120.0,,,,,,,10530000.0,10530000.0
2018-09-30,2018-12-20,10-K,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,0.0,22770.0,22770.0,500.0,20970.0,,10570.0,9820.0,,,9820.0,9820.0,45.0,9820.0,,,,2330000.0,75000000.0,10530.0,10530000.0,0.001,0.0,,,,,-5319.0,,,500.0,,,,,2600.0,0.0,,,25255.0,0.0,,-25255.0,,-25255.0,0.0,0.0,0.0,,,,,,,,,,0.0,,10500.0,10570.0,7970.0,2600.0,2600.0,,,,2600.0,,24800.0,0.0,-24755.0,-25255.0,,,25255.0,-25255.0,,5319.0,750.0,,25255.0,,,,,,,,1500.0,23300.0,,,1500.0,,-25255.0,750.0,,,,,-25330.0,0.0,,,10530000.0,0.01,7970.0,7970.0,2330000.0,23300.0,,0.0,,,9978904.0,9978904.0
2018-12-31,2019-02-08,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,22770.0,125.0,,,4706.0,,,,4081.0,4081.0,-5739.0,,,,,,75000000.0,10530000.0,10530000.0,10530.0,0.0,,,,,,,,125.0,125.0,,,,2600.0,0.0,,,10464.0,4600.0,,-5864.0,,,0.0,0.0,,,,,,,,,,,0.0,,,2600.0,4706.0,,,,,,,,0.0,0.0,-5739.0,-5864.0,,,10464.0,-5864.0,,,,,25255.0,,,,,,,,,,,,0.0,,-5864.0,625.0,,,,,-31194.0,4600.0,,4600.0,,,2106.0,2106.0,,,,,,,10530000.0,10530000.0
2019-03-31,2019-04-26,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,,22770.0,,,,932.0,,,,432.0,432.0,,,,,,,75000000.0,10530000.0,10530000.0,10530.0,0.0,0.0,,,,,,,,,,,,2600.0,0.0,,,2486.0,1000.0,-3774.0,-186.0,,,,,,,,,,,,,,,,,,2600.0,932.0,,,,,,,,,,,-3774.0,,,2486.0,-186.0,,,,,4774.0,,,,,,,,,,,,,,-186.0,500.0,,,,,-34968.0,2300.0,,1000.0,,,-1668.0,-1668.0,,,,,,,10530000.0,10530000.0
2019-06-30,2019-07-24,10-Q,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,,22770.0,,,,,746.0,371.0,375.0,,371.0,371.0,,,,,10530000.0,,75000000.0,10530.0,10530000.0,,,0.0,,,,,,,,,,,,,0.0,,,2486.0,,-186.0,-186.0,,,,,,,,,,,,,,,,,,746.0,-1854.0,2600.0,2600.0,2600.0,,,2600.0,,,,,-186.0,,,,-186.0,,,375.0,,,,,,,,,,,,,,,,,,,,,,-35154.0,2300.0,,,,,-1854.0,,,,,,,,10530000.0,
2019-09-30,2019-12-05,10-K,"Zeuus, Inc.",ZUUS,CIK0001687926,USD,297.0,22770.0,,,,7517.0,403.0,153.0,,,153.0,153.0,-9667.0,153.0,,0.0,10530000.0,0.0,75000000.0,10530.0,10530000.0,10530.0,,0.0,,,0.0,7500.0,500.0,,500.0,,375.0,,,,0.0,0.21,2600.0,21364.0,,,-10464.0,,-10464.0,0.0,0.0,297.0,,,,,,,0.0,,,0.0,,11400.0,2897.0,403.0,2897.0,2897.0,2600.0,,,2600.0,,0.0,,-9667.0,-10464.0,,,21364.0,-10464.0,7500.0,7517.0,250.0,,,,,,,1000000.0,7000000.0,0.0,,0.0,,0.0,0.0,,-10464.0,,,,10900.0,,-35794.0,10900.0,,,,,-2494.0,,,,,0.0,,7517.0,10530000.0,
