end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebt,ConvertibleDebtCurrent,CurrentFederalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,FeesAndCommissions,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDispositionOfAssets1,GainLossOnInvestments,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,LoansPayableFairValueDisclosure,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesTax,OtherIncome,OtherLoansPayable,OtherLoansPayableCurrent,OtherNoncashIncome,OtherShortTermBorrowings,PaymentsForProceedsFromLoansReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharePrice,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRepurchasedAndRetiredDuringPeriodValue,TaxAdjustmentsSettlementsAndUnusualProvisions,TechnologyServicesCosts,TradingActivityGain,TreasuryStockCommonShares,TreasuryStockShares,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-06-30,2016-08-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1064421.0,,,,,,,21166619.0,,,,,24706.0,24706.0,24706.0,,,,,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,627347.0,450297.0,,,,-0.01,,,,,7102.0,,,,,,5965.0,,,,,,,,,,,,,12082.0,,,,,,,2370175.0,24706.0,,147742.0,,,,,,-12950.0,,,13067.0,-13067.0,,12199.0,,,,,,50000.0,,,,,,7102.0,,,-23509637.0,,,,,,,,-2345469.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,885130.0,
2016-09-30,2016-11-16,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1069084.0,,,,,,,21166619.0,,,,,10456.0,10456.0,53.0,,,,,0.001,5000000.0,885130.0,885130.0,885.0,,,,,,,,,,,,,,,,,,631084.0,447301.0,,,,-0.02,,,,,3380.0,,,,,,3976.0,,,,,,,,,,,,,12132.0,,,,,,,2375135.0,10456.0,,147624.0,,,,,,-19210.0,,,7356.0,-7356.0,,278.0,,,,,,50000.0,,,,,,3380.0,,,-23528847.0,,,,,,,,-2364679.0,,,,,,,,,,,,,,,,,-3336.0,3336.0,,,885130.0,
2016-12-31,2017-04-07,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,955632.0,,,,,10417.0,349186.0,21225717.0,10417.0,,10417.0,10417.0,6045.0,6045.0,6045.0,,11984.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,35417.0,,,,,,14583.0,,2450000.0,836227.0,836227.0,,,,,564399.0,525954.0,,525954.0,,-0.14,,0.34,,,24558.0,0.0,,25000.0,,40203.0,30882.0,-62531.0,,-62531.0,,,19292.0,,-21260.0,1968.0,69174.0,13644.0,,113892.0,,,,,,349186.0,2258406.0,6045.0,,47448.0,,,100000.0,,-88016.0,-125062.0,,129556.0,79998.0,-79998.0,836227.0,-11578.0,,,,564399.0,,,,50000.0,,34247.0,50000.0,24558.0,-62531.0,,-23475776.0,,,,,,0.23,1034030.0,-2252361.0,2252361.0,34247.0,148900.0,,,,,,,74450.0,,25000.0,,9631.0,40203.0,,2085.0,3336.0,,,912794.0,
2017-03-31,2017-05-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,979350.0,,,,,4167.0,,21225717.0,,,,,18339.0,18339.0,18339.0,,12294.0,,,,,,,1034.0,,,39584.0,,,,,,,,,,,,,,,585976.0,529804.0,,,,-0.04,,,,,5381.0,13397.0,,,,,2576.0,,,,,,,,,,16247.0,1946.0,,16598.0,,,,,,,2311963.0,18339.0,,47513.0,,,17800.0,,-5506.0,-41263.0,,,7957.0,-7957.0,,-16708.0,,,,,,,,,,,17800.0,5381.0,-41263.0,,-23517039.0,,,,,,,,-2293624.0,,,,,,,,,,,,,,,,,,3336.0,,,1034030.0,
2017-06-30,2017-08-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1019155.0,,,,,,390287.0,21225717.0,,,,,12984.0,12984.0,12984.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,43751.0,,,,,,,,,,,,,,,,537419.0,,537419.0,,-0.08,,,,,,,,,,,2804.0,,,,,,,,,,,,,16872.0,,,,,,,2381759.0,12984.0,,65506.0,,,,,,-75151.0,,,6804.0,-6804.0,,-51475.0,,,,585659.0,,,,,,,,4000.0,,,-23592190.0,,,,,,,,-2368775.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,885130.0,
2017-09-30,2017-11-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1048505.0,,,,,4167.0,410107.0,21225717.0,,,,,8622.0,8622.0,8622.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,47918.0,,,,,,2082.0,,,,,,,,,,548402.0,,548402.0,,-0.08,,,,,,,,,,,3758.0,,,,,,,,,,,,,17056.0,,,,,,,2448588.0,8622.0,,75813.0,,,,,,-71191.0,,,6958.0,-6958.0,,-47177.0,,,,596834.0,,,,,,,,3200.0,,,-23663381.0,,,,,,,,-2439966.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,885130.0,
2017-12-31,2018-04-16,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1075409.0,,,,,14583.0,425405.0,21225717.0,,,14583.0,14583.0,4730.0,4730.0,4730.0,,-1315.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,50000.0,,,,0.06,0.06,14583.0,,100000.0,871772.0,21954.0,,,,,,549132.0,,549132.0,,-0.22,,0.34,,,,118486.0,,,,40203.0,11708.0,-224914.0,,,,,-814273.0,319734.0,-76471.0,40926.0,54870.0,7860.0,,65553.0,,46530.0,,,,425405.0,2482005.0,4730.0,,75813.0,,,27800.0,,-29115.0,-224914.0,,131000.0,38989.0,-38989.0,21954.0,-120372.0,,,,600651.0,,,,,,,27800.0,27281.0,-224914.0,,-23700690.0,,,,,,0.23,,-2477275.0,,,148900.0,,,,,,,74450.0,,,530084.0,8981.0,,,2085.0,3336.0,,,1034030.0,
2018-03-31,2018-05-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1088046.0,,,,,,441655.0,21225717.0,,,,,3708.0,3708.0,3708.0,,-1021.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,50000.0,,,,0.06,,,,,,,,,,,,546816.0,,546816.0,,-0.02,,,,,,12264.0,,,,,3541.0,,,,,,,,,,13334.0,-10709.0,,13013.0,,,,,,,2496893.0,3708.0,,75556.0,,,,,-1021.0,-15910.0,,,7079.0,-7079.0,,4182.0,,,,606068.0,,,,,,,,3538.0,,,-23716600.0,,,,,,,,-2493185.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2018-06-30,2018-08-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1070626.0,,,,,,444182.0,21225717.0,,,,,652.0,652.0,652.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,50000.0,,,,,,,,,,,,,,,,541927.0,,541927.0,,0.02,,,,,,,,,,,3343.0,,,,,,,,,,,,,12771.0,,,,,,,2468358.0,652.0,,85556.0,,,,,,25479.0,,,10018.0,-10018.0,,48268.0,,,,590290.0,,,,,,,,6675.0,,,-23691121.0,,,,,,,,-2467706.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2018-09-30,2018-11-19,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1027954.0,,,,,,456785.0,21225717.0,,,,,257.0,257.0,257.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,50000.0,,,,,,,,,,,,,,,,499338.0,,541927.0,,0.08,,,,,,,114237.0,,114237.0,,2657.0,,,,,,,,,,,,,12771.0,,,,,,,2383165.0,257.0,,85525.0,,,,,,84798.0,,,8719.0,-8719.0,,-7949.0,,,,590027.0,,,,,,,,6062.0,,,-23606323.0,,,,,,,,-2382908.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2018-12-31,2019-04-15,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,1012714.0,,,,,,470192.0,21283517.0,,,12741.0,,815.0,815.0,815.0,,-3915.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,62741.0,0.0,,,0.06,,45059.0,,,,,,,,,,491171.0,,541927.0,0.09,0.09,0.07,0.2491,,,,85095.0,114237.0,,,,12055.0,93510.0,,,2096.0,0.0,0.0,0.0,23294.0,-21198.0,-2368.0,10371.0,51207.0,63948.0,51207.0,,,,0.0,,2326780.0,815.0,,47330.0,,,30000.0,-44.0,-33871.0,93510.0,,,41874.0,-41874.0,,85095.0,,0.0,,583593.0,,,,30000.0,,,,29819.0,93510.0,,-23607180.0,,,,,,,,-2325965.0,,,0.0,,,,,,,,,,0.0,,,,2085.0,3336.0,,1348164.0,1034030.0,1034030.0
2019-03-31,2019-05-17,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1031541.0,,,,,,477556.0,21283517.0,,,14450.0,,997.0,997.0,997.0,,182.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,77191.0,,,,0.06,,30609.0,,,,,,,,,,494569.0,,549132.0,,-0.04,,,,,,1772.0,,,,,2606.0,,,,,,,,,,2306.0,-399.0,,29773.0,,,,,,,2365832.0,997.0,,53083.0,,,5600.0,,-5418.0,-38870.0,,,7325.0,-7325.0,,-1772.0,,,,579795.0,,,,,,,,4719.0,-38870.0,,-23646050.0,,,,,,,,-2364835.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2019-06-30,2019-08-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1056905.0,,,,,,495026.0,21283517.0,,,,,617.0,617.0,617.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,91641.0,,,,,,16159.0,,,,,,,,,,500586.0,,549132.0,,-0.05,,,,,,,,,,,2590.0,,,,,,,,,,,,,28575.0,11430.0,,,,,,2422251.0,617.0,,58741.0,,,,,,-56799.0,,,7465.0,-7465.0,,-20759.0,,,,584289.0,,,,,,,,4875.0,-56799.0,,-23702849.0,,,,,,,,-2421634.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2019-09-30,2019-11-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1036211.0,,,,,,,21283517.0,,,,,6764.0,6764.0,6764.0,,,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,106091.0,,,,,,1709.0,,,,,,,,,,502132.0,,549132.0,,0.0,,,,,,,,,,,3155.0,,,,,,,,,,,,,28401.0,11256.0,,,,,,2431632.0,6764.0,,84361.0,,,,,,-3234.0,,,6405.0,-6405.0,,31572.0,,,,572996.0,,,,,,,,3250.0,,,-23706083.0,,,,,,,,-2424868.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,1034030.0,
2019-12-31,2020-03-30,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,974013.0,119625.0,,119625.0,,,521156.0,21283517.0,,,45059.0,,2346.0,2346.0,2346.0,,1531.0,,,0.001,5000000.0,1034030.0,1034030.0,1034.0,,,107800.0,0.0,,,0.06,,45059.0,0.0,,229270.0,,,,,,,338109.0,167691.0,541927.0,0.11,,0.07,0.2491,,,,-20096.0,0.0,,,,20931.0,112252.0,112252.0,,0.0,0.0,207315.0,-4088.0,-236196.0,5006.0,14974.0,3172.0,57484.0,102543.0,57484.0,57484.0,,,0.0,,2216059.0,2346.0,,84509.0,,,36810.0,0.0,-35279.0,112252.0,,,52425.0,-52425.0,,-20096.0,167691.0,287316.0,,581379.0,,,,0.0,,,,31494.0,323407.0,,-23494928.0,0.0,0.0,0.0,,,,,-2213713.0,,,0.0,,,,0.0,,,,,,-236196.0,,,,2085.0,3336.0,-207315.0,1580838.0,,1034030.0
2020-03-31,2020-05-20,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,930710.0,,,,,,488629.0,21379650.0,,37104.0,,,19464.0,19464.0,19464.0,,17118.0,17118.0,,0.001,5000000.0,2005070.0,2005070.0,2005.0,,,107800.0,,,,0.06,,,,,,,,,,,,326559.0,,549132.0,,0.02,,,,,,58620.0,,,,,11702.0,,,,,0.0,,,,,13359.0,1927.0,,12996.0,10301.0,12996.0,,,0.0,,2113617.0,19464.0,,73859.0,,,25000.0,0.0,-7882.0,22456.0,,,23438.0,-23438.0,,58890.0,,,,546234.0,,,,,,,,11736.0,22456.0,,-23472472.0,0.0,0.0,,,,0.1,,-2094153.0,,97104.0,971040.0,,,,0.0,97104.0,,,,,,,,,2085.0,3336.0,,,1087384.0,
2020-06-30,2020-08-18,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,955244.0,,,,,,507973.0,21379650.0,,,,,804.0,804.0,804.0,,,,,0.001,5000000.0,2005070.0,2005070.0,2005.0,,,107800.0,,,,,,,,,,,,,,,,338958.0,,549132.0,,-0.03,,,,,,,,,,,11456.0,,,,,,,,,,,,,13127.0,10432.0,,,,,,2159262.0,804.0,,73859.0,,,,,,-64305.0,,,17676.0,-17676.0,,-33502.0,,0.0,,554148.0,,,,,,,,6220.0,-64305.0,,-23536777.0,,,,,,0.1,,-2158458.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,2005070.0,
2020-09-30,2020-11-19,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,1001141.0,,,,,,530992.0,21379650.0,,,,,911.0,911.0,911.0,,,,,0.001,5000000.0,2005070.0,2005070.0,2005.0,,,107800.0,,,,,,,,,,,,,,,,343032.0,,,,-0.03,,,,,,,,,,0.0,12224.0,,,,,,,,,,,,,13318.0,10623.0,,,,,,2226960.0,911.0,,79307.0,,,,,,-67591.0,,,17373.0,-17373.0,,-36900.0,,0.0,,565988.0,,,,,,,,5149.0,-67591.0,,-23604368.0,,,0.0,,,0.1,,-2226049.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,2005070.0,
2020-12-31,2021-04-09,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,867710.0,,,,,,515263.0,21290189.0,,,0.0,,4994.0,4994.0,4994.0,,2648.0,,0.0,0.001,500000000.0,4610670.0,4610670.0,4611.0,,,107800.0,,,,0.06,,,0.0,,303476.0,,,,,,,352651.0,,,-0.25,,-0.25,,,,,-64892.0,,,,,38037.0,,-477596.0,,0.0,0.0,,0.0,-41753.0,,28317.0,12547.0,,51902.0,51902.0,51902.0,,,0.0,,2056054.0,4994.0,,74664.0,,,40000.0,0.0,-37352.0,-477596.0,,,78355.0,-78355.0,,-64753.0,,0.0,,522552.0,,,,,,,,40318.0,-845752.0,,-23972524.0,0.0,0.0,0.0,0.1,,,,-2051060.0,-2047724.0,640249.0,3576640.0,,,,0.0,543145.0,,,,,,,,2085.0,2085.0,3336.0,-74206.0,1876218.0,,1876218.0
2021-03-31,2021-05-18,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,871361.0,,,,,,518634.0,21920189.0,,,,,907.0,907.0,907.0,,,-4087.0,0.0,0.001,5000000.0,4610670.0,4610670.0,4611.0,,,107800.0,,,,0.06,,,,,,,,,,,,357983.0,,,,0.0,,,,,,37878.0,,,,,3360.0,,,,,0.0,,,,,20028.0,3723.0,,12299.0,9604.0,12299.0,,,0.0,,2054226.0,907.0,,74762.0,,,0.0,0.0,-4087.0,-2259.0,,,10673.0,-10673.0,,20713.0,,,,511372.0,,,,,,,,7313.0,-2259.0,,-23974783.0,0.0,0.0,0.0,,0.0,,,-2053319.0,-2049983.0,,,,,,0.0,,,,,,,,,,2085.0,3336.0,,,4610670.0,
2021-06-30,2021-08-16,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,695995.0,,,,163586.0,,489568.0,21290189.0,,,,,15602.0,15602.0,15602.0,,,,,0.001,500000000.0,4610670.0,4610670.0,4611.0,,,107800.0,,,,,,,,,,,,,,,,158348.0,,,,0.09,,,,,,,,,,,3754.0,,,,,,,,,,,,,6823.0,6823.0,,,,,,1648813.0,15602.0,,74878.0,,,,,,420108.0,,,17648.0,-17648.0,,-14254.0,,458833.0,,480524.0,,,,,,,,13894.0,420108.0,,-23554675.0,,,0.0,,0.0,,,-1633211.0,-1629875.0,,,,,,,,,,,,,,,,2085.0,3336.0,,,4610670.0,
2021-09-30,2021-11-22,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,39176.0,662251.0,,,163586.0,,0.0,35956574.0,,,,,19.0,19.0,19.0,,,,,,,,34148518.0,34149.0,,107800.0,0.0,,,,,,,,,,,,,,149124.0,,35298.0,,,,-0.46,,,,,,,,,,-12460079.0,4740.0,,,,,,,,,,,,,0.0,0.0,,,,,,74674.0,19.0,74762.0,0.0,,,,,,-12507367.0,,,47538.0,-47538.0,,250.0,,0.0,92935.0,0.0,,,,,,,,42798.0,-12507367.0,,-36062042.0,,,0.0,0.1,,,,-74655.0,-71319.0,,,,,,,14065923.0,,,,,,,,2085.0,,3336.0,,,27085120.0,
