end,filed,form,Name,Ticker,CIK,Currency,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredFederalIncomeTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestIncomeOperating,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,ProceedsFromInterestReceived,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WithdrawalFromContractHoldersFunds
2008-10-31,2009-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,,,,152163185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2010-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,,,,560327680.0,408164495.0,,,0.15,,,,,6000000.0,555522004.0,,,628316.0,,,,,0.19,,51496996.0,,-55400.0,,,,-1413641.0,,,612517.0,,,,,,,,,357018802.0,,-351303.0,-785325.0,,1397842.0,,-33499.0,-33499.0,,-818824.0,,1260709.0,,106403278.0,628316.0,,909406.0,,464050396.0,,,,,612517.0,1397842.0,,,,,,,,,,,,,,,,
2010-07-31,2010-09-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,,,,613284852.0,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,69294.0,,,,,,,,,,,,-537670.0,,606964.0,,,-6029.0,,-543699.0,,,,,,,,,,,,,,69294.0,606964.0,,,,,,,,,,,,,,,,
2010-10-31,2011-01-14,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,571886022.0,,,571642324.0,11314644.0,,,0.0,,,,,5850000.0,571687445.0,,,15997.0,,,,,-0.28,,32389234.0,,9329.0,,242867.0,,-1735627.0,581704075.0,571643155.0,647347.0,,242867.0,,,,571886022.0,198577.0,,-19124285.0,,-1950305.0,-1719630.0,831.0,2366977.0,197746.0,-7589.0,-7589.0,,-1727219.0,,2355834.0,,268320490.0,15997.0,,405529.0,,249212202.0,,,,,647347.0,2366977.0,2600000.0,249212202.0,2750000.0,263517597.0,571687445.0,,,,,,26500000.0,5850000.0,5850000.0,,6171233.0,
2011-01-31,2011-03-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,,,,601442201.0,29799877.0,,,0.02,,,,,,,,,,,,,,0.03,,10005557.0,,-805.0,,250649.0,,,,,761733.0,,,,,,,,,19641658.0,,152662.0,157677.0,,604056.0,,,718.0,,158395.0,,605518.0,,69278250.0,150933.0,,758180.0,,89070841.0,,,,,761733.0,604056.0,,,,,,,,,,,,,,,6064674.0,
2011-04-30,2011-06-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,,,,733579970.0,,,,0.03,,,,,,,,,,,,,,0.03,,,,,,,,,,,833781.0,,,,,,,,,,,,188931.0,,644850.0,,,4928.0,,193859.0,,,,,,,,,,,,,,833781.0,644850.0,,,,,,,,,,,,,,,6531461.0,
2011-07-31,2011-09-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,1006184403.0,,,953562992.0,,,,0.04,,,,,,,,,,,,,,0.05,,,,,,,,,,953565831.0,1311627.0,,501856.0,,,,1006184403.0,331852.0,,,,,404906.0,2839.0,906721.0,329013.0,,5665.0,,410571.0,,,,,,,,,,,,,,1311627.0,906721.0,,,,,1005852551.0,,,,,,26500000.0,9650000.0,9650000.0,,8848370.0,
2011-10-31,2011-12-23,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,0.0,,636073593.0,,,635703495.0,64061171.0,,,0.19,,,,,6350000.0,635831194.0,1140657.0,,1055793.0,,,,,0.19,,13692068.0,,-1632.0,,-360153.0,,70553.0,631422374.0,635713440.0,5407781.0,,360153.0,4157461.0,,,636073593.0,242399.0,49326967.0,49326967.0,1042136.0,1042136.0,1501178.0,9945.0,3906603.0,232454.0,14311.0,17311.0,14311.0,1518489.0,,2998190.0,,725504395.0,1055793.0,,4040326.0,,775887155.0,,,,0.0,5407781.0,3906603.0,7700000.0,775887155.0,7200000.0,725504395.0,635831194.0,,635831194.0,,,,26500000.0,4950000.0,6350000.0,,16149799.0,
2012-01-31,2012-03-12,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,585257261.0,,,585008632.0,-50694863.0,,,0.05,,,,,,,232806.0,,,,,,,0.04,,-6878418.0,,2575.0,,248629.0,,,,585008632.0,821372.0,,248629.0,821372.0,,,585257261.0,198215.0,,-44119823.0,,303378.0,228668.0,,592704.0,198215.0,,4138.0,4138.0,232806.0,,624149.0,,43828778.0,291045.0,,927527.0,,,,,,,821372.0,592704.0,,,,,585059046.0,,,,,,26500000.0,5900000.0,5900000.0,,6030435.0,
2012-04-30,2012-06-11,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,578968048.0,,,578734308.0,,,,0.03,,,,,,,145855.0,,,,,,,0.03,,,,,,,,,,578734164.0,715504.0,,233740.0,715504.0,,,578968048.0,188934.0,,,,,144938.0,,570566.0,188934.0,,917.0,917.0,145855.0,,,,,,,,,,,,,,715504.0,570566.0,,,,,,,578779114.0,,,,26500000.0,5750000.0,5750000.0,,5791111.0,
