end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesAndOtherLiabilities,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDeposits,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationDeductionsOther,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,InterestIncomeOperating,InterestPaidNet,InventoryNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OtherCommitment,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RecapitalizationCosts,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SalesAndExciseTaxPayableCurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CashEquivalentsAtCarryingValue,PreferredStockLiquidationPreference,ShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,AccruedLiabilitiesCurrent
2015-09-30,2015-11-23,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,,160156.0,,99175.0,99175.0,10193.0,10193.0,,,,0.001,100000000.0,1000000.0,1000000.0,1000.0,0.0,,,,,0.0,,,6321.0,0.0,0.0,,-6251.0,0.0,,,,,,,,,,,,88982.0,,,99175.0,48217.0,,,,,-6251.0,,35402.0,35402.0,,0.0,,,,,0.001,10000000.0,,,,,,,,,,,-110198.0,0.0,12815.0,50958.0,,,,,,3000000.0,,,,,
2015-12-31,2016-04-14,10-K,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,0.0,44002.0,,158156.0,,113016.0,113016.0,31976.0,31976.0,-24005.0,,,0.001,100000000.0,3000000.0,3000000.0,3000.0,165936.0,-1800.0,19583.0,30800.0,53000.0,-35999.0,0.34,0.05,15690.0,5691.0,-35999.0,,,,,-12239.0,,,19583.0,-3415.0,-29797.0,25623.0,,,,81040.0,26000.0,,113016.0,66805.0,,,-24005.0,,-35999.0,,44002.0,35402.0,26000.0,41690.0,43000.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-35999.0,,26000.0,-114945.0,171627.0,3220.0,46211.0,,,,,14039.0,-0.04,,,,,
2016-03-31,2016-05-20,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,50802.0,,192106.0,,124461.0,124461.0,64821.0,64821.0,32845.0,,,0.001,100000000.0,4050000.0,4050000.0,4050.0,42321.0,,3083.0,,,0.01,,,4621.0,-439.0,-11560.0,,,,,,,,16500.0,-2295.0,21400.0,6800.0,,,,59640.0,6500.0,,124461.0,54810.0,41800.0,,-8955.0,,-11560.0,,50802.0,35402.0,26000.0,11121.0,,,,,0.001,100000000.0,,,,,35000.0,,,,,,-126505.0,41882.0,925.0,69651.0,,,,,,3700000.0,,,,,
2016-06-30,2016-08-19,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,,192106.0,,0.0,0.0,0.0,0.0,,,,0.001,100000000.0,4050000.0,4050000.0,4050.0,0.0,,0.0,,,-0.02,,,,0.0,0.0,,-69451.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,-69451.0,,0.0,,,0.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,-196156.0,0.0,0.0,0.0,,,,,,4050000.0,,,,,
2016-09-30,2016-10-28,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,14704.0,,,192106.0,,0.0,0.0,0.0,0.0,,,,0.001,100000000.0,4050000.0,4050000.0,4050.0,0.0,,0.0,,,0.0,,,,0.0,-14704.0,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,14704.0,,,,,-14704.0,,0.0,,,14704.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,-210860.0,0.0,0.0,-14704.0,,,,,,4050000.0,,,,,
2020-03-31,2022-02-11,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,14704.0,192106.0,,,,0.0,0.0,,0.0,,0.001,100000000.0,44550000.0,44550000.0,44550.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,,,14704.0,,14704.0,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.001,10000000.0,0.0,0.0,,,,0.0,,,,,-251360.0,0.0,,-14704.0,-14704.0,,,,,44550000.0,,,,,14704.0
2020-06-30,2022-02-11,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,14704.0,192106.0,,,,0.0,,,,,0.001,100000000.0,44550000.0,44550000.0,44550.0,,,,,,0.0,,,7926.0,,,,,,,,,,,,,,,,,,,22630.0,,22630.0,,,,,-7926.0,,7926.0,,,7926.0,-7926.0,0.0,,,0.001,10000000.0,0.0,0.0,,,,,,-7926.0,,,-259286.0,,,-22630.0,,,,,,44550000.0,,,,,
2020-09-30,2022-02-11,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,14704.0,192106.0,,,,,,,,,0.001,100000000.0,44550000.0,44550000.0,44550.0,,,,,,0.0,,,2060.0,,,0.0,,,,,,,,,,,,,,,,24689.0,,24689.0,,,,,-2060.0,,9985.0,,,2060.0,-2060.0,0.0,,,0.001,10000000.0,0.0,0.0,,,,,,-2060.0,,,-261345.0,,,-24689.0,,,,,,44550000.0,0.0,,,,
2020-12-31,2021-09-24,10-K,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,14704.0,192106.0,,0.0,0.0,0.0,0.0,,0.0,,0.001,100000000.0,44550000.0,44550000.0,44550.0,,,,,,0.0,,,12835.0,,,,,0.0,0.0,,,,,,,,,,0.0,,,27539.0,0.0,27539.0,12835.0,,-12835.0,,-12835.0,,12835.0,12835.0,,12835.0,-12835.0,0.0,0.0,,0.001,10000000.0,0.0,0.0,0.0,,,12835.0,,-12835.0,,,-264195.0,0.0,,-27539.0,-27539.0,,,,,44550000.0,0.0,,,,
2021-03-31,2021-09-24,10-Q,BALINCAN INTERNATIONAL INC.,ALTB,CIK0001642365,USD,,,14704.0,192106.0,,0.0,0.0,,0.0,,0.0,,0.001,100000000.0,44550000.0,44550000.0,44550.0,,,,,,0.0,,,1600.0,,,,,0.0,0.0,,,,,,,,,,0.0,,,29139.0,0.0,29139.0,1600.0,,-1600.0,,-1600.0,,14435.0,,,1600.0,-1600.0,0.0,0.0,,0.001,10000000.0,0.0,0.0,0.0,,,1600.0,,-1600.0,,,-265795.0,0.0,,-29139.0,-29139.0,,,,,44550000.0,,,,,
