end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,BankOverdrafts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebt,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentIncreaseDecreaseOtherNet,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredCompensationShareBasedArrangementsLiabilityCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,Deposits,DilutiveSecurities,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainLossOnContractTermination,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOtherDeposits,InducedConversionOfConvertibleDebtExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1,NoninterestBearingDepositLiabilities,NonoperatingIncomeExpense,NotesAndLoansPayableCurrent,NotesIssued1,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCommitment,OtherCommitmentDueInFourthYear,OtherCommitmentDueInThirdYear,OtherCommitmentsFutureMinimumPaymentsRemainderOfFiscalYear,OtherNoncashExpense,OtherNoncashIncomeExpense,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromAdvancesForConstruction,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSecuredNotesPayable,ProceedsFromWarrantExercises,ProfitLoss,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesRevenueNet,StockholdersEquity,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfSharesOutstandingBasic
2008-06-30,2008-11-10,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74429.0,,,,,,,,,,
2009-06-30,2009-09-28,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186191.0,,,,,,,,,,
2010-06-30,2010-08-13,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-241392.0,,,,,,,,,,
2010-09-30,2010-11-05,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,0.0,,,,,1162.0,1040.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,18250.0,0.0,,-22992.0,0.0,,,,14032.0,0.0,,,,,,,,4742.0,,,,,,,10000.0,0.0,-8960.0,,,,,,,,,,-18250.0,,,,,,,,,,,,,,,,,0.0,,,,,10000.0,0.0,-22992.0,,,,0.0,,,,,,,,,,,7473558.0
2010-12-31,2011-02-02,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,,,,,,569.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,4011.0,0.0,,-8776.0,0.0,,,,,,,,,,,,,4765.0,,,,,,,,,,,,,,,,,,,-4011.0,,,,,,,,,,,,,,,,,,,,,,,,-8776.0,,,,0.0,,,,,,,,,,,8669210.0
2011-03-31,2011-04-22,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,,,,,,,,,,,1130.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,14315.0,0.0,,-19608.0,0.0,,,,,,,,,,,,,5293.0,,,,,,,,,,,,,,,,,,,-14315.0,,,,,,,,,,,,,,,,,,,,,,,,-19608.0,,,,0.0,,,,,,,,,,,8669210.0
2011-06-30,2011-09-26,10-K,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,28250.0,24500.0,,317045.0,,0.0,,2425.0,2425.0,,2425.0,2303.0,,20000000.0,12669210.0,,,126692.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,41946.0,0.0,,-59044.0,0.0,,,,21347.0,0.0,,,,,,40000.0,,17098.0,,,2425.0,242861.0,,,40000.0,0.0,-37697.0,-59044.0,,,,,,,190111.0,,-41946.0,,,,,,,0.0,,,,1000000.0,0.0,,0.0,,,0.0,,,,,40000.0,,-59044.0,,,-684173.0,0.0,240436.0,,40000.0,,,,20000.0,,,,8696607.0
2011-09-30,2011-11-14,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,33525.0,24500.0,,327045.0,,20000.0,,5869.0,5869.0,,5869.0,3444.0,,20000000.0,13669210.0,,,136692.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,11832.0,0.0,,-38771.0,0.0,,,,12215.0,0.0,,,,,,,,26939.0,,,5869.0,265076.0,,,10000.0,0.0,-6556.0,,0.0,,,,,,207051.0,,-11832.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,0.0,,,,,10000.0,20000.0,-38771.0,,,-722944.0,0.0,-259207.0,,,,,,,,,,14224766.0
2011-12-31,2012-02-14,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,34579.0,24500.0,,327046.0,,,,273.0,273.0,,273.0,,,20000000.0,13669210.0,,,136692.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,6650.0,0.0,,-11090.0,0.0,,,,,,,,,,,,,4440.0,,,273.0,270569.0,,,,,,,,,,,,,211490.0,,-6650.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-11090.0,,,-734034.0,0.0,-270296.0,,,,,,,,,,13669210.0
2012-03-31,2012-05-01,10-Q,"STEMGEN, INC.",SGNI,CIK0001023198,USD,,35899.0,24500.0,,327046.0,,,,1844.0,1844.0,,1844.0,,,20000000.0,13669210.0,,,136692.0,,,,,,0.0,,,,,,,,,,,,,,,,,-0.05,,,,,,,,0.0,,0.0,4750.0,0.0,,-9350.0,0.0,,,,,,,,,,,,,4600.0,,,1844.0,281489.0,,,,,,,,,,,,,221090.0,,-4750.0,,,,,,,,,,,1000000.0,0.0,,0.0,,,,,,,,,,-9350.0,,,-743383.0,0.0,-279645.0,,,,,,,,,,170865.0
