end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,DeferredOfferingCosts,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeNonoperating,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MinimumNetWorthRequiredForCompliance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PaymentsToAcquireRestrictedInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesOther,TaxesPayableCurrent,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityAggregateAmountOfRedemptionRequirement,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityLiquidationPreference,TemporaryEquitySharesOutstanding,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,PrepaidExpenseNoncurrent,ProfessionalFees,ValuationAllowanceDeferredTaxAssetChangeInAmount
2021-03-31,2021-07-02,10-Q,Dynamics Special Purpose Corp.,DYNS,CIK0001854270,USD,28.0,1000.0,24425.0,,373657.0,,,,0.0,0.0,0.0,,373657.0,11650.0,0.0,28.0,1000.0,,,,349835.0,373657.0,,5000001.0,,,0.0,-1178.0,,,,0.0001,1000000.0,0.0,0.0,0.0,,,,,,-1178.0,23822.0,25000.0,,,,,,,,,,0.0,0.0,5000000.0,100000.0,,,,,,,,,,,,,,,,,,
2021-06-30,2021-08-06,10-Q,Dynamics Special Purpose Corp.,DYNS,CIK0001854270,USD,4513.0,,0.0,,231885351.0,1884386.0,230000965.0,1096895.0,1096895.0,1096895.0,0.0,250000.0,13181867.0,,,4513.0,,2347.0,787491.0,965.0,8111025.0,231885351.0,61025.0,5000001.0,232031570.0,-230000000.0,-934675.0,-206066.0,-207031.0,523430.0,230000000.0,0.0001,1000000.0,0.0,0.0,0.0,787491.0,225400000.0,7155000.0,250000.0,250000.0,-6226321.0,-6225674.0,,217199768.0,-218774320.0,54165.0,54165.0,13181867.0,13181867.0,230000000.0,,23000000.0,0.0,0.0,,100000.0,,,,,,,,,,,,,,,,,,
2021-09-30,2021-11-10,10-Q,Dynamics Special Purpose Corp.,DYNS,CIK0001854270,USD,85.0,,0.0,,231661492.0,1657567.0,230003925.0,984544.0,984544.0,,0.0,250000.0,13181867.0,,-0.01,,,,,2960.0,8178846.0,231661492.0,128846.0,5000001.0,,,,-291680.0,-294640.0,,,0.0001,1000000.0,0.0,0.0,0.0,673023.0,,,,,-6518001.0,-6517354.0,,,,41184.0,95349.0,,13181867.0,230000000.0,23000000.0,,0.0,0.0,29465500.0,,,,,,,,,,,,,,,,,,,
2021-12-31,2022-03-07,10-K,Dynamics Special Purpose Corp.,DYNS,CIK0001854270,USD,,3078822.0,0.0,,231456663.0,1297365.0,230008784.0,889323.0,889323.0,,0.0,250000.0,13181867.0,,,,,,,,10332181.0,231456663.0,3282181.0,5000001.0,,,,,,,,0.0001,1000000.0,0.0,0.0,0.0,408042.0,,,,,-8876165.0,-8875518.0,,,,,163839.0,,13181867.0,230000000.0,,,0.0,0.0,,,,,,,584028.0,0.0,32562.0,584028.0,,,,,,,,150514.0,,
