end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,PreferredStockValue,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccruedLiabilitiesCurrentAndNoncurrent,AccruedSalariesCurrent,AdjustmentForAmortization,Cash,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ConvertibleNotesPayable,DueToAffiliateCurrent,DueToOfficersOrStockholdersCurrent,NotesPayable,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities
2008-06-30,2008-08-19,10-Q,CONECTISYS CORPORATION,CONC,CIK0000790273,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524000.0,,,,,498132.0,2418148.0,172581.0,,,,,,,,,40174.0,6633312.0,
2020-09-30,2021-08-31,10-K,CONECTISYS CORPORATION,CONC,CIK0000790273,USD,9921.0,0.0,0.0,0.0,0.0,0.0,32246441.0,-5941.0,0.0,17445.0,-0.03,5941.0,0.0,0.0,0.0,2150.0,3791.0,0.0,27366.0,0.0,27366.0,0.0,0.0,,-5941.0,5941.0,-5941.0,0.0,0.0,-5941.0,0.0,-32273707.0,0.0,-27366.0,100.0,,215675.0,,,,,,,,,,,,,,
2020-12-31,2021-09-21,10-Q,CONECTISYS CORPORATION,CONC,CIK0000790273,USD,,,,,0.0,0.0,,,0.0,,-0.01,2850.0,0.0,,0.0,2850.0,,0.0,,,,0.0,0.0,0.0,-2850.0,,,,,,,,0.0,,,,370241.0,,,,,,,,,,,,,,
2021-09-30,2021-11-10,10-K,CONECTISYS CORPORATION,CONC,CIK0000790273,USD,31540.0,0.0,0.0,0.0,0.0,0.0,32246441.0,-4274.0,0.0,20884.0,0.0,4274.0,0.0,0.0,0.0,735.0,3439.0,0.0,31540.0,0.0,31540.0,0.0,100.0,-100.0,-4274.0,4274.0,-4274.0,0.0,0.0,-4274.0,0.0,-32277981.0,0.0,-31540.0,0.0,100.0,888579.0,,,,0.0,0.0,0.0,250000000.0,888579.0,888579.0,,,,,
2021-12-31,2022-02-03,10-Q,CONECTISYS CORPORATION,CONC,CIK0000790273,USD,34102.0,,0.0,,0.0,0.0,32246441.0,,0.0,,0.0,2562.0,0.0,,0.0,2562.0,,0.0,34102.0,0.0,,0.0,0.0,0.0,-2562.0,,,,0.0,,,-32280543.0,0.0,-34102.0,,,888579.0,,,,0.0,0.0,0.0,250000000.0,888579.0,888579.0,3550657.0,3082655.0,,,67620000.0
