end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssetsPresentValueOfExpectedRecoveries,Depreciation,DeterioratedLoansTransferredInDebtSecuritiesAccreditableYieldPeriodIncreaseDecrease,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationMinorityInterestIncomeExpense,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OtherAssetsCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfMediumTermNotes,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockPlans,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueServicesNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsOtherShareIncreaseDecreaseInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,SharesIssued,ShorttermDebtAverageOutstandingAmount,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,BusinessCombinationConsiderationTransferred1,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,DueToAffiliateCurrentAndNoncurrent,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccountsReceivableSale,AllocatedShareBasedCompensationExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DepositAssets,Deposits,DueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,PaymentsOfDebtExtinguishmentCosts,ProceedsFromIssuanceOfPreferredStockPreferenceStockAndWarrants,SecurityDeposit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,SharePrice,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures
2016-10-31,2016-12-15,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,,,,,,,,,,,7802.0,,7497.0,,,,,,,75000000.0,10000000.0,10000000.0,10000.0,,,,,0.0,,,,,,,,,,,1343.0,0.0,,,,4213.0,3900.0,,,,,,,,,,,,,1343.0,7802.0,,,,,,-313.0,,4213.0,-313.0,,,,,,,,4213.0,,,,,,305.0,,,,,,,,,,,,,,,-3541.0,3900.0,,3900.0,,,,,,,,,,,,,,,6459.0,,,,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,
2017-01-31,2017-02-28,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,,,,,23310.0,,,,,,33633.0,,33328.0,,,,,,,75000000.0,12590000.0,12590000.0,12590.0,,,,,0.0,,,,,,,,,,,2343.0,0.0,,,,1069.0,0.0,,,,,,,,,,,,,2343.0,33633.0,,,,,,-1069.0,,1069.0,-1069.0,,,,,,,,1069.0,,,,,,305.0,,,,,,,,,,,,,,,-4610.0,0.0,,,,,,,,,,,,,,,,,31290.0,,,,,,221593460.0,11079673.0,,,,,,,,,,,,,,,,,,,,,
2017-04-30,2017-07-31,10-K,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,,,,-215900.0,23310.0,23310.0,,,,,35336.0,29736.0,29728.0,19678.0,,,,,0.001,1500000000.0,251800000.0,251800000.0,251800.0,,,,,0.0,,-988.0,,-2907.0,988.0,,,,,2343.0,2343.0,0.0,0.34,,,15613.0,13600.0,,9646.0,,,,,,91.0,91.0,,,,2343.0,35336.0,2343.0,,27200.0,-5600.0,-1922.0,-2013.0,,15613.0,-2013.0,,,,,,,5600.0,15613.0,,5600.0,,,,8.0,1300.0,25900.0,,,,1300.0,,,,-2013.0,5600.0,,,,-2907.0,13600.0,,13600.0,,,,,,,,,,,,12590000.0,,32993.0,32993.0,,2590000.0,,25900.0,,218073420.0,10903671.0,,,,,,,,,,,,,,,,,,,,,
2017-07-31,2017-09-08,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,,,,,30310.0,,,,,,24648.0,10084.0,14556.0,-15172.0,,,,,,75000000.0,5590000.0,5590000.0,5590.0,,,,,0.0,,,,,,,616.0,,,,2343.0,0.0,,,,10688.0,0.0,,,,,,,,,,,,,2343.0,24648.0,,,0.0,-5100.0,-10072.0,-10688.0,,10688.0,-10688.0,,,,,,,,10688.0,,5100.0,,,,8.0,,,,,,,,,,-10688.0,,,,,-13595.0,0.0,,,,,,,,,,,,,,,,,22305.0,,,,,,111800000.0,5590000.0,,,,,,,,,,,,,,,,,,,,,
2017-10-31,2018-03-22,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,,,,22473.0,,,,,,,9975.0,9975.0,9975.0,,,250000.0,,,0.001,75000000.0,5590000.0,5590000.0,5590.0,,,,,,,,,,,,,,,10000.0,,0.0,,,,14493.0,,,,,,,,,,,,,,10000.0,9975.0,10000.0,,,,,-14493.0,,14493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28088.0,,,,,,,,,,,,,,,,,-25.0,,,,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,2018-04-06,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,3228.0,,,-83737.0,,,,,,,1425.0,1425.0,,,,250000.0,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,,,,,,,,,,10000.0,,0.0,,,,11778.0,,,,,,,,,,,,,,13228.0,1425.0,13228.0,,,,,-11778.0,,11778.0,,,,,,,,,,,,,,,1425.0,,,,,,,,,,,,,,,-39866.0,,,,,,,,,,,,,,,,,-11803.0,,,,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,2018-09-11,10-K,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,1760.0,,,-83737.0,,,,,,,403.0,403.0,,-29728.0,0.0,250000.0,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,2247.0,-10634.0,,-50638.0,10634.0,,616.0,,,21218.0,,0.0,0.21,,,47731.0,,,8571.0,,,,1760.0,,,-395.0,,,,22978.0,403.0,22978.0,,21122.0,-5100.0,-45750.0,-47731.0,,47731.0,-47731.0,,,,,,50638.0,,,,-5100.0,,,,403.0,,,,,,21218.0,,,,,,,,-96.0,-50638.0,,,,,,,,,,,,,,,,21218.0,-22575.0,,,,,,,142868493.0,,,,,,,,,,,,,,,,,,,,,,
2018-07-31,2018-09-19,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,828.0,,,-83737.0,,,,,,,21579.0,21579.0,,,,250000.0,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,,,,,,,,,,50768.0,,0.0,,,,7442.0,,,,,,,-932.0,,,-21176.0,,,,51596.0,21579.0,51596.0,,29550.0,,-29550.0,-7442.0,,7442.0,-7442.0,,,,,,,,,,,,,,21579.0,,,,,,29550.0,,,,-7442.0,,,,,-58080.0,,,,,,,,,,,,,,,-30017.0,50768.0,-30017.0,,,,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,2018-12-13,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,650.0,,,-83737.0,,,,,,,21888.0,21888.0,,,,250000.0,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,,,,,,,,,,72268.0,,0.0,,,,21013.0,,,,,,,,,,,,,,72918.0,21888.0,72918.0,,,,,-21013.0,,21013.0,-21013.0,,,,,,,,,,,,,,21888.0,,,,,,,,,,-21013.0,,,,,-79093.0,,,,,,,,,,,,,,,,,-51030.0,,,,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,2019-03-12,10-Q,"GPO PLUS, INC.",GPOX,CIK0001673475,USD,,7480.0,,,-83737.0,,,,,,,21070.0,21070.0,,,,250000.0,,,0.001,1500000000.0,111800000.0,111800000.0,111800.0,,,,,,,,,,,,,,,72268.0,,0.0,,,,7648.0,,,,,,,,,,,,,,79748.0,21070.0,79748.0,,,,,-7648.0,,7648.0,-7648.0,,,,,,,,,,,,,,21070.0,,,,,,,,,,-7648.0,,,,,-86741.0,,,,,,,,,,,,,,,,,-58678.0,,,,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,,
