end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentDecreaseForgiveness,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherGeneralAndAdministrativeExpense,OtherIncomeTaxExpenseBenefitContinuingOperations,PostconfirmationCommonStock,PostconfirmationCurrentAssets,PostconfirmationCurrentLiabilities,PostconfirmationOtherAssets,PostconfirmationOtherNoncurrentObligations,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,ReorganizationValue,RepaymentsOfRelatedPartyDebt,RestructuringCharges,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesIssuedPricePerShare,SharesOutstanding,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-12-31,2013-03-11,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,600.0,600.0,53235.0,,,874.0,,874.0,874.0,186.0,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-22664.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,-62961.0,,0.0,,,0.0,,,0.0,,-22664.0,,,0.0,0.0,0.0,,,-7700.0,,0.0,600.0,,0.0,,,,,0.0,0.0,,0.0,600.0,874.0,,22250.0,,0.0,-22064.0,,-22664.0,,22664.0,-22664.0,21400.0,,,,0.0,,,13804.0,7700.0,,,,,,0.001,10000000.0,,,0.0,,,22250.0,22250.0,0.0,,,,0.0,,,,,8860.0,-22664.0,,,,0.0,,0.0,,,274.0,0.0,274.0,,,,-21400.0,7700.0,10000005.0,
2013-03-31,2013-05-20,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,4635.0,53235.0,,,874.0,,874.0,874.0,0.0,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,-66996.0,,,,,0.0,,,0.0,1210.0,-4035.0,,,,0.0,0.0,,,-1400.0,,0.0,4035.0,,0.0,,,,,0.0,0.0,,0.0,4635.0,874.0,,0.0,,0.0,0.0,,-4035.0,,4035.0,,16200.0,,,,,,,,1400.0,1000.0,1000.0,0.0,0.0,0.0,0.001,10000000.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,2825.0,-4035.0,,1000.0,,0.0,,0.0,,,,0.0,-3761.0,,,,-16200.0,1400.0,10000005.0,
2013-06-30,2013-08-05,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,56635.0,,,229.0,,229.0,229.0,,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,,,,,,,,,0.0,,,,-68855.0,,,,,0.0,,,,659.0,-1859.0,-1859.0,,,,,,,,,,,,,,,,,,,,,2449.0,229.0,,,,,,,-1859.0,,1859.0,,16800.0,,,,,,-1859.0,659.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,,,,,,1200.0,,,,,0.0,,0.0,,,,,-2220.0,,,,-16800.0,,10000005.0,
2013-09-30,2013-11-19,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,2165.0,58835.0,,,264.0,,264.0,264.0,,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,,,,,,,,,0.0,,,,-70736.0,,,,,0.0,,,,380.0,-1880.0,-1880.0,,,,,,,,,,,,,,,,,,,,,2165.0,264.0,,,,,,,-1880.0,,1880.0,,17500.0,,,,,0.0,-1880.0,380.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,,,,,,1500.0,,,,,0.0,,0.0,,,,,-1901.0,,,,-17500.0,,10000005.0,
2013-12-31,2014-04-15,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,22910.0,,22910.0,58835.0,58835.0,,238.0,,238.0,238.0,-636.0,,,238.0,,0.001,100000000.0,10000005.0,10000005.0,10000.0,,0.0,0.0,,,,0.0,0.0,0.0,32400.0,32400.0,,-95332.0,,3825.0,,3825.0,0.0,0.34,,0.0,7346.0,-32371.0,-32371.0,,,0.0,0.0,,,-11000.0,11000.0,0.0,22310.0,,,,,,,,,,0.0,26735.0,238.0,,9425.0,,0.0,-10061.0,,-32371.0,,32371.0,,32400.0,,,,,,,7346.0,11000.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,5600.0,5600.0,0.0,,,,3825.0,,,3825.0,,25025.0,-32371.0,,,,0.0,-95332.0,0.0,,,-26497.0,0.0,-26497.0,,,,-32400.0,11000.0,10000005.0,
2014-03-31,2014-05-15,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,40998.0,,,3001130.0,,,2942177.0,,,2942177.0,2941939.0,,,2942177.0,,0.001,100000000.0,11018848.0,11018848.0,11019.0,,,,,,,,,,,,,-140204.0,,,,29234.0,0.0,,,,5665.0,-44872.0,-44872.0,,,,0.0,,,,,,18088.0,,,,,,,,,,0.0,70232.0,2942177.0,,2968723.0,,0.0,-26784.0,,-44872.0,,44872.0,,,,,,,,,,,,,,,,0.001,10000000.0,,,0.0,,,375.0,375.0,2942939.0,,2942939.0,,25409.0,,,25409.0,,39207.0,-44872.0,,,,0.0,,0.0,,,,,2871945.0,,,,,,10509427.0,
2014-06-30,2014-08-12,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,40557.0,,,,4159081.0,,4021338.0,,,238.0,,,,,,0.001,100000000.0,11423648.0,11423648.0,11424.0,,,,,,,,,,,,,,4021100.0,,,,0.0,,,,1680.0,,-49520.0,,,,,,,,,,,,,,,,,,,,,40557.0,4021338.0,,,,,,,-49520.0,,49520.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,47840.0,,,,,,-189724.0,,,,,,3980781.0,,,,,,11303543.0,
2014-09-30,2014-11-14,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,6448.0,,,,4657076.0,,4470139.0,,,238.0,,,,,,0.001,100000000.0,11611748.0,11611748.0,11612.0,,,,,,,,,,,,,,4469901.0,,,,0.0,,,,2765.0,,-15273.0,,,,,,,,,,,,,,,,,,,,,6448.0,4470139.0,,,,,,,-15273.0,,15273.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,11546.0,,,,,,-204997.0,,,,,,4463691.0,,,,,,11499297.0,
2014-12-31,2015-04-10,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,402.0,,49546.0,,,,,,-238.0,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,71400.0,71400.0,,,,,,148760.0,-0.01,0.34,,,13218.0,,-115040.0,,,,,,,-39000.0,39000.0,,-22508.0,,,,,,,,,,,149162.0,,,137310.0,,,-137548.0,,-115040.0,,115040.0,,210000.0,4754961.0,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,375.0,,4746961.0,4746961.0,,,,,,144935.0,,101822.0,,,,,,-210372.0,,,,,,-149162.0,,,,,39000.0,11240808.0,
2015-03-31,2015-05-14,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,402.0,,49546.0,,,,,,,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,,,,,,,,168238.0,0.0,,,,1818.0,,-19478.0,,,,,,,,,,,,,,,,,,,,,168640.0,,,19478.0,19478.0,,-19478.0,-19478.0,-19478.0,,19478.0,,,4754961.0,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,19478.0,19478.0,,17660.0,,,,,,-229850.0,,,,,,-168640.0,,,,,,11663448.0,
2015-06-30,2015-08-13,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,35694.0,,49546.0,,,,,,,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,,,,,,,,147383.0,0.0,,,,1809.0,,-14437.0,,,,,,,,,,,,,,,,,,,,,183077.0,,,,,,,,-14437.0,,14437.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,8925.0,,,,,,-244287.0,,,,,,-183077.0,,,,,,11663448.0,
2015-09-30,2015-11-20,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,43381.0,,49546.0,,,,,,,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,,,,,,,,154110.0,0.0,,,,1865.0,,-14414.0,,,,,,,,,,,,,,,,,,,,,197491.0,,,,,,,,-14414.0,,14414.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,11400.0,,,,,,-258701.0,,,,,,-197491.0,,,,,,11663448.0,
2016-12-31,2017-06-13,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,83272.0,,83272.0,,49546.0,,0.0,,,,,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,104000.0,104000.0,,,,155670.0,155670.0,5405.0,0.0,0.34,,,3662.0,,-16532.0,,,,,6000.0,,-6000.0,6000.0,,13953.0,13953.0,,,,,,,,,,244347.0,0.0,244347.0,2579.0,2579.0,,-2579.0,-2579.0,-16532.0,,16532.0,,306000.0,,83272.0,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,2579.0,,,12870.0,,,,,,-305557.0,,,,,,-244347.0,,,,,6000.0,11663448.0,
2017-03-31,2017-06-13,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,81352.0,,49546.0,,,,,,,,,,,0.001,100000000.0,11663448.0,11663448.0,11664.0,,,,,,,,,,104200.0,104200.0,,,,157195.0,,6618.0,0.0,0.34,,,818.0,,-818.0,,,,,,,-300.0,300.0,,-1920.0,-1920.0,,,,,,,,,,245165.0,,,2738.0,2738.0,,-2738.0,-2738.0,-818.0,,818.0,,307000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,1525.0,1525.0,,,,,,,,-306375.0,,,,,,-245165.0,,,,,300.0,11663448.0,
2017-06-30,2017-08-16,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,,338357.0,,,,,,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,130000.0,,,,,,,,,,,,0.0,,,,5030.0,,-42030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42030.0,,42030.0,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,37000.0,,,,,,-348405.0,,,,,,,,,157195.0,,,10644995.0,
2017-09-30,2017-11-13,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,,338357.0,,29869.0,,,29869.0,,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,,,,,,39115.0,,,0.0,,,,3321.0,,-12166.0,,,,,,,,,,,,,,,,,,,,,42035.0,29869.0,,,,,,,-12166.0,,12166.0,,,,2920.0,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,8845.0,,,,,,-360571.0,,,,,,-12166.0,,,,,,10047495.0,
2017-12-31,2018-04-17,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,7393.0,,,,341928.0,0.0,,19265.0,,19265.0,19265.0,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,133572.0,,,,79600.0,79600.0,,,,39115.0,,,-0.01,0.21,,,15138.0,,-73662.0,,,,,-24400.0,49400.0,-25000.0,,,,57693.0,,,,,,,,,,46508.0,19265.0,46508.0,35234.0,,,-15969.0,,-73662.0,,73662.0,,379000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,39115.0,-5405.0,58524.0,,,,5405.0,,-379219.0,,,,,,-27243.0,157194.0,,157194.0,,-24400.0,10196461.0,
2018-03-31,2018-05-21,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,4560.0,,,,341928.0,0.0,,9551.0,,8551.0,-10714.0,,,,,0.001,100000000.0,10047495.0,10047495.0,10048.0,,,,,,,,,,81000.0,81000.0,,,,39115.0,,,0.0,0.21,,,850.0,,-6881.0,,,,,,,-1400.0,1400.0,,,-2833.0,,,,,,,,1000.0,,43675.0,9551.0,43675.0,,,,-10714.0,,-6881.0,,6881.0,,386000.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,1000.0,,,,,,,,,,,,,6031.0,,,,,,-386100.0,,,,,,-34124.0,,0.0,,,1400.0,10047495.0,
