end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentDecreaseForgiveness,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherGeneralAndAdministrativeExpense,OtherIncomeTaxExpenseBenefitContinuingOperations,PostconfirmationCommonStock,PostconfirmationCurrentAssets,PostconfirmationCurrentLiabilities,PostconfirmationOtherAssets,PostconfirmationOtherNoncurrentObligations,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,ReorganizationValue,RepaymentsOfRelatedPartyDebt,RestructuringCharges,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesIssuedPricePerShare,SharesOutstanding,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-06-30,2010-08-04,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,,,,,,,0.0,,,,,,,,,,,-1700.0,,,,,,,,,,,,,,,,,0.0,,,,250.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,-1700.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,-1700.0,,,,,,0.0,,,,,,,,,,,,500005.0
2010-09-30,2010-11-15,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,,,,,,,,,,,,,,,,,,-2352.0,,,,,,,,,,,,,,,,,0.0,,,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.0,-2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.0,-2352.0,,,,,,,,,,,,,,,,,,500005.0
2010-12-31,2011-03-07,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,0.0,20485.0,,,9500.0,,9500.0,9500.0,9500.0,9500.0,,,0.0,0.001,100000000.0,10000005.0,10000005.0,10000.0,-11086.0,,,,,,,,,,,0.0,-20985.0,,,,,-0.01,,,,3511.0,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,9500.0,,20586.0,,0.0,-11086.0,,-11086.0,,11086.0,-11086.0,,,,,0.0,,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,9500.0,,,,,,7575.0,-11086.0,,,,,-20985.0,0.0,,,9500.0,,9500.0,,9500.0,,,,,
2011-03-31,2011-05-05,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,,,,,,,12088.0,2588.0,,,,,,,,,,-5605.0,,,,,,,,,,,,,,,,,0.0,,,,2912.0,,,,,,,,,,,,2693.0,,,,,,,,,,,,,,5500.0,,,-2912.0,,,,5605.0,-5605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693.0,-5605.0,,,,,,,,,,,,,,,,,,10000005.0
2011-06-30,2011-08-08,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,0.0,25985.0,,,5944.0,,,5944.0,,5944.0,,,0.0,0.001,100000000.0,10000005.0,10000005.0,10000.0,-3452.0,,,,,,,,,,,,,,,,,0.0,,,,1989.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,5944.0,,,,,,,,,3452.0,-3452.0,,,,0.0,0.0,,,1989.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,,,,,,1463.0,-3452.0,,,,,-30041.0,0.0,,,,,5944.0,,,,,,,10000005.0
2011-09-30,2011-10-31,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,30985.0,,,3680.0,,,3680.0,,3680.0,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-7264.0,,,,,,,,,,,,,,,,,0.0,,,,6139.0,,,,0.0,,,,,,,,,,,,,,,,,,,,3680.0,,,,,,,-7264.0,,7264.0,-7264.0,,,,,0.0,,,6139.0,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,1125.0,-7264.0,,,,,-37305.0,0.0,,,,,3680.0,,,,,,,10000005.0
2011-12-31,2012-02-14,10-K,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,0.0,0.0,30985.0,,,688.0,,688.0,688.0,-8812.0,688.0,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-19312.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,-40297.0,,,,,0.0,,,0.0,13020.0,,,,0.0,0.0,0.0,,,-6600.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,688.0,,10500.0,,0.0,-19312.0,,-19312.0,,19312.0,-19312.0,13700.0,,,,0.0,,,13020.0,6600.0,,,,,,0.001,10000000.0,,,0.0,,,,10500.0,0.0,,,0.0,,,,,,6292.0,-19312.0,,,,,-40297.0,0.0,,,688.0,0.0,688.0,,,,-13700.0,6600.0,,
2012-03-31,2012-05-10,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,,49985.0,,,15023.0,,,15023.0,14335.0,15023.0,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-4665.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,2265.0,,,,,0.0,0.0,,,-1600.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,15023.0,,19000.0,,,-4665.0,,,,4665.0,-4665.0,,,,,,,,,1600.0,,,,,,0.001,10000000.0,,,,,,,,0.0,,,,,,,,,2400.0,-4665.0,,,,,-44962.0,,,,,0.0,15023.0,,,,,,,10000005.0
2012-06-30,2012-08-13,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,0.0,,49985.0,,,11558.0,,11558.0,0.0,,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-3465.0,,,,,,,,,,,,-48427.0,,,,,0.0,,,,,-3465.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,11558.0,,,,,,,-3465.0,,3465.0,-3465.0,,,,,0.0,,-3465.0,198.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,,,,,,1485.0,-3465.0,,,,0.0,,0.0,,,,,11558.0,,,,,,10000005.0,
2012-09-30,2012-11-02,10-Q,SMSA Crane Acquisition Corp.,SSCR,CIK0001473287,USD,,,0.0,49985.0,,,2864.0,,,2864.0,,,,,,0.001,100000000.0,10000005.0,10000005.0,10000.0,-8694.0,,,,,,,,0.0,,,,-57121.0,,,,,0.0,,,,,-8694.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,2864.0,,,,,,,-8694.0,,8694.0,-8694.0,19400.0,,,,0.0,0.0,-8694.0,7519.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,,,,,,1175.0,,,,,0.0,,0.0,,,,,2864.0,,,,-19400.0,,10000005.0,
