end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestIncomeOther,InterestReceivable,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OtherLongTermDebt,OtherNonoperatingIncomeExpense,OtherSellingGeneralAndAdministrativeExpense,PaymentsForRepurchaseOfCommonStock,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockValue,PreferredStockValueOutstanding,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedAndRetiredDuringPeriodValue,UnsecuredDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-10-29,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,,556833.0,,10000.0,10000.0,10000.0,,,,0.001,190000000.0,47000000.0,47000000.0,47000.0,,,,,,,,,,39785.0,0.0,,,,,,,,,,,,,,,,,10000.0,47285.0,,,,,-8550.0,,,,7500.0,,8550.0,-8550.0,,,,,,,,,,,,,8550.0,,,,,-641118.0,,,,-37285.0,,,,,,,,,,,44000000.0
2018-12-31,2019-03-26,10-K,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,6250.0,556833.0,,7632.0,7632.0,0.0,,0.0,,0.001,190000000.0,47000000.0,47000000.0,47000.0,,,,,2575.0,8481.0,,8481.0,8481.0,,,0.21,14800.0,,6250.0,132.0,,,,,,,,,132.0,,11810.0,7632.0,27135.0,,20885.0,-7500.0,-13385.0,-46503.0,,132.0,,20885.0,7632.0,46635.0,-46635.0,,132.0,,,,,,,,40385.0,,,20025.0,,,,19500.0,-623336.0,,,,-19503.0,,,,,,27000.0,,,,,35904110.0
2019-03-31,2019-05-23,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,5244.0,556833.0,,7687.0,7687.0,0.0,,,,0.001,190000000.0,47000000.0,47000000.0,47000.0,,,,,,,,,,,,,3450.0,,-1006.0,55.0,,,,,,,,55.0,55.0,,2250.0,7687.0,36050.0,,9921.0,,-9921.0,-8860.0,,55.0,,30806.0,7687.0,8915.0,-8915.0,,55.0,,,,,,,,9921.0,,6400.0,2250.0,-7591.0,,,-9921.0,-632196.0,,0.001,,-27094.0,,,47000000.0,,,,,,,,47000000.0
2019-06-30,2019-08-14,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,9488.0,556833.0,,7906.0,7906.0,0.0,,,,0.001,190000000.0,47000000.0,47000000.0,47000.0,,,,,,,,,,,,,3800.0,,,,,,,,,219.0,,,219.0,,,7906.0,42238.0,,,,,-5969.0,,219.0,,32750.0,7906.0,6188.0,-6188.0,,219.0,,,,,,,,,,,3800.0,-5968.0,,,,-638165.0,,0.001,,-33062.0,,,,,,,,,,,47000000.0
2019-09-30,2019-10-24,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,5600.0,556833.0,,8000.0,8000.0,0.0,,0.0,,0.001,190000000.0,47000000.0,47000000.0,47000.0,,,,,,,,,,,,,850.0,,,,,,,,,94.0,,,94.0,,2050.0,8000.0,43868.0,,,,,-2806.0,,94.0,,38268.0,8000.0,2900.0,-2900.0,,94.0,,,,,,,,,,,850.0,-2806.0,,,,-639701.0,,0.001,,-35868.0,,,,,,,,,,,47000000.0
2019-12-31,2020-02-21,10-K,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,9244.0,1946664.0,,,,0.0,,0.0,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,5894.0,5894.0,2473.0,,5894.0,,,0.21,6288.0,-1436669.0,3060.0,37.0,,33675.0,33675.0,66.0,,302.0,368.0,,368.0,,19581.0,0.0,83039.0,,-7831.0,7500.0,331.0,-1436367.0,,,19235.0,54560.0,,1436669.0,-1436669.0,,302.0,,27000.0,,10000.0,1400000.0,,,19169.0,,,10800.0,,,,,-2059703.0,10000000.0,,,-83039.0,,,,1400000.0,,1400000.0,-169.0,-27000.0,-27000.0,,43819178.0
2020-03-31,2020-04-08,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,5644.0,1946664.0,,,,0.0,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,,,,7880.0,,-5500.0,,,,,,,,,66.0,,,1900.0,,93569.0,,16030.0,,-16030.0,-10530.0,,,19235.0,68690.0,19169.0,10530.0,-10530.0,,,,,,10000.0,1400000.0,,,16030.0,,,1900.0,-10530.0,,,,-2070233.0,,0.001,,-93569.0,,,,,,,,,,,20000000.0
2020-06-30,2020-08-13,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,11218.0,2038470.0,,,,,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,,,,2250.0,-20068.0,,,,,,,287.0,-287.0,,19522.0,,,6300.0,,22118.0,,,,,-20355.0,10000.0,,,10900.0,19169.0,20068.0,-20068.0,,-287.0,900.0,,,10000.0,1400000.0,,,,,,2250.0,-20355.0,,,,-2090558.0,,0.001,,-22118.0,,,,,,,91806.0,,,,20000000.0
2020-09-30,2021-09-03,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,11218.0,2038470.0,,1793.0,1793.0,1793.0,,1793.0,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,,,,,-4579.0,,,,,,,,,,,,,3207.0,1793.0,28490.0,,,,,-4579.0,,,,17272.0,,4579.0,-4579.0,,,,,,10000.0,1400000.0,,,,,,,-4579.0,,,,-2095167.0,,0.001,,-26697.0,,,,,,,,,,,20000000.0
2020-12-31,2021-09-03,10-K,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,15353.0,2038470.0,,,,,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,7700.0,7700.0,7700.0,7700.0,7700.0,,,0.21,17141.0,-44606.0,6397.0,,,,,287.0,,-287.0,,,,,17335.0,0.0,36126.0,,38496.0,,-38496.0,-44893.0,,,,20773.0,,44606.0,,,,,,,10000.0,1400000.0,,,38496.0,,,10130.0,,,,,-2104596.0,10000000.0,0.001,,-36126.0,,,,,,,,,,,20000000.0
2021-03-31,2021-09-03,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,15353.0,2038470.0,,,,,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36126.0,,,,,,,,,20773.0,0.0,,,,,,,,10000.0,,,,,,,,,,,,-2104596.0,,,,-36126.0,,,,,,,,,,,20000000.0
2021-06-30,2021-09-03,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,23280.0,2038470.0,,,,,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,0.0,,,,-7928.0,,,,,,,,,,,,,103.0,,44053.0,20772.0,,,,-7928.0,,,,20773.0,,7928.0,,,,,,,10000.0,1400000.0,,,,,,6750.0,-7927.0,,,,-2112523.0,,0.001,,-44053.0,,,,,,,,,,,20000000.0
2021-09-30,2021-11-12,10-Q,"SHENTANG INTERNATIONAL, INC.",SHNL,CIK0001422296,USD,17274.0,2038470.0,,,,,,,,0.001,990000000.0,20000000.0,20000000.0,20000.0,,,,,,,,,,0.0,,,,-30660.0,,,,,,,,,,,,,5640.0,,74713.0,57439.0,,,,-30660.0,,,,57439.0,,30660.0,,,,,,,10000.0,,,,,,,15900.0,-30660.0,,,,-2143183.0,,0.001,,-74713.0,,,,,,,,,,,20000000.0
