end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalLeaseObligations,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContributionOfProperty,CurrentIncomeTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectOfExchangeRateOnCashAndCashEquivalents,EmployeeRelatedLiabilitiesCurrent,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherEmployeeRelatedLiabilities,InterestAndDebtExpense,InterestExpense,InterestIncomeOperating,InterestIncomeOther,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseholdImprovementsGross,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermLoansPayable,LongTermNotesPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,NonoperatingIncomeExpense,NotesAndLoansPayableCurrent,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAssets,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeOtherNetOfTax,OtherCostAndExpenseOperating,OtherLaborRelatedExpenses,OtherLiabilitiesCurrent,OtherLongTermDebtCurrent,OtherNonrecurringIncomeExpense,OtherNotesPayableCurrent,PaymentsToAcquireEquipmentOnLease,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedGross,ProvisionForDoubtfulAccounts,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,NetIncomeLossAvailableToCommonStockholdersBasic,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,SaleOfStockConsiderationReceivedOnTransaction
2014-12-31,2015-02-23,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,,,,-80.0,-8215.0,7920.0,,,12149.0,11541.0,,11541.0,11541.0,,,,,,,0.001,75000000.0,5880000.0,5000000.0,5880.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,202.0,-2381.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,12149.0,6564.0,,,,,,,-2382.0,,,,,,,,2382.0,-2382.0,,,,,,,,,,,,6564.0,,,,,,,,,,,,,,,,,,2180.0,-2381.0,688.0,608.0,,,,,,,,0.0,,,5585.0,,,,,,,,,5000000.0,,,,
2015-03-31,2015-05-19,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,0.0,0.0,,-115.0,,18720.0,,,20099.0,18765.0,,18765.0,18765.0,,,,,,,0.001,75000000.0,7080000.0,5000000.0,7080.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,350.0,-4090.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,20099.0,6604.0,,,,,,,-4090.0,,,,,,,,4090.0,-4090.0,,,,,,,,,,,,6604.0,,,,,,,,,,,,,,,,,,3740.0,,688.0,573.0,,0.0,,,,,-12305.0,0.0,,,13495.0,,,,,,,,,6322667.0,,,,
2015-06-30,2015-09-01,10-K,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,279.0,0.0,,,,19120.0,19120.0,,12618.0,11284.0,,11284.0,11284.0,-1284.0,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,0.0,,400.0,,0.0,20465.0,,6958.0,6958.0,130.0,130.0,,1604.0,,,,0.0,,0.34,-0.34,,0.0,,,,,,400.0,,0.0,0.0,-497.0,,713.0,,,-1604.0,-1604.0,,,,,,,,,400.0,400.0,,,0.0,,,,16536.0,6883.0,12618.0,,5000.0,1604.0,,20800.0,-787.0,-18729.0,-17871.0,,,,,,5000.0,,18440.0,-17871.0,-20465.0,,,,,,,,,0.0,,,,1504.0,,,0.0,,-787.0,,,,,,20800.0,0.0,,,,16536.0,-17871.0,1334.0,1334.0,,,,0.0,,,-20465.0,569.0,569.0,,5735.0,5735.0,,,,,,,,5860274.0,7080000.0,,,
2015-09-30,2015-10-27,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,0.0,,,,,19226.0,,,5462.0,4202.0,,4202.0,4202.0,-7082.0,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,0.0,,106.0,,,,,,,74.0,74.0,,1453.0,,,,0.0,,,,,,,,,,,106.0,,0.0,0.0,-279.0,,0.0,,,-151.0,-151.0,,,,,,,,,106.0,106.0,,,0.0,,,,10468.0,10453.0,5462.0,,,,,4000.0,,-11082.0,-10832.0,,,,,,9000.0,,10832.0,-10832.0,,,,,,,,,,0.0,,,,258.0,,,0.0,,,,,,,,0.0,4000.0,,,,10468.0,-10832.0,,1260.0,,,,4000.0,,,-31297.0,0.0,,,-4991.0,,,,,,,,,7080000.0,7080000.0,,,
2015-12-31,2016-01-29,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,99.0,,,,,19407.0,,,2991.0,1804.0,,1804.0,1804.0,,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,,,,,0.0,33908.0,,11529.0,11529.0,,,,1600.0,,,0.0,0.0,0.0,,,,,,,,,,257.0,-2898.0,0.0,,,,,,,,,,,,,,,,,181.0,181.0,,,,,,,,10699.0,2991.0,,,,,,,,-2898.0,,,,,,9000.0,,2898.0,-2898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.0,,,1187.0,,,,,,,-34195.0,0.0,,,-7708.0,,,,,,,,,7080000.0,,,,
2016-03-31,2016-04-26,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,99.0,,,,,19667.0,,,1456.0,343.0,,343.0,343.0,,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,,,,,0.0,39387.0,,13205.0,13205.0,221.0,,,997.0,,,,0.0,,,,,,,,,,,249.0,-5191.0,0.0,,,,,,,,,,,,,,,,,260.0,260.0,,,,,,,,14096.0,1456.0,,,,,,,,-5191.0,,,,,,13000.0,,5191.0,-5191.0,,,,,,,,-5191.0,,,,,,,,,,,,,,,,,,,,,,4682.0,,,1113.0,,,,,,,-39387.0,0.0,,,-12640.0,,,,,,,,,35400000.0,,,,
2016-06-30,2016-09-09,10-K,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,99.0,,,455.0,,-8293.0,20027.0,,3551.0,1380.0,2626.0,1380.0,1380.0,-9904.0,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,,,0.0,,907.0,14879.0,,14879.0,42854.0,,14879.0,314.0,314.0,,1199.0,,1199.0,,0.0,,,,,,,,,,,1580.0,-22389.0,,,-180.0,,,,-405.0,-405.0,,,,,,,,,,,907.0,,,,,,,19902.0,19298.0,3551.0,19298.0,18000.0,1199.0,2626.0,13000.0,-1151.0,-21753.0,-22389.0,,,,,18000.0,,,22389.0,-22389.0,,,,,,,,-22389.0,,0.0,,,,1580.0,,,0.0,,1151.0,,,,,,0.0,,,,,19902.0,-22389.0,2626.0,2171.0,455.0,,,13000.0,,,-42854.0,0.0,,,-15747.0,-15747.0,,,,,,,,7080000.0,7080000.0,,,
2016-09-30,2016-10-28,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,99.0,,,,,,20447.0,,5307.0,3267.0,,,3267.0,1887.0,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,0.0,,420.0,,,,,,,131.0,131.0,,,,,,0.0,,,,,,,,,,,346.0,-4495.0,,,,,,,-1169.0,-1169.0,,,,,,,,,,,420.0,,,,,,,3729.0,25130.0,5307.0,,25000.0,31.0,,7000.0,,-5113.0,-4495.0,,,,,,,,4495.0,-4495.0,,,,,,,,,,0.0,,,,346.0,,,0.0,,,,,,,,0.0,,,,,3729.0,-4495.0,2040.0,,,,,7000.0,,,-47350.0,,,,,-19823.0,,,,,,,,35400000.0,7080000.0,,,
2016-12-31,2017-03-06,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,99.0,,,,,15141.0,,,13.0,13.0,,13.0,13.0,,,,,,,0.001,75000000.0,7080000.0,7080000.0,7080.0,,,,,,,,,,,,,,,111358.0,,30.0,-0.02,0.0,-0.02,,,,,,,,,,11132.0,-111346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,136487.0,13.0,136487.0,,,,,,,-111346.0,,,,,25000.0,,,111346.0,-111346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100214.0,,,,,,,,,,-158695.0,,,,-136474.0,,,,,,,,,35400000.0,,,,
2017-03-31,2017-05-15,10-Q,STAR ALLIANCE INTERNATIONAL CORP.,STAL,CIK0001614556,USD,15747.0,,,6665.0,-23572.0,272310.0,,,39730.0,19735.0,,7031.0,7031.0,,,,,,,0.001,75000000.0,35400000.0,35400000.0,35400.0,-350808.0,,,,,,,,,,,,,,200746.0,,30.0,,-0.01,,,,,,,,,,,195824.0,-327236.0,,,,,,,,,,,,,,,,,,,,225.0,225.0,,,,26660.0,,241523.0,39730.0,241523.0,,,,,,,-327236.0,225.0,225.0,,,25000.0,,,327461.0,-327461.0,,,,12704.0,-23572.0,-23572.0,,-350808.0,,,,,,,,,,,,,,,,,,,,,,131637.0,,26660.0,19995.0,,,,,,,-485931.0,,,,-201793.0,,,,,,,,,35400000.0,,,,
