end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CertainLoansAcquiredInTransferAccountedForAsAvailableforsaleDebtSecuritiesOtherthanTemporaryImpairmentChargesCreditLoss,CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAllowanceForLoanLossesDecreases1,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CommonStockValueOutstanding,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLeasehold,ImpairmentOfOngoingProject,ImpairmentOfRealEstate,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInOtherNoncurrentAssets,InducedConversionOfConvertibleDebtExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,NonoperatingGainsLosses,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,PaymentsOfLoanCosts,PaymentsToAcquireBuildings,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharePrice,StockholdersEquity,StockholdersEquityNoteChangesInCapitalStructureSubsequentChangesToNumberOfCommonShares,StockIssued1,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DebtInstrumentDecreaseForgiveness,IncreaseDecreaseInAccountsPayableRelatedParties
2015-01-31,2015-03-18,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,,150.0,,,,,,,24251.0,16336.0,7915.0,16336.0,16336.0,11704.0,,,,0.01,75000000.0,4000000.0,4000000.0,,4000.0,,,,18907.0,,,,,,,,,,,,,,0.0,,,,,,,12367.0,,,,,,,,,,,,,,,,,,,,24251.0,150.0,,100.0,-7915.0,11604.0,,11604.0,,,,,,,,763.0,,,,-100.0,-7915.0,,4000.0,,666.0,,7915.0,,,20101.0,,31274.0,763.0,,24101.0,,,,,,,4000000.0,,
2015-04-30,2015-06-08,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,,150.0,,,,39000.0,22866.0,,16715.0,8899.0,7816.0,8899.0,8899.0,,,,,0.01,75000000.0,5000000.0,5000000.0,,5000.0,,,,34886.0,,,,,,,,,,,,99.0,,-0.01,,,,,,,-3317.0,,,,,,,,,,,,,,,,,,,,16715.0,150.0,150.0,,,,,-47536.0,,,,,,,,44219.0,,,,,,,,,6408.0,,7915.0,,14846.0,-27435.0,,31569.0,29274.0,,16565.0,,,,,,,4000000.0,,
2015-07-31,2015-09-17,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,3666.0,,,,39000.0,,,14083.0,6317.0,7767.0,6317.0,6317.0,,,,,0.01,75000000.0,5000000.0,5000000.0,,5000.0,,,,24017.0,,,,,,,,,,,,49.0,,0.0,,,,,,,5988.0,,,,,,,,,,,,,,,,,,,,14083.0,8666.0,,,,,,-11147.0,,,,,,,,17136.0,,,,,,,,,17057.0,,7915.0,,,-38583.0,,30006.0,17087.0,,5417.0,,,,,,,4000000.0,,
2015-10-31,2016-01-29,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,4066.0,,,,39000.0,,,10222.0,2504.0,7717.0,2504.0,2504.0,-2127.0,,,,0.001,750000000.0,5000000.0,5000000.0,,5000.0,,,,103784.0,,,,,,,19867.0,,50941.0,19867.0,,198.0,,-0.01,,,,,,,13070.0,,,,-50941.0,,5000.0,,,,,,,,,,,,,,10222.0,9066.0,,43616.0,198.0,-45941.0,,-50941.0,-50941.0,,,,,,,64012.0,,,,-3616.0,7915.0,,40000.0,,,,7717.0,,14846.0,-42844.0,,116855.0,48968.0,,1156.0,,,,,40000.0,,5000000.0,,
2016-01-31,2016-03-01,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,4066.0,,,,39000.0,,,7948.0,280.0,7668.0,280.0,280.0,-2224.0,,,,0.001,75000000.0,5000000.0,5000000.0,,5000.0,,,,6873.0,,,,,,,,,,,,49.0,,0.0,,,,,,,121.0,,,,,-2274.0,,,,,,,,,,,,,,,7948.0,9066.0,,,49.0,49.0,,-2274.0,,,,,,,,2395.0,,,,,,,,,,,7668.0,,,-45118.0,,6993.0,2345.0,,-1118.0,,,,,,,55000000.0,,
2016-04-30,2016-06-01,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,4066.0,,,,39000.0,,,8626.0,1008.0,7618.0,1008.0,1008.0,,,,,0.001,750000000.0,55000000.0,55000000.0,,5000.0,,,,5315.0,,,,,,,,,,,,49.0,,0.0,,,,,,,2550.0,,,,,678.0,,,,,,,,,,,,,,,8626.0,9066.0,,,,,,678.0,,,,,,,,1871.0,,,,,,,,,,,7618.0,,,-44440.0,,7865.0,1822.0,,-440.0,,,,,,,55000000.0,,
2016-07-31,2016-09-14,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,4066.0,,,,39000.0,,,8778.0,1209.0,7569.0,1209.0,1209.0,,,,,0.001,750000000.0,55000000.0,55000000.0,,5000.0,,,,10629.0,,,,,,,,,,,,49.0,,0.0,,,,,,,1343.0,,,,,151.0,,,,,,,,,,,,,,,8778.0,9066.0,,,,,,151.0,,,,,,,,1192.0,,,,,,,,,,,7569.0,,,-44288.0,,11973.0,1143.0,,-288.0,,,,,,,55000000.0,,
2016-10-31,2017-02-14,10-K,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,,5000.0,4066.0,,396.0,,39000.0,,,7820.0,301.0,7519.0,301.0,301.0,-2203.0,,,,0.001,750000000.0,,,,5000.0,,,,36908.0,,,,,,,5570.0,,14283.0,5570.0,,198.0,,0.0,0.39,0.34,0.05,,,,6552.0,,,,-14283.0,,,,,,,,,,,,,,,,7820.0,9066.0,,,198.0,-2401.0,,-2401.0,-14283.0,,,,,,,8953.0,,,,,,,,,,,7915.0,,,-45246.0,,43460.0,8756.0,,-13127.0,,,,,,,55000000.0,,
2017-01-31,2017-03-17,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,1605.0,,4066.0,,445.0,,39000.0,,,7602.0,133.0,7470.0,133.0,133.0,-169.0,,,1605.0,0.001,750000000.0,70000000.0,70000000.0,,20000.0,,,,12628.0,15000.0,15000000.0,,,,,,,,,,49.0,,0.0,0.39,0.35,0.05,,,,-96.0,,,,-11823.0,-11823.0,-5000.0,,,,1605.0,,,,,,,,,,7602.0,5671.0,,15000.0,49.0,-15218.0,,-11823.0,,,,,,,,11727.0,,,,,,,15000.0,,,,7915.0,,,-57069.0,,12533.0,11678.0,,1931.0,,,,,,70000000.0,70000000.0,,
2017-04-30,2017-05-23,10-Q,"PEDROâ€™S LIST, INC.",QSMG,CIK0001627554,USD,,1605.0,,4066.0,,495.0,,39000.0,,,7919.0,499.0,7420.0,499.0,499.0,,,,1605.0,0.001,750000000.0,70000000.0,70000000.0,,20000.0,,,,5659.0,,,,,,,,,,,,49.0,,0.0,,,,,,,3307.0,,,,,317.0,,,,,,,,,,,,,,,7919.0,5671.0,,,,,,317.0,,,,,,,,2990.0,,,,,,,,,,,7915.0,,,-56752.0,,8967.0,2941.0,,2248.0,,,,,,61055120.0,70000000.0,,
