end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareGross,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtInstrumentCarryingAmount,DeferredRevenueAndCreditsCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InventoryNet,InventoryNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SalesRevenueGoodsNet,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-04-30,2017-06-14,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,,,,,,,,3589.0,,,,,2389.0,-780.0,,75000000.0,2985000.0,2985000.0,2985.0,,13600.0,13600.0,,,,,,,,,,,,5017.0,0.0,,4980.0,1400.0,,,,,,,,,,,,,,,,,5017.0,3589.0,4000.0,-1200.0,-3580.0,-3580.0,4980.0,-3580.0,1200.0,4980.0,1200.0,-1200.0,,4000.0,,,4000.0,-3580.0,,,-4413.0,15000.0,,15000.0,,,-1428.0,,,,2985000.0,2985000.0
2017-07-31,2017-08-22,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,,880.0,,,,24795.0,,27795.0,,,,,20942.0,,,75000000.0,4290000.0,4290000.0,4290.0,,,0.0,,6300.0,,,,,,,,,,5017.0,0.0,,9074.0,0.0,,,,,,,,,,,,,,,4320.0,,12197.0,27795.0,,,,-9074.0,9074.0,-9074.0,1033.0,9074.0,,,1500.0,,,,,,,,-13487.0,0.0,,,,,15598.0,,,,3486739.0,3486739.0
2017-10-31,2017-11-28,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,,100.0,,,,24795.0,,12172.0,6919.0,5253.0,,,6919.0,,,75000000.0,4290000.0,4290000.0,4290.0,5800.0,5800.0,5800.0,,,,,,,,,,,,5667.0,0.0,,9693.0,500.0,,,,,,,,,,,,,,,,4320.0,5767.0,12172.0,,,,-9193.0,9693.0,-9193.0,,9693.0,,,,,,,,,933.0,,-22680.0,6300.0,,6300.0,,,6405.0,,,,4290000.0,4290000.0
2018-01-31,2018-04-16,10-K,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,100.0,100.0,,0.0,24795.0,24795.0,24795.0,6139.0,986.0,5153.0,767.0,1200.0,986.0,-2183.0,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,0.0,,,-7710.0,-36713.0,7710.0,367.0,1900.0,0.0,1900.0,,13667.0,13667.0,-0.01,0.21,37780.0,1900.0,-37780.0,,,-0.01,,,,100.0,100.0,,,-4320.0,,,,4320.0,13767.0,6139.0,38750.0,-1200.0,-39733.0,-35880.0,37780.0,-37780.0,,37780.0,1200.0,-1200.0,,12650.0,26100.0,,12650.0,-35880.0,833.0,433.0,-38613.0,1900.0,0.02,1900.0,4290000.0,-7628.0,-7628.0,1305000.0,1305000.0,26100.0,3769328.0,3769328.0
2018-04-30,2018-08-10,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,,,,,24795.0,,,1782.0,1049.0,,-467.0,1200.0,1049.0,63.0,0.001,75000000.0,4290000.0,4290000.0,4290.0,,4320.0,,14867.0,,,,,100.0,500.0,0.0,500.0,,14867.0,,0.0,,5957.0,500.0,-5957.0,,-5957.0,0.0,500.0,500.0,,,-100.0,,,4320.0,,,,,14867.0,1782.0,1200.0,,-1137.0,-5457.0,5957.0,-5957.0,,,,,,,,,1200.0,,,733.0,-42170.0,4820.0,,,,-13085.0,,,,,4290000.0,
2018-07-31,2018-09-19,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,2532.0,,,,24795.0,,,633.0,,,567.0,1200.0,,,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,,14867.0,,,,,,,,,,14867.0,,0.0,,3681.0,,-3681.0,,-3681.0,0.0,,,0.0,,,,,,,,,,17399.0,633.0,,,,-3681.0,3681.0,-3681.0,,,,,,,,,,,,633.0,-45851.0,,,,,-19171.0,,,,,4290000.0,
2018-10-31,2018-12-03,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,2528.0,,,,24795.0,,,533.0,,,667.0,1200.0,,,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,,20857.0,,,,,,,,,,20857.0,,0.0,,6086.0,,-6086.0,,,0.0,,,0.0,,,,,,,,,,23385.0,533.0,,,,-6086.0,6086.0,-6086.0,,,,,,,,,,,,533.0,-51937.0,,,,,-25257.0,,,,,4290000.0,
2019-01-31,2019-05-24,10-K,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,9036.0,,1056.0,56164.0,39767.0,,,57653.0,57220.0,,-767.0,1200.0,,-986.0,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,,31538.0,,-14065.0,-66978.0,14065.0,400.0,500.0,0.0,500.0,56164.0,31538.0,,-0.01,0.21,31341.0,,-30765.0,,,-0.01,500.0,,,,7264.0,-576.0,,4320.0,,,,,40574.0,57653.0,17871.0,,-18857.0,-30265.0,31341.0,-30765.0,,,,,,,,,17871.0,,,433.0,-69378.0,576.0,,,,17079.0,,,,,4290000.0,
2019-04-30,2019-07-02,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,2422.0,,1545.0,,39767.0,,,58042.0,57709.0,,867.0,1200.0,,,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,,38602.0,,,,,100.0,,0.0,,56164.0,38602.0,,0.0,,550.0,,-61.0,,-61.0,0.0,,,,,-6614.0,-489.0,,,,,,,41024.0,58042.0,7064.0,,-7064.0,-61.0,550.0,-61.0,,,,,,,,,7064.0,,,333.0,-69439.0,489.0,,,,17018.0,,,,,4290000.0,
2019-07-31,2019-09-19,10-Q,"ANTILIA GROUP, CORP.",AGGG,CIK0001691906,USD,2873.0,,1592.0,56164.0,39767.0,,,57989.0,57756.0,,-967.0,1200.0,,,0.001,75000000.0,4290000.0,4290000.0,4290.0,,,,,,,,,,,,,56164.0,54767.0,,0.0,,16715.0,,-16669.0,,-16669.0,0.0,,,0.0,,,,,,,,,,57640.0,57989.0,,,,-16669.0,16715.0,-16669.0,,,,,,,,,,,,233.0,-86108.0,46.0,,,,349.0,,,,,4290000.0,
