end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedCostsSupportEquipmentAndFacilities,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetInterestCarryforward,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DepreciationExpenseOnReclassifiedAssets,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EscrowDeposit,EscrowDepositsRelatedToPropertySales,FairValueInputsLongTermNetOfTaxOperatingIncomeMarginPercent,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsDiscontinuedOperationsExtraordinaryItems,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtMaturingInYearsTwoAndThree,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NotesPayableCurrent,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OperatingLossCarryforwards,OtherAssets,OtherDepreciationAndAmortization,OtherLaborRelatedExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquireBuildings,PaymentsToAcquireFurnitureAndFixtures,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TaxesPayableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DueToOtherRelatedPartiesClassifiedCurrent
2014-10-31,2015-01-06,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,3500.0,,,,,,22991.0,13991.0,,,13991.0,13981.0,13870.0,,,0.001,75000000.0,4000000.0,4000000.0,4000.0,6900.0,6900.0,,2293.0,2293.0,,,,,,,,,,,2293.0,,,,202.0,,0.0,,0.15,0.15,0.0,,,0.0,,,,15510.0,,7895.0,,10199.0,,,,,,,3500.0,2293.0,-1000.0,,3000.0,5995.0,22991.0,,,,182.0,-8000.0,13689.0,7895.0,,,7895.0,32000.0,9000.0,11000.0,12000.0,,1000.0,,,100.0,,,,,8000.0,,,,,,,,4000.0,182.0,,,,8000.0,12996.0,,,22410.0,7615.0,,16996.0,,,,,,,2293.0,,4336996.0,4000000.0,,
2015-01-31,2015-03-13,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,138.0,,,6500.0,,,39000.0,,,40171.0,22417.0,,8000.0,22417.0,22417.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,23250.0,23250.0,,-202.0,,,,,,,,,,,,,,,,220.0,,0.0,,,,,,,,,,,7901.0,,-1136.0,,,,,,,,,,,,,,8949.0,40171.0,,,9750.0,,,,-1136.0,,,-1136.0,29000.0,6000.0,11000.0,12000.0,,1000.0,,,,,,,,,,,,,,,,,,,,,16754.0,11849.0,,,31151.0,9037.0,,31222.0,24627.0,,,,,,2091.0,,5000000.0,4032609.0,,
2015-04-30,2015-06-15,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,138.0,,,8375.0,,,39000.0,,,49446.0,30613.0,,8000.0,30613.0,30613.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,13312.0,,,,,,1478.0,1478.0,,,,,,,,,,,220.0,,0.0,,,,,,,,,,,22188.0,,-18705.0,-3569.0,,,,,,,,,,,,,8733.0,49446.0,,,9750.0,,,,-15136.0,,,-18705.0,26000.0,3000.0,11000.0,12000.0,,1000.0,,,,,,,,,,,,,,,,,,,,,16355.0,-3287.0,,,35500.0,40893.0,,40713.0,,,,,,,,,5000000.0,,,
2015-07-31,2015-10-29,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,5813.0,,27146.0,8711.0,,8000.0,8711.0,8711.0,8601.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,88688.0,,,-1478.0,,,1478.0,1478.0,,,,,1793.0,,,,,,458.0,,0.0,,0.15,0.15,0.0,,,0.0,,,,30388.0,,-24380.0,-1478.0,,,,,,,,500.0,,-1000.0,,0.0,958.0,27146.0,,,9750.0,40438.0,-9750.0,-22087.0,-22900.0,,,-22902.0,23000.0,,11000.0,12000.0,,1000.0,,,,,,,,9750.0,,,,,,,,40000.0,438.0,,,,15957.0,-17812.0,,,119076.0,54769.0,,26188.0,,,,,40000.0,,,,5000000.0,,,
2015-10-31,2015-11-16,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,20537.0,2501.0,,8000.0,2501.0,2501.0,-6210.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,8363.0,,,,,,1478.0,,,,,,399.0,,,,,,458.0,,0.0,,0.15,0.15,0.0,,,0.0,,,,12611.0,,-6609.0,,,,,,,,,,,,,,958.0,20537.0,,,9750.0,,,-6210.0,-6609.0,,,-6609.0,23000.0,,11000.0,12000.0,,1000.0,,,,,,,,,,,,,,,,,,,,,15558.0,-24421.0,,,20974.0,19220.0,,19579.0,,,,,,,,,5000000.0,,,
2016-01-31,2016-02-17,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,18059.0,421.0,,8000.0,421.0,421.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,7775.0,,,,,,1478.0,,,,,,,,,,,,458.0,,0.0,,,,,,,,,,,629.0,,-2478.0,,,,,,,,,,,,,,958.0,18059.0,,,9750.0,,,,-2478.0,,,-2478.0,23000.0,,11000.0,12000.0,,1000.0,,,,,,,,,,,,,,,,,,,,,15159.0,-26899.0,,,8403.0,3107.0,,17101.0,,,,,,,,,5000000.0,,,
2016-04-30,2016-06-02,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,17635.0,396.0,,8000.0,396.0,396.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,5693.0,,,,,,1478.0,,,,,,,,,,,,458.0,,0.0,,,,,,,,,,,1176.0,,-424.0,,,,,,,,,,,,,,958.0,17635.0,,,9750.0,,,,-424.0,,,-424.0,23000.0,,11000.0,12000.0,,1000.0,,,,,,,,,,,,,,,,,,,,,14761.0,-27323.0,,,6869.0,1600.0,,16677.0,,,,,,,,,5000000.0,,,
2016-07-31,2016-09-19,10-K,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,0.0,,39000.0,,,17699.0,859.0,,8000.0,859.0,859.0,-7852.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,30304.0,,,-1478.0,,1478.0,1478.0,3212.0,1478.0,,,3212.0,1595.0,,,,,,458.0,,0.0,,0.15,0.15,0.0,,,0.0,,,,16237.0,,-9447.0,,,,,1478.0,,,,,,,,0.0,958.0,17699.0,,,9750.0,,,-7852.0,-9447.0,,,-9447.0,6000.0,6000.0,11000.0,12000.0,,1000.0,,,,-14190.0,,,,,,,,,,,,,,,,,14362.0,-27259.0,,,46541.0,25684.0,,16741.0,,,,,,,,,5000000.0,,,
2016-10-31,2016-12-21,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,15177.0,213.0,,8000.0,213.0,213.0,-646.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,11269.0,,,1478.0,,1478.0,,,,,,,399.0,,,,,,458.0,0.0,0.0,0.0,0.15,0.15,0.0,,,0.0,,,,1354.0,,-2522.0,,,,,,,,,,,,,,958.0,15177.0,,1000.0,9750.0,,,-646.0,-2522.0,,,-2522.0,0.0,,,0.0,,1000.0,,,,,,,,,,,,,,,,,,,,,13964.0,-29781.0,,,12623.0,3877.0,,14219.0,,,,,,,,,5000000.0,,,
2017-01-31,2017-03-22,10-Q,SUMMIT NETWORKS INC.,SNTW,CIK0001619096,USD,,,,,500.0,,,39000.0,,,14728.0,162.0,,8000.0,162.0,162.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,3648.0,,,,,,,,,,,,,,,,,,458.0,0.0,0.0,0.0,,,,,,,,,,3912.0,,-450.0,,,,,,,,,,,,,,958.0,14728.0,,1000.0,9750.0,,,,-450.0,,,-450.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,13566.0,-30230.0,,,7560.0,4362.0,,13770.0,,,,,,,,5000000.0,5000000.0,5000000.0,,
