end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsPayableRelatedPartiesNoncurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedAmortizationDeferredFinanceCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AmortizationOfLeasedAsset,AssetRetirementObligationAccretionExpense,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationConsiderationTransferredIncludingEquityInterestInAcquireeHeldPriorToCombination1,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,CostOfRevenue,CostsAndExpenses,CumulativeEffectOnRetainedEarningsNetOfTax1,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDepositsCurrent,DebtInstrumentCarryingAmount,DebtIssuanceCosts,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,DeferredFederalIncomeTaxExpenseBenefit,DeferredFinanceCostsNet,DeferredForeignIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredRentCreditNoncurrent,DeferredRevenue,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxLiabilities,DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,DeferredTaxLiabilitiesGrossNoncurrent,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPrepaidExpenses,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,Depreciation,DepreciationAndAmortization,DerivativeCapInterestRate,DerivativeFloorInterestRate,DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsDeclared,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,DividendsCash,DividendsPaidinkind,DueFromOfficersOrStockholders,DueFromOfficersOrStockholdersCurrent,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxContingencies,EffectiveIncomeTaxRateReconciliationTaxHolidays,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,FeesAndCommissions,FinanceLeaseLiabilityNoncurrent,FinanceLeasePrincipalPayments,FinanceLeaseRightOfUseAsset,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FranchiseRevenue,GainLossOnSaleOfPropertyPlantEquipment,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillAndIntangibleAssetImpairment,GoodwillGross,GoodwillImpairedAccumulatedImpairmentLoss,GoodwillImpairmentLoss,GoodwillPeriodIncreaseDecrease,GuaranteeObligationsCurrentCarryingValue,GuaranteeObligationsMaximumExposure,HeldToMaturitySecurities,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExaminationEstimateOfPossibleLoss,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestIncomeExpenseNonoperatingNet,InterestPaid,InterestPaidNet,InventoryNet,InvestmentIncomeInterest,Investments,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilityForUncertainTaxPositionsCurrent,LiabilityForUncertainTaxPositionsNoncurrent,LineOfCreditFacilityMaximumBorrowingCapacity,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LongTermDebtNoncurrent,LongTermLineOfCredit,LongTermNotesAndLoans,MembersCapital,MembershipDuesRevenueOnGoing,MinorityInterest,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,NonoperatingIncomeExpense,NotesReceivableGross,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,NotesReceivableRelatedPartiesNoncurrent,NumberOfOperatingSegments,NumberOfOperatingSegments,NumberOfReportableSegments,NumberOfReportableSegments,NumberOfStatesInWhichEntityOperates,NumberOfStatesInWhichEntityOperates,NumberOfStores,NumberOfStores,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAmortizationOfDeferredCharges,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,OtherCostAndExpenseOperating,OtherIncome,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivablesNetCurrent,PartnersCapitalAccountContributions,PaymentsForRepurchaseOfCommonStock,PaymentsOfCapitalDistribution,PaymentsOfDividendsCommonStock,PaymentsOfDividendsMinorityInterest,PaymentsOfFinancingCosts,PaymentsOfOrdinaryDividends,PaymentsToAcquireBusinessesAndInterestInAffiliates,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToMinorityShareholders,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromLongTermLinesOfCredit,ProceedsFromMinorityShareholders,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockOptionsExercised,ProfitLoss,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfLongTermDebt,RestrictedCash,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,RevenueRemainingPerformanceObligation,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SalesRevenueGoodsNet,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,StockRepurchaseProgramAuthorizedAmount1,TaxesPayableCurrent,TreasuryStockRetiredParValueMethodAmount,UnrealizedGainLossOnDerivatives,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowancesAndReservesBalance,ValuationAllowancesAndReservesChargedToCostAndExpense,ValuationAllowancesAndReservesDeductions,VariableInterestEntityConsolidatedCarryingAmountAssets,VariableInterestEntityConsolidatedCarryingAmountLiabilities,VariableInterestEntityEntityMaximumLossExposureAmount,VariableLeaseCost,DebtSecuritiesHeldToMaturityAllowanceForCreditLoss,DebtSecuritiesHeldToMaturityAllowanceForCreditLossWriteoff,DebtSecuritiesHeldToMaturityCreditLossExpenseReversal,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeLossFromEquityMethodInvestments,InvestmentIncomeDividend,PaymentsToAcquireInvestments,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization
2015-06-30,2015-09-02,10-Q,"PLANET FITNESS,Â INC.",PLNT,CIK0001637207,USD,,,,,,,,,,,,,,,,,,5389000.0,,,1000.0,,,,,,32148000.0,,,,0.01,1000.0,100.0,100.0,1000.0,11286000.0,113000.0,11399000.0,,,,,,25300000.0,60284000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7983000.0,,,,,,,,,,,,,,,,,,,,,,,,,3188000.0,,,,,,,,,,,,,,18691000.0,,,,,,,,,,,,,,,,,12033000.0,,,,419000.0,,,,,,,,,,,,,,,,,,,,-6560000.0,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,24975000.0,,,,,,,,,,11501000.0,113000.0,,,,,-6636000.0,,,,,,,,,,,1014.0,,18667000.0,,,,,,,,,,,,,,,,,,,,,,,-54000.0,-215000.0,,-161000.0,,,,,,,-76000.0,61000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11612000.0,,,,,,,,,,,352000.0,,,32099000.0,78952000.0,12354000.0,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,2015-11-13,10-Q,"PLANET FITNESS,Â INC.",PLNT,CIK0001637207,USD,14695000.0,3022000.0,,138989000.0,9890000.0,34000.0,,8358000.0,2007000.0,23296000.0,-1888000.0,122000.0,,,4584000.0,946000.0,,5404000.0,,,701143000.0,59801000.0,,,70000.0,9000.0,28461000.0,,,,,,,,,-4044000.0,4423000.0,379000.0,,,,,,18858000.0,58478000.0,,,,,,7498000.0,,,,,,,,,120792000.0,,,,4373000.0,24395000.0,12362000.0,12033000.0,,,,,122746000.0,,,,,,,,,,,,,,2716000.0,7976000.0,0.015,,4518000.0,,,,,4674000.0,,4708000.0,4708000.0,,,,,,,,,,,,875000.0,634000.0,3646000.0,,,,68881000.0,,,,,,,,201567000.0,132686000.0,16148000.0,,,,176981000.0,,,176981000.0,,,,,2040000.0,,,,,1968000.0,,,,1230000.0,,,,,,,,,,,,,,,,,347867000.0,278986000.0,,-6556000.0,,,2775000.0,,,,,,,,,,,,,701143000.0,61008000.0,654337000.0,,300000.0,,503550000.0,5100000.0,481875000.0,,5100000.0,5100000.0,5100000.0,5100000.0,1275000.0,498450000.0,,,,25153000.0,,,,,,,,,,-3893000.0,4631000.0,1621000.0,4399000.0,,,-8371000.0,,,,,,,,,47.0,,1040.0,,10338000.0,,,,,,,105456000.0,,10356000.0,11751000.0,12708000.0,13223000.0,54083000.0,3335000.0,4622000.0,,,,8949000.0,10248000.0,,,198000.0,-359000.0,,-557000.0,1815000.0,,682000.0,483000.0,,1815000.0,-1815000.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0,,77631000.0,54335000.0,,,,,5018000.0,-17376000.0,,723000.0,,,23870000.0,68817000.0,17348000.0,,,,,,,,,,0.0,,,,6.14,,116690.0,16.14,,,,,,,,,,,,,,,,,4203000.0,,,,,,,,,,,,,,6568000.0,,0.0,,,,,,,,,,,,,
2015-12-31,2016-03-04,10-K,"PLANET FITNESS,Â INC.",PLNT,CIK0001637207,USD,23950000.0,3019000.0,,137172000.0,19079000.0,39000.0,39000.0,13667000.0,,23525000.0,-1710000.0,352000.0,352000.0,9349000.0,4371000.0,629000.0,1596000.0,21543000.0,478000.0,,699177000.0,72945000.0,,,,,31430000.0,-11861000.0,31430000.0,,,,,,,17499000.0,19557000.0,37056000.0,,,,,,113492000.0,258435000.0,,686000.0,139000.0,3013000.0,2188000.0,5587000.0,492275000.0,,,,,5636000.0,7396000.0,-436000.0,117358000.0,6135000.0,1288000.0,,4554000.0,26733000.0,14717000.0,12016000.0,935000.0,1276000.0,113460000.0,118646000.0,117358000.0,716000.0,2841000.0,353000.0,,,,,0.0,674000.0,614000.0,384000.0,1.0,0.04,11088000.0,32158000.0,0.015,,,,11793000.0,,,4901000.0,4901000.0,4940000.0,4940000.0,,0.194,0.35,0.003,-0.271,0.062,,0.002,,-123000.0,,729000.0,3666000.0,16323000.0,,,,74248000.0,48033000.0,19756000.0,,12517000.0,14215000.0,14583000.0,18215000.0,201567000.0,127319000.0,71762000.0,273000.0,,,176981000.0,,0.0,176981000.0,,0.0,0.0,0.0,1871000.0,,,,48716000.0,47278000.0,-1438000.0,47278000.0,,9148000.0,2834000.0,,,263000.0,,414000.0,115000.0,,-1088000.0,-1502000.0,2994000.0,-4210000.0,1545000.0,,5720000.0,99000.0,347867000.0,273619000.0,,-24549000.0,23220000.0,,4557000.0,,,,,,,,,,,,,699177000.0,66252000.0,634005000.0,,300000.0,,484879000.0,5100000.0,466775000.0,5100000.0,5100000.0,5100000.0,5100000.0,5100000.0,,479779000.0,,,,98390000.0,14300000.0,,,,-74240000.0,,-19161000.0,,81663000.0,21003000.0,19612000.0,,,207000.0,,-24824000.0,,0.0,,,0.0,,3.0,,47.0,,1124.0,1124.0,100895000.0,,,,,,,102082000.0,13272000.0,9245000.0,10325000.0,11738000.0,12700000.0,44802000.0,,18186000.0,,,,10977000.0,2135000.0,,,314000.0,-1074000.0,,-1388000.0,275000.0,2549000.0,212000.0,484000.0,,275000.0,-275000.0,273000.0,5825000.0,,,36486000.0,,140000000.0,1698000.0,,,,,,,19488000.0,,,,,5152000.0,156946000.0,,120000000.0,,,,,327000.0,,55370000.0,,79664000.0,56139000.0,667000.0,376000.0,14800000.0,,1962000.0,-14032000.0,,2918000.0,,,144062000.0,436382000.0,55573000.0,4877000.0,,,0.354,,,0.0182,0.0182,0.017,0.0,,8420.0,116690.0,6.14,0.0,108270.0,16.15,,,104769.0,16.15,,16.0,16.14,-15380000.0,-1080000.0,,,,,,,,,,,300000.0,,0.0,,,0.0,,300000.0,629000.0,650000.0,-420000.0,6681000.0,,0.0,,,,,,,,,,,,,
2016-03-31,2016-05-11,10-Q,"PLANET FITNESS,Â INC.",PLNT,CIK0001637207,USD,10090000.0,5870000.0,,132208000.0,10446000.0,47000.0,,9853000.0,,25197000.0,-2387000.0,577000.0,,,,637000.0,371000.0,4940000.0,99000.0,,685666000.0,68813000.0,,,,,38268000.0,6838000.0,,,,,,,,3178000.0,12491000.0,15669000.0,,,,,,23639000.0,57733000.0,,,,,,5253000.0,,,,,,,7025000.0,,115523000.0,1354000.0,,,4665000.0,,15477000.0,10277000.0,,,,,115523000.0,,,,,,,,,,,,,,,7703000.0,0.015,,,,,,,958000.0,,1005000.0,1005000.0,,,,,,,,,,119000.0,,,,6186000.0,,,,79188000.0,48033000.0,,14816000.0,12517000.0,14215000.0,14583000.0,18215000.0,201567000.0,122379000.0,21491000.0,186000.0,,,176981000.0,,0.0,176981000.0,,,,,1730000.0,,,,,19636000.0,,,,3291000.0,4336000.0,,,-16202000.0,-2113000.0,-8864000.0,-2314000.0,,-334000.0,-85000.0,-1091000.0,,-3081000.0,,4632000.0,30000.0,347867000.0,268679000.0,,-6367000.0,5815000.0,,1476000.0,,,,,,,,,,,,,685666000.0,51896000.0,626509000.0,,300000.0,,483975000.0,5100000.0,466775000.0,,5100000.0,5100000.0,5100000.0,5100000.0,3825000.0,478875000.0,,,,25697000.0,20866000.0,,,,-7698000.0,,-845000.0,,15262000.0,3368000.0,12977000.0,,,170000.0,,-5974000.0,,,,,0.0,,3.0,,47.0,,1171.0,,25610000.0,,,,,,,,,,,,,,,,,,,12318000.0,1368000.0,,,-93000.0,-676000.0,,-583000.0,,,253000.0,484000.0,,,393000.0,186000.0,,,,6411000.0,,,,,,,,,,865000.0,,,,,,,,,,,,,20000.0,,16345000.0,,,54302000.0,7000.0,12000.0,1275000.0,,5300000.0,-11805000.0,,1014000.0,,,29969000.0,83343000.0,11845000.0,576000.0,,,,,,,,,,,,,,,,,,,,,,,,-13605000.0,7261000.0,,,,,,,,,,,,,,,,,,,,,,6815000.0,,0.0,,,,,,,,,,,,,
2016-06-30,2016-08-12,10-Q,"PLANET FITNESS,Â INC.",PLNT,CIK0001637207,USD,11992000.0,7389000.0,,204947000.0,11575000.0,,52000.0,9100000.0,,26285000.0,-1067000.0,7981000.0,,,,643000.0,,4940000.0,,,779411000.0,88387000.0,,,,,55664000.0,,,,,,,,,4110000.0,13899000.0,18009000.0,,,,,,27801000.0,63641000.0,,,,,,4519000.0,,,,,,,6656000.0,,194240000.0,,,,4799000.0,,20619000.0,8456000.0,,,,,194240000.0,,,,,,,,1167000.0,,,,,,,7678000.0,0.015,,,,,,,,921000.0,,973000.0,3966000.0,,,,,,,,,,,,,3973000.0,,,,84128000.0,48033000.0,,9876000.0,12517000.0,14215000.0,14583000.0,18215000.0,201567000.0,117439000.0,25506000.0,,,,176981000.0,,,176981000.0,,,,,1600000.0,,,,,21510000.0,,,,3419000.0,,,,,,,,,,,,,,,,,347867000.0,263739000.0,,-6161000.0,,,893000.0,,,,,,,,,,,,,779411000.0,62998000.0,697822000.0,,300000.0,,483069000.0,5100000.0,466775000.0,,5100000.0,5100000.0,5100000.0,5100000.0,2550000.0,477969000.0,,,,26383000.0,19340000.0,,,,,,,,,4132000.0,13959000.0,,,,,-6321000.0,,,,,,,,,47.0,,1206.0,,27831000.0,,,,,,,,,,,,,,,,,,,17626000.0,1133000.0,,,-3000.0,-82000.0,,-79000.0,,,313000.0,484000.0,,,-160000.0,-21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18091000.0,,,54931000.0,,,,,1656000.0,-7673000.0,,586000.0,,,35610000.0,91472000.0,12381000.0,,,,,,,,,,,,,,,,,,,,,,,,,-749000.0,18591000.0,,,,,,,,,,,,,0.0,,,,,,,,,6952000.0,,0.0,,,,,,,,,,,,,
