end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvancesOnInventoryPurchases,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfGoodsSold,CostOfRevenue,DebtSecuritiesRealizedGainLoss,DeferredCreditsAndOtherLiabilities,DeferredIncomeTaxesAndOtherAssetsCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationExpenseOnReclassifiedAssets,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GoodwillImpairmentLossNetOfTax,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInMaterialsAndSupplies,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssetImpairmentCharges,OtherAssetsCurrent,OtherAssetsFairValueDisclosure,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherLiabilitiesCurrent,OtherMinorityInterests,OtherNonrecurringIncomeExpense,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToSuppliers,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SalesRevenueServicesNet,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DueFromRelatedPartiesCurrent,ForeignCurrencyTransactionGainLossBeforeTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncreaseDecreaseDueFromOtherRelatedParties,NetIncomeLossAllocatedToGeneralPartners,OtherReceivables
2016-04-30,2016-06-07,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,3570.0,,16680.0,,,,,,,,5926.0,,,,3246.0,,-2634.0,,,,,75000000.0,6000000.0,6000000.0,6000.0,,,,0.0,,,,,,,,,,,,1042.0,0.0,,,,,,,,,,,0.0,,1261.0,,,,0.0,,,-1261.0,0.0,0.0,,,3570.0,,,,,,,,,,0.0,,4612.0,5926.0,,,,0.0,2500.0,-134.0,-1261.0,,1261.0,-1261.0,,,,,,,,,,,5234.0,,,2500.0,,,,,,,0.0,-3704.0,,2500.0,,,,-4686.0,0.0,,,5100.0,,,,1314.0,,,,,,,,6367065.0,6000000.0,,,,,,
2016-07-31,2016-09-02,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,20381.0,,,,,,24415.0,,26795.0,,,,24503.0,,,,,,,75000000.0,7285000.0,7285000.0,7285.0,,,,,,,,,,,,,,,,1042.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1042.0,26795.0,,,,,,,-1261.0,,1261.0,-1261.0,,,,,,,,,,,1261.0,,,,,,,,,,,,,2292.0,,,,-5947.0,,,,,0.02,,,25753.0,,1285000.0,,25700.0,,,,,6367065.0,,,,,,
2016-10-31,2016-11-28,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,,,,,,,,,24415.0,,19057.0,,,,16973.0,,,,,,,75000000.0,7285000.0,7285000.0,7285.0,,,,0.0,,,,,,,,,,,,1042.0,0.0,,,,,,,,,,,0.0,,7738.0,,,,0.0,,,-7738.0,0.0,,,,,,,,,,,,,,,,1042.0,19057.0,,,,,,,-7738.0,,7738.0,-7738.0,,,,,,,,,,,7738.0,,,,,,,,,,,,,2084.0,,,,-13685.0,0.0,,,,,,,18015.0,,,,,,,,7285000.0,7285000.0,,,,,,
2017-01-31,2017-05-16,10-K,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,765.0,,765.0,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,-6060.0,,,0.0,0.001,75000000.0,7285000.0,7285000.0,7285.0,,,,3570.0,,,,11038.0,,0.0,,11038.0,416.0,,0.0,,0.0,,,,,,,,,,2084.0,-2084.0,2084.0,30929.0,,,,1530.0,,,-31483.0,0.0,0.0,,,765.0,,,,,,,,0.0,,0.0,0.0,765.0,0.0,765.0,,,24658.0,-2500.0,-28218.0,-31483.0,,30929.0,-29399.0,,,,,,,,,,,,,,2500.0,,,0.0,,,25700.0,0.0,,,,,,1042.0,-32465.0,5100.0,,,,,,-765.0,,,,,,25700.0,,-11038.0,6754850.0,,,,,,,
2017-04-30,2017-06-19,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,12626.0,,,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.001,75000000.0,7285000.0,7285000.0,7285.0,,,,0.0,,,,16449.0,,0.0,,,,,4054.0,,0.0,,,,,,,,,,,0.0,,15915.0,,,,0.0,,,-15915.0,0.0,0.0,,,11861.0,,,,,,,,,,0.0,,16680.0,0.0,16680.0,,,4054.0,0.0,-4054.0,-15915.0,,15915.0,-15915.0,,,,,,,,,,,,,,0.0,,,,,,0.0,4054.0,,,,,,0.0,-48380.0,0.0,,,,,,-16680.0,,,,,,,,-16449.0,7285000.0,,,,,,,
2017-07-31,2017-09-19,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,10121.0,,,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.001,75000000.0,7285000.0,7285000.0,7285.0,,,,,0.0,,,17708.0,17708.0,0.0,,17708.0,,,10260.0,,0.0,,,,,,,,,,,,,3701.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,20381.0,0.0,20381.0,,,,,,,,3701.0,-3701.0,52081.0,,,,,,,,,,,,,,,,0.0,,,,,-3701.0,,,,,,-52081.0,0.0,,,,,,-20381.0,,,,,,,,,7285000.0,,,,,,,
2017-10-31,2017-12-20,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,2773.0,,2773.0,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.001,75000000.0,7285000.0,7285000.0,7285.0,,,,0.0,,,,19667.0,19667.0,0.0,,19667.0,,,23367.0,,0.0,,,,,,,,,,,0.0,,5759.0,,,,0.0,,,-5759.0,0.0,,,,,,,,,,,,,,,,26140.0,0.0,26140.0,,,,,,-5759.0,,5759.0,-5759.0,57840.0,,,,,,,,,,,,,,,,0.0,,,,,-5759.0,,,,,,-57840.0,0.0,,,,,,-26140.0,,,,,,,,,7285000.0,,,,,,,
2018-01-31,2018-05-15,10-K,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,200.0,,200.0,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.001,1000000000.0,7285000.0,7285000.0,7285.0,,,,0.0,0.0,,,13237.0,13237.0,0.0,13237.0,13237.0,0.0,,31132.0,,0.0,0.0,0.21,0.21,0.35,,,,,,,0.0,0.0,30567.0,,,,0.0,,,-30567.0,0.0,0.0,2199.0,,-565.0,,-565.0,,,,,,0.0,,0.0,0.0,31332.0,0.0,31332.0,75000.0,,31132.0,0.0,-31132.0,-30567.0,,30567.0,-30567.0,63032.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,31132.0,,,,,,0.0,-63032.0,0.0,,,,,,,,,,,,,,,7285000.0,,,,,,,
2018-04-30,2018-06-13,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,0.0,,0.0,,,,,24415.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.001,1000000000.0,7285000.0,7285000.0,7285.0,,,,0.0,0.0,,,14492.0,14492.0,0.0,,14492.0,,,37307.0,,0.0,0.0,0.21,0.21,,,,,,,,,,5975.0,,,,0.0,,,-5975.0,0.0,0.0,,,-200.0,-200.0,,,,,,,0.0,,0.0,,37307.0,0.0,37307.0,75000.0,,6175.0,0.0,-6175.0,-5975.0,,5975.0,-5975.0,69007.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,6175.0,,,,,,0.0,-69007.0,0.0,,,,,,,,,,,,,,,7285000.0,,,,,,,
2018-07-31,2018-09-14,10-Q,JIALIJIA GROUP CORPORATION LIMITED,RZZN,CIK0001659559,USD,582.0,,582.0,,,,,24415.0,,,0.0,,,,0.0,,,,,0.0,0.001,1000000000.0,7285000.0,7285000.0,7285.0,,,,,0.0,,,16244.0,16244.0,0.0,,16244.0,,,45071.0,,0.0,,,,,,,,,,,,,8345.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,45653.0,0.0,45653.0,,,,,,-8345.0,,8345.0,-8345.0,77353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-77353.0,0.0,,,,,,,,,,,,,,,7285000.0,,,,,,,
