end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BusinessCombinationAcquiredReceivablesFairValue,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStocksIncludingAdditionalPaidInCapitalNetOfDiscount,CommonStockValue,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeBenefitsAndShareBasedCompensation,FairValueOfAssetsAcquired,FlightEquipmentAccumulatedDepreciation,FlightEquipmentNet,GainLossOnDispositionOfAssets1,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LongTermNotesPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherExpenses,OtherLongTermNotesPayable,OtherNonoperatingIncomeExpense,ParticipatingPolicyPercentageOfPremiumIncome,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromDepositsOnRealEstateSales,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromPreviousAcquisition,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyHeldForSale,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShareBasedCompensation,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2011-01-31,2013-05-30,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66009.0,,,,,,,,,,,
2012-01-31,2013-05-30,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56435.0,,,,12000.0,,,,,,,
2013-01-31,2013-05-30,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,10902.0,,,,10902.0,0.0,10800.0,,,,,0.0,2.0,2.0,,2.0,,2.0,-1.0,,,0.001,300000000.0,10200000.0,10200000.0,,10200.0,38000.0,,,,38000.0,,,38000.0,0.0,,,,0.0,-107427.0,30307.0,0.0,,,,,,0.0,601.0,,-29992.0,0.0,0.0,0.0,0.0,1048.0,,1048.0,0.0,0.0,,,,,1048.0,1048.0,0.0,0.0,,0.0,86429.0,2.0,,,7220.0,,,28943.0,0.0,-28944.0,-29992.0,,,,30307.0,,38022.0,-28944.0,,,,,,,0.0,,,-1048.0,,,0.0,0.001,10000000.0,,,0.0,,,,0.0,,0.0,,,28943.0,,601.0,-29992.0,0.0,-107427.0,9078.0,37421.0,,-86427.0,-86427.0,12800.0,,,,,,0.0,,,10200000.0
2013-04-30,2013-05-30,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6500.0,0.0,,,,,,6762.0,,,,,,,,-262.0,,,,,,,,,,,,,,,-6762.0,-262.0,,,,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0,-6762.0,,,,,,,,,,,,,,,,,10200000.0
2013-07-31,2013-09-16,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93451.0,,,,,,,,,,,
2013-10-31,2013-12-16,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,500.0,,,,0.0,0.0,,762.0,0.0,,,0.0,,,,,-262.0,,0.0,,,,,,,,,,,0.0,,0.0,-762.0,,,,,,500.0,-500.0,,,,,,,,,,-262.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,265200000.0
2014-01-31,2014-06-03,10-K,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,18950.0,,,,18950.0,0.0,10800.0,,,,,0.0,0.0,0.0,,0.0,,0.0,-2.0,,,0.001,300000000.0,10200000.0,10200000.0,,10200.0,38000.0,,,38000.0,38000.0,0.0,,0.0,0.0,,,,0.0,-115477.0,30307.0,0.0,,,,,,0.0,7004.0,0.0,-8050.0,0.0,0.0,0.0,0.0,8048.0,,8048.0,0.0,0.0,,,,,786.0,1048.0,0.0,0.0,,0.0,94477.0,0.0,,30307.0,7220.0,,,0.0,0.0,-2.0,-8314.0,,,,30307.0,,7004.0,-7004.0,,,,,,115000.0,0.0,-262.0,,-1048.0,,,0.0,0.001,10000000.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,7002.0,-8050.0,0.0,-115477.0,0.0,0.0,,-94477.0,-94477.0,0.0,,,,,,0.0,,,275400000.0
2014-04-30,2014-06-23,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,,,,,16024.0,,41107.0,,,,,,0.0,,,0.0,,0.0,,,,0.001,300000000.0,10200000.0,10200000.0,,10200.0,,,,0.0,,0.0,,,,,,,,-67331.0,,0.0,,,,,,48287.0,0.0,0.0,,0.0,0.0,,,,,141.0,,,,,,,-141.0,-141.0,,,,,16024.0,0.0,,,0.0,,,,,,48146.0,48146.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,0.0,48146.0,,,0.0,0.0,,-16024.0,-16024.0,,,,,,,,,,265200000.0
2014-10-31,2014-12-22,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,82205.0,,,2276.0,,6815.0,130285.0,,,,,66855.0,114829.0,87077.0,,20379.0,,20379.0,456.0,,,0.001,300000000.0,265200000.0,265200000.0,,265200.0,,,,,82598.0,0.0,,,105000.0,,,,3445.0,,62000.0,0.0,,,,,,,33203.0,5995.0,,,0.0,0.0,,27454.0,-2276.0,,,-2422.0,,,,,-81953.0,,0.0,,,64422.0,226803.0,114829.0,,,,,,105000.0,,-104544.0,-197600.0,,,,,,121642.0,-115647.0,,,,,,,,,,-81953.0,,,,0.001,1000000.0,,,0.0,,,7234.0,105000.0,,,,,,,32555.0,-197600.0,20518.0,-507459.0,5995.0,55884.0,,-111974.0,-111974.0,,,,,,,,,,265200000.0
2015-01-31,2015-03-23,10-Q,"FLOWERKIST SKIN CARE AND COSMETICS, INC",FKST,CIK0001458023,USD,98959.0,,,,,10259.0,226942.0,,,,,,85494.0,61186.0,,6443.0,,6443.0,,,,0.001,300000000.0,291200000.0,291200000.0,,291200.0,,,,,218509.0,10642.0,,,,,,,,,0.0,0.0,,,,,,,17278.0,15226.0,,,0.0,,,,,,,,,,,,129798.0,,,,,54743.0,317468.0,85494.0,,,,,,,,,-242657.0,,,,,,128085.0,-112859.0,,,,,,,,-129798.0,,,,,,0.001,10000000.0,,,0.0,,7234.0,,,,,,,,,76118.0,-242657.0,17074.0,-750116.0,25868.0,34689.0,,-231974.0,-231974.0,,,,,,,,,,289787049.0
