end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchaseProgramAdjustment,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedIncomeTaxesCurrent,AccruedProfessionalFeesCurrent,AccruedRentCurrent,AccruedSalesCommissionCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,BuildingsAndImprovementsGross,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfRealEstateSales,CostsAndExpenses,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EscrowDeposit,GainLossOnSaleOfProperties,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDeposits,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInTradingSecurities,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryRealEstate,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,IssuanceOfStockAndWarrantsForServicesOrClaims,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LinesOfCreditCurrent,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesCurrentAndNoncurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherCostAndExpenseOperating,OtherCostOfOperatingRevenue,OtherExpenses,OtherGeneralExpense,OtherNonoperatingIncome,OtherSalesRevenueNet,PreferredStockDividendRatePercentage,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfRealEstate,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesOfRealEstate,ShareBasedCompensation,SharesIssued,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,TravelAndEntertainmentExpense,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsReceivableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,RevenueFromRelatedParties
2010-02-28,2010-06-14,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,,,,,,,,,,,,,,661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1434787.0,,,,,,,,,,,,
2010-08-31,2010-10-08,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,,,,,,,,,,,,,,3278.0,,,,,,,,,,,,,,,57315.0,,,1298.0,,,,,-0.02,,-0.02,,,,,,,,,,,,,,,,,,8238.0,,,,,,,1.0,,,,,,,,,,,-24595.0,,,,,,,,,-70147.0,-32832.0,,,,-37315.0,,,,28555.0,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,14710.0,,,,,,,,,12177.0,,,3512527.0,,3512527.0,,,
2010-11-30,2011-01-14,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,,,,,,,,,,,,,,1873.0,,,,,,,,,,,,,,,55900.0,,,1298.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,8251.0,,,,,,,,1.0,,,,,,,,,,63800.0,,,,,,,,,-350.0,55550.0,,,,-55900.0,,,,35265.0,,,,,,,,,,,,,,,,,,,,,,,,,,14989.0,,,,,,,,,4350.0,,,4588206.0,,3482527.0,,,
2011-02-28,2011-05-27,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,148766.0,,,,,40190.0,2679855.0,,495635.0,258825.0,,,,2465.0,1804.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,215067.0,,,5192.0,7274.0,1872087.0,,,,-0.06,,,,,,,,,,,33950.0,,,,-20000.0,-4311.0,,102983.0,32950.0,,16900.0,,,5000.0,,28.0,,12000.0,,,2113253.0,495635.0,2113253.0,,92400.0,244086.0,33158.0,,,272787.0,,,,-270983.0,,-194831.0,236.0,,,,-195067.0,,,,107462.0,,,,,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,-12243.0,,285030.0,,,,,,236810.0,,-4301601.0,20000.0,57847.0,,,,,-1617618.0,,,,27991.0,39975.0,42454.0,4612781.0,,3507102.0,,,
2011-05-31,2011-07-13,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,,,,,,,,,,,,,,403.0,-2062.0,,,,,,,,,,,,,,52500.0,,,1298.0,,,,,0.01,,0.01,,,,,,,,,,10804.0,,,,,-111.0,,105381.0,8059.0,,4155.0,,,,,,,,,,,,,,,,101738.0,,,50149.0,,,,-52211.0,,41179.0,93679.0,,,,-52500.0,,,,29791.0,,,,,,,,,,,,,,-5441.0,,55590.0,,,,,,,,,,14380.0,,,,,,,,,7031.0,,,4618206.0,,3512527.0,,,
2011-08-31,2011-10-17,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,165677.0,,,,,42786.0,2679855.0,1105679.0,517060.0,282846.0,,,,5822.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,43689.0,,,1298.0,17620.0,1968733.0,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,8161.0,,,,,5000.0,,1.0,,,,,2225046.0,517060.0,2225046.0,,90636.0,254404.0,-79698.0,,-86599.0,,,,,,,-131547.0,-87858.0,,,,-43689.0,,,,23636.0,,,,0.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,,,,234214.0,,-4391969.0,,14042.0,,,,,-1707986.0,,,,4513.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2011-11-30,2012-01-17,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,166814.0,,,,,44084.0,2679855.0,1105679.0,482217.0,249301.0,,,,5531.0,,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,46833.0,,,1298.0,21362.0,2020682.0,,,-0.02,,-0.02,,,,,,,,,,,,,,,,,,7937.0,,,,,5000.0,,,,,,,2276299.0,482217.0,2276299.0,,88803.0,217408.0,-37326.0,,-41706.0,,,,,,,-86096.0,-45263.0,,,,-40833.0,,,,27019.0,,,,6000.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,,,,232916.0,,-4478065.0,6000.0,14292.0,,,,,-1794082.0,,,,4024.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2012-02-29,2012-06-12,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,172100.0,,,,,45382.0,2679855.0,1105679.0,453147.0,221529.0,,155747.0,,4834.0,2369.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,193984.0,875000.0,,5192.0,24927.0,2068839.0,2068839.0,0.0,-0.07,-0.07,,,,,,,,,0.0,,23334.0,,,,,-5658.0,,-57318.0,32007.0,,19807.0,,,5000.0,,1.0,,,121253.0,,2327681.0,453147.0,2327681.0,,86742.0,186768.0,-45926.0,9987.0,-55913.0,179099.0,,,,-176730.0,,-256916.0,-77932.0,63787.0,,,-178984.0,2500000.0,,,110830.0,,,,15000.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,-17653.0,,196752.0,,,,,277000.0,231618.0,,-4558517.0,15000.0,58026.0,,,,,-1874534.0,,,,19536.0,39975.0,42454.0,4618206.0,,3512527.0,,,
2012-05-31,2012-07-13,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,174313.0,,,,,46680.0,2679855.0,1105679.0,383688.0,153368.0,,,,87335.0,82501.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,46330.0,,,1298.0,26822.0,2146243.0,,,-0.03,,-0.03,,,,,,,,0.0,,2213.0,,,,,-39353.0,,-152557.0,7573.0,,3018.0,,,5000.0,,,,,,,2367945.0,383688.0,2367945.0,,47389.0,34211.0,-64820.0,-75197.0,10377.0,75509.0,,,,6992.0,,-109723.0,-72393.0,,,,-37330.0,,,,27831.0,,,,9000.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,-1895.0,,77404.0,,,,,,230320.0,,-4668240.0,9000.0,14715.0,,,,,-1984257.0,,,,2486.0,39975.0,42454.0,4618206.0,,3512527.0,,,
2012-08-31,2012-10-22,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,179893.0,,,,,47978.0,2679855.0,1105679.0,360940.0,131918.0,,155747.0,,63653.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,62295.0,,,1298.0,31231.0,2172379.0,2172379.0,,-0.01,,-0.01,,,,,,,,,,,,,,,,,,5386.0,,,,,5000.0,,0.0,,,121253.0,,2392615.0,360940.0,2392615.0,,40343.0,32034.0,11263.0,,29253.0,,,,,,,-47418.0,5877.0,65887.0,,,-53295.0,,,3000.0,49617.0,,,,9000.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,,,277000.0,229022.0,,-4715658.0,,12514.0,,,,,-2031675.0,,,,-1134.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2012-11-30,2013-01-22,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,186445.0,,,,,49276.0,2679855.0,1105679.0,286225.0,58501.0,,155747.0,,11862.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,37975.0,,,1298.0,33220.0,2138228.0,2138228.0,,-0.01,,-0.01,,,,,,,,,,,,,,,,,,5703.0,,,,,5000.0,,0.0,,,121253.0,3000.0,2364466.0,286225.0,2364466.0,,39793.0,8419.0,-11888.0,,22001.0,,,,,,,-46566.0,-17591.0,73687.0,,,-28975.0,,,3000.0,7287.0,,,,9000.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,10802.0,,277000.0,227724.0,,-4762224.0,,8455.0,,,,,-2078241.0,,,,4197.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2013-02-28,2013-06-18,10-K,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,186517.0,,,,,50574.0,2679855.0,1105679.0,277624.0,51198.0,,155747.0,,11642.0,6808.0,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,193589.0,1015000.0,,5192.0,35450.0,2159449.0,2159449.0,0.0,-0.07,-0.07,,,,,,,,,0.0,,14417.0,,,,,-40447.0,0.0,-182662.0,24320.0,,16420.0,,,0.0,,0.0,,,121253.0,12000.0,2392261.0,277624.0,2392261.0,,46295.0,4106.0,-60158.0,-173047.0,112889.0,80087.0,,,,-73279.0,,-240103.0,-84478.0,69887.0,,,-155625.0,2900000.0,,,45970.0,,,,37964.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,0.0,,,-10523.0,90610.0,-10523.0,,,45210.0,,277000.0,226426.0,,-4798620.0,37964.0,44113.0,,,,,-2114637.0,,,,13991.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2013-05-31,2013-07-22,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,176944.0,,,,,51872.0,2679855.0,1105679.0,234947.0,9819.0,,155747.0,,9819.0,-1823.0,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,31959.0,,,1298.0,0.0,2153628.0,2153628.0,0.0,-0.01,,-0.01,,,,,,,,0.0,,-9573.0,,,,,-3789.0,0.0,-4106.0,5720.0,,3018.0,,,,,,,,121253.0,3000.0,2373078.0,234947.0,2373078.0,,42506.0,0.0,2239.0,4298.0,-2059.0,29629.0,,,,-31452.0,,-23494.0,-3481.0,73787.0,,,-20013.0,,,,6092.0,,,,11946.0,0.02,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,35450.0,-5821.0,35450.0,,,3680.0,,277000.0,225128.0,,-4822114.0,11946.0,11784.0,,,,,-2138131.0,,,,2041.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2013-08-31,2013-10-15,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,178781.0,,,,,53170.0,2679855.0,1105679.0,236484.0,12654.0,,155747.0,,12654.0,,,,,,,0.01,30000000.0,3552502.0,3552502.0,,35525.0,,,46839.0,,,1298.0,0.0,2220403.0,2220403.0,0.0,-0.01,,-0.01,,0.0,,,,,,,,,,,,,,,,5318.0,,,,,,,,,,121253.0,3000.0,2414826.0,236484.0,2414826.0,,15642.0,0.0,0.0,,0.0,,,,,,,-40211.0,-5318.0,73887.0,,,-34893.0,,,3000.0,1013.0,,,,11946.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,25180.0,,277000.0,223830.0,,-4862325.0,,8206.0,,,,,-2178342.0,,,,1651.0,39975.0,42454.0,3512527.0,,3512527.0,,,
2013-11-30,2014-01-21,10-Q,UNITED STATES BASKETBALL LEAGUE INC,USBL,CIK0000764630,USD,,180463.0,,,,,54468.0,2679855.0,1105679.0,240270.0,17738.0,,155747.0,,17738.0,,,,,,,0.01,30000000.0,3552502.0,,,35525.0,,,28084.0,,,1298.0,0.0,2247008.0,2247008.0,0.0,-0.01,,-0.01,,0.0,,,,,,,,,,,,,,,,5002.0,,,,,,,0.0,,,121253.0,3000.0,2439752.0,240270.0,2439752.0,,12281.0,0.0,0.0,,0.0,,,,,,,-21140.0,-5002.0,77787.0,0.0,,-16138.0,,,3000.0,6636.0,,5613.0,,11946.0,,0.01,2000000.0,1105679.0,1105679.0,11057.0,,,,,,,,,11851.0,,277000.0,222532.0,,-4883465.0,,42.0,,,,,-2199482.0,,,,-356.0,39975.0,42454.0,3512527.0,,3512527.0,,,
