end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DerivativeFixedInterestRate,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InvestmentIncomeInterest,InvestmentInterestRate,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2007-10-31,2007-12-28,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,,,,976495630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-31,2008-12-30,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,,,,538448166.0,-438047464.0,,,,,5.27,,,,,,3950000.0,502378480.0,38687940.0,,,,,,,,-63652761.0,,-461816.0,,,,,,,,,,,,,43981227.0,,,,,,-414075486.0,,39680783.0,,39389722.0,4591505.0,,-701782.0,,,,2441169915.0,,,39703921.0,,,,,,,43981227.0,4591505.0,,,,,,,,,,,
2009-07-31,2009-09-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,,,,602518963.0,,,,,,0.04,,,,,,,,-101671.0,,,,,,,,,,,,,,,,,,,,,,,500289.0,,,,,,,,,,-99814.0,600103.0,,-1857.0,,,,,,,,,,,,,,500289.0,600103.0,,,,,,,,,,,
2009-10-31,2009-12-23,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,14738573.0,,,,589730038.0,589730038.0,,,589687376.0,51239210.0,,,,,1.11,,0.0,,32000000.0,3900000.0,3900000.0,574795922.0,2468267.0,,,,,,,,85278433.0,,303465.0,,,,,,,,,,,,42662.0,4855647.0,,,,589730038.0,14934116.0,-39117023.0,,5077800.0,,2535812.0,2319835.0,195543.0,-67545.0,,,,588099632.0,,,4922939.0,,,,,,,4855647.0,2319835.0,,,4100000.0,560619175.0,,,,,,,
2010-01-31,2010-03-12,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,,,,631410766.0,41723390.0,,,,,,,,,,,,,-469759.0,,,,,,,,-37827075.0,,9665.0,,,,,,,,,,,,,125674.0,,,,,,80025421.0,,-474956.0,,-492510.0,618184.0,,22751.0,,,,109133681.0,,,,,,,,,,125674.0,618184.0,,,,,,,,,,,
2010-04-30,2010-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,,,,557127553.0,,,,,,,,,,,,,,-500081.0,,,,,,,,,,,,,,,,,,,,,,,113344.0,,,,,,,,,,-509742.0,623086.0,,9661.0,,,,,,,,,,,,,,113344.0,623086.0,,,,,,,,,,,
2010-07-31,2010-09-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,38952401.0,,,,506538232.0,,,,506455556.0,,,,,,,,0.0,,52000000.0,3600000.0,3600000.0,467432212.0,-393186.0,,,,,,,,,,,,,,,,,,,,,,82676.0,150146.0,,,,506538232.0,39106020.0,,,,,-378188.0,528334.0,153619.0,-14998.0,,,,,,,,,,,,,,150146.0,528334.0,,,,,,,,,,,
2010-10-31,2011-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,76163423.0,,,,,464043550.0,,,463876102.0,-125811274.0,,,,,,,,,67000000.0,2800000.0,2800000.0,387741044.0,-1736774.0,,,,,,,-0.37,-36893537.0,,-21725.0,,,,,,,,,,,,167448.0,1010580.0,,,,464043550.0,76302506.0,-87199062.0,,-1718675.0,,-1737868.0,2748448.0,139083.0,1094.0,9254.0,,,2614731248.0,,,,,,,,,,1010580.0,2748448.0,,,19900000.0,2675163019.0,,,,,,4202329.0,
2011-01-31,2011-03-11,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,20484128.0,,,,,396165121.0,,,396027161.0,-67848941.0,,,,,0.01,,,,67000000.0,2750000.0,2750000.0,375542343.0,-87775.0,,,,,,,-0.03,-7654081.0,,-1013.0,,,,,,,,,,,,137960.0,319717.0,,,,396165121.0,20622778.0,-60137051.0,,-57809.0,,-85851.0,405568.0,138650.0,-1924.0,-1924.0,,,681258018.0,,,23548.0,,,,,,,319717.0,405568.0,,,,,,,,,,2995109.0,
2011-04-30,2011-06-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,36956845.0,,,,,421413242.0,,,369444135.0,,,,,,,,,,67000000.0,2600000.0,2600000.0,384329906.0,105922.0,,,,,,,0.04,,,,,,,,,,,,,,,230346.0,477930.0,,,,421413242.0,37083336.0,,,,,100298.0,377632.0,126491.0,5624.0,5624.0,,,,,,,,,,,,,477930.0,377632.0,,,,,,,,,,2717978.0,
