end,filed,form,Name,Ticker,CIK,Currency,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,Assets,AvailableForSaleSecurities,BankOwnedLifeInsurance,BankOwnedLifeInsuranceIncome,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CommonStockDividendsPerShareCashPaid,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,Communication,ComprehensiveIncomeNetOfTax,DeferredIncomeTaxExpenseBenefit,Deposits,DepreciationNonproduction,DividendsCommonStock,DividendsCommonStockCash,EarningsPerShareBasicAndDiluted,EquipmentExpense,FederalDepositInsuranceCorporationPremiumExpense,FederalFundsSold,FederalHomeLoanBankAdvances,FederalHomeLoanBankStock,FeesAndCommissionsDepositorAccounts,FeesAndCommissionsFiduciaryAndTrustActivities,FeesAndCommissionsOther,ForeclosedRealEstateExpense,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GainLossOnSaleOfSecuritiesNet,GainsLossesOnSalesOfOtherRealEstate,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestBearingDepositLiabilitiesDomestic,InterestBearingDepositsInBanks,InterestExpense,InterestExpenseDeposits,InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesLongTerm,InterestExpenseSecuritiesSoldUnderAgreementsToRepurchase,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestIncomeExpenseNet,InterestIncomeFederalFundsSold,InterestIncomeSecuritiesTaxable,InterestIncomeSecuritiesTaxExempt,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestReceivable,LaborAndRelatedExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LoansAndLeasesReceivableAllowance,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableHeldForSaleNet,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetChangeInterestBearingDepositsDomestic,NetChangeNoninterestBearingDepositsDomestic,NetIncomeLoss,NoninterestBearingDepositLiabilitiesDomestic,NoninterestExpense,NoninterestExpenseDirectorsFees,NoninterestIncome,NoninterestIncomeOtherOperatingIncome,OccupancyNet,OtherAssets,OtherComprehensiveIncomeAvailableforsaleSecuritiesTaxPortionAttributableToParent,OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeDefinedBenefitPlansTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,OtherInterestAndDividendIncome,OtherLiabilities,OtherNoninterestExpense,OtherNonoperatingIncome,PaymentsForOriginationOfMortgageLoansHeldForSale,PaymentsForProceedsFromLoansAndLeases,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividendsCommonStock,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PostageExpense,ProceedsFromPaymentsForInSecuritiesSoldUnderAgreementsToRepurchase,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleOfMortgageLoansHeldForSale,ProceedsFromSaleOfWhollyOwnedRealEstateAndRealEstateAcquiredInSettlementOfLoans,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForLoanLeaseAndOtherLosses,RealEstateAcquiredThroughForeclosure,RealEstateOwnedValuationAllowance,RealEstateOwnedValuationAllowanceProvision,RepaymentsOfFederalHomeLoanBankBorrowings,RetainedEarningsAccumulatedDeficit,SecuritiesSoldUnderAgreementsToRepurchase,ShareBasedCompensation,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,SuppliesExpense,TransferOfOtherRealEstate,TreasuryStockShares,TreasuryStockSharesAcquired,TreasuryStockValue,TreasuryStockValueAcquiredParValueMethod
2008-12-31,2009-03-31,10-K,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,,,,,,,,,8349000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27804000.0,,,,,,,
2009-12-31,2010-03-31,10-K,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,-129000.0,,,47000.0,,,,238000.0,12623000.0,4274000.0,,0.27,,,,,,184000.0,,-609000.0,,573000.0,,-899000.0,-0.66,948000.0,711000.0,,,,2205000.0,758000.0,563000.0,1272000.0,,-4000.0,42000.0,776000.0,-3676000.0,-1436000.0,41000.0,-156000.0,1176000.0,-1901000.0,14913000.0,13801000.0,,,5121000.0,4772000.0,201000.0,148000.0,3102000.0,9792000.0,7000.0,933000.0,148000.0,5197000.0,,,5351000.0,,,,,,,,7519000.0,-4321000.0,1076000.0,7895000.0,2484000.0,-2240000.0,,11059000.0,,4281000.0,471000.0,570000.0,,,944000.0,486000.0,,-28000.0,14000.0,-27000.0,14000.0,24000.0,,1678000.0,4000.0,8471000.0,2728000.0,29000.0,899000.0,32594000.0,1288000.0,,-1012000.0,3042000.0,8703000.0,5602000.0,194000.0,,6690000.0,,,-303000.0,920000.0,,,47000.0,25572000.0,,207000.0,8814000.0,,3427.0,,-29000.0
2010-06-30,2010-08-16,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,,,,,,,,59000.0,15153000.0,,,,,,,,,47000.0,,,,,,,0.13,227000.0,154000.0,,,,478000.0,227000.0,178000.0,110000.0,,,,30000.0,652000.0,214000.0,,,,,3539000.0,3269000.0,,,1058000.0,1023000.0,15000.0,20000.0,2020000.0,2481000.0,1000.0,216000.0,49000.0,,,,1142000.0,,,,,,,,,,,,,438000.0,,2461000.0,44000.0,1093000.0,121000.0,144000.0,,,,,,,,,,4000.0,,400000.0,,,,,,,,,,,,,46000.0,,461000.0,,,,,,,,26527000.0,,67000.0,,,,,
2010-09-30,2010-11-15,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,,,,,,,,58000.0,15813000.0,,,,,,,,,46000.0,,,,,,,0.16,162000.0,142000.0,,,,480000.0,199000.0,172000.0,182000.0,,,,25000.0,769000.0,241000.0,,,,,3459000.0,3226000.0,,,993000.0,957000.0,13000.0,23000.0,2253000.0,2466000.0,1000.0,176000.0,50000.0,,,,1177000.0,46000.0,,,,,,39000.0,,,,,,528000.0,,2506000.0,,1022000.0,113000.0,161000.0,,,,,,,,,,6000.0,,316000.0,,,,,,,,38000.0,,,,,48000.0,,213000.0,,,,,,,,26982000.0,,34000.0,,,,,
2010-12-31,2011-03-31,10-K,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,-214000.0,-1687000.0,3932000.0,34000.0,297609000.0,42690000.0,6397000.0,235000.0,12905000.0,282000.0,2185000.0,,1.0,5000000.0,3671691.0,3671691000.0,3672000.0,183000.0,,494000.0,257422000.0,550000.0,,,0.53,783000.0,563000.0,2725000.0,-2717000.0,765000.0,1854000.0,842000.0,676000.0,677000.0,,-5000.0,0.0,223000.0,2474000.0,680000.0,720000.0,8000.0,-783000.0,118000.0,13904000.0,12923000.0,230727000.0,7995000.0,4143000.0,3972000.0,87000.0,84000.0,8162000.0,9761000.0,3000.0,755000.0,202000.0,4187000.0,361000.0,960000.0,4731000.0,,270833000.0,297609000.0,5012000.0,214238000.0,76000.0,,-8142000.0,3305000.0,5119000.0,-5787000.0,-1258000.0,1794000.0,26695000.0,9764000.0,,4076000.0,431000.0,648000.0,4745000.0,,-348000.0,178000.0,,,,-276000.0,143000.0,21000.0,2951000.0,1583000.0,38000.0,3824000.0,-9565000.0,0.0,0.0,38555000.0,99000.0,,42000.0,0.0,3845000.0,2849000.0,145000.0,8270000.0,1599000.0,6563000.0,95000.0,-17000.0,1139000.0,23725000.0,7382000.0,34000.0,26776000.0,29642000.0,182000.0,3574000.0,281513.0,,2866000.0,
2011-03-31,2011-05-16,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,-75000.0,,,4000.0,,,,57000.0,24001000.0,11096000.0,,0.01,,,,,,47000.0,376000.0,,,125000.0,,-34000.0,0.08,200000.0,153000.0,,,,429000.0,221000.0,174000.0,117000.0,,,,-27000.0,299000.0,42000.0,,52000.0,-274000.0,-100000.0,3224000.0,2993000.0,,,925000.0,895000.0,11000.0,19000.0,1876000.0,2299000.0,1000.0,168000.0,54000.0,926000.0,,,1236000.0,,,,,,,,14357000.0,-4312000.0,1051000.0,14808000.0,246000.0,257000.0,,2552000.0,,975000.0,94000.0,171000.0,,61000.0,,,119000.0,,,-119000.0,,8000.0,,349000.0,,238000.0,-5230000.0,,34000.0,15000000.0,12000.0,,-367000.0,,314000.0,470000.0,40000.0,,423000.0,,,0.0,296000.0,,,4000.0,27122000.0,,41000.0,914000.0,,,,
2011-06-30,2011-08-15,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,,-1304000.0,3940000.0,,300767000.0,55738000.0,,59000.0,10777000.0,,2205000.0,,1.0,5000000.0,3671691.0,3671691.0,3672000.0,46000.0,,,258705000.0,,,,0.05,210000.0,106000.0,725000.0,-2122000.0,690000.0,480000.0,230000.0,195000.0,186000.0,,,,-43000.0,179000.0,6000.0,,,,,3138000.0,2880000.0,232005000.0,7847000.0,784000.0,757000.0,11000.0,16000.0,2179000.0,2354000.0,0.0,192000.0,55000.0,,273000.0,902000.0,1247000.0,,273236000.0,300767000.0,4113000.0,206028000.0,0.0,,,,,,,173000.0,26700000.0,3028000.0,47000.0,1028000.0,107000.0,151000.0,11030000.0,,,,,,,,,11000.0,3011000.0,502000.0,,,,,,,,,,,,,64000.0,8101000.0,175000.0,7501000.0,379000.0,,,24089000.0,9125000.0,,27531000.0,30397000.0,58000.0,,281513.0,,2866000.0,
2011-09-30,2011-11-14,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,,-1310000.0,3943000.0,,293745000.0,45543000.0,6872000.0,59000.0,17993000.0,,1705000.0,,1.0,5000000000.0,3671691000.0,3671691000.0,3672000.0,46000.0,,,257697000.0,,,,-0.53,250000.0,98000.0,725000.0,-1823000.0,822000.0,485000.0,225000.0,198000.0,46000.0,,,,-266000.0,-3220000.0,-1418000.0,,,,,3162000.0,2929000.0,227976000.0,15563000.0,634000.0,606000.0,9000.0,19000.0,400000.0,2528000.0,0.0,167000.0,62000.0,,245000.0,888000.0,1249000.0,13000.0,268020000.0,293745000.0,5263000.0,202108000.0,0.0,47000.0,,,,,,-1802000.0,29721000.0,4674000.0,,1054000.0,87000.0,153000.0,5365000.0,,,,,,,,,4000.0,3016000.0,322000.0,,,,,,,,43000.0,,,,,68000.0,8003000.0,2128000.0,6151000.0,2165000.0,,,22286000.0,5239000.0,,25725000.0,28591000.0,47000.0,,281513000.0,,2866000.0,
2011-12-31,2012-03-29,10-K,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,-268000.0,-1932000.0,3943000.0,11000.0,287393000.0,42331000.0,6932000.0,234000.0,13724000.0,819000.0,1485000.0,0.02,1.0,5000000000.0,3671691000.0,3671691000.0,3672000.0,187000.0,,-1197000.0,253117000.0,477000.0,,-67000.0,-0.3,912000.0,453000.0,794000.0,-1523000.0,808000.0,1831000.0,894000.0,759000.0,551000.0,,0.0,0.0,-343000.0,-2260000.0,-1250000.0,0.0,-128000.0,-535000.0,-115000.0,12571000.0,11648000.0,216067000.0,11445000.0,2900000.0,2804000.0,37000.0,59000.0,6328000.0,9671000.0,1000.0,660000.0,231000.0,3057000.0,204000.0,832000.0,4980000.0,,261928000.0,287393000.0,4484000.0,202761000.0,198000.0,,-9533000.0,5900000.0,4452000.0,-14660000.0,10355000.0,-1010000.0,37050000.0,12956000.0,,4368000.0,363000.0,629000.0,5491000.0,,-549000.0,283000.0,,,,304000.0,157000.0,31000.0,3669000.0,1660000.0,287000.0,1090000.0,-2977000.0,0.0,67000.0,34604000.0,130000.0,,-3967000.0,0.0,968000.0,2802000.0,189000.0,7923000.0,3343000.0,6393000.0,2197000.0,-2182000.0,1194000.0,22648000.0,3415000.0,11000.0,25465000.0,28331000.0,195000.0,5157000.0,281513000.0,,2866000.0,
2012-03-31,2012-05-15,10-Q,POTOMAC BANCSHARES INC,PTBS,CIK0000925173,USD,-56000.0,-1853000.0,3944000.0,1000.0,298295000.0,39201000.0,6990000.0,58000.0,29081000.0,15357000.0,1571000.0,,1.0,5000000000.0,3671691000.0,3671691000.0,3672000.0,53000.0,399000.0,,265028000.0,110000.0,,,0.09,242000.0,98000.0,740000.0,-1221000.0,789000.0,418000.0,246000.0,198000.0,134000.0,,,,-54000.0,449000.0,129000.0,,-13000.0,-367000.0,-1989000.0,2942000.0,2753000.0,221715000.0,26770000.0,459000.0,450000.0,6000.0,3000.0,2174000.0,2483000.0,0.0,117000.0,60000.0,495000.0,168000.0,819000.0,1220000.0,,272430000.0,298295000.0,4401000.0,200845000.0,672000.0,,12527000.0,4015000.0,-1185000.0,5648000.0,6263000.0,320000.0,43313000.0,2763000.0,,1038000.0,118000.0,156000.0,5282000.0,22000.0,,,79000.0,,,38000.0,,12000.0,1680000.0,338000.0,,1100000.0,204000.0,,0.0,4986000.0,21000.0,,918000.0,,626000.0,1226000.0,41000.0,7834000.0,309000.0,6782000.0,2023000.0,-142000.0,302000.0,22968000.0,4333000.0,1000.0,25865000.0,28731000.0,42000.0,1812000.0,281513000.0,,2866000.0,
