end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedSalariesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvancesToAffiliate,AmortizationOfIntangibleAssets,AreaOfLand,AreaOfLand,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CashFDICInsuredAmount,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,CustomerAdvancesNoncurrent,DebtSecuritiesUnrealizedGainLoss,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredRevenueCurrent,DeferredSalesCommission,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGross,DeferredTaxAssetsInvestments,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsUnrealizedCurrencyLosses,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DepositsAssetsNoncurrent,Depreciation,DepreciationDepletionAndAmortization,DividendsCommonStockCash,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,FairValueOfAssetsAcquired,FiniteLivedIntangibleAssetsNet,GainLossOnInvestments,GainLossOnSaleOfPropertyPlantEquipment,GrossProfit,HeldToMaturitySecurities,HeldToMaturitySecuritiesFairValue,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationPriorYearIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestIncomeOther,InterestPaid,InterestPaidNet,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,LandAndLandImprovements,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,NoninterestBearingDepositLiabilities,NonoperatingIncomeExpense,NumberOfReportableSegments,NumberOfReportableSegments,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherLiabilitiesCurrent,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivables,OtherReceivablesNetCurrent,PaymentsForOtherDeposits,PaymentsOfDividends,PaymentsOfDividendsCommonStock,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireLand,PaymentsToAcquireLand,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromShortTermDebt,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,RelatedPartyTransactionAmountsOfTransaction,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfOtherShortTermDebt,RepaymentsOfOtherShortTermDebt,RestrictedCashAndCashEquivalents,RestrictedInvestmentsNoncurrent,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SalariesWagesAndOfficersCompensation,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnSecurities,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-06-30,2014-09-08,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,3644.0,,24000.0,,,,,,,149700.0,,,,,,162538.0,158983.0,134833.0,,,,,,,0.0,100000000.0,30000000.0,0.0,300.0,5753.0,,,,,,,,,,,,,,,,,,,,0.0,,,,6000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,9644.0,162538.0,,,,,,,,,5753.0,,,,,,,18270.0,,,,,,,,,,,0.0,,,,,,23.0,,,,,,,,,,,,150.0,,,,,,,,,3555.0,0.0,,,,,,,2894.0,,24000.0,,,18270.0,,,152894.0,,,,,,,30000000.0
2014-09-30,2014-11-14,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,55915.0,,48000.0,,,,45000.0,,-2261.0,149700.0,,,,,,166656.0,163416.0,115416.0,,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-23495.0,0.0,,,,,,,,,,,,,,,,,,,315.0,,,,18000.0,0.0,,,,,,,,24000.0,,,-21189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73915.0,166656.0,,,,,,,,,-21234.0,,,,,,,45189.0,,,,,,,,,,,-2261.0,,,,,45.0,,-45.0,,,,,,,,,,,,,,,,,,,,3240.0,315.0,,,,,,,-54998.0,,24000.0,,,44874.0,,,92741.0,,,,,,,30000000.0
2014-12-31,2015-03-31,10-K,KAOPU GROUP INC,LNGB,CIK0001602706,USD,113237.0,,72000.0,,,36126.0,,,-6761.0,149700.0,149700.0,,,,,181908.0,178967.0,960614.0,106863.0,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-117366.0,0.0,,,,,,,,,,,,,,,,,,614.0,614.0,,,,36126.0,0.0,,-6767.0,,,,,,81866.0,,,-110620.0,,,0.0,,,,,,,113148.0,72000.0,,,,,,,36132.0,,,,,,,,104.0,,,0.0,,,,,,,,149363.0,181908.0,,,,150000.0,-3555.0,-3555.0,,-32815.0,-110605.0,,,,,,,192486.0,-110620.0,,,,,,,,0.0,-6761.0,-6761.0,,,,,,15.0,15.0,,,,,,,,,3555.0,,104.0,,150000.0,,,,,,,2941.0,614.0,27000.0,,,,,,-110694.0,46831.0,81866.0,45000.0,,191872.0,,,1002058.0,,,150000.0,,,,25479452.0
2015-03-31,2015-05-15,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,142684.0,,55000.0,3000.0,96.0,,51000.0,,-5169.0,,149700.0,,,,,190760.0,188111.0,133007.0,26144.0,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-35565.0,,,,,,,,,,,,,,,,,,,292.0,292.0,,,,51096.0,0.0,,1592.0,,,,,,,,,,,,0.0,,,,,,,29450.0,-17000.0,,,,,,,14967.0,,,,,,,,0.0,,,0.0,,,,,,3000.0,96.0,193780.0,190760.0,,,,0.0,,0.0,,24552.0,-37157.0,,,,,,,54657.0,,,,,,,,,,,1592.0,,,,,,,,,,0.0,,,,,,,,104.0,,0.0,,,,,,,2649.0,1799.0,,,,,,,-147851.0,,17500.0,45000.0,,54365.0,,,-3020.0,,,,,,,30000000.0
2015-06-30,2015-08-14,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,172144.0,,0.0,,194.0,,9000.0,,-5545.0,,149700.0,,,,,82899.0,80545.0,79616.0,,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-86419.0,,,,,,,,,,,,,,,,,,,,295.0,,,,194.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172338.0,82899.0,,,,,,,,,-86043.0,,,,,,,86861.0,,,,,,,,,,,-376.0,,,,,,818.0,818.0,,,,,,,,,,,929.0,,,,,,,,,2354.0,1201.0,,,,,,,-233894.0,,0.0,,,86566.0,,,-89439.0,,,,,,,30000000.0
2015-09-30,2015-11-16,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,180121.0,,0.0,,,,9000.0,,-2541.0,,149700.0,,,,,119919.0,111588.0,73336.0,,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,28995.0,24338.0,,,,,,,,,,,,,,,,,,,299.0,,,,242.0,0.0,,,,,,,,72690.0,,,26722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180363.0,119919.0,,,,,,,,,25991.0,,,,,,,45968.0,26722.0,105574.0,9414.0,20850.0,37655.0,37655.0,,,6276.0,,3004.0,,,,,,,-731.0,,,,,,,,,,,38252.0,,,,,,,,,2055.0,1500.0,,,,,,,-207903.0,,97028.0,,,45669.0,,,-60444.0,,,,,,,30000000.0
2015-12-31,2016-04-14,10-K,KAOPU GROUP INC,LNGB,CIK0001602706,USD,1478362.0,5850.0,785219.0,,,,,152014.0,-16156.0,,1233271.0,52817.0,,,,10245738.0,1944081.0,575640.0,-384974.0,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-340138.0,6060619.0,84439.0,6694936.0,,,-81105.0,25661.0,977395.0,199436.0,,43212.0,241842.0,9323.0,232519.0,6418.0,31806.0,0.0,,63997.0,65103.0,41820.0,52817.0,45629.0,244.0,-0.01,,-15527.0,,,11379.0,-221016.0,,84243.0,5157725.0,4903535.0,,-308122.0,3334.0,55117.0,0.0,18682.0,-30411.0,12914.0,2149.0,,296898.0,-100587.0,,17188.0,2307840.0,287880.0,81105.0,-70518.0,-40006.0,,-17616.0,,18974.0,,,-32811.0,435.0,1580815.0,,0.0,,261423.0,487477.0,226054.0,,,368365.0,9564448.0,10245738.0,1173580.0,2869512.0,,-18736.0,,-835948.0,,485237.0,-311456.0,,,-94196.0,,,,8056931.0,-213926.0,94620.0,37848.0,,18924.0,37848.0,66989.0,61000.0,67459.0,-28682.0,-28682.0,,,38600000.0,1274605.0,,,126820.0,,,,79926.0,38106.0,,,,895217.0,34626.0,524.0,61190.0,0.0,7470.0,,,0.0,,2261384.0,2109370.0,1799.0,,4496.0,,,,4903535.0,-606949.0,65349.0,7843005.0,9000.0,,1931209.0,,,681290.0,,,,73441.0,,-254190.0,30000000.0
2016-03-31,2016-05-16,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,218090.0,,,,,,,,-10209.0,,149700.0,,,,,72321.0,64417.0,163193.0,-412447.0,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,2222.0,1282101.0,,,,,,,,,,,,,,,,62100.0,,18718.0,18718.0,,,,248.0,0.0,,423.0,,,,-68924.0,,,,,,15126.0,31660.0,29958.0,,,,,,,-536722.0,-126423.0,,3490.0,262280.0,12931.0,-23633.0,-25527.0,1489.0,,41580.0,,,,,-11283.0,-414.0,450251.0,,0.0,,,,,,,97662.0,218338.0,72321.0,,,,305323.0,,-81964.0,,-636229.0,-16534.0,,,-72749.0,,,,1692871.0,87875.0,86992.0,28997.0,,19332.0,38663.0,,,6443.0,,18756.0,,,,,,,-3825.0,,,60491.0,,,60491.0,,,16864.0,,116.0,,,,,,305323.0,,,1461.0,2094.0,,109.0,,,,,-285808.0,,1780746.0,0.0,,392052.0,,,-146017.0,,,,,,,30000000.0
2016-06-30,2016-08-15,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,234699.0,,,,,,,,-10550.0,,149700.0,,,,,48895.0,41296.0,287317.0,,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,-362957.0,574110.0,,,,,,,,,,,,,,,,,,,-490.0,,,,248.0,-0.01,,,,,,9566.0,,,,,,-362517.0,-27033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234947.0,48895.0,,,,,,,,,-335484.0,,,-1234.0,,,,1493603.0,-361283.0,77189.0,19297.0,,19297.0,38595.0,,,6433.0,,-27473.0,,-27473.0,,,,,-10800.0,,,,,,,,,,,104.0,,,,,,,,,1166.0,2389.0,,,,,,,-325502.0,,1132320.0,,,919983.0,,,-186052.0,,,,,,,30000000.0
2016-09-30,2016-10-21,10-Q,KAOPU GROUP INC,LNGB,CIK0001602706,USD,260497.0,,,,,,,,-9625.0,,149700.0,,,,,25062.0,17591.0,-45193.0,,,,,,,0.0,100000000.0,30000000.0,30000000.0,300.0,451586.0,1432499.0,,,,,,,,,,,,,,,,,,,10239.0,,,,255.0,0.02,,,,,,482.0,,0.0,,,,465029.0,40132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260752.0,25062.0,,,,,,,,,424897.0,,,-9588.0,,,,1696336.0,474617.0,69351.0,9908.0,,19814.0,39629.0,,,6605.0,,26689.0,26689.0,,,,,,-10070.0,,,,,,,,,,,919.0,,,,,,,,,866.0,2698.0,,,,,,,-376065.0,,2170953.0,,,253598.0,,,-235690.0,,,,,,,30000000.0
