end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsFairValueDisclosure,BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CompensatedAbsencesLiability,ConvertibleNotesPayable,CostOfServices,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DepreciationNonproduction,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,GeneralInsuranceExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInOperatingAssets,InterestExpense,InterestExpenseOtherShortTermBorrowings,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MergerAndAcquisitionCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNotesPayable,OtherPaymentsToAcquireBusinesses,PaidInKindInterest,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfMachineryAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RecapitalizationCosts,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesRevenueServicesNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AuctionMarketPreferredSecuritiesStockSeriesVariableInterestRateEarned,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ConvertibleNotesPayableCurrent,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OtherLiabilitiesCurrent
2008-07-31,2008-10-29,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-846213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1209591.0,,,,,,,,,,,,
2009-07-31,2009-10-23,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-464456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-122575.0,,,,,,,,,,,,
2010-07-31,2010-10-29,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-339638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-382323.0,,,,,,,,,,,,
2010-10-31,2010-12-14,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,11465.0,-8772.0,,,,,,,,,,,,,,,,51.0,,,,,,,-0.005,,,,,,5600.0,,-109475.0,,,,19526.0,,,55324.0,-5866.0,2270.0,,,266.0,,,,,,,,,,-6314.0,,,,-2458.0,-109475.0,,,26875.0,107205.0,-107205.0,,22858.0,,,,,,,,,,,,,,,,,24061.0,,,,,6314.0,,,,,,,,,,,,,,,,,,9010.0,,,,,,,
2011-01-31,2011-03-11,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,7282.0,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,,5600.0,,-85732.0,,,,,,,,,39016.0,,,,,,,,,,,,,,,,,,-85732.0,,,26875.0,46716.0,-46716.0,,-20580.0,,,,,,,,,,,,,,,,,6647.0,,,,,,,,,,,,,,,,,,,,,,,9424.0,,,,,,,
2011-04-30,2011-06-14,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,,,,,,,,,,,,,,,,,,,6009.0,,,,,,,,,,,,,,,,,,,,,,,,-0.006,,,,,,,,-135006.0,,,,,,,,,65974.0,,,,,,,,,,,,,,,,,,-135006.0,,,26875.0,69032.0,-69032.0,,1991.0,,,,,,,,,,,,,,,,,10244.0,,,,,,,,,,,,,,,,,,,,,,,11172.0,22416201.0,,,,,,
2011-07-31,2011-10-28,10-K,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,57126.0,3900.0,,7275.0,22623.0,6696324.0,,,,,,,28483.0,28333.0,,,,,166.0,-20071.0,,0.001,33333333.0,14241234.0,14241234.0,14242.0,410625.0,,,,,,,,150.0,51.0,,7359338.0,,75837.0,,,-0.022,0.0,0.34,,0.0306,410625.0,11200.0,,-500394.0,,,,22929.0,,,228042.0,16613.0,164426.0,,,,,,,1800.0,,28483.0,675763.0,,,10477.0,,,,-30548.0,-500394.0,121000.0,,107500.0,335968.0,-335968.0,,4975.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,28167.0,,,,17000.0,4000.0,,96292.0,,22623.0,0.0,,10523.0,,,,,,,,,3508328.0,0.16,,,-671938.0,,,,,40950.0,22257993.0,,,,,,
2011-10-31,2011-12-20,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,57327.0,3900.0,,10025.0,22623.0,6795611.0,,,,42000.0,,,39097.0,38947.0,,,,0.0,2985.0,2819.0,,0.001,33333333.0,15078734.0,15078734.0,15079.0,,,0.0,,,,,,150.0,0.0,,7491115.0,,85153.0,,,-0.005,,,,,410625.0,0.0,0.0,-131777.0,0.0,,,201.0,,,12065.0,7795.0,53179.0,,,,,,,,,39097.0,718030.0,0.0,,30000.0,,0.0,,-27181.0,-131777.0,151000.0,,0.0,78598.0,-78598.0,,6885.0,,0.0,0.0,0.0,0.001,25000000.0,1491743.0,1491743.0,1492.0,35962.0,,0.0,0.0,30000.0,0.0,,16747.0,,,,0.0,0.0,,,0.0,42000.0,,,,,,,,,-678933.0,,,52500.0,,12966.0,24985016.0,,,,,,
2012-01-31,2012-03-30,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,70415.0,3900.0,,11253.0,22623.0,6835191.0,,,,0.0,,,18110.0,17960.0,,,,,256.0,,,0.001,33333333.0,15886484.0,15886484.0,15887.0,,,0.0,,,,,,150.0,0.0,,7575892.0,,93979.0,,,-0.003,,,,,410625.0,0.0,0.0,-84779.0,0.0,,,,,,,,44866.0,,,,,,,,,18110.0,741432.0,0.0,,,,,,,-84779.0,151260.0,,0.0,39913.0,-39913.0,,225.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,17704.0,,,,,,,30793.0,,,,,,,,0.0,,,,,,,,,,-723322.0,,,,,8895.0,24699957.0,,,,,,
2012-04-30,2012-06-12,10-Q,WORLDWIDE STRATEGIES INC.,WWSG,CIK0001342792,USD,64943.0,3900.0,,13460.0,22623.0,6848972.0,,,,7500.0,,,14041.0,13891.0,,0.0,,,8243.0,,,0.001,33333333.0,15886484.0,15886484.0,16169.0,,,0.0,,,,,,150.0,0.0,,7622701.0,,106021.0,,,-0.002,,,,,410625.0,0.0,0.0,-46809.0,0.0,,,,,,,,20972.0,,,,,,,,,14041.0,770109.0,,,,,,,,-46809.0,171160.0,,0.0,25837.0,-25837.0,,1468.0,,,,,0.001,25000000.0,1491743.0,1491743.0,1492.0,5648.0,,,,,,,8019.0,,,,,,,,0.0,,,,,,,,,,-756068.0,,,,,8850.0,25306753.0,,,,,,
