end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AllocatedShareBasedCompensationExpense,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,ConvertibleSubordinatedDebt,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtInterestRateOfDebt,DebtDefaultLongtermDebtAmount,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentInterest,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DerivativeLiabilities,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,FairValueAdjustmentOfWarrants,FinancingInterestExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOtherFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpenseDebt,InterestIncomeMoneyMarketDeposits,InterestIncomeOther,InterestPaidNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,LossContingencyDamagesPaidValue,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesIssued1,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedParties,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OtherNonoperatingExpense,OtherSellingGeneralAndAdministrativeExpense,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,RestrictedStockValueSharesIssuedNetOfTaxWithholdings,RetainedEarningsAccumulatedDeficit,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,TangibleAssetImpairmentCharges,UnsecuredDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CapitalUnitsTotalCostToInvestors,CarryingValueOfFederalFundsPurchasedSecuritiesSoldUnderAgreementsToRepurchaseAndDepositsReceivedForSecuritiesLoaned,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CommonStockDividendsPerShareDeclared,DerivativeLiabilitiesCurrent,ExcessStockSharesIssued,IncreaseDecreaseInOperatingLeaseLiability,OtherLiabilitiesCurrent,PreferredStockConvertibleConversionPrice,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability
2018-12-31,2019-03-28,10-K,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,54018.0,89584.0,117.0,10935029.0,3995500.0,4182014.0,1797156.0,1767080.0,1767080.0,,0.0001,100000.0,250000000.0,4724161.0,4724161.0,472.0,100000.0,1002422.0,,,3070500.0,,100000.0,,,,100000.0,2422.0,,,,310755.0,310755.0,44667.0,117.0,,-2.22,,,,52518.0,89584.0,,,,23180.0,87307.0,87307.0,,,,520327.0,3314102.0,1797156.0,,,,,4134648.0,-7014.0,-2360554.0,-10507093.0,-4708140.0,175000.0,100000.0,3720500.0,5798953.0,-5798953.0,,,,625333.0,523694.0,,7014.0,23179.0,,,1064148.0,,3070500.0,3070500.0,-10507093.0,677014.0,670000.0,7014.0,6897.0,,250640.0,,,-20379867.0,,,4032000.0,,4032000.0,-1516946.0,100000.0,-4032000.0,,,,,1064147.0,,,625333.0,,4724161.0,,,,,,,,,,,,,,,
2019-03-31,2019-05-14,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,108079.0,156645.0,468.0,10935029.0,,71250.0,1354477.0,1332735.0,-434344.0,,0.0001,,250000000.0,4749161.0,4749161.0,475.0,,,,,3070500.0,,,,,,100000.0,,,,,797941.0,797941.0,,351.0,,-0.13,,,,54061.0,67061.0,,,,-8606.0,,55410.0,2875.0,,,115646.0,3435846.0,1354477.0,,,,,,,-434344.0,-635673.0,-52535.0,,100000.0,3720500.0,583139.0,-583139.0,622.0,,,,167928.0,,,14574.0,,,,,,,-635673.0,0.0,,7014.0,6546.0,,151290.0,,,21015540.0,,,71250.0,,71250.0,-2081369.0,100000.0,71250.0,,,,,,,,,,4749161.0,,,,,,,,,,,,,,,
2019-06-30,2019-08-02,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,97545.0,207545.0,818.0,10955009.0,,1487500.0,822495.0,807144.0,,,0.0001,,250000000.0,5299161.0,5299161.0,530.0,,,,,3024500.0,,,,,,100000.0,,,,,939829.0,939829.0,,,,-0.38,,,,,,,,,,,54413.0,4169.0,,,116081.0,3429590.0,822495.0,,,,,,,,-2033227.0,-50244.0,,100000.0,3694500.0,1982982.0,-1982982.0,,,,,147305.0,,,9155.0,,,,,,,-2033227.0,,,7014.0,6196.0,,145158.0,,,-23048767.0,,,,,1487500.0,-2607096.0,100000.0,,,,,,20000.0,,,,,5299161.0,,,,,,,,,,,,,,,
2019-09-30,2019-11-13,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,161893.0,103555.0,1548.0,13095301.0,,-1343866.0,334317.0,308397.0,,,0.0001,,250000000.0,7362046.0,7362046.0,736.0,,,,,1009000.0,,,,,,100000.0,,,,,1088955.0,1088955.0,,,,0.1,,,,,,,,,,,15333.0,1478.0,,,119598.0,1374448.0,334317.0,,,,,,,,770305.0,-13855.0,,100000.0,3720500.0,-784159.0,784159.0,,,,,102036.0,,,7377.0,,,,,,,770304.0,,,20091.0,18543.0,,256928.0,,,22278462.0,,,,,-1343866.0,-1040131.0,100000.0,,,,,,2140526.0,,,,,7362046.0,,,,,,,,,,,,,,,
2019-12-31,2020-03-27,10-K,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,218261.0,152547.0,2757.0,17002297.0,803335.0,214884.0,148245.0,101100.0,-1665980.0,-1665980.0,0.0001,100000.0,250000000.0,7362046.0,7362046.0,736.0,,,,,1509000.0,,,,,,100000.0,,,,,1294728.0,1294728.0,,2640.0,980730.0,-1.14,,3906996.0,,164243.0,62963.0,980730.0,,,-1630.0,4887726.0,151185.0,8810.0,,,495143.0,2960538.0,148245.0,,,,,599036.0,-21339.0,-2243677.0,-8381088.0,-5833436.0,2035500.0,100000.0,3720500.0,2547652.0,-2547652.0,,,,,585397.0,,21339.0,21549.0,,-1561500.0,2160536.0,,1561500.0,-1561500.0,-8381088.0,21339.0,,28353.0,25596.0,,891126.0,,,-28760955.0,,,214874.0,,214884.0,-2812293.0,,214874.0,,,,,2160526.0,3906996.0,,,,7362046.0,,,101100.0,,,,,,,,,,,,
2020-03-31,2020-05-12,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,207453.0,213497.0,4338.0,17195645.0,100000.0,1012351.0,240925.0,199331.0,98231.0,98231.0,0.0001,100000.0,250000000.0,7764046.0,7764046.0,776.0,,,,,1448698.0,,,,,,100000.0,,,,,1379919.0,1379919.0,,1581.0,476022.0,-0.09,,-237124.0,,-10807.0,60950.0,,,,-7228.0,-504708.0,26644.0,25.0,25.0,,164823.0,2445670.0,240925.0,,,,,370198.0,-3258.0,-268709.0,-698179.0,1040213.0,,100000.0,3720500.0,1738392.0,-1738392.0,,,,-425000.0,140375.0,,3258.0,14321.0,,-60302.0,430500.0,,,,-698179.0,3258.0,,31610.0,27273.0,,344682.0,,,-29459133.0,,140374.0,1012350.0,,229250.0,-2204745.0,,229250.0,,,,,430500.0,-237124.0,229250.0,,,7764046.0,,,,,,,,,,,,,,,
2020-06-30,2020-08-10,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,289569.0,285175.0,5918.0,17960854.0,,225055.0,530879.0,496601.0,,,0.0001,100000.0,250000000.0,8911190.0,8911190.0,891.0,,,,,1672055.0,,,,,,100000.0,,,,,1916401.0,1916401.0,,,918674.0,-0.21,,,1472494.0,,,,,,,,143013.0,2.0,2.0,,134046.0,3523844.0,530879.0,,258175.0,,,,,,-1778599.0,-861043.0,,100000.0,3720500.0,917556.0,-917556.0,,,,7500.0,158732.0,,,8586.0,,,,,,,-1778599.0,,,31610.0,25692.0,,335673.0,,,-31237733.0,,158732.0,,,,-2992964.0,,,,,,,1954938.0,-1189614.0,,,,8611190.0,,100000.0,,,,,,,,,,,,,
2020-09-30,2020-11-13,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,171322.0,257742.0,7498.0,26568047.0,,6562693.0,4007842.0,3978433.0,,,0.0001,,250000000.0,17184875.0,17184875.0,1718.0,,20000.0,,,1472055.0,,,,,,100000.0,,,,,2266446.0,2266446.0,,,1148128.0,-0.68,,,759500.0,,,,,,,,27799.0,,,,120414.0,3387618.0,4007842.0,,258371.0,,97603.0,,,,-11657324.0,-2981141.0,,80000.0,3720500.0,8676183.0,-8676183.0,,,,,1323553.0,,,5297.0,,,,,,,-11657324.0,,,31610.0,24112.0,,287020.0,,,-42895057.0,,1323553.0,,,6562693.0,620224.0,,,,,223777.0,1656600.0,4763055.0,1964388.0,6562693.0,,,17184875.0,,,,,,,,,,,,,,,
2020-12-31,2021-03-18,10-K,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,366706.0,108130.0,9370.0,47744803.0,100000.0,11177111.0,15268051.0,15196322.0,,15095222.0,0.0001,,250000000.0,27966096.0,27966096.0,2797.0,,,1000000.0,,,,1672055.0,,,0.1,100000.0,,,,1786000.0,2841745.0,2841745.0,,6613.0,,-0.88,,2806219.0,5681612.0,148445.0,-44417.0,,,,19224.0,,226699.0,27.0,27.0,1465438.0,642676.0,693207.0,15268051.0,,218371.0,,140698.0,26647719.0,-11973.0,-11540524.0,-24734280.0,-7391273.0,1672055.0,,,17343007.0,-17343007.0,,,,,2159593.0,,11973.0,40773.0,218371.0,-1609000.0,27938348.0,,,-1609000.0,-24734280.0,21549.0,,40326.0,30956.0,,1539517.0,,,-53495235.0,,2159593.0,11176850.0,,9876943.0,14574844.0,,11176850.0,,,1952574.0,5230173.0,20755340.0,2806219.0,9876943.0,,,27966096.0,100000.0,,15196322.0,,,1000000.0,,,,0.0001,1550000.0,0.0,0.0,0.0,
2021-03-31,2021-05-13,10-Q,QUANTUM COMPUTING INC.,QUBT,CIK0001758009,USD,246961.0,134821.0,11386.0,47824736.0,,1977170.0,14090413.0,13765848.0,,-1430474.0,0.0001,,250000000.0,28730702.0,28730702.0,2873.0,,,,275000.0,,,,,,,,,0.1,,,3209535.0,3209535.0,,2016.0,,-0.12,1.0,,,-119744.0,26690.0,,,,250809.0,,,,1383.0,,245512.0,600153.0,14090413.0,275000.0,218371.0,,,80000.0,-4043.0,-1506431.0,-3391746.0,1383.0,,,,3393129.0,-3393129.0,,,3209535.0,,,,4043.0,291582.0,,,80000.0,,,,-3391746.0,4043.0,,44369.0,32983.0,,625445.0,,,-56886981.0,,241532.0,2227162.0,,,13490260.0,,2227162.0,,,,933329.0,80000.0,,,,,28730702.0,,,,,,,,,,,,,,,
