end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvanceRent,Assets,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostMaintenance,CostOfUtilities,DebtInstrumentPeriodicPaymentPrincipal,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DeferredTaxLiabilities,DepositAssets,Deposits,DepositsAssets,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DividendsPreferredStock,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,EscrowDeposit,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FairValueOfAssetsAcquired,FeesAndCommissionsTransferAgent,FinancialInstrumentsOwnedAtFairValue,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationPriorYearIncomeTaxes,IncomeTaxReconciliationTaxExemptIncome,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInSecurityDeposits,InterestExpenseBorrowings,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InvestmentBuildingAndBuildingImprovements,LaborAndRelatedExpense,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LoansPayable,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,MaintenanceCosts,MortgageLoansOnRealEstate,MortgageLoansOnRealEstateCollectionsOfPrincipal,MortgageLoansOnRealEstateCommercialAndConsumerNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,NotesIssued1,NotesPayable,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssetsCurrent,OtherIncome,OtherLoansPayable,OtherNonoperatingIncomeExpense,PaymentsForCommissions,PaymentsForRent,PaymentsToAcquireBuildings,PaymentsToAcquireBusinessesGross,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfSecuredDebt,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfSecuredDebt,ProfessionalFees,PropertyPlantAndEquipmentAdditions,RealEstateAccumulatedDepreciation,RealEstateAcquisitionsThroughForeclosures,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateGrossAtCarryingValue,RealEstateImprovements,RealEstateInvestmentPropertyAccumulatedDepreciation,RealEstateInvestmentPropertyAtCost,RealEstateInvestmentPropertyNet,RealEstateInvestments,RepaymentsOfDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RepaymentsOfSecuredDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockPricePerShare,SalesRevenueGoodsNet,SalesRevenueServicesNet,SecuredDebt,SecurityDeposit,SecurityDepositLiability,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesDividendReinvestmentPlan,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesAndLicenses,TaxesExcludingIncomeAndExciseTaxes,TechnologyServicesCosts,UtilitiesOperatingExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,InterestExpenseDebt,OtherNonoperatingIncome,ProceedsFromNotesPayable
2015-09-30,2016-03-07,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,,92223.0,,,,46488.0,,41988.0,,,,,0.001,100000000.0,25426500.0,25426500.0,25427.0,,,,24195.0,,24195.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,46488.0,,,,,,,,,,,,,,,,,-14591.0,,,,,,17091.0,,,,71162.0,,,,,,,,,,,0.001,10000000.0,,4500.0,,,,,,,,,,,17066.0,,,,,,,,,,,,,,,,,-71162.0,,,,2500.0,,,,,,,46488.0,,,,,,,,,,,,25426500.0,25426500.0,,,
2015-12-31,2016-03-30,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,,92223.0,,,1703.0,24895.0,,21895.0,,,,,0.001,100000000.0,25426500.0,25426500.0,25427.0,,,,32000.0,32000.0,92755.0,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,32000.0,,,,,,,,,,,,,,,,,,,,,,24895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,92755.0,,,,,,,,,,,0.001,10000000.0,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92755.0,,,,,,,,6600.0,,0.1,24895.0,,,,,,,,,,,,,,,,
2016-03-31,2016-05-17,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,102.0,,92223.0,,,,19384.0,,11284.0,-10611.0,,,,0.001,100000000.0,25426500.0,25426500.0,25427.0,,,,,,,,,,,6600.0,,,,,,,20000.0,,,0.0,,0.5,,,,,,,,-3195.0,,13281.0,,,,,,,,102.0,,-6600.0,,,-1500.0,,,,,,,,,,1704.0,20102.0,19384.0,,,,,,,,,,,,,,20000.0,,-30611.0,-143981.0,,,,,,25613.0,,,2200.0,,,,,,,,,,,,0.001,10000000.0,,1500.0,,,,,,,20000.0,,,,12332.0,,,,,,,,,,,,,,,,,-118368.0,,,,,,,6600.0,,,,-718.0,,,,,,,,,,,,25426500.0,25182500.0,,,
2016-06-30,2016-08-11,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,589.0,,92223.0,,,,31385.0,,24785.0,,,,,0.001,100000000.0,25426500.0,25426500.0,25427.0,,,,,,,,,,,6600.0,,,,,,,75000.0,,,0.0,,,,,,,,,,-1700.0,,30110.0,,,,,,,,,,,,,,,,,,,,,,,6600.0,75589.0,31385.0,,,,,,,,,,,,,,,,,-43485.0,,,,,,43485.0,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,13375.0,,,,,,,,,,,,,,,,,-161854.0,,,,1800.0,,,6600.0,,,,-44204.0,,,,,,,,,,,,25426500.0,25426500.0,,,
2016-09-30,2016-11-21,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,14998.0,,102613.0,,,,14455.0,,3355.0,,,,,0.001,100000000.0,25426500.0,25426500.0,25427.0,,,,,,,,,,,6600.0,,,-8627.0,8627.0,,,100000.0,,,0.0,,,,0.9832,,,,,,,,28131.0,,,,,,,,,,,,,,,,,,,,,,,6600.0,123625.0,14455.0,626.0,,,,,,,,,,,,,,,,-75367.0,,,,,,75367.0,,,6600.0,,,,,,,,,,,,0.001,10000000.0,10.0,4500.0,,,,,,,,,,,17805.0,,,,,,,,,,,,,,,,,-237220.0,,,,,,,6600.0,,,,-109170.0,,,,,,,,,22831.0,,,,25426500.0,,,
2016-12-31,2017-03-31,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,25820.0,25820.0,102123.0,,,,12551.0,,3453.0,-18442.0,20523.0,,,0.001,100000000.0,25526500.0,25526500.0,25527.0,,1239.0,,104000.0,104000.0,,,6600.0,,,6600.0,,,,,,,154000.0,154000.0,,-0.01,,0.5,0.34,0.9832,,,,,,,11556.0,46242.0,,,72000.0,-72000.0,,,,25820.0,,-6600.0,,,-502.0,,,,,,,,,,,190220.0,12551.0,,,,,,,,,,,,,,164400.0,,-182842.0,-212564.0,8660.0,,,,,-214364.0,,,21504.0,305000.0,,-1800.0,,,,,,,,,,,,2498.0,2498.0,,,10400.0,,,154000.0,,,,62517.0,,,,,,,,,,,,,,,,,-305319.0,,,,1800.0,,,6600.0,,10000.0,0.1,-177669.0,,,,10000.0,,,1604.0,,72598.0,,25526500.0,25526500.0,25526500.0,,,
2017-03-31,2017-05-15,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,12478.0,,102123.0,,,,17502.0,,6104.0,2651.0,,,,0.001,100000000.0,25526500.0,25526500.0,25527.0,,,,,,,,,,,6600.0,,,,,,,234000.0,,,0.0,,,,,,,,,,,,11207.0,,,,,,,,-13342.0,,,,,2300.0,,,,,,,,,,,256878.0,17502.0,,,,,,,,,,,,,,80000.0,,-77349.0,-61707.0,,,,,,61707.0,61707.0,,6700.0,,,,,,,,,,,,,,,4798.0,,,,,,,80000.0,,,,16500.0,,,,,,,,,,,,,,,,,-367026.0,,,,,,,,,,1.0,-239376.0,,,,,,,,,,,,,25526500.0,,,
2017-06-30,2017-08-21,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,7646.0,,102123.0,,,,2217058.0,,11834.0,,,,,0.001,100000000.0,25526500.0,25526500.0,25527.0,3801.0,3110.0,,,,,400788.0,,12040.0,,6600.0,20144.0,,,,,,293810.0,,,0.0,,,,0.9832,,,,,,,,7820.0,-6676.0,,,,,,,,,,,,,,,3588.0,,-13387.0,,,,,,2521736.0,2217058.0,,,,,,,,,,3801.0,,5364.0,-1104302.0,,,,-65302.0,,,,242750.0,,92001.0,-51915.0,40086.0,6600.0,,,,,,,,,,,,,,,2980.0,,,,,,,,,,,11050.0,,,,,,,,,,,,2195644.0,,,,,-432328.0,,40086.0,,,,,,,,,-304678.0,,,,,,,6676.0,,32800.0,,,,25526500.0,,,
2017-09-30,2017-11-17,10-Q,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,3419.0,,102123.0,,,,2191667.0,,5886.0,,,,,0.001,100000000.0,25526500.0,25526500.0,25527.0,8812.0,3213.0,,,,,400788.0,,10940.0,,6600.0,20143.0,,,,,,356220.0,,,0.0,,,,0.9832,,,,,,,,14774.0,-149.0,,,,,,,,,,,,,,,6259.0,,-16113.0,,,,,,2564310.0,2191667.0,,,,,,,,,,8812.0,,,,,,,-67965.0,,,,233652.0,,95207.0,-61706.0,33501.0,7200.0,,,,,,,,,,,,,,,3680.0,,,,,,,,,,,3447.0,,,,,,,,,-40287.0,2215788.0,2175501.0,,,,,,-500293.0,,33501.0,,,,,,,,,-372643.0,,,,,,,149.0,,27615.0,,,,25526500.0,,,
2017-12-31,2018-05-16,10-K,Hubilu Venture Corporation,HBUV,CIK0001639068,USD,,30045.0,102123.0,,,,1756790.0,14918.0,11988.0,8535.0,11988.0,-8535.0,,0.001,100000000.0,25526500.0,25526500.0,25527.0,18044.0,10526.0,,117000.0,117000.0,,,6600.0,,,,49555.0,,,,,,,349400.0,,-0.01,,0.21,0.21,,,,,,,,,40659.0,,,13000.0,-75000.0,,-11000.0,-73000.0,4225.0,,,,,-998.0,,1901.0,14488.0,,,,,,,,2171982.0,1756790.0,,,,,,,,,,18044.0,1093432.0,,,150165.0,21819.0,-163449.0,-237523.0,7359.0,,,206055.0,,-335533.0,,118396.0,27400.0,559000.0,,41205.0,,,,,,,,,,,,,1500.0,,,,,,195400.0,,,,70709.0,,,1786257.0,,,,1786257.0,,49555.0,1786257.0,1736702.0,,,29000.0,,,-542842.0,,,,,,,,15255.0,,,-415192.0,,,,,,,13761.0,,97520.0,,,25526500.0,25526500.0,,,
