end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedSalaries,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalMarkToMarket,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPaidForCapitalizedInterest,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredRevenueLeasesNetNoncurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DividendsCommonStockStock,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeStockOwnershipPlanESOPCompensationExpense,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherAssets,OtherCostAndExpenseOperating,OtherExpenses,OtherNoncashIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsForRent,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockCarryingAmount,PreferredStockDividendRatePercentage,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,PropertyPlantAndEquipmentOtherNet,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SeniorNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,ShortTermDebtAmount,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockOptionPlanExpense,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,FederalIncomeTaxExpenseBenefitContinuingOperations
2009-12-31,2010-03-31,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-20,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,,,,,,,,,,,,,,,3797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140.0,,,,86212100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114085.0,,,,,,,,,,,,,,,,3379.0,,,,,
2010-09-30,2010-11-15,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,,,,,,,,,,,,,,,3567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054.0,,,,95512100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104976.0,,,,,,,,,,,,,,,,2531.0,,,,,
2010-12-31,2011-04-13,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,35059.0,10983.0,,,,-9869.0,26472.0,,,124792.0,58746.0,12191.0,12191.0,,8762614.0,,,,,,90912.0,79524.0,23052.0,,-14479.0,,,,,,,,,,19876.0,,,,,,,,,,,,,,,,,68674.0,0.0,,,,,,,,,,,,,,19876421.0,,,117500.0,,,,-341844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90912.0,283525.0,,40000.0,-2303.0,-52176.0,-341844.0,-341844.0,,,,690249.0,,5255.0,,,,,,,,,800.0,0.0,,30000.0,,,,0.0,40000.0,,-2303.0,,,121176.0,,,,,-8893404.0,,450345.0,678058.0,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-13,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,,,,,,,,,,838.0,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-19700.0,,,,,,113736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129682.0,112892.0,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-19,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,30313.0,,,,,4379.0,,,139218.0,,,,,8683108.0,,3827.0,,,,,,,,,,,,,,,,,,99382.0,,,,,,,,,,,,,,,,,,,-58864.0,,,,,,,,,839.0,,,,99382100.0,,,,117723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67546.0,279410.0,,,,,-6968.0,,,,,118562.0,,5255.0,,,,,,,,,800.0,30000.0,,0.0,,,,,,,,,,5294.0,,,,,-8912655.0,,141195.0,,,,,,,,,,,,,,,,2426.0,,,,19976421.0,
2011-09-30,2011-11-18,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,56963.0,,,,,,,,,125668.0,,,,,8762614.0,,81.0,,,,184222.0,175141.0,,,,,,,,,,,,,19876.0,,10000.0,,,,,,,,,,,,,0.12,,113850.0,,,,,,,,,,,1468.0,,,,19876420.0,,,,88459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184222.0,406540.0,,,,,-9231.0,,,,,89927.0,,5255.0,,,,,,,,,800.0,0.0,,,,,,,,,,,,3826.0,,,,,-8923109.0,,112310.0,,,,,,,,,,,,,,,,0.0,,,,19976421.0,
2011-12-31,2012-04-13,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,40889.0,40889.0,,,,47224.0,47224.0,,,116617.0,116617.0,2080.0,2079.0,,8772514.0,,,,,,101383.0,92075.0,44851.0,,21799.0,,,,,,,,,,19976.0,,,,,,,121297.0,,,,,,,,,,82800.0,14126.0,82800.0,,,,,,,,,,,,,19909753.0,,,0.0,,,,-109309.0,,,,,,,,,,,,,,,,,,,,,,,,,,310806.0,101383.0,310806.0,,20000.0,0.0,1798.0,-109309.0,-109309.0,,,,536701.0,,5255.0,,,,,,,,,800.0,0.0,,0.0,,,,10000.0,0.0,,0.0,121175.0,,4053.0,,4053.0,,,-9002713.0,,548689.0,534621.0,,,,,,,,,,,,-209423.0,,,,19909753.0,,,19909753.0,
2012-03-31,2012-05-14,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,66009.0,25120.0,,,,,,,,111792.0,,567.0,,567.0,8772514.0,,,,,,177450.0,168709.0,111182.0,,,,,,,,,,,,19976.0,,,,,,,,,,,,,,,,,129982.0,,,,,,,,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,177450.0,379658.0,,0.0,0.0,66631.0,,,,,,122783.0,,5255.0,,,,,,,,,800.0,,,-10000.0,,,,,,,,,,3486.0,,,,,-8995498.0,,161421.0,122216.0,,,,,,,,,,,,-202208.0,,,,,,,,
2012-06-30,2012-08-06,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,67363.0,26474.0,,,,49174.0,-1950.0,,,,,632.0,,,8772514.0,,,,,,110077.0,101969.0,42770.0,,,,,,,,,,,,19976.0,,,,,,,,,,,,,,,,,72855.0,,-12644.0,,,,,,,,,632.0,,,,,,,,121288.0,,,-2407.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,314691.0,110077.0,314691.0,,,,,-2407.0,,,,,121920.0,,5255.0,,,,,,,,,800.0,10025.0,,-10025.0,,,,,,,,121175.0,,2853.0,,,,,-8997904.0,,147739.0,121288.0,,,,,,,,,,,,,,,,,,,19976421.0,
