end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedRoyaltiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CashUninsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertiblePreferredStockSharesIssuedUponConversion,CostsAndExpenses,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredOfferingCosts,DepositsAssetsNoncurrent,Depreciation,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,ExtinguishmentOfDebtAmount,FairValueAdjustmentOfWarrants,FiniteLivedIntangibleAssetsPeriodIncreaseDecrease,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaidNet,InvestmentIncomeInterest,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherCommitment,OtherExpenses,OtherLiabilitiesCurrent,PaymentForContingentConsiderationLiabilityOperatingActivities,PaymentsForRoyalties,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromRelatedPartyDebt,ProceedsFromWarrantExercises,ProfitLoss,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-09-30,2017-11-27,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,363077.0,,,,17655553.0,,,1266781.0,400757.0,857191.0,373945.0,373946.0,,,,,250000.0,118950.0,0.001,,,,0.001,5500000.0,353676.0,353676.0,355.0,,715122.0,4500000.0,0.08,559810.0,0.0,808.0,-0.06,,,,,,,,658797.0,,0.0,,,,,,,,,297381.0,0.0,,24.0,,1266781.0,395257.0,,,,-715098.0,,,-715122.0,,,191393.0,,32180.0,,,,,0.001,4500000.0,,,,26812.0,,,,,,8833.0,,,55517.0,-16785779.0,0.0,,,,,,,,,,,,,,393280.0,,,,,,,871524.0,,,,,,,,11634307.0
2017-12-31,2018-04-17,10-K,"GENPREX, INC.",GNPX,CIK0001595248,USD,629074.0,,,,17869205.0,228662.0,,1259538.0,193574.0,,161251.0,161251.0,-1441044.0,161251.0,-1441044.0,0.0,250000.0,0.0,5.17,,,748060.0,0.001,200000000.0,11721584.0,11721584.0,11721.0,150211.0,3312347.0,4500000.0,0.08,759591.0,0.0,3242.0,-0.29,0.0,0.34,-0.34,,,0.0,,3019171.0,0.0,,,545303.0,663.0,734084.0,,0.0,,-4873.0,298569.0,1890.0,,80.0,,1259538.0,830964.0,793971.0,-63421.0,-2171594.0,-3314157.0,-1810.0,201890.0,-3312347.0,8000000.0,1058160.0,191393.0,,201890.0,,,57532.0,5889.0,0.001,10000000.0,,,,23479.0,793971.0,,,,-3314157.0,7804.0,8844.0,,289934.0,-17452352.0,0.0,,1323892.0,,,,,,,,0.0,,,0.0,2628749.0,1.31,,,,0.0,,428574.0,6.6842,207206.0,,,1095230.0,793971.0,,11500032.0
2018-03-31,2018-05-15,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,1149008.0,,,,18092682.0,46861.0,,1386381.0,58397.0,,24485.0,24485.0,-136766.0,24485.0,-136766.0,0.0,250000.0,0.0,0.001,,,,0.001,200000000.0,11755004.0,11755004.0,11755.0,,686631.0,4500000.0,0.08,1012106.0,,947.0,-0.06,0.0,0.34,-0.34,,,0.0,,634063.0,0.0,,0.0,519934.0,-8006.0,252515.0,,0.0,0.0,9595.0,307552.0,7398.0,0.0,28.0,,1386381.0,1428296.0,77398.0,-10452.0,-203712.0,-694001.0,,279288.0,-686631.0,,1319658.0,191393.0,,,,,8983.0,1469.0,0.001,10000000.0,,0.0,,33074.0,,,77398.0,,-694001.0,8326.0,838.0,,51621.0,-18146352.0,0.0,,223512.0,,,,,,,,,,,,2628749.0,1.31,,,,,,-41915.0,6.6842,33420.0,,,176650.0,,,11738294.0
2018-06-30,2018-08-14,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,300537.0,,,,36784040.0,3127563.0,,12890910.0,12540151.0,,12001535.0,12001535.0,,12001535.0,,0.0,250000.0,11751535.0,0.001,,,,0.001,200000000.0,13896926.0,13896926.0,13897.0,,6036090.0,4500000.0,0.08,0.0,13411.0,1171.0,-0.45,,,,,,,,5921950.0,,,,,,,,,,,323139.0,30584.0,,5461.0,,12890910.0,300537.0,,,,-6061213.0,,0.0,-6036090.0,,336550.0,191393.0,,,,,,,0.001,10000000.0,,0.0,,538616.0,,,,,,14209.0,0.0,,112969.0,-24207564.0,0.0,,,,,,,,,,,,,,3707366.0,3.78,,,,,,12590373.0,,,,,176650.0,15389288.0,,13507942.0
2018-09-30,2018-11-14,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,565393.0,,,,36862510.0,79647.0,,11049327.0,10689270.0,,10309704.0,10309704.0,,10309704.0,,0.0,250000.0,10059704.0,0.001,,,,0.001,200000000.0,15072559.0,15072559.0,15073.0,,2197278.0,4500000.0,0.08,0.0,18085.0,1713.0,-0.15,,,,,,,,1705876.0,,,,,,,,,,,325982.0,0.0,,11192.0,,11049327.0,565393.0,,,,-2186086.0,,0.0,-2197278.0,,344067.0,,,,,,,,0.001,10000000.0,,0.0,,370409.0,,,,,,15990.0,9157.0,,489689.0,-26393649.0,0.0,,,,,,,,,,,,,,3579773.0,3.62,,,,,,10483934.0,,,,,,,,14675631.0
2018-12-31,2019-04-01,10-K,"GENPREX, INC.",GNPX,CIK0001595248,USD,295069.0,,,,38690586.0,4882079.0,,9268956.0,8847066.0,,8600918.0,,,8600918.0,8439667.0,0.0,250000.0,8465768.0,2.36,,,3864552.0,0.001,200000000.0,15239148.0,15239148.0,15240.0,,12363541.0,4500000.0,0.08,,18085.0,5885.0,-0.9,0.0,0.21,-0.21,4500000.0,,0.0,,11386229.0,0.0,,,-443143.0,453.0,-759591.0,18085.0,-18085.0,,213372.0,379451.0,37982.0,,29184.0,,9268956.0,387821.0,15389518.0,-103317.0,-6846534.0,-12372339.0,-8798.0,,-12363541.0,9600000.0,397536.0,,,92752.0,,,80882.0,22435.0,0.001,10000000.0,0.0,0.0,,236851.0,15389518.0,,,,-12372339.0,24354.0,9297.0,,971427.0,-29824691.0,0.0,,5435382.0,,,,,,,,127593.0,127593.0,,2034525.0,4535681.0,3.31,,,,6.21,,8881135.0,6.6842,200009.0,,,553303.0,15389518.0,,13771020.0
2019-03-31,2019-05-15,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,206251.0,,,,39213286.0,330626.0,,7476392.0,7046052.0,,6945794.0,,,6945794.0,-1655124.0,0.0,250000.0,6695367.0,0.001,,,,0.001,200000000.0,15560765.0,15560765.0,15562.0,,2170769.0,4500000.0,0.08,,16135.0,2931.0,-0.14,0.0,0.21,-0.21,,,0.0,,1659796.0,0.0,,0.0,-88818.0,-9297.0,0.0,-1950.0,1950.0,-67922.0,-136593.0,388671.0,0.0,0.0,11923.0,,7476392.0,231081.0,0.0,-13331.0,-1641793.0,-2158846.0,,,-2170769.0,,404806.0,,,24830.0,,,9220.0,4111.0,0.001,10000000.0,,0.0,,100258.0,,,0.0,,-2158846.0,25534.0,0.0,,508042.0,-31983537.0,0.0,,523022.0,,,,,,,,91813.0,,,1461715.0,5905583.0,2.94,,,,1.6,,7245311.0,6.6842,121617.0,,,192396.0,200.0,,15335772.0
2019-06-30,2019-08-13,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,877302.0,,,,40988042.0,1615896.0,,6263832.0,5801859.0,,4496542.0,,,4496542.0,,0.0,,4266759.0,4.6,,,3864551.0,0.001,200000000.0,15802855.0,15802855.0,15803.0,,3703886.0,,,,16135.0,3118.0,-0.24,,,,,,,,3198728.0,,,,,,,,,,,421473.0,,,8646.0,,6263832.0,938764.0,,,,-3695240.0,,,-3703886.0,,437608.0,,,61462.0,,,,,0.001,10000000.0,0.0,0.0,,445870.0,,,,,,24365.0,10741.0,,502040.0,-35678777.0,,,,,,,,,,,,,,,5905583.0,2.94,,,,,,5325068.0,,,,,159101.0,,,15622866.0
2019-09-30,2019-11-14,10-Q,"GENPREX, INC.",GNPX,CIK0001595248,USD,475048.0,,,,41569745.0,540808.0,,4068330.0,3608928.0,,2548434.0,,,2548433.0,,0.0,,2366206.0,4.6,,,3864552.0,0.001,200000000.0,15842855.0,15842855.0,15843.0,,2380763.0,,,,11732.0,3437.0,-0.15,,,,,,,,1909982.0,,,,,,,,,,,423923.0,,,5051.0,,4068330.0,537232.0,,,,-2375712.0,,,-2380763.0,,435655.0,,,62184.0,,,,,0.001,10000000.0,0.0,0.0,,258714.0,,,,,,23747.0,,,467344.0,-38054490.0,,,,,,,,,,,,,,,5905583.0,2.94,,,,,,3531099.0,,,,,40935.0,,,15831822.0
2019-12-31,2020-03-30,10-K,"GENPREX, INC.",GNPX,CIK0001595248,USD,436258.0,,,,43483740.0,3060396.0,3500000.0,3534229.0,2976643.0,,2002492.0,,,2002492.0,-6598426.0,0.0,,1761278.0,1.45,,,7476056.0,0.001,200000000.0,19263841.0,19263841.0,19264.0,,10682673.0,,,,21732.0,13070.0,-0.66,0.0,0.21,-0.21,5300000.0,,0.0,,8702596.0,0.0,,,141189.0,-8642.0,,3647.0,,-18326.0,-65135.0,491200.0,,,27905.0,,3534229.0,510684.0,1267194.0,-946899.0,-6918721.0,-10654768.0,,,-10682673.0,16500000.0,512932.0,,,74426.0,,,111749.0,33370.0,0.001,10000000.0,0.0,0.0,,171716.0,1267194.0,,,,,44654.0,655.0,,1967007.0,-40479459.0,,,3529984.0,,0.0,,,,,,297058.0,297058.0,,1744300.0,5982923.0,2.66,,,,1.48,,3023545.0,,506707.0,,,469588.0,,,16026980.0
