end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccretionExpenseIncludingAssetRetirementObligations,AccruedLiabilities,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfDebtDiscountPremium,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationRevisionOfEstimate,Assets,AssetsCurrent,CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortization,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockParStatedValuePerShare,CostOfGoodsSold,CostOfServicesOilAndGas,CostsIncurredAssetRetirementObligationIncurred,DebtConversionConvertedInstrumentSharesIssued,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount,DebtConversionOriginalDebtAmount1,DebtDefaultShorttermDebtAmount,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DeferredFinanceCostsNet,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,Depletion,Depreciation,DepreciationExpense,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentCostsCumulative,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EmployeeRelatedLiabilitiesCurrent,GainLossOnSaleOfDerivatives,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GrossProfit,GuarantyFeeIncome,ImpairmentOfOilAndGasProperties,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAssetRetirementObligations,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentAssets,InterestExpense,InterestExpenseDebt,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilitiesNoncurrent,LitigationReserve,LoansPayableCurrent,MarketingExpense,MergerAndAcquisitionCosts,MineralPropertiesAccumulatedDepletion,MinorityInterestOwnershipPercentageByNoncontrollingOwners,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NoncontrollingInterestInVariableInterestEntity,NoncurrentAssets,NotesAndLoansPayable,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OilAndGasProducingPropertiesOfRateRegulatedCompaniesProvedAndUnprovedReserves,OilAndGasPropertyFullCostMethodNet,OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAmortizationAndImpairment,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssets,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,OtherExpenses,OtherExtraordinaryGainLoss,OtherGeneralAndAdministrativeExpense,OtherLongTermNotesPayable,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToExploreAndDevelopOilAndGasProperties,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidRent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromOtherOperatingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ProvedOilAndGasPropertySuccessfulEffortMethod,ProvisionForLoanAndLeaseLosses,RepaymentsOfDebt,ResearchAndDevelopmentExpense,ResultsOfOperationsIncomeBeforeIncomeTaxes,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2008-12-31,2010-05-10,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62069.0,,,,,,,,,
2009-12-31,2010-05-11,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,8201.0,,,,,,,,,,19800.0,,,,,,,4542.0,,,,-48.0,0.001,250000000.0,9800000.0,9800000.0,,9800.0,,,,,,,,,,,,,,,,,,,,,,,,11622.0,-0.001,,,,,-77.0,,,,,,,,-3307.0,,,,,,11622.0,,,,,,,,,,70432.0,,,,,,,,11622.0,,-11670.0,-8363.0,,,,,,50609.0,,,,,,8363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898.0,,,,,,,,,-100032.0,,,,,-70432.0,,,,,,,,,9800000.0
2010-03-31,2010-05-11,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,656.0,,,,,,,,750.0,,,,,,656.0,,,,,,,,,,,,,,,,,,656.0,,-656.0,-1406.0,,,,,,,,,,,,1406.0,-1406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,,,,,,14003836.0,,9800000.0,
2010-06-30,2010-08-11,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,-12659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3778.0,,,,,,,,,,,,3778.0,-3778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,14003836.0,,9800000.0,
2010-09-30,2010-11-18,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1180.0,,,,,,,,,,,,1180.0,-1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,14860900.0,,9800000.0,
2010-12-31,2011-04-15,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,901.0,,,,,,,,,,72876.0,,,,,104325.0,53.0,,,53.0,53.0,53.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,5465.0,104272.0,,,,,,,-7500.0,,,,,,16715.0,,,,,,3125.0,,104325.0,,54026.0,,,,,51000.0,,,16715.0,53.0,-16715.0,-22545.0,,,,,,50000.0,,,,,,22545.0,-22545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,,,,,,,,,-122577.0,,13330.0,100000.0,,50299.0,,51000.0,78946.0,,13330.0,,,10020274.0,10020274.0
2011-03-31,2011-05-16,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,126001.0,,,,,,,,,,72876.0,,,,,110742.0,6470.0,,,,6470.0,6417.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,,90000.0,,,112818.0,104272.0,,,,,,,114187.0,,,,90000.0,,,12450.0,,,1537.0,,4662.0,,110742.0,,390663.0,,,,73512.0,,,,120000.0,,-113583.0,-330220.0,,,,,,170000.0,,,,,,328683.0,-328683.0,,,,,,,,,,,,,,,,,,,,,,120000.0,,,,,,,136103.0,,,,,,,6250.0,,-452797.0,,,100000.0,,-279921.0,,,,,,14003836.0,,9800000.0,
2011-06-30,2011-08-10,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,156001.0,,,,,,,,,,72876.0,,,,,110510.0,6238.0,,,,6238.0,,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,,180000.0,,,112818.0,104272.0,,,,,,,,,,,,,,,,,1537.0,,6781.0,,110510.0,,537782.0,,,,73512.0,,,,,,,-330220.0,,,,,,195000.0,,,,,,328683.0,-328683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136103.0,,,,,,,6250.0,,-600148.0,,90000.0,100000.0,,-427272.0,,,,,,100000000.0,,100000000.0,
2011-09-30,2011-11-14,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,155801.0,,,,,,,,,,72876.0,,,,,107832.0,3560.0,,,,3560.0,,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,270000.0,,,117478.0,104272.0,,,,,,,,,,,,,,,,,28516.0,,35297.0,,107832.0,,681098.0,,,,,,,,,,,-145994.0,,,,,,220000.0,,,,,,117478.0,-117478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8750.0,,,,,,,15625.0,,-746142.0,,,,,-573266.0,,,,,,100000000.0,100000000.0,100000000.0,
2011-12-31,2012-04-16,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,155801.0,533548.0,155801.0,,,,,,377747.0,,,,72876.0,,0.0,,,105845.0,1573.0,,1573.0,,1573.0,1520.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,0.0,,,,,,,,,,,,244300.0,-244300.0,0.0,0.0,,,,0.0,,-0.01,,330000.0,,,653380.0,104272.0,,,,,,,529522.0,,,,330000.0,,,44622.0,,,44622.0,,47747.0,753548.0,105845.0,,753548.0,,,220000.0,73512.0,,,,170000.0,,-168480.0,-698002.0,,,,220000.0,,220000.0,,,,0.0,0.0,653380.0,-653380.0,,,104272.0,,,,,,653380.0,,,0.0,,10000000.0,,,,,,,,170000.0,,,,,,,184291.0,0.0,0.0,0.0,0.0,,,34250.0,-698002.0,-820579.0,,,,,-647703.0,,,,,,,100000000.0,10020274.0,
