end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccrualForEnvironmentalLossContingencies,AccrualForEnvironmentalLossContingenciesNet,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,Assets,Cash,CashPeriodIncreaseDecrease,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleDebt,ConvertibleDebtNoncurrent,ConvertibleSubordinatedDebt,ConvertibleSubordinatedDebtCurrent,ConvertibleSubordinatedDebtNoncurrent,CostOfRealEstateSales,CostsAndExpenses,DebtInstrumentCarryingAmount,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtWeightedAverageInterestRate,DeferredCosts,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesOther,DepositAssets,DividendsPayableCurrent,DividendsPreferredStockStock,DueFromRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,GainLossOnDispositionOfAssets,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivableRelatedParties,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPropertyAndOtherTaxesPayable,IncreaseDecreaseInRestrictedCash,InterestExpense,InterestExpenseRelatedParty,InterestIncomeOperating,InterestIncomeRelatedParty,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,InvestmentIncomeDividend,InvestmentIncomeInterest,Land,LandAndLandImprovements,LandAvailableForSale,LandImprovements,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedParties,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssets,OtherAssetsCurrent,OtherIncome,OtherLongTermDebt,OtherNonoperatingIncomeExpense,OtherNotesPayable,PaymentsForOperatingActivities,PaymentsForOtherTaxes,PaymentsToAcquireNotesReceivable,PaymentsToAcquireOtherRealEstate,PreferredStockAmountOfPreferredDividendsInArrears,PreferredStockDividendsAndOtherAdjustments,PreferredStockLiquidationPreference,PreferredStockLiquidationPreferenceValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromInterestReceived,ProceedsFromOperatingActivities,ProceedsFromOtherOperatingActivities,ProceedsFromSaleAndCollectionOfNotesReceivable,ProceedsFromSaleOfPropertyHeldForSale,ProceedsFromSaleOfRealEstate,ProfessionalFees,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,Revenues,SalesOfRealEstate,SalesRevenueNet,StockholdersEquity,SubordinatedDebt,TaxesExcludingIncomeAndExciseTaxes,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-26,10-K,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-04,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,0.0,1227000.0,,,,,,,,,,,,,,,,,,,,,-0.26,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,1197000.0,,11000.0,,,,,,,,,,,,,,,,,,-1215000.0,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,12000.0,0.0,,,,3000.0,,,,,
2010-09-30,2010-11-09,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,0.0,1260000.0,,,,,,,,,,,,,,,,,,,,,-0.26,,,,,,,,,14000.0,,,,,,,,,,,,,,,,,,,,,1229000.0,,11000.0,,,,,,,,,,,,,,,,,,-1249000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,11000.0,0.0,,,,2000.0,,,,,
2010-12-31,2011-03-21,10-K,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,9000.0,,26673000.0,,13498000.0,1539000.0,1000.0,0.0,,0.1,25000000.0,5317758.0,5317758.0,,532000.0,1500000.0,,9059000.0,,,0.0,4976000.0,,,,,,,,,,,,,,,,,,705000.0,,,-1.05,,,,,,,,,58000.0,,,,,,,,,,,-2000.0,,0.0,,1190000.0,,-4000.0,,-2000.0,,1190000.0,3664000.0,45000.0,,,17448000.0,,,,,,639000.0,,,59521000.0,1539000.0,,,76000.0,-76000.0,-4930000.0,,,1198000.0,,,,,,,189000.0,,1000.0,500000.0,,,-126000.0,13000.0,,,,,4.0,,1.0,5000000.0,2000000.0,2000000.0,,2000000.0,,49000.0,50000.0,1000.0,76000.0,,0.0,13000.0,,,,5000.0,-74012000.0,46000.0,0.0,,-57982000.0,,11000.0,,,,,
2011-03-31,2011-05-16,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,,,,,,,1000.0,0.0,,,,,,,,,,,,,1000.0,1329000.0,,,,,,,,,,,,,,,,,,,,,-0.28,,,,,,,,,16000.0,,,,,,,,,,,,,,,,,,,,,301000.0,997000.0,10000.0,,,,,,,,,,,,,,,,11000.0,-11000.0,-1303000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0,,,2000.0,,,,,,26000.0,16000.0,,,,2000.0,,,,,
2011-06-30,2011-08-12,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,4000.0,,,,13498000.0,1499000.0,1000.0,,,0.1,25000000.0,5317758.0,5317758.0,,532000.0,1500000.0,,9059000.0,,,0.0,1366000.0,,,,,,,,,,,,,,,,,-160000.0,669000.0,,,-0.28,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,304000.0,1031000.0,11000.0,,,,,,,,,639000.0,,,62139000.0,1499000.0,,,,,-1355000.0,-1515000.0,,1198000.0,,,,,,,185000.0,,0.0,500000.0,,,,,,,,,4.0,,1.0,5000000.0,,,,2000000.0,,,,,,,,3000.0,,,,5000.0,-76670000.0,11000.0,0.0,,-60640000.0,,3000.0,,,5317758.0,,
2011-09-30,2011-11-14,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,6000.0,,,,13498000.0,1481000.0,1000.0,,,0.1,25000000.0,5317758.0,5317758.0,,532000.0,1500000.0,,9059000.0,,,0.0,1407000.0,,,,,,,,,,,,,,,,,-160000.0,639000.0,,,-0.29,,,,,,,,,17000.0,,,,,,,,,,,,,,,,,,,,,305000.0,1067000.0,10000.0,,,,,,,,,639000.0,,,63518000.0,1481000.0,,,,,-1397000.0,-1557000.0,,1198000.0,,,,,,,197000.0,,0.0,500000.0,,,,,,,,,,,1.0,5000000.0,,,,2000000.0,,,,,,,,6000.0,,,,5000.0,-78067000.0,10000.0,0.0,,-62037000.0,,2000.0,,,5317758.0,,
2011-12-31,2012-03-30,10-K,PGI INCORPORATED,PGAI,CIK0000081157,USD,118000.0,,1000.0,,,631000.0,,70000.0,8000.0,,30829000.0,36000.0,13498000.0,1469000.0,1000.0,0.0,,0.1,25000000.0,5317758.0,5317758.0,532000.0,532000.0,1500000.0,,9059000.0,,,1000.0,5539000.0,,,,,,,0.0,172000.0,16902000.0,12000.0,56000.0,,-16825000.0,172000.0,184000.0,,-640000.0,631000.0,579000.0,-1.15,-1.15,-1.15,0.0,-0.34,0.185,0.195,-0.04,,,63000.0,,,,0.0,,,1015000.0,-1864000.0,1068000.0,-219000.0,-3000.0,-1000.0,-4000.0,1219000.0,4198000.0,,0.0,0.0,-1000.0,,1219000.0,4198000.0,40000.0,,,18605000.0,1000.0,,,625000.0,639000.0,639000.0,14000.0,,64934000.0,1469000.0,12257000.0,,74000.0,-74000.0,-5483000.0,-6123000.0,,1198000.0,,,630000.0,,44478000.0,,193000.0,5000.0,0.0,500000.0,,1698000.0,130000.0,9000.0,,1000.0,,,,,1.0,5000000.0,2000000.0,2000000.0,2000000.0,2000000.0,4000.0,40000.0,56000.0,0.0,74000.0,,16000.0,9000.0,,,-74000.0,5000.0,-79495000.0,56000.0,16000.0,,-63465000.0,,9000.0,5317758.0,5317758.0,,5317758.0,
2012-03-31,2012-05-14,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,,,,,,,,,2000.0,,31961000.0,,13498000.0,1439000.0,1000.0,0.0,,0.1,25000000.0,5317758.0,5317758.0,,532000.0,1500000.0,,9059000.0,,,0.0,1485000.0,,,,,,,,,,,,,,,,,-160000.0,543000.0,,,-0.31,,,,,,,,,18000.0,,,,,,,,,,,,,,,,,,,,,309000.0,1142000.0,8000.0,,,18898000.0,1000.0,,,625000.0,639000.0,639000.0,14000.0,,66381000.0,1439000.0,,,26000.0,-26000.0,-1477000.0,-1637000.0,,1198000.0,,,542000.0,,,,189000.0,,,500000.0,,,,,,,,,,,1.0,5000000.0,2000000.0,2000000.0,,2000000.0,,,,,26000.0,,,4000.0,,,,5000.0,-80972000.0,8000.0,0.0,,-64942000.0,,2000.0,,,5317758.0,,5317758.0
2012-06-30,2012-08-13,10-Q,PGI INCORPORATED,PGAI,CIK0000081157,USD,200000.0,,4000.0,,,,,70000.0,4000.0,,33132000.0,25000.0,13498000.0,1408000.0,1000.0,,,0.1,25000000.0,5317758.0,5317758.0,,532000.0,1500000.0,,9059000.0,,,0.0,1612000.0,,,,,,,,172.0,18073.0,12.0,56.0,,-17996.0,172.0,184000.0,,-160000.0,578000.0,,,-0.33,,,,,,,,,106000.0,,,,,,,,,,,,,,,,,,,,,311000.0,1181000.0,7000.0,,,19194000.0,1000.0,,,625.0,639.0,639000.0,14.0,,67955000.0,1408000.0,12257000.0,,,,-1605000.0,-1765000.0,,1198000.0,,,577000.0,,,,185000.0,1000.0,,500000.0,,,,,,,,,,,1.0,5000000.0,2000000.0,2000000.0,,2000000.0,,,,,,,,1000.0,,,,5000.0,-82577000.0,7000.0,0.0,,-66547000.0,,3000.0,,,5317758.0,,5317758.0
