end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,AssetRetirementObligation,Assets,AssetsCurrent,CapitalLeaseObligationsNoncurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleNotesPayable,CostsAndExpensesRelatedParty,DebtConversionConvertedInstrumentAmount1,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentUnamortizedDiscount,DeferredCreditsAndOtherLiabilitiesCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExplorationExpense,ExtinguishmentOfDebtAmount,GainLossRelatedToLitigationSettlement,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestExpense,InterestIncomeDomesticDeposits,InterestPaid,InterestPayableCurrent,InterestReceivable,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,LiabilityForUncertainTaxPositionsNoncurrent,MachineryAndEquipmentGross,MineralPropertiesAccumulatedImpairment,MineralPropertiesGross,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayable,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherIncome,OtherNonoperatingExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMiningAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidInterest,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfNotesPayable,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquitySharesSubscribedButUnissuedSubscriptionsReceivable,ValuationAllowanceDeferredTaxAssetChangeInAmount
2009-06-18,2009-09-16,10-K,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,,,,2108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2283997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62842.0,,,,,,,,,,,,
2010-06-30,2010-11-12,10-K,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,,,,-33172.0,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-717820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,-256622.0,,,,60452.0,,,496760.0,,,,,
2010-09-30,2010-11-22,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,,,,,,0.0,565700.0,,,,,1785.0,1524.0,,,,,,,,0.0,,,10000.0,,0.0,,,,,,,,,0.0,0.0,,,-0.01,,,,,0.0,,,9371.0,0.0,-5405.0,,,3844.0,,0.0,,73000.0,3844.0,,3844.0,,,0.0,,,,,,,,,,,16300.0,0.0,-14776.0,-651915.0,,,575071.0,,,,0.0,,76844.0,0.0,0.0,,,,,,,0.0,0.0,,16300.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,458700.0,,,,,,,0.0,,,,
2010-12-31,2011-02-11,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,,,,,,,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,286166.0,,,,,,,,,0.0,3867.0,,,,,,,,,,,,,,,,,,,-290033.0,,,286166.0,,,,0.0,,3867.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-12-30,10-K,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,93342.0,,4947879.0,,,68957.0,615700.0,,280556.0,23306.0,,23306.0,23045.0,,0.0001,500000000.0,278507916.0,278507916.0,0.0,27851.0,,53000.0,,,-573269.0,,29430.0,50000.0,132101.0,170527.0,38426.0,,170527.0,,,,5515499.0,76316.0,-0.02,,0.34,-0.43,0.09,106782.0,,,1411239.0,,97386.0,,50000.0,76316.0,,,,121770.0,94832.0,,2500.0,27098.0,,,,820025.0,280556.0,,,,,-615700.0,865700.0,250000.0,276300.0,-50000.0,-203255.0,-2409959.0,602699.0,520269.0,2165843.0,,1303378.0,-1303378.0,32122.0,,244116.0,,50000.0,0.0001,20000000.0,3000000.0,3000000.0,300.0,0.0,,175000.0,,101300.0,,,7250.0,,,,1116939.0,0.0,,2.7033,2.7033,,0.014,,0.014,6000000.0,,,0.0071,6000000.0,,19000000.0,0.01,,0.01,,-539469.0,458700.0,,,199650.0,175000.0,88940.0,,36372.0,300.0,42599.0,,
2011-09-30,2012-03-14,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,42556.0,,5205555.0,,,12196.0,0.0,,262496.0,2344.0,,2344.0,-20962.0,,0.0001,500000000.0,284257916.0,284257916.0,,28426.0,0.0,0.0,,19328.0,,0.0,,50000.0,,,,,,,121.0,121.0,5640866.0,19700.0,0.0,,,,,27701.0,,,65182.0,0.0,-53224.0,,,-37288.0,,0.0,,0.0,32484.0,,22725.0,24660.0,,42600.0,,669381.0,262496.0,,,,,,,250000.0,140000.0,0.0,-160962.0,-125367.0,,532465.0,92883.0,,,,0.0,,32484.0,0.0,0.0,0.0001,20000000.0,0.0,0.0,0.0,,0.0,193000.0,,0.0,0.0,,10152.0,,53000.0,0.0,42600.0,,,,,,,,,,,,,,,12000000.0,,,,,-406885.0,0.0,,,,,,,3023.0,,,,
2011-12-31,2012-03-22,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,45162.0,,5346849.0,,,,0.0,,307060.0,47029.0,,43111.0,,,0.0001,500000000.0,302457916.0,302457916.0,56000.0,30246.0,,0.0,,,,,,50000.0,,,,,,,121.0,,5916564.0,18500.0,0.0,,,,,29279.0,,-59000.0,164095.0,,,,,,,,,0.0,23324.0,,,28206.0,,,,846529.0,307060.0,,,,,,,250000.0,,,,-275698.0,,589661.0,193374.0,,,,0.0,,82324.0,,,0.0001,20000000.0,0.0,0.0,0.0,3918.0,,,,,,,10031.0,,,0.0,,,,,,,,,,,,,,,,,,,,,-539469.0,,,,,,,,,,,,
2012-03-31,2012-05-15,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,46326.0,,5585442.0,,,,0.0,,334498.0,74587.0,,369103.0,,,0.0001,500000000.0,311529345.0,311529345.0,,31153.0,,0.0,,,,,71748.0,50000.0,,,,,,,120.0,,6052322.0,18500.0,0.0,,,,,10972.0,,0.0,89836.0,,,,,,,,,0.0,-34950.0,,,27948.0,,,,770225.0,334498.0,,,,,,,250000.0,,,,-135758.0,,597951.0,100808.0,-100808.0,,,0.0,,-34950.0,,,0.0001,20000000.0,0.0,0.0,0.0,5000.0,,,,,,,9911.0,,,0.0,,,,,,,,,,,,,,,,15000000.0,,,,,-435727.0,,,,,,,,,,,,
2012-06-30,2012-09-28,10-K,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,59967.0,-483.0,4831458.0,75000.0,,119930.0,,0.0,399590.0,105823.0,,85623.0,62317.0,985100.0,0.0001,500000000.0,234862680.0,234862680.0,,23486.0,,76875.0,37725.0,7700.0,-671574.0,,671574.0,60000.0,271581.0,350580.0,78999.0,0.0,350580.0,,483.0,483.0,6606854.0,18000.0,0.0,,0.34,-0.43,0.09,66282.0,,-59000.0,768056.0,,-75880.0,,10000.0,-38989.0,,221250.0,-12500.0,,192517.0,,47100.0,43409.0,,,3170.0,1166400.0,399590.0,1166400.0,0.0,0.0,44250.0,-615700.0,865700.0,250000.0,637875.0,-33173.0,-542385.0,-1091355.0,671574.0,594699.0,834338.0,,1653958.0,-1653958.0,,,257017.0,,33173.0,0.0001,20000000.0,0.0,0.0,,20200.0,76875.0,569000.0,,50000.0,,,43767.0,18000.0,58000.0,,213887.0,0.0,,2.7309,2.3896,,0.0095,0.0095,0.0077,25500000.0,,,0.03,19500000.0,120000.0,9500000.0,0.02,120000.0,0.02,,-1751910.0,,1000000.0,2200000.0,,559000.0,20100.0,15000.0,7500.0,,138587.0,,350580.0
2012-09-30,2012-11-14,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,73828.0,,6083640.0,,,,,,435112.0,143558.0,,143558.0,57935.0,,0.0001,500000000.0,331656125.0,331656125.0,,33165.0,,76875.0,,,,,-671574.0,60000.0,,,,,,,2213.0,2213.0,7091321.0,,0.0,,,,,20684.0,,,439841.0,,20728.0,,,,,,20200.0,,23942.0,,1875.0,50276.0,,,,1447128.0,435112.0,,,,,-615700.0,865700.0,250000.0,140000.0,,-82065.0,-484467.0,671574.0,594699.0,460525.0,,,,,,23942.0,,,0.0001,20000000.0,0.0,0.0,,,,140000.0,,,,,41554.0,0.0,,,359261.0,,,,,,,,,9500000.0,,,,,,25500000.0,0.02,875000.0,,,-1012016.0,,8730945.0,13000000.0,,140000.0,260000.0,,,,,37500.0,
2012-12-31,2013-02-14,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,65472.0,-9514.0,6226906.0,,,,,,399903.0,18877.0,,11377.0,,,0.0001,500000000.0,340156125.0,340156125.0,,34015.0,,59556.0,,,,,654255.0,60000.0,,,,,,-300.0,,,7480053.0,,0.0,,,,,123402.0,,,166887.0,,,,,,,,,,98792.0,349.0,,57858.0,,,,1619035.0,399903.0,,,,140240.0,-615700.0,865700.0,250000.0,,,,-388732.0,816032.0,594699.0,290289.0,,,,,,98443.0,,,0.0001,20000000.0,0.0,0.0,,7500.0,,,,,,,130726.0,,,,,,,,,,,,,17500000.0,,,,,,17500000.0,0.01,325000.0,,,-1219132.0,,,,,,,,,,,,
2013-03-31,2013-05-20,10-Q,BONANZA GOLDFIELD CORP.,BONZ,CIK0001439264,USD,95445.0,-16332.0,6307588.0,,,,,,465544.0,41336.0,,33836.0,,,0.0001,500000000.0,337086125.0,337086125.0,,33708.0,,194437.0,,,,,789136.0,60000.0,,,,,,-300.0,9031.0,,7691503.0,,0.0,,,,,57611.0,,-29500.0,47340.0,,,,,,,,,,-136618.0,,,71720.0,,,,1815751.0,465544.0,,,,140240.0,-615700.0,915700.0,300000.0,,,,-211450.0,926699.0,594699.0,104951.0,-104332.0,,,,,-107118.0,,,0.0001,20000000.0,0.0,0.0,,7500.0,,,,,,,123908.0,,,619.0,,,,,,,,,,29500000.0,,,,,,5500000.0,0.01,,,,-1350207.0,,,,,,,,,,,,
