end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AreaOfRealEstateProperty,Assets,AssetsCurrent,BuildingsAndImprovementsGross,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,ContributionOfProperty,ContributionsFromNoncontrollingInterests,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsNet,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EffectOfExchangeRateOnCashAndCashEquivalents,EquityMethodInvestmentRealizedGainLossOnDisposal,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnDispositionOfAssets,GainLossOnSaleOfBusiness,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IndefiniteLivedIntangibleAssetsImpairmentLosses,InterestExpense,InterestPaid,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MinorityInterest,MinorityInterestIncreaseFromStockIssuance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationOptionsIssued1,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,NonoperatingIncomeExpense,NotesIssued1,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivables,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromPreviousAcquisition,PaymentsToAcquirePropertyPlantAndEquipment,PostconfirmationRetainedEarningsDeficit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromCollectionOfOtherReceivables,ProceedsFromContributedCapital,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromMinorityShareholders,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,RevenuesExcludingInterestAndDividends,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueAcquisitions,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-03-26,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-897.0,-897.0,,,,
2009-12-31,2010-03-31,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,,,,,,,,,,,,,,,,,12711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3200.0,,,,,,,,,-4097.0,-3200.0,,,,
2010-06-30,2010-08-23,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,,,,,,,,,,,,,,,,,8169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6358.0,,-6358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6358.0,,,,,,,,,,,,,,3414048.0
2010-09-30,2010-11-22,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,,,,,,,,,,,,,,,,,2599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4068.0,,-4068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4068.0,,,,,,,,,,,,,,7112600.0
2010-12-31,2011-03-31,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,4071.0,,,,71926.0,,,3980.0,,,,-62591.0,,,,95723.0,95723.0,,,,,,95723.0,,83012.0,0.001,90000000.0,62590880.0,62590880.0,62591.0,,,,,,,,99997.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,13775.0,37558.0,23914.0,,,,,,,2995.0,,,,,,,,,,,75906.0,95723.0,75906.0,,,,56103.0,,26909.0,23914.0,,,,,,,,,,,13775.0,23783.0,,,,,,,,,,131.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,56103.0,,23914.0,,,,,19817.0,,137555.0,,19817.0,23914.0,,,62590880.0,
2011-03-31,2011-05-16,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,,,,,,,,,,,,,,,,,100991.0,,5268.0,,,,,,,,,,,,,3941.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,49057.0,430.0,,,,,3941.0,,,1540.0,,,,-10.0,,,,,,,,,,,,,48429.0,,-43161.0,-48632.0,,,,,,,,,,,49057.0,-48627.0,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,,,48429.0,,-48632.0,,,,,,,4371.0,,,,,,62590880.0,
2011-06-30,2011-08-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,6684.0,,,,,,,,,,,502845.0,,,,6788.0,6788.0,,,,,,102236.0,,,0.001,90000000.0,7112600.0,7112600.0,3414.0,,,,,,,,14815.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,11883.0,2051.0,-2636.0,,,,,,,,,,,,,,,,,,,6788.0,18684.0,,,,,,,-9843.0,,,,,,,,,12000.0,,11883.0,-9832.0,,,,,,,,-400.0,,-11.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,-9843.0,,,,,-518155.0,,16866.0,,-11896.0,,,,62590880.0,3414048.0
2011-09-30,2011-11-16,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,2210.0,,,,2101.0,,,,,,,499696.0,,,,,,,,,,,97041.0,,,,,,,7113.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4877.0,,-4965.0,,,,,,,,,,,,,,,,,,,,16311.0,,,,,,,-4845.0,,,,,,,,,12000.0,,4877.0,-4877.0,,,,,,,,-300.0,,32.0,,,,,,,,,,,,,,,,,,,,,,-4845.0,,,,,-523120.0,,,,-16311.0,,,,62590880.0,7112600.0
2011-12-31,2012-04-16,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,56515.0,56515.0,18757.0,120418.0,,,56515.0,,,,-69604.0,100.0,,,96914.0,96914.0,,,,,96881.0,96881.0,,1158.0,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,18756.0,,,,,,,,,,,,0.0,0.0,0.34,,0.165,0.165,0.34,,,,,,,121127.0,2481.0,-118693.0,,,,18757.0,52535.0,,52535.0,,,,-33.0,,,,,,,195690.0,96914.0,195690.0,,,,48592.0,,-47434.0,-118693.0,,,,62590880.0,,,,,,,121127.0,-118646.0,,33.0,,,,,,,,-47.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,100.0,,,,,48492.0,,-118693.0,,,,,-98876.0,,21237.0,,-98776.0,-98776.0,,,63058558.0,
2012-03-31,2012-05-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,18756.0,184807.0,,,135919.0,,,,-69604.0,,,,98761.0,98761.0,,,,,,98728.0,,1847.0,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,141862.0,,,,,,-1.0,,,79404.0,,,79404.0,,,,,,,,339482.0,98761.0,339482.0,,,,64389.0,,-62542.0,-141945.0,,,,,,,,,,,141862.0,-141862.0,,33.0,,,,,,,,-83.0,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,64389.0,,-141945.0,,,,,-240821.0,,,,-240721.0,,,,69703480.0,
