end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentFaceAmount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SalesRevenueNet,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2014-03-31,2014-05-15,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,,2000.0,,26826.0,5401.0,5401.0,,5301.0,5301.0,,0.0001,100000000.0,5235000.0,5235000.0,524.0,,,8550.0,8550.0,25148.0,,1199.0,0.0,,,1333.0,-9867.0,,,,,,2000.0,,100.0,,,3199.0,5401.0,,,28549.0,,,,-23248.0,-35015.0,35015.0,-25148.0,,0.0001,20000000.0,0.0,0.0,,100.0,,27350.0,1199.0,33682.0,,,,,,,2202.0,,,,5010444.0,,
2014-06-30,2014-08-14,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,,4000.0,,37221.0,13003.0,13003.0,,12903.0,,,0.0001,100000000.0,6285000.0,6285000.0,629.0,,,10216.0,10216.0,30046.0,,1199.0,0.0,,,398.0,-4898.0,,,,,,,,,,,5199.0,13003.0,,,,,,,,-4898.0,4898.0,30046.0,,0.0001,20000000.0,0.0,0.0,,100.0,,,,4500.0,,,,,,,7804.0,,,,5994780.0,,
2014-09-30,2014-12-29,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,6500.0,6500.0,,71723.0,12885.0,12885.0,,12885.0,-208.0,,0.0001,100000000.0,9770000.0,9770000.0,977.0,,,22955.0,22955.0,67514.0,,1199.0,-0.01,0.34,0.01,28384.0,-54408.0,,,,18499.0,-18499.0,6500.0,6500.0,,,,7699.0,12885.0,7699.0,,20700.0,,,,-20908.0,-54408.0,54408.0,67514.0,,0.0001,20000000.0,0.0,0.0,,,,20700.0,,26024.0,,-67514.0,,,,27000.0,5186.0,17700.0,30000.0,17700.0,6011068.0,,
2014-12-31,2015-02-10,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,,15380.0,,72515.0,9040.0,9040.0,,9040.0,-3845.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,27553.0,27553.0,81039.0,,1199.0,0.0,0.34,,145.0,-13525.0,,,,-4598.0,4598.0,8880.0,8880.0,,,,16579.0,9040.0,,,800.0,,,,-4645.0,-13525.0,13525.0,81039.0,,0.0001,20000000.0,0.0,0.0,,,,800.0,,13380.0,,,,,,,-7539.0,,,,9850000.0,,
2015-03-31,2015-05-15,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,,2700.0,,72515.0,1270.0,1270.0,,1270.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,29624.0,29624.0,87129.0,,12199.0,0.0,,,90.0,-6090.0,,,,,,,,,,,14899.0,1270.0,,,,,,,,-6090.0,6090.0,87129.0,,0.0001,20000000.0,0.0,0.0,,,,,,6000.0,,,,,,,-13629.0,,,,9850000.0,,
2015-06-30,2015-08-12,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,,7500.0,,72515.0,1270.0,1270.0,,1270.0,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,31256.0,31256.0,,,12199.0,0.0,,,,-4800.0,,,,,,,,,,,19699.0,1270.0,,,,,,,,-4800.0,4800.0,91929.0,,0.0001,20000000.0,0.0,0.0,,,,,,4800.0,,-91929.0,,,,,-18429.0,,,,9850000.0,,
2015-09-30,2016-01-13,10-K,"BALLY, CORP.",BLYQ,CIK0001591565,USD,13706.0,,,72515.0,,,,0.0,-12885.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,33798.0,33798.0,,12199.0,12199.0,0.0,0.34,,411.0,-31891.0,,,,10843.0,-10843.0,,7206.0,,,,25905.0,0.0,25905.0,,11800.0,,,,-24685.0,-31891.0,31891.0,99405.0,,0.0001,20000000.0,0.0,0.0,,,,800.0,11000.0,31480.0,,-99405.0,,,,,-25905.0,,,800.0,9850000.0,,
2015-12-31,2016-02-11,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,9200.0,,,72515.0,1094.0,1094.0,,1094.0,1094.0,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,,22099.0,0.0,,,,-4300.0,,,,,,,-4506.0,,,,31299.0,1094.0,,,9900.0,,,,-8806.0,-4300.0,4300.0,,,0.0001,20000000.0,0.0,0.0,,,,,9900.0,4300.0,,-103705.0,,,,,-30205.0,,,,9850000.0,,
2016-03-31,2016-05-16,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,16755.0,,,72515.0,,,,,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,,,,,,,22099.0,0.0,,,,-8649.0,,,,,,,,,,,38854.0,,,,,,,,,-8649.0,8649.0,,,0.0001,20000000.0,0.0,0.0,,,,,,8649.0,,-112354.0,,,,,-38854.0,,,,9850000.0,,
2016-06-30,2016-08-22,10-Q,"BALLY, CORP.",BLYQ,CIK0001591565,USD,23695.0,,,104414.0,,,,,,,0.0001,100000000.0,9850000.0,9850000.0,985.0,9800.0,,,,,,10440.0,0.0,,,,-27180.0,,,,,,,,,,,34135.0,,,,,,,,,-27180.0,27180.0,,,0.0001,20000000.0,0.0,0.0,,,,,,27180.0,,-139534.0,,,,,-34135.0,,,,9850000.0,,
