end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,Communication,ComprehensiveIncomeNetOfTax,DebtInstrumentInterestRateStatedPercentage,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareDiluted,EquityIssuancePerShareAmount,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InformationTechnologyAndDataProcessing,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherGeneralExpense,OtherIncome,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromRepurchaseOfEquity,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,StockIssuedDuringPeriodValueNewIssues,SubsequentEventAmount,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding
2009-05-31,2009-09-08,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35834.0,,,,,,,,,,,,,,,,,,,,,,,,,-3945.0,,,,,50000.0,,,
2010-05-31,2010-09-03,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16555.0,,,,,,,,,,,,,,,,,,,,,,,,,-20500.0,,,,,,,,
2010-08-31,2010-10-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,4700.0,-222.0,57150.0,,1432.0,1432.0,-568.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,,,88096.0,,,0.0,,0.0,39.0,0.0,200.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,24700.0,1432.0,,2000.0,-2568.0,-2768.0,20000.0,2768.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,2000.0,,1200.0,,,,0.0,,-23268.0,,,,,,,839.0,7900000.0
2010-11-30,2011-01-20,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,1225.0,-222.0,57150.0,,367.0,367.0,-1065.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,,,90686.0,0.0,25000.0,0.0,,3.0,34.0,0.0,-3475.0,,,0.0,0.0,1098.0,0.0,,0.0,0.0,26225.0,367.0,,5000.0,-6065.0,-2590.0,0.0,2590.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,5000.0,,861.0,,,,0.0,,-25858.0,,,,,,,0.0,7900000.0
2011-02-28,2011-04-15,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,3380.0,-222.0,57150.0,,109.0,109.0,-258.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,,,93099.0,0.0,25000.0,0.0,,1.0,46.0,0.0,2155.0,,,0.0,0.0,600.0,0.0,,0.0,0.0,28380.0,109.0,,0.0,-258.0,-2413.0,0.0,2413.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,1168.0,,,,0.0,,-28271.0,,,,,,,0.0,7900000.0
2011-05-31,2011-08-29,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,3500.0,-222.0,57150.0,,15683.0,12933.0,10933.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,482.0,,,103261.0,0.0,0.0,0.0,,3.0,2022.0,0.0,,-1000.0,,616.0,2750.0,3187.0,616.0,,0.0,616.0,54116.0,15683.0,,32000.0,-21067.0,-17933.0,50000.0,17933.0,,,,,,0.0,,0.0,,2750.0,0.0,50000.0,,0.0,-18000.0,0.0,6885.0,,,,0.0,,-38433.0,,,,,,,2254.0,7900000.0
2011-08-31,2011-10-14,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,4800.0,-222.0,57150.0,,3862.0,3862.0,-9071.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,-13751.0,,117013.0,,,0.0,,-9.0,44.0,0.0,1300.0,,,630.0,-2750.0,11432.0,630.0,,0.0,1247.0,56047.0,3862.0,,0.0,-9071.0,-13751.0,50000.0,13751.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,1036.0,,0.0,,0.0,,-52185.0,,,,,,,0.0,7900000.0
2011-11-30,2012-01-17,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,6049.0,-222.0,57150.0,,115.0,,-3747.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,-6385.0,,123398.0,766.0,0.0,0.0,,4.0,519.0,0.0,1249.0,,,623.0,0.0,1542.0,623.0,,0.0,1870.0,58685.0,115.0,,766.0,-4513.0,-6385.0,50000.0,6385.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,766.0,0.0,,1330.0,,,,0.0,,,,,,,,,1775.0,7900000.0
2012-02-29,2012-04-16,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,7913.0,-222.0,57150.0,,78.0,,,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,,,125922.0,766.0,0.0,,,-1.0,36.0,,,,,,,0.0,623.0,,,2493.0,61172.0,78.0,,,,,50000.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,,1264.0,,,,,,-61094.0,,,,,,,0.0,
2012-05-31,2012-07-31,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,12158.0,-222.0,57150.0,,92.0,,-12841.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,2597.0,-39756.0,,143017.0,13000.0,13000.0,0.0,,-7.0,39756.0,0.0,8658.0,8658.0,,2507.0,-2750.0,17600.0,2507.0,,0.0,3123.0,78281.0,92.0,,13000.0,-25841.0,-39756.0,50000.0,39756.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,13766.0,13766.0,13000.0,0.0,6881.0,,766.0,,0.0,,-78189.0,,,,,,,4370.0,7900000.0
2012-08-31,2012-11-08,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,0.0,-222.0,57150.0,,24.0,,-68.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,0.0,,,157220.0,38668.0,38668.0,,,0.0,,0.0,-12158.0,,,625.0,0.0,0.0,,,0.0,3748.0,92416.0,24.0,,25668.0,-25736.0,,50000.0,14203.0,,157220.0,,,,0.0,,137.0,,,0.0,0.0,25668.0,,,,7840.0,,0.0,,,,-92392.0,,,,,,,1929.0,
2012-11-30,2013-01-22,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,,,,,,,,,,,,,0.0,-15836.0,,,,,0.0,,0.0,0.0,,,,,,,1020.0,625.0,,,,,,,,,-15836.0,,15836.0,,,,0.0,,,,0.0,,,,,,,,,14191.0,,,,0.0,,,,,,,,,0.0,7900000.0
2013-03-31,2013-05-20,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,2722.0,-222.0,95818.0,,30000.0,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-24780.0,,200316.0,68891.0,68891.0,0.0,,,24155.0,0.0,1754.0,,,625.0,5000.0,,625.0,,0.0,5207.0,126820.0,30000.0,,27400.0,-27400.0,-24780.0,50000.0,24780.0,-24155.0,,,0.0,,0.0,,,,30000.0,0.0,0.0,27400.0,,27400.0,,,,0.0,,0.0,,-96820.0,,,,,,,,7900000.0
2013-06-30,2013-08-19,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,1200.0,-222.0,95818.0,,10000.0,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-35228.0,,235543.0,85015.0,85015.0,0.0,,,34603.0,,,,,,,,625.0,,,5832.0,142047.0,10000.0,,,,-35228.0,50000.0,35227.0,-34603.0,,,0.0,,,,,,10000.0,,,,,,,,,,,0.0,,-132047.0,,,,,,,,7900000.0
2013-09-30,2013-11-19,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,1800.0,-222.0,95818.0,,10000.0,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-13469.0,,249012.0,97259.0,97259.0,0.0,,,12844.0,,,,,,,,625.0,,,6457.0,155516.0,10000.0,,,,-13469.0,50000.0,,-12844.0,,,0.0,,,,,,10000.0,,,,,,,,,,,0.0,,-145516.0,,,,,,,,7900000.0
2013-12-31,2014-04-15,10-K,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,2400.0,-222.0,95818.0,38668.0,10000.0,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-113536.0,,289072.0,136094.0,136094.0,-0.01,,,111036.0,0.0,1432.0,,,2501.0,-15000.0,,2500.0,,0.0,7082.0,195576.0,10000.0,,94603.0,-94603.0,-113536.0,50000.0,,-111036.0,,,0.0,,,,,,10000.0,0.0,0.0,94603.0,,94603.0,,,-113536.0,0.0,-289072.0,0.0,,-185576.0,,,,,,,,7900000.0
2014-03-31,2014-05-20,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,7401.0,-222.0,95818.0,,20000.0,0.0,0.0,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-20191.0,,309263.0,160659.0,,0.0,,,19566.0,0.0,15419.0,,,625.0,10000.0,,625.0,,0.0,7707.0,225767.0,20000.0,,14147.0,-14147.0,-20191.0,50000.0,,-19566.0,,,0.0,,,,,,20000.0,0.0,0.0,14147.0,,14147.0,,,,0.0,,0.0,,-205767.0,,,,,,,,7900000.0
2014-06-30,2014-08-22,10-Q,THERON RESOURCE GROUP,THRO,CIK0001409431,USD,2452.0,-222.0,95818.0,,20000.0,0.0,,0.001,500000000.0,7900000.0,7900000.0,7900.0,,-10758.0,,,175741.0,,0.0,,,10133.0,,,,,,,,625.0,,,8332.0,236525.0,20000.0,,,,-10758.0,50000.0,,-10133.0,,,0.0,,,,,,20000.0,,,,,,,,,,-320021.0,0.0,,-216525.0,,,,,,,,7900000.0
