end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsAccumulatedAmortizationAdjustment,DeferredOfferingCosts,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingGainsLosses,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPaymentsForDepositsAppliedToDebtRetirements,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SalesRevenueNet,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-07-25,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,2456.0,2192.0,,12500.0,,,,0.0,,,14792.0,14792.0,100.0,100.0,100.0,0.002,190000000.0,,30300000.0,,60600.0,,,,,,,,12500.0,12500.0,,27200.0,,19375.0,0.0,0.34,,,3674.0,-8519.0,-8519.0,,,,,2456.0,712.0,,,,,,,,,14792.0,21831.0,,6875.0,6875.0,,-6775.0,-6775.0,-8519.0,,,,,,11049.0,-8519.0,80139.0,,0.002,10000000.0,,0.0,,,,,,,,19375.0,6775.0,-8519.0,,,600.0,-80139.0,2530.0,,2530.0,,,-7039.0,,,,,,2900.0,30300000.0
2016-06-30,2016-08-22,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,16176.0,2562.0,,12500.0,,,,0.0,,,51698.0,51698.0,20842.0,,,0.002,190000000.0,,30300000.0,,60600.0,,,,,,,,,25000.0,,35200.0,,33714.0,0.0,,,,9730.0,-23386.0,-23386.0,0.0,,,,,,,,,,,,,,51698.0,82123.0,,,,,,,-23386.0,,,,,,24363.0,-23386.0,103500.0,,0.002,10000000.0,,0.0,3294.0,,,,,,,,6413.0,,,,8220.0,-103525.0,,0.01,977.0,,,-30425.0,,,,,,,30300000.0
2016-09-30,2016-11-18,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,19808.0,209.0,,12500.0,,,,0.0,,,101512.0,101512.0,27607.0,,,0.002,190000000.0,,30300000.0,,60600.0,,,,,,,,,25000.0,,47940.0,,33714.0,0.0,,,,9050.0,-37871.0,-37871.0,0.0,,,,,,,,,,,,,,101512.0,169808.0,,,,,,,-37871.0,,,,,,38735.0,-37871.0,141000.0,,0.002,10000000.0,,0.0,48696.0,,,,,,,,29112.0,,,,573.0,-141396.0,,0.01,864.0,,,-68296.0,,,,,,,30300000.0
2016-12-31,2017-04-17,10-K,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,28087.0,,,,107500.0,,25000.0,0.0,,,14392.0,14392.0,14392.0,14392.0,14392.0,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,0.0,0.0,0.0,,,,,,,211795.0,,33714.0,0.0,0.0,0.34,-0.34,26918.0,,-140175.0,0.0,0.0,-47660.0,47660.0,28087.0,-1480.0,,,,,,0.0,,28087.0,14392.0,28087.0,,,125000.0,,,-110608.0,-140175.0,,,,,,145787.0,-140175.0,,,0.002,10000000.0,0.0,0.0,,,,150000.0,125000.0,,,,57106.0,-140175.0,41644.0,,13273.0,-211795.0,,0.01,5612.0,,0.01,-13695.0,,15000000.0,,125000.0,,,33710959.0
2017-03-31,2017-05-26,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,30343.0,,,,107500.0,,,,,,14346.0,14346.0,14346.0,-46.0,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,,,,,,,,,,,,,0.0,,,,19630.0,,-24520.0,0.0,0.0,,,2256.0,,241.0,,,,241.0,0.0,241.0,52561.0,14346.0,30584.0,21977.0,,21977.0,,,-22023.0,-24520.0,,-241.0,,,,24870.0,-24279.0,,,0.002,10000000.0,0.0,0.0,,,,,,21977.0,,,750.0,-24520.0,,,4490.0,-236315.0,,,591.0,,,-38215.0,,,,,,,45300000.0
2017-06-30,2017-11-14,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,55535.0,,,,107500.0,,,,,,1086.0,1086.0,1086.0,,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,,,,,,,,,,,,,0.0,,,,15641.0,,-38730.0,0.0,,,,,,,,,,278.0,,519.0,78031.0,1086.0,56054.0,21977.0,,,,,,-38730.0,,-278.0,,,,39119.0,-38452.0,,,0.002,10000000.0,0.0,0.0,,,,,,,,,22703.0,,,,775.0,-275045.0,667.0,,667.0,,,-76945.0,,,,,,,45300000.0
2017-09-30,2018-02-01,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,17652.0,,,,138268.0,,,,,,915.0,915.0,915.0,,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,,,30768.0,,0.005,0.35,,,,,,,0.0,,,,108.0,,-24105.0,0.0,,,,,,,,,,31049.0,,800.0,71197.0,915.0,49220.0,21977.0,,,,,,-24105.0,8248.0,-22801.0,,,,1304.0,-1304.0,,,0.002,10000000.0,0.0,0.0,,,,,,,,,1196.0,,,,,-299150.0,,,,,,-70282.0,,,,,,,45300000.0
2017-12-31,2018-04-17,10-K,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,17884.0,,4372.0,,150260.0,42760.0,,,42760.0,,3984.0,3984.0,3984.0,-10408.0,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,0.0,42760.0,42760.0,,,,,,-68012.0,-323869.0,68012.0,,0.0,0.21,0.34,-0.34,36420.0,,-112074.0,0.0,0.0,-38105.0,38105.0,-10203.0,,4372.0,,,,47132.0,0.0,4372.0,86993.0,3984.0,86993.0,21977.0,,64737.0,,,-75145.0,-112074.0,,-38884.0,42760.0,21977.0,,74448.0,-73190.0,,,0.002,10000000.0,0.0,0.0,,,42760.0,,,21977.0,,,32763.0,-112074.0,,,5265.0,-323869.0,1258.0,,1258.0,,,-83009.0,,,,,,,45300000.0
2018-03-31,2018-05-15,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,18625.0,,,,150260.0,,,,0.0,,4565.0,4565.0,4565.0,581.0,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,0.0,42760.0,42760.0,,,,,,,,,,0.0,,,,160.0,,-4626.0,0.0,0.0,,,741.0,,4466.0,,,,4466.0,0.0,8838.0,92200.0,4565.0,92200.0,21977.0,,,,581.0,581.0,-4626.0,,-4466.0,,21977.0,,160.0,-160.0,,,0.002,10000000.0,0.0,0.0,,,,,,,,,,-4626.0,,,,-328495.0,,,,,,-87635.0,,,,,,,45300000.0
2018-06-30,2018-08-20,10-Q,PHOENIX APPS INC.,PXPP,CIK0001660839,USD,16354.0,,,,176394.0,26134.0,,,,,455.0,455.0,455.0,,,0.002,190000000.0,45300000.0,45300000.0,90600.0,,,,68894.0,68894.0,,,,,,,,,,0.0,,,,4539.0,,-58623.0,,,,,,,,,,,-30650.0,,13354.0,120579.0,455.0,120579.0,,,,,,,-58623.0,,-30650.0,26134.0,21977.0,,27973.0,-27973.0,,-30650.0,0.002,10000000.0,0.0,0.0,,,,,,,,,23434.0,-58623.0,,,,-387118.0,,,,,,-120124.0,,,,,,,45300000.0
