end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllowanceForDoubtfulAccountsReceivableCurrent,AllowanceForNotesAndLoansReceivableCurrent,AllowanceForNotesAndLoansReceivableNoncurrent,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredRevenueCurrent,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesCurrent,Depreciation,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSalesOfLoansNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LineOfCreditFacilityCommitmentFeeAmount,LongTermDebtPercentageBearingFixedInterestRate,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,OtherNonoperatingIncomeExpense,OtherNotesPayableCurrent,PaidInKindInterest,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,RevenueFromGrants,Revenues,ShareBasedCompensation,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AssetsFairValueDisclosure,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DeferredTaxAssetsGross,ExtinguishmentOfDebtGainLossNetOfTax,IncomeTaxesPaidNet,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaidNet,LiabilitiesFairValueDisclosure,NotesPayableRelatedPartiesCurrentAndNoncurrent,OtherLongTermDebtCurrent,SellingGeneralAndAdministrativeExpense,StockIssuedDuringPeriodValueNewIssues
2012-10-31,2012-12-14,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,12213.0,,,859.0,859.0,19327.0,244930.0,,,,0.0,,,,,97637.0,54646.0,53787.0,53787.0,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,14956.0,,,,,,,,14956.0,,,,,-0.01,,,,,,25751.0,,-54021.0,0.0,,,,,,,,,,,,,,,,,27169.0,97637.0,,,,,,,,,-54021.0,,,,,,54719.0,-54021.0,,0.0,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,28968.0,62318.0,42991.0,,,-175357.0,,698.0,,,70468.0,,,,8951351.0,,,,,,,,,,,,,,,,,
2013-01-31,2013-03-15,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,6096.0,,,114.0,114.0,22468.0,250130.0,,,,,,,,,65358.0,25508.0,19360.0,19360.0,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,14956.0,,,,,,,,,,,,,0.0,,,,,,26951.0,,-31362.0,,,,,,,,,,,,,,,,,,21052.0,65358.0,,,,,,,,,-31362.0,,,,,6034.0,31697.0,-31362.0,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,4746.0,62318.0,39850.0,,,-206719.0,,335.0,,,44306.0,,,,8951351.0,,,,,,,,,,,,,,,,,
2013-04-30,2013-07-29,10-K,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,,,18702.0,513.0,513.0,62318.0,255330.0,20800.0,,-1825.0,,6034.0,6034.0,,,3785.0,3785.0,,,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,11217.0,,,,,89730.0,89730.0,,,,,,,,,,,,,,36708.0,,,,65940.0,-73965.0,8025.0,,,,,,,6034.0,,,,,,29919.0,3785.0,,,,,-6034.0,,-98579.0,,,,,,,,201595.0,-199327.0,189518.0,7478.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,62318.0,,6034.0,,-282359.0,7478.0,,,,-26134.0,,,65940.0,,,,,,,,,,,,,,,,,,
2013-07-31,2013-09-19,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,,,52679.0,910.0,910.0,25610.0,260530.0,5200.0,,,,,6034.0,,,4574.0,4574.0,,,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,11217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63896.0,4574.0,,,,,,,392.0,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,25610.0,,,,-320747.0,,,,,-59322.0,,,,,,,,,,,,,,,,,,,,,
2013-10-31,2013-12-16,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,,,71732.0,908.0,908.0,,265730.0,,,,,,,,,3094.0,3094.0,,,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,11217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82949.0,3094.0,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,-346480.0,,,,,-79855.0,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2014-03-17,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,,8000.0,96294.0,686.0,686.0,,271097.0,,,,,6034.0,,,,879.0,879.0,,,,,0.0001,100000000.0,8951351.0,8951351.0,895.0,,,,,,,,,,11217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115511.0,879.0,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,-386624.0,,,,,-114632.0,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2014-08-19,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,,,9754.0,625.0,625.0,25610.0,365309.0,4068.0,,,,6034.0,,0.0,,709.0,709.0,,84.0,-76.0,,0.0001,200000000.0,161124318.0,161124318.0,16112.0,0.0,,,,0.0,,8000.0,,,7478.0,,,,,,,,,,0.0,,,0.0,,,,8000.0,18567.0,17335.0,,-19246.0,0.0,0.0,,,,-78194.0,-78194.0,264.0,-3739.0,-3739.0,0.0,,,0.0,0.0,,,20732.0,709.0,,,,105299.0,0.0,,,-105375.0,-19246.0,22306.0,,,3500.0,,42249.0,-41552.0,,3739.0,3739.0,,,,0.0001,10000000.0,0.0,0.0,,,101799.0,0.0,,0.0,3500.0,24914.0,25610.0,,,,-401444.0,,697.0,4068.0,,-20023.0,,,,161124318.0,,,,,,,,,,,,,,,,,
2014-09-30,2014-11-19,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,,26782.0,,,615.0,615.0,25610.0,367709.0,,,,0.0,6034.0,,,,2376.0,2376.0,,1761.0,,,0.0001,200000000.0,161124318.0,161124318.0,16112.0,,,,,,,,,,,7478.0,,,,,,,,,,,,0.0,,,,,0.0,8514.0,0.0,-37261.0,0.0,,,,,,,,,,,,,173.0,,,,57260.0,2376.0,,,,,,,,,-37261.0,,0.0,,20000.0,,37830.0,-37088.0,,0.0,-173.0,3000.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,29316.0,25610.0,0.0,,,-438705.0,,742.0,,,-54884.0,,,,161124318.0,,,,,,,,,,,,,,,,,
2014-12-31,2015-02-18,10-Q,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,37218.0,,,,388.0,388.0,25610.0,370926.0,,,,0.0,6034.0,,,,533.0,533.0,,145.0,,,0.0001,200000000.0,161124318.0,161124318.0,16112.0,,,,,,,,,,,7478.0,,,,,,,,,,,,0.0,,,,,0.0,15644.0,0.0,-26658.0,0.0,,,,,,,,,,,,,955.0,,138.0,,78859.0,533.0,,0.1,,,,,,,-26658.0,-955.0,0.0,,20000.0,,26111.0,-25703.0,,,0.0,14163.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,10467.0,25610.0,0.0,,,-465364.0,,408.0,,,-78326.0,,,,161124318.0,,,,,,,,,,,,,,,,,
2015-03-31,2015-07-14,10-K,AQUA POWER SYSTEMS INC.,APSI,CIK0001553264,USD,37926.0,,,,257.0,257.0,25610.0,374578.0,101799.0,13337.0,,0.0,6034.0,,,,270884.0,270884.0,,1502.0,1342.0,0.0,0.0001,200000000.0,161124318.0,161124318.0,16112.0,,57050.0,0.0,0.0,,,8000.0,,0.0,,7478.0,0.0,0.0,0.0,138802.0,138802.0,0.0,,,0.0,266000.0,247184.0,0.0,0.34,,0.0,18367.0,18567.0,51968.0,,-103859.0,0.0,0.0,34900.0,-40042.0,5141.0,,-39455.0,-104.0,,-3739.0,-266000.0,,3125.0,3221.0,0.0,,979.0,366251.0,270884.0,,,,422646.0,-266000.0,,,-155304.0,-103859.0,19085.0,0.0,,16613.0,,125047.0,-122944.0,360050.0,0.0,3739.0,0.0,,,0.0001,10000000.0,0.0,0.0,0.0,3125.0,101799.0,,,55000.0,265847.0,73079.0,25610.0,0.0,,,-486057.0,,2103.0,13337.0,0.0,-95367.0,,,34900.0,161124318.0,,,,,,,,,,,,,,,,,
