end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsNet,CommonStockOtherSharesOutstanding,CommonStockSharesHeldInEmployeeTrustShares,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceContracts,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,Liabilities,NetAssetValuePerShare,RealizedInvestmentGainsLosses,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,SharesOutstanding,SponsorFees,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Ethereum Classic Trust (ETC),ETCG,CIK0001705181,USD,0.0,-100243000.0,570642000.0,570642000.0,13993800.0,2897411.0,,-110752000.0,-115896000.0,0.03,-7.91,-8.28,-0.37,-0.03,-5144000.0,92490000.0,570642000.0,12248164.742949,1.0,478152000.0,0.0,40.78,4442000.0,5143824.0,,13993800.0,5144000.0,,,,,-115194000.0
2021-12-31,2022-02-25,10-K,GrayscaleÂ® Ethereum Classic Trust (ETC),ETCG,CIK0001705181,USD,0.0,100243000.0,407466000.0,407466000.0,13993800.0,3271674.0,0.21,191960000.0,171970000.0,0.03,25.16,24.04,-1.12,-0.03,-19990000.0,91793000.0,407466000.0,12155893.990481,1.0,315673000.0,0.0,29.12,16510000.0,15573275.0,0.03,13993800.0,19990000.0,2716000.0,279700.0,279700.0,2716000.0,175450000.0
