end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivable,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockholdersEquity,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConstructionInProgressGross,CostOfGoodsAndServicesSold,CostOfRevenue,DepositsAssetsNoncurrent,Depreciation,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EmployeeRelatedLiabilitiesCurrent,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,GrossProfit,GroundLeasesAccumulatedAmortization,ImpairmentOfLongLivedAssetsHeldForUse,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeExpenseNonoperatingNet,InterestPaid,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InventoryWorkInProcess,InventoryWriteDown,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherEmployeeRelatedLiabilitiesCurrent,OtherInventorySupplies,OtherLiabilitiesCurrent,OtherNoncashExpense,OtherNonoperatingIncome,OtherOperatingActivitiesCashFlowStatement,OtherPrepaidExpenseCurrent,PaymentsForOtherDeposits,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidTaxes,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromShortTermDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,RelatedPartyTransactionRate,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingExpense,ShortTermBorrowings,StockholdersEquity,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-03-31,10-K,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,,,,,,,,,,,,,1115047.0,,,,,,,,,,,,,,,,,,,,,,,,,2886300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-357001.0,
2010-06-30,2010-08-16,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,,,,,,,,,,,,,911276.0,,,,,,,-190736.0,,,,,,,,,-0.01,,,,,,-1419.0,189327.0,,,,,,,,,,,,,,,,,-16868.0,,,,,,,,,,,,,,,,,,,-207614.0,,189327.0,-189327.0,,,16878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-15,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,,,,,,,,,,,,,126125.0,,,,,,,-142814.0,,598721.0,,,,,,,-0.01,,,,,,-49.0,90259.0,10779.0,,,,,,,,,,,,,,,,-28082.0,,,,,,,,,,,,,,,,,,,-164877.0,,147525.0,-136746.0,,,22063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609500.0,57266.0,,,
2010-12-31,2011-03-30,10-K,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,786038.0,30455.0,,177584.0,52109.0,620812.0,66986.0,,10932.0,9306256.0,1847504.0,,392958.0,-722089.0,-844093.0,0.0001,22599974.0,22599974.0,2260.0,-554078.0,690182.0,2175467.0,,75452.0,174021.0,31832.0,,6818439.0,-0.02,,106403.0,,22777.0,414541.0,-3203.0,597670.0,221372.0,,,,,,,,1018721.0,,30455.0,,523304.0,624899.0,,,-115053.0,9805.0,,,469079.0,,,98660.0,,10150349.0,9306256.0,3331910.0,,3168906.0,,-3594252.0,,-403146.0,,-593808.0,,696924.0,-475552.0,,75452.0,39730.0,,,,,66986.0,,,,,,,3594252.0,0.0001,10000000.0,0.0,0.0,,955012.0,,,,2121212.0,,,6278577.0,,,,1047694.0,,-1519274.0,,2396839.0,99254.0,2121212.0,-844093.0,
2011-03-31,2011-05-06,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,,,,,,,,,914.0,,,,69602.0,-323356.0,,,,,,-256108.0,,915945.0,,,121252.0,,,,-0.01,,458.0,,,,-1442.0,174279.0,39066.0,,,,,,,,-258787.0,,152.0,,607546.0,104137.0,,,-111614.0,,,,,,,,,,,,,797744.0,,-12720.0,,-1108838.0,,-260382.0,,186392.0,-147326.0,,,4274.0,,,,,,,,,7843.0,,,4877.0,,,,,,,,,,,456042.0,,,,,,341702.0,,,,955011.0,12113.0,,,
2011-06-30,2011-08-12,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,508301.0,210567.0,,438746.0,87327.0,620812.0,,,,10552899.0,2977630.0,,238725.0,,,0.0001,22599974.0,22599974.0,2260.0,-962253.0,775171.0,1477235.0,,91978.0,,343544.0,,11063284.0,-0.04,,,,27491.0,419063.0,-543.0,201557.0,-709200.0,,,,,,,,,,,,,,81241.0,,-97592.0,,,,1330278.0,,,,,12615353.0,10552899.0,1552069.0,,,,,,,,-993197.0,,207668.0,-916868.0,,,30944.0,30944.0,,,,,21263.0,,,,,,,0.0001,10000000.0,0.0,0.0,,1198060.0,,,,,,,6289057.0,,,,,,-2772853.0,,768035.0,6111.0,464145.0,-2062454.0,22599974.0
2011-09-30,2011-11-08,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,356530.0,66636.0,,584872.0,108818.0,620812.0,,,,10421990.0,2646706.0,,38487.0,,,0.0001,22599974.0,22599974.0,2260.0,-610259.0,887037.0,1421033.0,,108939.0,,348149.0,,11191176.0,-0.03,,,,30039.0,422501.0,-422.0,150765.0,-343226.0,,,,,,,,,,,,,,103000.0,,-133799.0,,,,1488447.0,,,,,13094703.0,10421990.0,1903527.0,,,,,,,,-631750.0,,159107.0,-502333.0,,,21491.0,21491.0,,,,,4804.0,,,,,,,0.0001,10000000.0,0.0,0.0,,1053136.0,,,,,,,6356807.0,,,,,,-3404603.0,,1077807.0,8342.0,470367.0,-2672713.0,22599974.0
2011-12-31,2012-04-04,10-K,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,310899.0,331507.0,,772270.0,102317.0,620812.0,,0.0,8535.0,10343107.0,2239330.0,1234.0,44474.0,-348484.0,-3498282.0,0.0001,22599974.0,22599974.0,2260.0,-2654189.0,191427.0,4780016.0,,,570714.0,352801.0,11776972.0,11776972.0,-0.12,,3179.0,,32650.0,425937.0,-2609.0,740499.0,-1497746.0,,0.0,0.0,0.0,677077.0,269462.0,-946539.0,-499933.0,,291732.0,506239.0,548192.0,123045.0,,,-458377.0,114431.0,356094.0,250800.0,735540.0,402251.0,35870.0,310920.0,425937.0,13841389.0,10343107.0,2064417.0,5317612.0,3273417.0,,-854189.0,,-2770891.0,,-2704397.0,,774341.0,-2272087.0,,,50208.0,50208.0,269234.0,46619.0,298737.0,,26067.0,,,,,,854189.0,0.0001,10000000.0,0.0,0.0,0.0,1127809.0,851407.0,,,-1701991.0,,8258683.0,7486413.0,135710.0,0.0,0.035,4975408.0,1701991.0,-4223671.0,,3282270.0,33842.0,476652.0,-3498282.0,22599974.0
2012-03-31,2012-05-14,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,627747.0,494437.0,,923327.0,101547.0,620812.0,,,2181.0,10489577.0,2526335.0,,106166.0,61692.0,,0.0001,22599974.0,22599974.0,2260.0,-439760.0,213272.0,526947.0,,,152673.0,471695.0,,11772887.0,-0.02,,636.0,,34815.0,423509.0,-176.0,166488.0,-151912.0,,,,0.0,,,,316402.0,,162799.0,154940.0,273480.0,-33402.0,,,-117903.0,0.0,,,832034.0,,,176755.0,,14427619.0,10489577.0,2654732.0,,119181.0,,-19209.0,,-38916.0,,-438990.0,,169175.0,-321087.0,,,-770.0,-770.0,,,,,,,,,,,0.0,0.0001,10000000.0,,,,1093698.0,,,,,,,7326461.0,,,,119181.0,,-4662661.0,,375035.0,2687.0,476380.0,-3938042.0,22599974.0
2012-06-30,2012-08-13,10-Q,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,CIK0001434389,USD,399143.0,268066.0,,1079907.0,100097.0,620812.0,,,,9971305.0,2387637.0,,67861.0,,,0.0001,22599974.0,22599974.0,2260.0,-352302.0,219257.0,250089.0,,,,1018495.0,12878646.0,11860151.0,-0.02,,,,36689.0,417632.0,,221356.0,-6926.0,,,,,,,,,,,,,,110481.0,,-124753.0,,,,866708.0,,,,,14261649.0,9971305.0,2401498.0,,,,,,,,-350852.0,,226167.0,-233093.0,,,,-1450.0,,,,,6994.0,,,,,,,0.0001,10000000.0,,,,1185002.0,967817.0,,,,,,6946779.0,,,,,,-5013513.0,,243163.0,4811.0,,-4290344.0,22599974.0
