end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdvertisingExpense,Assets,AssetsCurrent,BankOverdrafts,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,CostsAndExpensesRelatedParty,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LongTermDebtCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,OperatingCostsAndExpenses,OperatingExpenses,OperatingLossCarryforwardsValuationAllowance,OtherTaxExpenseBenefit,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharesOutstanding,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,ValuationAllowanceAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,RevenueFromContractWithCustomerExcludingAssessedTax,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,OtherGeneralAndAdministrativeExpense,ProfessionalAndContractServicesExpense,RevenueFromContractWithCustomerIncludingAssessedTax
2010-04-30,2010-09-23,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,18263.0,,,,,0.0,,,261.0,,,261.0,261.0,261.0,,,,,,,9500.0,,0.0,,,,,-29072.0,,0.0,,,,4652.0,,,0.0,,,,,,,0.0,,,261.0,19833.0,1570.0,,,10000.0,-9739.0,-28002.0,,28002.0,,,,9500.0,,,,23350.0,-28002.0,,,,0.0,,,,,,,-19572.0,,,,,,,9500000.0,,,,,,,,,,
2010-07-31,2010-09-29,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,,,,,,,,,,,216.0,,,,0.024,,266000.0,,,,100.0,,,,,,,0.0,,,,275.0,,,0.0,,,3453.0,,,,0.0,,,,,,,,,,-3553.0,,3553.0,,,0.0,,,,,3278.0,,,,,0.0,,,,,,,,,,,,,,9571935.0,,,,,,,,,,
2010-10-31,2010-12-17,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,,,,,,,,,,,416.0,,,,,,,,,,,,,,,,,0.0,,,,3300.0,,,,,,,,,,,,,,,,,,,,-7350.0,,7350.0,,,0.0,,,,,4050.0,,,,,0.0,,,,,,,,,,,,,,9766000.0,,,,,,,,,,
2011-01-31,2011-03-17,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,,,,,,,,,,,,,217.0,,,,,,,,,,,,,,,,,0.0,,,,200.0,,,,,,,,,,,,,,,,,,,,-2818.0,,,2818.0,,0.0,,,,,2618.0,,,,,0.0,,,,,,,,,,,,,,9766000.0,,,,,,,,,,
2011-04-30,2011-07-06,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,20406.0,,,,,6020.0,,,217.0,,,217.0,217.0,-44.0,,,0.001,75000000.0,9766000.0,9766000.0,9766.0,7850.0,7850.0,,,,,-45395.0,,0.0,,,,4658.0,,,0.0,,,2143.0,,,,0.0,,,217.0,29826.0,9420.0,,,6286.0,-6330.0,-16323.0,,16323.0,16323.0,,0.0,6286.0,,,,11665.0,-16323.0,,,,0.0,,,,,9766000.0,,-29609.0,,,,,,,9766000.0,,,,,,,,,,
2011-07-31,2011-09-01,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,20523.0,,,,,6020.0,,,217.0,,,217.0,217.0,,,,,,,,9766.0,3383.0,3383.0,,,,,-48895.0,,0.0,,,,500.0,,,0.0,,,117.0,,,,0.0,,,217.0,33326.0,12803.0,,,,,-3500.0,,3500.0,3500.0,,0.0,,,,,3000.0,,,,,0.0,,,,,,,-33109.0,,,,,,,9766000.0,,,,,,,,,,
2011-10-31,2011-12-13,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,28323.0,,,,,6020.0,,,217.0,,,217.0,217.0,,,,0.001,75000000.0,9766000.0,,9766.0,,,,,,,-59195.0,0.0,0.0,,,,7300.0,,,,,,,,,,,,,217.0,43626.0,15303.0,,,,,-10300.0,,10300.0,10300.0,,0.0,,,,,3000.0,,,,,0.0,,,,,9766000.0,,-43409.0,,,,,,,5139845800.0,,,,,,,,,,
2012-01-31,2012-03-07,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,33211.0,,,,,6020.0,,,217.0,,,217.0,217.0,,,,0.001,75000000.0,9766000.0,9766000.0,9766.0,,,,,,,-64083.0,0.0,0.0,,,,750.0,,,,,,,,,,,,,217.0,48514.0,15303.0,,,,,-4888.0,,,4888.0,,0.0,,,,,4138.0,,,,,0.0,,,,,,,-48297.0,,,,,,,5139845800.0,,,,,,,,,,
2012-04-30,2012-07-27,10-K,"Kashin, Inc.",KUSA,CIK0001467845,USD,32311.0,32311.0,,8500.0,,-5124060.0,,,79.0,,,79.0,79.0,-138.0,,,0.001,550000000.0,5139845800.0,5139845800.0,5139846.0,5883.0,,28977.0,,0.0,,-82791.0,,0.0,,,,10008.0,0.0,,0.0,,20405.0,20405.0,,,,0.0,,,79.0,67084.0,26273.0,,,10970.0,-11108.0,-37396.0,,,37396.0,82791.0,0.0,,,10970.0,,27388.0,-37396.0,8500.0,,,0.0,,,,,,,-67005.0,,,,-28977.0,,,5139845800.0,,,,,,,,,,
2012-07-31,2012-09-11,10-Q,"Kashin, Inc.",KUSA,CIK0001467845,USD,31278.0,,,,,6020.0,,,79.0,,70455.0,79.0,79.0,,,,0.001,75000000.0,9766000.0,9766000.0,9766.0,,,,,,,-86241.0,,0.0,,,,450.0,0.0,,0.0,,3450.0,3450.0,,,,0.0,,,79.0,70534.0,26273.0,,,,,-3450.0,,,3450.0,,0.0,,,,,3000.0,-3450.0,12983.0,,86241.0,0.0,,,,,,,-70455.0,,,,,,,5139845800.0,,,,,,,,,,
