end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CustodyFees,Deposits,DividendIncomeOperating,DividendsReceivable,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncomeTaxExaminationPenaltiesAndInterestExpense,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,Liabilities,LiabilitiesAndPartnersCapital,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsAuthorized,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherDerivativesNotDesignatedAsHedgingInstrumentsAtFairValueNet,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromPartnershipContribution,ProfessionalFees,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,StockholdersEquityNoteStockSplitConversionRatio1,TradingLiabilities,TradingSecuritiesRealizedGainLoss,TrusteeFees,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,DebtSecuritiesTradingRealizedGainLoss,InvestmentOwnedBalanceContracts,PaymentsForLegalSettlements
2007-12-31,2008-03-17,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,,,,354816049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485222737.0,,,,,,,,,,,,,,,,,,,
2008-12-31,2009-03-02,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,4058250.0,,,1025376289.0,670560240.0,,,,,,,,,7295847.0,,,,,,,,,1607632.0,-923692430.0,,,,,,,810601.0,,3917.0,1270135282.0,,,,157200.0,,,6754938.0,,,,,279809.0,,,,,,,,,,2856494866.0,,-2185934626.0,,-855496359.0,,,-41.51,,,-63.14,144929.0,,8115794.0,,,,,350000.0,,,2569623931.0,12435374223.0,9495476670.0,184900000.0,116400000.0,,12351971536.0,1337965.0,,-847380565.0,,,,,61911080.0,61911080.0,13549727.0,,,
2009-06-30,2009-08-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,3114522.0,,,1728456945.0,,,,,,,,,,1420861.0,,,,,,,,,921579.0,981799260.0,,,,,,,,,,,,,,,,,33415.0,,,,,,,,,,,,,,,,,,,734585939.0,,8.46,,,8.64,,,,5895357.0,,,598290.0,,86000.0,,,,,,,,,,1260966.0,,740481296.0,,,,,,-242858240.0,85018681.0,,,
2009-09-30,2009-11-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,2444275.0,,,1865747446.0,,,,,,,,,,647800.0,,,,,,,,,598751.0,-116290290.0,,,,,,,,,,,,,,,,,18032.0,,,,,,,,,,,,,,,,,,,-64854042.0,,-1.51,,,-1.08,,,,3886594.0,,,404517.0,,66000.0,,,,,,,,,,439051.0,,-60967448.0,,,,,,54591010.0,59920652.0,,,
2009-12-31,2010-03-01,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,11700716.0,2580080822.0,322670551.0,2072425180.0,1047048891.0,,,111386.0,,,,,,4035182.0,83916.0,,,911277.0,105743070.0,,,,3888197.0,578446510.0,,,,,,,852974.0,-267819.0,-11193.0,-1033795481.0,,-73465.0,,-68700.0,,,223472.0,,108828005.0,2580080822.0,,623062.0,2471252817.0,,,63100000.0,,,,,,-551022397.0,,1598071288.0,,649378719.0,,,4.85,,,8.23,164984.0,,20357395.0,623125.0,,90768.0,1800000.0,369000.0,2062272.0,,2471252817.0,5679117242.0,6426867075.0,182900000.0,194700000.0,,5770101608.0,2658818.0,,669736114.0,,,,,86661950.0,86661950.0,78901918.0,,,
2010-03-31,2010-05-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,2262154.0,,,1501361593.0,-571063587.0,,,,,,,,,93823.0,,,,,,,,,468036.0,231075700.0,,,,,,,,,,-79443336.0,,,-22830.0,-51000.0,,,12871.0,,,,,,,,,,,,,,,-877945462.0,,306881875.0,,74436366.0,,,1.43,,,1.4,,,3526778.0,,,191683.0,,52000.0,,,,,,,,,455922092.0,604905.0,,77963144.0,,,,,-153271250.0,-153271250.0,53153333.0,,,
2010-06-30,2010-08-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,2201081.0,2054841830.0,317827635.0,1733497973.0,,,,86186.0,,,,,,188946.0,76657.0,,,830061.0,75816816.0,,,,550220.0,-256875160.0,,,,,,,,,,,,,,,,,18223.0,,78174146.0,2054841830.0,,,1976667684.0,,,57900000.0,,,,,,,,,,-288324484.0,,-6.45,-6.45,,-5.34,-5.34,,,3518913.0,626345.0,,398261.0,,56000.0,1441083.0,,1976667684.0,,,,,,,369351.0,,-284805571.0,,,,,,-28193580.0,53975824.0,,,
2010-09-30,2010-11-09,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,2131787.0,1983531463.0,285396747.0,1613934752.0,,,,78186.0,,,,,,285811.0,81039.0,,,685893.0,118596862.0,,,,487178.0,-22435714.0,,,,,,,,,,,,,,,,,7894.0,,120865933.0,1983531463.0,,,1862665530.0,,,53400000.0,,,,,,,,,,55705675.0,,0.74,0.74,,1.01,1.01,,,2878696.0,617325.0,,259731.0,,38000.0,1504992.0,,1862665530.0,,,,,,,104484.0,,58584371.0,,,,,,80688380.0,55422826.0,,,
2010-12-31,2011-03-01,10-K,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,8633654.0,1822041333.0,254503610.0,1522955092.0,-549470088.0,,,59186.0,,,,,1777458702.0,777411.0,48785.0,,,698317.0,31174128.0,,,,1928711.0,210513966.0,,,,,,,-556099.0,-35131.0,17503.0,-68166941.0,,-49619.0,,-52200.0,,,49640.0,,33433761.0,1822041333.0,1822041333.0,457809.0,1788607572.0,,,45900000.0,,,,,,-815815661.0,,266345573.0,,275385391.0,,,3.9,,,1.11,350085.0,,15313279.0,573506.0,,63757.0,1200000.0,197000.0,1502130.0,,1788607572.0,3047157141.0,3788403860.0,85600000.0,102800000.0,,3047157141.0,1127427.0,,71220307.0,,,,,-140317710.0,-140317710.0,52890959.0,,,
2011-03-31,2011-05-10,10-Q,"United States Oil Fund, LP",USO,CIK0001327068,USD,,,,,2133561.0,2193152511.0,232313336.0,1882424178.0,359469086.0,,,63686.0,,,,,,116053.0,39615.0,,,804328.0,140138409.0,,,,481714.0,205286940.0,,,,,,,,-9170.0,,-22190274.0,,39866.0,1487.0,4500.0,,,9734.0,,141972285.0,2193152511.0,,115077.0,2051180226.0,,,48100000.0,,,,,,135388216.0,,224080870.0,,236148719.0,,,3.67,,,4.78,,,3139678.0,613372.0,,200338.0,,74000.0,965862.0,,2051180226.0,1720747666.0,1694323731.0,43900000.0,41700000.0,,1720747666.0,324065.0,,239288397.0,,,,,33801670.0,33801670.0,49374444.0,,,
