end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InventoryWriteDown,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherExpenses,OtherInventoryScrap,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PartnersCapitalAccountContributions,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpense,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,SharesIssued,SharesOutstanding,StockGrantedDuringPeriodValueSharebasedCompensationForfeited,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesEmployeeStockOwnershipPlan,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueEmployeeStockOwnershipPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,TaxesExcludingIncomeAndExciseTaxes,TechnologyServicesCosts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-06-30,2009-10-15,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,,,,,,,6010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20654.0,,,,,,,,,,,,,,,,,,,,,6010.0,,,,,,,,,-38593.0,,,,,,,,1507589.0,,,-163006.0,260.0,,7329.0,1329.0,,1329.0,37380.0,,,,,,,
2010-09-30,2010-10-28,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,,,,,,,,,,,,,0.0,,,,1089.0,,,,107.0,,,,,,,,,,,,,,,,,,,,-0.01,,3711.0,,,-11561.0,,,,,,0.0,,7528.0,,,,,,,,,,,-300.0,,,,,,0.0,50.0,,,,,3446.0,,,,-3339.0,-11561.0,,11261.0,-11261.0,,,,,,,,,-300.0,,,,,,,,,,,,1370.0,,,2076.0,,7500.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,1500979.0,
2010-12-31,2011-01-28,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,,,,,,,,,,,,,0.0,,,,19925.0,,,,,,,,,,,,0.0,4148.0,,,,,,,0.0,,,,0.0,,3684.0,,,-4148.0,0.0,,,,,0.0,,,,,,,,,,,464.0,,,,,,,,,,,,,,,,,,,-4148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-04-28,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,,,,,,,,,,,,,,,0.0,,,,,41986.0,,,,,,,,,,,0.0,12680.0,,,,,,,0.0,,,,-0.01,,12207.0,,,-12680.0,-0.01,,,,,0.0,,,,,,,,,,,473.0,,,,,,,,,,,,,,,,,,,-12680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1507896.0,,
2011-06-30,2011-08-25,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,250.0,,250.0,,1722.0,153466.0,135110.0,,,,,,,,66569.0,66569.0,,,,,66569.0,66569.0,65587.0,,,0.001,150000000.0,2419600.0,,20776.0,0.0,,,,,,,,,,,-101853.0,10564.0,,-0.02,,41750.0,,,,,,,,,,529.0,,,,,,,,,,1710.0,,,1722.0,,,,,,,12536.0,66569.0,12536.0,0.0,85964.0,,,,-20377.0,-43460.0,,43460.0,-43460.0,,,,,,,,,,,,,,,,0.0,0.0,750.0,,,83844.0,,,,2120.0,,-43460.0,10564.0,,-101853.0,,,,,2419600.0,,54033.0,54033.0,16440.0,3600.0,,83844.0,,18360.0,18360.0,-28000000.0,,,,,,2417280.0
2011-09-30,2011-11-18,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,1750.0,,,,,135110.0,,,,,,,,,56695.0,56695.0,0.0,,,,56695.0,56695.0,-9874.0,,-9874.0,0.001,150000000.0,2419600.0,,20776.0,,,,,,,,,,,,116698.0,,,-0.01,,14274.0,,,-14845.0,,,,,,0.0,2071.0,2071.0,,,,,,,,,571.0,,-571.0,2293.0,,,,,0.0,2900.0,17507.0,56695.0,17507.0,,0.0,,,,-9874.0,-14845.0,,14845.0,-14845.0,,,,,,,,,-571.0,,,,,,,,,,,,0.0,,,0.0,,5000.0,-14845.0,13464.0,,,0.0,,,,,,39188.0,39188.0,,,,,,,,,,,,,2419600.0,2417280.0
2011-12-31,2012-02-07,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,,,1811.0,,2902.0,153467.0,,,,,,,,,47926.0,47926.0,0.0,,,,47926.0,47926.0,,,,0.001,150000000.0,2419600.0,,2420.0,,0.0,0.0,9438.0,,,,,,,0.0,-126136.0,13464.0,,0.0,,8829.0,,,-9438.0,0.0,,,,,0.0,,,,,,,,,,,609.0,,,,,,,,,,,47926.0,18176.0,0.0,,,,,,-9438.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,-9438.0,,,,0.0,,,,,,29750.0,,,,,,,,,,,,,2419600.0,,
2012-03-31,2012-05-07,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,0.0,,,,3497.0,153466.0,,,,,,,,,44361.0,44361.0,0.0,,,,44361.0,44361.0,,,,0.001,150000000.0,2419600.0,,2420.0,,,0.0,2350.0,,,,,,,0.0,-128486.0,13464.0,,0.0,,1755.0,,,-2350.0,0.0,,,,,0.0,,,,,,,,,,,-595.0,,,,,,,,,,,44361.0,16961.0,0.0,,,,,,-2350.0,,1755.0,-1755.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,27400.0,,,,,,,,,,,,,2419600.0,,2419600.0
2012-06-30,2012-09-28,10-K,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,0.0,,,,7000.0,153466.0,153466.0,,,,,,,,15708.0,15708.0,,,,,15708.0,15708.0,-50861.0,,,0.001,150000000.0,2419600.0,2419600.0,2420.0,7500760.0,,,,,,,,,,,147178.0,,,-0.02,,43371.0,,,,,,,,,,5028.0,5028.0,,,,,,,,,-1954.0,3676.0,,,,,,,,,7000.0,15708.0,7000.0,,-10564.0,,,,-40297.0,-45325.0,,43371.0,-43371.0,,,,,,,,,,,,,,,,,,,,,,,,2900.0,,,-45325.0,,-13464.0,-147178.0,,,,,2419600.0,,8708.0,8708.0,,,,,,,,,,,,2419600.0,,2419600.0
2012-09-30,2012-11-09,10-Q,"Xiamen Lutong International Travel Agency Co., Ltd.",LTGJ,CIK0001445175,USD,,5300.0,,,,1700.0,,135110.0,,,,,,,,11925.0,11925.0,,,,,,11925.0,-3783.0,,,,150000000.0,2419600.0,,20776.0,4597240.0,,,,,,,,,,,,,,0.0,,3783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,11925.0,7000.0,,,,,,-3783.0,-3783.0,,3783.0,-3783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3783.0,,,-150961.0,,,,,,,,4925.0,,,,,,,,,,,,2419600.0,,2419600.0
