end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForNotesAndLoansReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashFDICInsuredAmount,CashPeriodIncreaseDecrease,CashUninsuredAmount,CommitmentsAndContingencies,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfRevenue,CostOfServices,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDepositsCurrent,CustomerDepositsCurrent,DebtInstrumentFaceAmount,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,DepositsAssetsNoncurrent,Depreciation,DepreciationNonproduction,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeRelatedLiabilitiesCurrent,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesReceivableRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInSecurityDeposits,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InventoryWriteDown,LaborAndRelatedExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,LossContingencyLossInPeriod,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseContingentRentals,OperatingLossCarryforwards,OtherAssets,OtherAssetsMiscellaneousNoncurrent,OtherCostOfServices,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromLoansReceivable,PaymentsForProceedsFromProductiveAssets,PaymentsToAcquireInvestments,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfTreasuryStock,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,ProfitLossFromRealEstateOperations,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PublicUtilitiesPropertyPlantAndEquipmentNet,RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,ShareBasedCompensation,SharesIssued,SharesIssuedPricePerShare,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,TreasuryStockDeferredEmployeeStockOwnershipPlan,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AmortizationOfDebtDiscountPremium,OtherAssetsNoncurrent
2017-10-31,2017-12-11,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,190.0,,,,5027.0,10233.0,15260.0,,10233.0,,,,,,,,,,,,3000000.0,,3000.0,,,,,,0.0,,5000.0,,,,,,,,,,,,,0.0,,,,10563.0,,,,,3749.0,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,15260.0,15753.0,15753.0,,,,,,,,,,1251.0,0.0,,,-3749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.0,,,5027.0,,,,-3493.0,,5000.0,,,,,-493.0,,,,,,,,,,3000000.0,,,
2018-01-31,2018-03-26,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,0.0,,35815.0,,22474.0,7253.0,29727.0,5733.0,5733.0,,,,,,,,22700.0,,,4885000.0,4885.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,23043.0,,5000.0,,,-18043.0,,,,,,,,,,,,,,,,,,,,29727.0,,10563.0,10563.0,,10563.0,,,,,,,,-18043.0,,,,-23043.0,,,,,,,,,,,,,,,,,,,1520.0,,,,,,,,-18043.0,,,,22474.0,,,-21536.0,,5000.0,,,,,19164.0,,,,,,,,,,3486196.0,,,
2018-07-31,2018-09-19,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,8500.0,,38665.0,,20097.0,1350.0,21447.0,970.0,970.0,-6287.0,,,,-6287.0,,,,,,75000000.0,5035.0,,,,,,,,0.0,,0.0,,,,,,,,,,1189.0,,,0.0,,,,,,,,,15196.0,,14150.0,,,-1046.0,0.0,,,,0.0,,-7000.0,7000.0,,,570.0,570.0,,,,0.0,,,,21447.0,,19063.0,19063.0,,10563.0,,,,,0.0,-6287.0,-6287.0,145.0,,,,15196.0,-1046.0,,,,,,,,,,0.0,,,,,,,,380.0,,,,,,,,-1046.0,,,20097.0,,,,-41316.0,,14150.0,,,,,3575.0,,,,,,,,,,5035000.0,5035000.0,,
2018-10-31,2018-12-20,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,2690.0,,38665.0,14063.0,18909.0,824.0,19733.0,824.0,824.0,,,824.0,,,,,,,,75000000.0,5035.0,503500.0,,5035000.0,,,,,0.0,0.0,0.0,,,,,,,,,,1189.0,,,0.0,,,,14063.0,,,,,1959.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,19733.0,,16753.0,16753.0,,,,,,,,,,-596.0,0.0,,,595.0,-595.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,947.0,-595.0,,,18909.0,,,,-40720.0,,0.0,,,,,2979.0,,,,,,,,,,5035000.0,5035000.0,,
2019-01-31,2019-03-15,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,760.0,,38665.0,,17720.0,346.0,18066.0,346.0,346.0,,,,,,,,,5035000.0,,,5035.0,5035000.0,,,,,,,0.0,,8700.0,,,,,,,,,,1189.0,,,0.0,,,,16763.0,,,,,11136.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,18066.0,,26223.0,26223.0,16763.0,,,18239.0,,,,,,-11136.0,,,,11136.0,-11136.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-11136.0,,,17720.0,,,,-51857.0,,0.0,,,,,-8157.0,,,,,,,,,,5035000.0,5035000.0,,
2019-04-30,2019-08-16,10-K,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,1899.0,17720.0,38665.0,,0.0,0.0,,0.0,,-7257.0,,,,,,0.0,,,0.001,75000000.0,5035000.0,5035000.0,5035.0,,,,,,,,,,,,18659.0,,88852.0,18659.0,8700.0,0.0,3566.0,,17790.0,0.0,0.0,0.21,-0.21,,,0.0,,17720.0,36908.0,,14150.0,,,,,16518.0,-16518.0,-6601.0,,-6601.0,,-1700.0,17790.0,,,950.0,,,,,17720.0,,,45152.0,0.0,45152.0,,,,,,23990.0,,,-31247.0,,-48582.0,,,,62732.0,-48582.0,,88852.0,,,,8523.0,,,,,,,,,,,,,,,,17790.0,,6200.0,13735.0,,,17720.0,0.0,,,,-88852.0,,14150.0,,,,16763.0,-45152.0,,,,,,,,,,,5035000.0,,
2019-07-31,2019-09-13,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,1899.0,,38665.0,,0.0,,,,,,,,,,,,,,0.001,75000000.0,5035000.0,5035000.0,5035.0,,,,,,,,,,,,,,,,8700.0,,,,20290.0,0.0,,,,,,,,,2500.0,,,,,,,,,,,,,,,2500.0,,,,,,,17720.0,,,47652.0,0.0,47652.0,,,,,,2500.0,,,-2500.0,,-2500.0,,,,2500.0,-2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91352.0,,,,,,16763.0,-47652.0,,,,,,,,,,,5035000.0,,
2019-10-31,2019-12-19,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,,2422.0,186709.0,,62913.0,4945.0,,4945.0,,,,,,,,,,,0.001,75000000.0,5491002.0,5491002.0,5491.0,,,,,,,,,,,,,,,,8700.0,,2422.0,,56390.0,-0.02,,,,,,,57968.0,,2040.0,,,-119788.0,,,,,,,,,,,,,,,,,,,,31248.0,,81853.0,62913.0,81853.0,,,,,,,,,,,-119788.0,,,,119788.0,-119788.0,,,,,,13300.0,,,,,,,,,,,,,,,,,,,19152.0,,,60390.0,57968.0,,,,-211140.0,,,,,,16763.0,-18940.0,,,148500.0,,,,,,,,5471834.0,,
2020-01-31,2020-03-18,10-Q,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,,6054.0,388290.0,,118299.0,63963.0,,60963.0,,,,,,,,,,,0.001,75000000.0,8159577.0,8159577.0,8160.0,,,,,,,,,,,,,,,,8700.0,,3632.0,,56390.0,-0.02,,,,,,,54336.0,,14061.0,,,-148864.0,,,,,,,,,,,,,,,,,,,,10417.0,,81853.0,118299.0,81853.0,,,,,,,,,,,-148864.0,,,,148864.0,-148864.0,,,,,,,,,,,,,,,,,,3000.0,,,,,,,64716.0,,,60390.0,54336.0,,,,-360004.0,,,,,,16763.0,36446.0,,,204250.0,,,,,,,,6388437.0,,
2020-04-30,2020-08-13,10-K,"Treasure & Shipwreck Recovery, Inc.",BLIS,CIK0001703625,USD,55500.0,15354.0,1257553.0,,790714.0,6678.0,,6678.0,,6678.0,,,,,,,,,0.001,75000000.0,7396502.0,7396502.0,7397.0,,,,,,,,,,,,143029.0,,,143029.0,8700.0,1000.0,15354.0,,46390.0,-0.08,0.0,0.21,-0.21,,,636000.0,,,56329.0,,,,-592237.0,,,,,,,53601.0,,,,,,,-1000.0,,,,,41667.0,,127353.0,790714.0,127353.0,,,,,,511850.0,,-60390.0,-444782.0,,-592237.0,,,,592237.0,-592237.0,,681089.0,637000.0,637000.0,,106000.0,,,,,,,60390.0,0.001,100.0,0.0,0.0,,483250.0,,,28600.0,,,142301.0,,,,147036.0,,,120000.0,-681089.0,,,79500.0,,,16763.0,663361.0,,,483250.0,483250.0,738000.0,,79500.0,,124370.0,,7704742.0,,
