end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableFromSecuritization,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,CustodyFees,DebtInstrumentCollateralAmount,DebtInstrumentInterestRateStatedPercentage,Deposits,DepositsMoneyMarketDeposits,DerivativeNumberOfInstrumentsHeld,DerivativeNumberOfInstrumentsHeld,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,RestrictedCashAndCashEquivalents,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,TradingLiabilities,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2009-12-31,2010-03-30,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,,,,32056391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571872.0,,,,,,,,,,,,,,,,,,37637148.0,40652357.0,5588081.0,800000.0,100000.0,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,62548.0,,,26545954.0,,,,,,,,,,,,,3342.0,,,,,,,,4193.0,-2761400.0,,,,,,,,,,,,,,423.0,,,,,,,,,,,,,,,1738676.0,,,1.82,,,,2.05,,,,80449.0,,7290.0,,3000.0,,,,,,,,,,36900.0,,,,1819125.0,,,4573760.0,846154.0,
2010-09-30,2010-11-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,61326.0,,,36994697.0,,,,,,,,,,,,,4198.0,,,,,,,,2660.0,-1781810.0,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,-6601893.0,,,-8.03,,,,-7.78,,,,70101.0,,6115.0,,2000.0,,,,,,,,,,,,,,-6531792.0,,,-4756700.0,848913.0,
2010-12-31,2011-03-31,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,249022.0,35258217.0,6966692.0,30313275.0,-1743116.0,,,4685.0,,,,,,,,,13917.0,1063.0,151689.0,,,23857.0,,,12869.0,-9574510.0,,15011.0,,0.0,,334.0,3026276.0,,558.0,1904.0,1485.0,,0.0,1610.0,,,,236204.0,35258217.0,8499.0,35022013.0,1000000.0,,,11104856.0,,-12847972.0,,-13719991.0,,,-18.75,-18.75,,,-15.42,-15.42,1107140.0,,482966.0,558.0,16070.0,,8000.0,2657.0,,35022013.0,30789052.0,19684196.0,800000.0,500000.0,,30789052.0,205005.0,,,,-13388713.0,,-3837730.0,-3837730.0,889863.0,
2011-03-31,2011-05-16,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,58248.0,,,33565502.0,3252227.0,,,,,,,,,,,,2201.0,,,,,,,,2666.0,-1940610.0,,-114019.0,,,,-427.0,-2057477.0,,1538.0,-949.0,-200.0,,,104.0,,,,,,,,,,,3252470.0,,-243.0,,-493801.0,,,-0.75,-0.75,,,-0.53,,,,112956.0,,2722.0,,4000.0,,,,,,,,,6781994.0,49320.0,,,,,,1515790.0,1515790.0,935556.0,
2011-06-30,2011-08-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,69828.0,35960985.0,4761743.0,32583105.0,,,,4485.0,,,,,,,,,880.0,255.0,73573.0,,,22812.0,,,1712.0,-1127760.0,,,,,,,,,,,,,,123.0,,,,128838.0,35960985.0,,35832147.0,1100000.0,,,,,,,-2013834.0,,,-1.7,-1.7,,,-1.81,,,,124760.0,799.0,3352.0,,1000.0,2341.0,,35832147.0,,,,,,,49868.0,,,,-1924977.0,12.0,,-799220.0,1115385.0,
2011-09-30,2011-11-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,63384.0,30913811.0,7350016.0,28818091.0,,,,4260.0,,,,,,,,,525.0,123.0,113169.0,,,19789.0,,,1073.0,-1107430.0,,,,,,,,,,,,,,810.0,,,,177420.0,30913811.0,,30736391.0,1100000.0,,,,,,,-5095756.0,,-4.63,-4.63,-4.63,,-4.63,-4.63,,,,119657.0,502.0,3313.0,,0.0,153371.0,,30736391.0,,,,,,,51887.0,,,,-5015695.0,,,-3909600.0,1100000.0,
2011-12-31,2012-03-28,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,239340.0,21380526.0,10131179.0,19719092.0,-10594183.0,,,4260.0,0.0,,,,19331650.0,10518621.0,,,4110.0,195.0,113169.0,,,14661.0,,,7002.0,-7653100.0,0.0,-38520.0,,8.0,,-868.0,3164487.0,,-355.0,-1681.0,-425.0,,8.0,2028.0,8.0,,,170980.0,21380526.0,7565.0,21209546.0,1000000.0,,,533027.0,,-11127210.0,,-21087597.0,-13.8,,-13.81,-20.54,-13.81,,-13.8,-13.8,607582.0,,460209.0,203.0,11374.0,,5350.0,976.0,,21209546.0,10130630.0,9597603.0,300000.0,300000.0,,10130630.0,151075.0,,10131179.0,,-14049872.0,8.0,-6408260.0,-6408260.0,1039452.0,
2012-03-31,2012-05-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,43702.0,29516766.0,,25759040.0,6039948.0,,,3288.0,,,,,,,,,635.0,251.0,16307.0,849893.0,,18486.0,818550.0,,3407.0,-5765150.0,,-96862.0,,20.0,,56.0,2294705.0,,2270.0,948.0,-972.0,,-8.0,877.0,28.0,,,867320.0,29516766.0,874.0,28649446.0,1750000.0,,,14179846.0,,-8139898.0,,-6771289.0,,,-4.84,-4.84,-4.84,,-5.37,,,,74018.0,2473.0,1837.0,,3850.0,1924.0,,28649446.0,15874389.0,1663200.0,850000.0,100000.0,,15024496.0,25072.0,,12425884.0,,,,-953790.0,-953790.0,1261538.0,
2012-06-30,2012-08-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,,62288.0,40923491.0,6707457.0,33777195.0,,,,4008.0,,,,,24964561.0,15520091.0,,,946.0,299.0,28921.0,2593326.0,,22321.0,,,4592.0,-5047770.0,,,,,,,,,,,,,,1521.0,,,,77924.0,40923491.0,,40845567.0,2350000.0,,,,,,,2227273.0,1.1,,1.01,1.01,1.01,,1.1,,,,94598.0,1993.0,2647.0,,3150.0,1452.0,,40845567.0,,,,,,,25071.0,,,,,,,7351410.0,2024725.0,
