end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccretionExpense,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BusinessAcquisitionsProFormaNetIncomeLoss,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentIncomeTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholdersCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,GainLossOnFairValueHedgeIneffectivenessNet,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LoansPayableCurrent,MembersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherGeneralAndAdministrativeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredUnitsIssued,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,ServicingLiabilityAtAmortizedValueBalance,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,TreasuryStockValueRetiredCostMethod,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncreaseDecreaseInPrepaidExpense,OtherLoansPayable,PrepaidExpenseCurrentAndNoncurrent,RestrictedCashEquivalents,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities
2012-10-31,2012-12-04,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,2250.0,,,,,4940.0,,,2645.0,,290.0,2645.0,2645.0,-4355.0,,0.001,0.001,75000000.0,7760000.0,7760000.0,7760.0,,,60.0,,0.0,,,,,,,,-12990.0,,,,,0.0,,,,,,,3000.0,,-5250.0,,,,,,,,,-4000.0,,,,,,2645.0,2935.0,,,,,5200.0,,-9555.0,-5250.0,,,,,,5250.0,,,,,,,,,,,,5200.0,,,2250.0,,685.0,,,12990.0,,,,,,-290.0,,,,,,,,,,,,7576304.0,,,,,,
2013-01-31,2013-03-01,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,5049.0,,,,,4940.0,,,395.0,,5339.0,395.0,395.0,,,0.001,0.001,75000000.0,7760000.0,7760000.0,7760.0,,,,,0.0,,,,,,,,-18039.0,,,,,0.0,,,,,,,2799.0,,-5049.0,,,,,,,,,,,,,,,395.0,5734.0,,,,,,,,-5049.0,,,,,,5049.0,,,,,,,,,,,,,,,2250.0,,685.0,,,18039.0,,,,,,-5339.0,,,,,,,,,,,,7760760.0,,,,,,
2013-04-30,2013-08-28,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,9599.0,,,4940.0,,,395.0,,10367.0,395.0,395.0,-6605.0,395.0,0.001,0.001,150000000.0,7760000.0,7760000.0,7760.0,,,537.0,537.0,,,,,,0.0,,,-23067.0,-10367.0,1163.0,,,0.0,0.0,,,,,,6692.0,,,,,,,,,,3350.0,3349.0,,,,,,395.0,10762.0,1163.0,,,-23067.0,5200.0,,-11805.0,-15692.0,,,,,,15692.0,,,,,,,,,,,,5200.0,,,9000.0,-15692.0,1163.0,1163.0,,23067.0,,,,,,-10367.0,-10367.0,,,5200.0,,,,23067.0,,,7648164.0,7648164.0,,,,,,
2013-07-31,2013-09-13,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,17849.0,,,4940.0,,,95.0,,18917.0,95.0,395.0,-300.0,94.0,0.001,0.001,75000000.0,7760000.0,7760000.0,7760.0,,,,0.0,0.0,,,,,,,,-31617.0,,1163.0,,,0.0,0.0,,,395.0,,,6000.0,,,,,,,,,8250.0,,8250.0,,,,,,95.0,19012.0,,,,,0.0,,-300.0,-8550.0,,,,,,8550.0,,,8550.0,,,,,,,,,0.0,,,2550.0,-8550.0,,,,31617.0,,,,,,-18917.0,,,,,,,,,,,7760000.0,7760000.0,,,,,,
2013-10-31,2013-12-12,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,11849.0,,,4940.0,,,4397.0,,24369.0,4397.0,4397.0,4002.0,4397.0,,0.001,150000000.0,7760000.0,7760000.0,7760.0,,,5000.0,,0.0,,,,,,,,-37069.0,,,,,0.0,,,,,,,952.0,,,,,,,,,,,2250.0,,,,,,4397.0,28766.0,25685.0,10754.0,,,10754.0,,-6752.0,-5452.0,,,,,,5452.0,,,,,,,,,,,,,,,4500.0,,,16917.0,,37069.0,0.0,,,,,-24369.0,,,,,,,,,,,,7760000.0,,,,,,
2014-01-31,2014-03-21,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,5891.0,,,26655.0,,,0.0,,31576.0,0.0,0.0,,0.0,,0.001,150000000.0,760000.0,760000.0,760.0,,,,,0.0,,,,,,,,-58991.0,,,,,-0.01,,,,,,,9846.0,,,,,,,,,,,,,,,,,0.0,31576.0,,,,,,,,-21922.0,,,,,,21922.0,,,,,,,,,,,,,,,12076.0,-21922.0,,25685.0,,58991.0,0.0,,,,,-31576.0,,,,,,,,,,,,4412174.0,,,,,,
2014-04-30,2014-07-29,10-K,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,8944.0,8944.0,,,26655.0,,,0.0,,,0.0,,-395.0,,,0.001,75000000.0,760000.0,760000.0,760.0,,,,41377.0,,14715.0,,,,0.0,,,,-37029.0,,,,-0.01,,,,,395.0,,17495.0,,,,,,,,,,-655.0,,,,,,37029.0,0.0,37029.0,,,28085.0,-64444.0,14715.0,,-15110.0,-41377.0,,,,,,41377.0,,,,,,,,,,,,14715.0,,,23882.0,-41377.0,28085.0,,26922.0,-64444.0,,,,,,-37029.0,-37028.0,,,,,,0.0,,,,5094247.0,5094247.0,,,,,,
2014-07-31,2014-09-08,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,8542.0,,,26655.0,,,0.0,,,0.0,,0.0,0.0,,0.001,75000000.0,760000.0,760000.0,760.0,,,,13143.0,0.0,,,,,,,,,-49770.0,,,,-0.02,,,,0.0,,-12741.0,1097.0,,,,,,,,,-402.0,-402.0,,,,,,,0.0,49770.0,,,,-77185.0,0.0,,0.0,-12742.0,,,,,,12742.0,,,12741.0,,,,,,,,,0.0,,,11645.0,-12742.0,41228.0,,13143.0,,,,,,,-49770.0,,,,,,,,,,,760000.0,760000.0,,,,,,
2014-10-31,2014-12-15,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,10835.0,,,26655.0,,,0.0,,,0.0,,,0.0,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,0.0,,,,,,,,,-53863.0,,,,-0.01,,,,,,,498.0,,,,,,,,,,,,,,,,,0.0,53863.0,,,,-81278.0,,,,-4092.0,,,,,,4093.0,,,,,,,,,,,,,,,3595.0,-4093.0,43028.0,,,,0.0,,,,,-53863.0,,,,,,,,,,,,760000.0,,,,,,
2015-01-31,2015-03-17,10-Q,"CGS INTERNATIONAL, INC.",CGSI,CIK0001552358,USD,,,6471.0,,,26655.0,,,0.0,,,0.0,,,0.0,,0.001,75000000.0,760000.0,760000.0,760.0,,,,,0.0,,,,,,,,,-57538.0,,,,0.0,,,,,,,617.0,,,,,,,,,,,,,,,,,0.0,57538.0,,,,-84953.0,,,,,,,,,,3675.0,,,,,,,,,,,,,,,3058.0,-3675.0,51067.0,,,,0.0,,,,,,,,,,,,,,,,,760000.0,,,,,,
