end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,InsuranceSettlementsReceivable,Liabilities,LineOfCreditFacilityMaximumBorrowingCapacity,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,LitigationSettlementExpense,LossContingencyClaimsSettledNumber,LossContingencyDamagesPaidValue,LossContingencyPendingClaimsNumber,NumberOfReportableSegments,OtherAssets,OtherAssetsMiscellaneous,PaymentsForLegalSettlements,PaymentsForRent,ProceedsFromSaleOfRealEstate,RealEstateHeldforsale,RestrictedCash,RestrictedCashAndCashEquivalents,LitigationSettlementAmountAwardedFromOtherParty
2019-12-31,2020-02-13,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,297000.0,477893000.0,334583000.0,98830000.0,1900000.0,143310000.0,,141275000.0,1483000.0,,,,,3596000.0,708000.0,,68000.0,82967000.0,372496000.0,,2971000.0,
2020-03-31,2020-06-29,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,1117000.0,423102000.0,269810000.0,102507000.0,1900000.0,153292000.0,,124406000.0,1179000.0,,,,,4363000.0,216000.0,,74000.0,74269000.0,312226000.0,,4006000.0,
2020-06-30,2020-09-28,10-K,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,615000.0,384951000.0,264517000.0,86073000.0,1900000.0,120434000.0,,117451000.0,5323000.0,,,,1.0,4183000.0,208000.0,,277000.0,201333000.0,289337000.0,,5358000.0,
2020-09-30,2020-11-16,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,481000.0,336883000.0,239723000.0,83229000.0,1900000.0,97160000.0,,93619000.0,6580000.0,,,,1.0,3680000.0,399000.0,,68000.0,33492000.0,243928000.0,,6046000.0,
2020-12-31,2021-02-16,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,19000.0,290831000.0,210476000.0,126596000.0,1900000.0,80355000.0,,76698000.0,585000.0,,,,,2635000.0,430000.0,,79000.0,87666000.0,154976000.0,,6624000.0,585000.0
2021-03-31,2021-05-17,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,102000.0,234280000.0,165951000.0,66700000.0,0.0,68329000.0,,63328000.0,1278000.0,,,,,4699000.0,419000.0,,76000.0,,154967000.0,,7914000.0,
2021-06-30,2021-09-27,10-K,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,160000.0,199970000.0,129540000.0,45369000.0,0.0,70430000.0,,65583000.0,9839000.0,,,,1.0,5473000.0,410000.0,,291000.0,134159000.0,140855000.0,,8273000.0,
2021-09-30,2021-11-15,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,209000.0,195350000.0,134543000.0,80271000.0,,60807000.0,,56048000.0,971000.0,,,,1.0,5596000.0,419000.0,,50000.0,42445000.0,101366000.0,,8117000.0,
2021-12-31,2022-02-11,10-Q,Woodbridge Liquidation Trust,WBQNL,CIK0001785494,USD,1287000.0,179346000.0,127505000.0,53992000.0,,51841000.0,,45386000.0,,,,2.0,,30822000.0,411000.0,,1000.0,21236000.0,85408000.0,,9124000.0,25244000.0
